,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,277.04,280.415,274.8,280.04,280.04,916983,0.0,1.0
1,2020-09-18,280.9,284.81,278.6,280.82,280.82,864797,0.0,1.0
2,2020-09-17,282.96,285.51,279.68,282.71,282.71,495313,0.0,1.0
3,2020-09-16,287.0,290.0704,285.67,286.82,286.82,624111,0.0,1.0
4,2020-09-15,289.54,293.0,286.76,286.95,286.95,682252,0.0,1.0
5,2020-09-14,289.28,292.22,286.875,288.68,288.68,644308,0.0,1.0
6,2020-09-11,283.95,287.83,282.13,284.94,284.94,608996,0.0,1.0
7,2020-09-10,287.43,290.9,281.87,283.78,283.78,674117,0.0,1.0
8,2020-09-09,283.88,290.16,282.485,288.41,288.41,642088,0.0,1.0
9,2020-09-08,277.97,281.89,274.24,278.7,278.7,1030904,0.0,1.0
10,2020-09-04,292.53,292.67,277.475,282.47,282.47,601492,0.0,1.0
11,2020-09-03,302.42,302.42,288.8,291.25,291.25,696274,0.0,1.0
12,2020-09-02,297.67,305.955,297.67,304.49,304.49,567982,0.0,1.0
13,2020-09-01,294.0,297.04,292.815,296.07,296.07,425667,0.0,1.0
14,2020-08-31,294.77,297.16,292.69,294.64,294.64,543927,0.0,1.0
15,2020-08-28,293.36,294.975,291.63,294.39,294.39,404103,0.0,1.0
16,2020-08-27,292.44,295.15,289.99,292.16,292.16,402974,0.0,1.0
17,2020-08-26,285.04,293.75,284.025,291.95,291.95,532970,0.0,1.0
18,2020-08-25,286.02,286.02,283.475,285.38,285.38,589249,0.0,1.0
19,2020-08-24,286.44,286.56,283.88,284.22,284.22,787427,0.0,1.0
20,2020-08-21,284.48,285.27,281.07,284.47,284.47,906867,0.0,1.0
21,2020-08-20,279.8,284.84,279.02,283.46,283.46,581750,0.0,1.0
22,2020-08-19,286.12,288.36,281.54,281.69,281.69,578800,0.56,1.0
23,2020-08-18,283.51,286.99,282.64,285.49,284.9236,589921,0.0,1.0
24,2020-08-17,281.41,285.05,281.3735,283.62,283.0573,507739,0.0,1.0
25,2020-08-14,282.71,283.75,279.76,281.05,280.4924,428335,0.0,1.0
26,2020-08-13,278.44,282.87,277.81,281.97,281.4106,506067,0.0,1.0
27,2020-08-12,277.12,282.15,277.12,278.84,278.2868,579465,0.0,1.0
28,2020-08-11,272.76,276.61,268.185,274.53,273.9853,825669,0.0,1.0
29,2020-08-10,273.55,274.98,270.545,271.15,270.612,486679,0.0,1.0
30,2020-08-07,277.61,277.82,272.7,275.52,274.9734,548487,0.0,1.0
31,2020-08-06,276.55,279.34,274.4054,279.32,278.7658,574054,0.0,1.0
32,2020-08-05,275.91,278.63,274.32,277.62,277.0692,819915,0.0,1.0
33,2020-08-04,279.04,279.96,271.3201,276.0,275.4524,807124,0.0,1.0
34,2020-08-03,284.95,286.34,279.9,280.63,280.0732,546521,0.0,1.0
35,2020-07-31,285.38,285.38,276.72,281.3,280.7419,925639,0.0,1.0
36,2020-07-30,285.25,288.6,280.08,283.77,283.207,760746,0.0,1.0
37,2020-07-29,282.9,292.13,282.265,291.36,290.7819,695077,0.0,1.0
38,2020-07-28,289.19,289.19,282.085,282.66,282.0992,780892,0.0,1.0
39,2020-07-27,289.98,295.53,288.37,289.5,288.9256,943263,0.0,1.0
40,2020-07-24,288.05,290.96,284.36,289.68,289.1053,583597,0.0,1.0
41,2020-07-23,293.55,295.75,286.35,288.12,287.5484,535665,0.0,1.0
42,2020-07-22,290.35,293.9236,290.35,293.5,292.9177,575037,0.0,1.0
43,2020-07-21,296.11,296.11,289.99,290.88,290.3029,538600,0.0,1.0
44,2020-07-20,292.97,295.32,291.97,293.93,293.3468,446600,0.0,1.0
45,2020-07-17,291.09,292.82,288.75,292.51,291.9296,493100,0.0,1.0
46,2020-07-16,291.28,292.44,286.23,289.38,288.8059,484900,0.0,1.0
47,2020-07-15,296.16,296.36,290.15,293.52,292.9376,478400,0.0,1.0
48,2020-07-14,284.49,291.43,282.86,291.24,290.6622,543700,0.0,1.0
49,2020-07-13,294.76,296.41,284.34,285.76,285.193,558800,0.0,1.0
50,2020-07-10,293.57,294.27,290.58,292.92,292.3388,432000,0.0,1.0
51,2020-07-09,294.83,296.66,290.34,294.29,293.7061,610200,0.0,1.0
52,2020-07-08,287.24,294.39,287.24,294.24,293.6562,692600,0.0,1.0
53,2020-07-07,281.97,287.99,280.34,285.37,284.8038,679600,0.0,1.0
54,2020-07-06,282.2,287.31,282.07,283.65,283.0872,686300,0.0,1.0
55,2020-07-02,282.85,284.21,277.82,278.01,277.4584,489500,0.0,1.0
56,2020-07-01,274.63,280.13,273.97,278.39,277.8377,517300,0.0,1.0
57,2020-06-30,269.38,275.51,268.28,274.73,274.1849,1386600,0.0,1.0
58,2020-06-29,271.99,271.99,265.51,269.11,268.5761,665758,0.0,1.0
59,2020-06-26,272.98,275.18,268.27,268.98,268.4463,902400,0.0,1.0
60,2020-06-25,266.09,276.47,262.72,276.17,275.6221,642400,0.0,1.0
61,2020-06-24,274.0,274.76,264.31,265.53,265.0032,825600,0.0,1.0
62,2020-06-23,279.23,280.12,275.85,277.03,276.4804,405900,0.0,1.0
63,2020-06-22,274.88,276.95,272.69,276.57,276.0213,495200,0.0,1.0
