,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,56.04,56.15,55.24,55.85,55.85,6385021,0.0,1.0
1,2020-09-18,57.23,57.465,56.13,56.52,56.52,10463140,0.0,1.0
2,2020-09-17,57.44,57.66,56.66,57.21,57.21,8430763,0.0,1.0
3,2020-09-16,58.25,58.67,57.895,57.97,57.97,5677016,0.0,1.0
4,2020-09-15,58.25,58.32,57.915,58.09,58.09,5236483,0.0,1.0
5,2020-09-14,57.69,58.32,57.425,58.01,58.01,4612017,0.0,1.0
6,2020-09-11,57.3,57.74,56.91,57.55,57.55,6351280,0.0,1.0
7,2020-09-10,57.25,57.97,56.87,57.1,57.1,6721177,0.0,1.0
8,2020-09-09,56.7,57.9982,56.53,57.5,57.5,7099990,0.0,1.0
9,2020-09-08,57.36,57.88,56.12,56.39,56.39,8459539,0.0,1.0
10,2020-09-04,58.3465,58.3465,57.08,57.88,57.88,8867388,0.0,1.0
11,2020-09-03,59.03,59.72,57.42,57.83,57.83,9118594,0.0,1.0
12,2020-09-02,58.17,59.25,58.01,59.01,59.01,5296129,0.0,1.0
13,2020-09-01,58.4,58.43,57.592,58.2,58.2,5356180,0.0,1.0
14,2020-08-31,58.2,58.8,58.03,58.42,58.42,6261878,0.0,1.0
15,2020-08-28,58.0,58.355,57.51,58.31,58.31,3864999,0.0,1.0
16,2020-08-27,58.64,58.87,58.06,58.13,58.13,4473198,0.0,1.0
17,2020-08-26,57.85,58.4,57.54,58.36,58.36,4798116,0.0,1.0
18,2020-08-25,58.01,58.24,57.63,57.89,57.89,4781616,0.0,1.0
19,2020-08-24,57.44,58.0,57.39,57.98,57.98,4441074,0.0,1.0
20,2020-08-21,57.03,57.725,57.03,57.47,57.47,6411239,0.0,1.0
21,2020-08-20,56.4,57.27,56.251,57.24,57.24,5136969,0.0,1.0
22,2020-08-19,57.17,57.33,56.66,56.76,56.76,7431926,0.0,1.0
23,2020-08-18,56.58,57.34,56.425,57.27,57.27,7077638,0.0,1.0
24,2020-08-17,55.99,56.685,55.855,56.52,56.52,4856654,0.0,1.0
25,2020-08-14,56.09,56.42,55.87,56.12,56.12,3934053,0.0,1.0
26,2020-08-13,56.19,56.35,55.86,56.01,56.01,3731011,0.0,1.0
27,2020-08-12,55.05,56.41,55.03,56.03,56.03,6796764,0.0,1.0
