,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,104.44,105.19,102.9,104.35,104.35,3568635,0.0,1.0
1,2020-09-21,105.27,105.7,103.0862,104.8,104.8,4821365,0.0,1.0
2,2020-09-18,107.82,109.24,107.085,107.6,107.6,6265952,0.0,1.0
3,2020-09-17,107.24,107.89,105.92,107.81,107.81,3541857,0.0,1.0
4,2020-09-16,107.95,108.5561,107.31,107.49,107.49,3723898,0.0,1.0
5,2020-09-15,107.78,108.685,107.23,107.57,107.57,3293590,0.0,1.0
6,2020-09-14,105.67,107.64,105.51,106.97,106.97,4393610,0.0,1.0
7,2020-09-11,105.09,105.49,103.97,104.77,104.77,2836657,0.0,1.0
8,2020-09-10,106.8,107.14,104.43,104.78,104.78,3636952,0.0,1.0
9,2020-09-09,105.05,107.35,105.01,106.66,106.66,5549154,0.0,1.0
10,2020-09-08,105.0,105.5547,103.82,104.58,104.58,5090928,0.0,1.0
11,2020-09-04,106.51,107.75,104.23,105.74,105.74,5813149,0.0,1.0
12,2020-09-03,108.83,109.16,105.35,106.15,106.15,5028352,0.0,1.0
13,2020-09-02,107.56,109.15,107.14,108.78,108.78,4452172,0.0,1.0
14,2020-09-01,106.35,107.53,106.14,107.52,107.52,3705562,0.0,1.0
15,2020-08-31,107.7,108.72,107.15,107.47,107.47,4706252,0.0,1.0
16,2020-08-28,106.84,108.2,106.01,107.86,107.86,5699434,0.0,1.0
17,2020-08-27,104.45,107.195,104.25,106.86,106.86,6872669,0.0,1.0
18,2020-08-26,103.5,104.59,102.1,104.08,104.08,6126259,0.0,1.0
19,2020-08-25,104.9,105.88,102.2547,102.59,102.59,9155297,0.0,1.0
20,2020-08-24,99.82,101.29,99.38,100.13,100.13,5265404,0.0,1.0
21,2020-08-21,99.97,100.085,98.44,98.73,98.73,6734066,0.0,1.0
22,2020-08-20,100.19,100.707,99.88,100.28,100.28,3350597,0.0,1.0
23,2020-08-19,101.9,102.18,100.6,100.82,100.82,3353396,0.0,1.0
24,2020-08-18,102.42,102.83,101.46,101.56,101.56,4043941,0.0,1.0
25,2020-08-17,102.09,103.19,101.51,101.86,101.86,3683546,0.0,1.0
26,2020-08-14,101.04,102.04,100.33,100.71,100.71,2925739,0.0,1.0
27,2020-08-13,101.27,101.88,100.29,101.29,101.29,3715109,0.0,1.0
28,2020-08-12,102.1,102.75,100.97,102.09,102.09,3472357,0.0,1.0
29,2020-08-11,101.7,102.49,100.52,100.72,100.72,4464942,0.0,1.0
30,2020-08-10,100.18,100.545,99.57,100.38,100.38,5096413,0.0,1.0
31,2020-08-07,96.73,100.09,96.6,100.05,100.05,4477066,0.0,1.0
32,2020-08-06,96.82,97.71,96.305,96.73,96.73,5009009,0.0,1.0
33,2020-08-05,96.81,97.77,96.69,97.02,97.02,3651523,0.0,1.0
34,2020-08-04,96.9,97.58,95.97,96.29,96.29,4241664,0.0,1.0
35,2020-08-03,96.94,97.645,95.96,97.33,97.33,3708134,0.0,1.0
36,2020-07-31,96.42,96.55,94.635,96.48,96.48,5154028,0.0,1.0
37,2020-07-30,97.21,97.51,95.38,96.47,96.47,3829987,0.0,1.0
38,2020-07-29,96.83,99.4,96.45,98.72,98.72,7020200,0.0,1.0
39,2020-07-28,96.17,97.21,95.78,96.35,96.35,4325485,0.0,1.0
40,2020-07-27,96.31,97.25,95.67,96.43,96.43,3701883,0.0,1.0
41,2020-07-24,96.43,96.88,95.8,96.35,96.35,4071858,0.0,1.0
42,2020-07-23,97.61,97.61,96.18,96.57,96.57,3652568,0.0,1.0
43,2020-07-22,96.77,97.56,96.39,97.49,97.49,3618172,0.0,1.0
44,2020-07-21,96.52,98.0,96.21,96.81,96.81,3664530,0.0,1.0
45,2020-07-20,98.22,98.31,95.68,95.73,95.73,4080469,0.0,1.0
46,2020-07-17,96.24,98.96,96.11,98.58,98.58,5557700,0.0,1.0
47,2020-07-16,96.6,96.83,95.25,95.75,95.75,4123600,0.0,1.0
48,2020-07-15,95.61,98.22,95.61,97.16,97.16,5643500,0.0,1.0
49,2020-07-14,92.74,94.67,91.98,94.65,94.65,5420300,0.0,1.0
50,2020-07-13,91.31,94.67,91.04,92.77,92.77,7441800,0.0,1.0
51,2020-07-10,89.68,90.97,89.37,90.81,90.81,4933900,0.0,1.0
52,2020-07-09,91.44,91.79,89.22,90.13,90.13,4061100,0.0,1.0
53,2020-07-08,91.62,92.01,90.64,91.61,91.61,3955300,0.0,1.0
54,2020-07-07,92.07,93.09,91.45,91.67,91.67,4045600,0.0,1.0
55,2020-07-06,94.12,94.82,92.5,93.21,93.21,4366400,0.0,1.0
56,2020-07-02,93.31,94.42,92.97,93.16,93.16,3937800,0.0,1.0
57,2020-07-01,91.78,92.73,91.46,92.32,92.32,4332400,0.0,1.0
58,2020-06-30,90.2,92.17,89.01,91.7,91.7,5463500,0.0,1.0
59,2020-06-29,89.48,90.3,88.46,90.26,90.26,5240100,0.0,1.0
60,2020-06-26,89.0,89.6015,88.19,88.77,88.77,9108169,0.0,1.0
61,2020-06-25,88.2,89.08,87.68,88.86,88.86,5671065,0.58,1.0
62,2020-06-24,92.51,92.61,88.87,88.93,88.3533,10924713,0.0,1.0
63,2020-06-23,94.38,95.13,93.29,93.39,92.7844,5160152,0.0,1.0
64,2020-06-22,93.03,93.72,91.69,93.33,92.7248,5369884,0.0,1.0
65,2020-06-19,96.04,96.38,93.34,93.91,93.301,7084243,0.0,1.0
66,2020-06-18,94.74,95.57,93.95,94.43,93.8176,3692618,0.0,1.0
67,2020-06-17,95.65,96.49,95.0,95.48,94.8608,5360870,0.0,1.0
68,2020-06-16,96.5,96.9,94.63,95.55,94.9304,6500084,0.0,1.0
69,2020-06-15,91.37,94.0,90.68,93.62,93.0129,6025984,0.0,1.0
70,2020-06-12,93.85,95.3,91.75,93.21,92.6056,7333263,0.0,1.0
71,2020-06-11,95.85,95.92,90.79,90.87,90.2807,8828640,0.0,1.0
72,2020-06-10,99.21,99.67,97.15,97.55,96.9174,6096204,0.0,1.0
