,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,21.19,21.76,21.01,21.62,21.62,11677122,0.0,1.0
1,2020-09-21,21.23,21.48,20.57,21.09,21.09,15206027,0.0,1.0
2,2020-09-18,22.24,22.7,21.675,22.02,22.02,29475209,0.0,1.0
3,2020-09-17,22.5,22.88,21.96,22.52,22.52,16060205,0.0,1.0
4,2020-09-16,23.69,23.78,22.55,23.01,23.01,19784210,0.0,1.0
5,2020-09-15,23.08,24.245,22.89,23.74,23.74,17376901,0.0,1.0
6,2020-09-14,22.39,23.16,22.38,23.06,23.06,15286439,0.0,1.0
7,2020-09-11,23.07,23.1199,21.915,22.73,22.73,17238663,0.0,1.0
8,2020-09-10,23.5,24.13,22.82,22.84,22.84,17978627,0.0,1.0
9,2020-09-09,23.25,23.35,22.6,23.11,23.11,11791834,0.0025,1.0
10,2020-09-08,22.85,23.695,22.61,23.17,23.1675,16423019,0.0,1.0
11,2020-09-04,23.33,23.94,22.47,23.52,23.5175,17960536,0.0,1.0
12,2020-09-03,23.62,24.42,22.59,23.07,23.0675,20332933,0.0,1.0
13,2020-09-02,22.78,23.83,22.5,23.72,23.7174,15983882,0.0,1.0
14,2020-09-01,22.26,23.0147,21.86,22.77,22.7675,10703506,0.0,1.0
15,2020-08-31,23.63,23.65,22.5,22.5,22.4976,16378502,0.0,1.0
16,2020-08-28,23.37,24.365,22.97,23.86,23.8574,23232440,0.0,1.0
17,2020-08-27,22.16,23.43,22.13,22.81,22.8075,17222067,0.0,1.0
18,2020-08-26,22.13,22.18,21.7916,21.99,21.9876,8602156,0.0,1.0
19,2020-08-25,22.5,22.65,21.78,22.09,22.0876,11798633,0.0,1.0
20,2020-08-24,21.29,22.28,21.02,22.27,22.2676,16971984,0.0,1.0
21,2020-08-21,20.98,21.7,20.9501,21.16,21.1577,11687554,0.0,1.0
22,2020-08-20,20.59,21.0799,20.4,20.83,20.8277,8932439,0.0,1.0
23,2020-08-19,20.89,21.21,20.75,20.9,20.8977,8905855,0.0,1.0
24,2020-08-18,21.19,21.32,20.73,20.95,20.9477,13632526,0.0,1.0
25,2020-08-17,21.72,21.88,20.9216,21.38,21.3777,12888721,0.0,1.0
26,2020-08-14,21.17,21.85,20.96,21.81,21.8076,12499613,0.0,1.0
27,2020-08-13,20.87,21.68,20.72,21.34,21.3377,13891894,0.0,1.0
28,2020-08-12,21.94,21.95,20.69,21.13,21.1277,23002361,0.0,1.0
29,2020-08-11,22.42,22.48,21.19,21.5,21.4977,34395957,0.0,1.0
30,2020-08-10,22.48,23.79,20.88,21.65,21.6477,71219701,0.0,1.0
31,2020-08-07,18.29,19.39,18.25,19.03,19.0279,34572117,0.0,1.0
32,2020-08-06,16.69,18.6,16.56,18.46,18.458,35867707,0.0,1.0
33,2020-08-05,17.03,17.31,16.31,16.72,16.7182,18914230,0.0,1.0
34,2020-08-04,16.33,16.79,16.29,16.72,16.7182,27744689,0.0,1.0
35,2020-08-03,15.98,16.51,15.84,16.32,16.3182,16551950,0.0,1.0
36,2020-07-31,15.99,16.49,15.58,16.09,16.0883,31889053,0.0,1.0
37,2020-07-30,16.18,16.7,16.04,16.64,16.6382,26814530,0.0,1.0
38,2020-07-29,15.65,16.26,15.572,16.25,16.2482,21980463,0.0,1.0
39,2020-07-28,14.8,15.82,14.76,15.41,15.4083,21069070,0.0,1.0
40,2020-07-27,15.76,15.77,14.6499,14.96,14.9584,24905904,0.0,1.0
41,2020-07-24,15.58,15.94,15.47,15.79,15.7883,16267307,0.0,1.0
42,2020-07-23,16.1,16.165,15.52,15.89,15.8883,26347937,0.0,1.0
43,2020-07-22,16.4,16.83,16.26,16.33,16.3282,12567522,0.0,1.0
44,2020-07-21,16.55,16.92,16.34,16.69,16.6882,15686600,0.0,1.0
45,2020-07-20,16.69,16.93,16.05,16.33,16.3282,16152200,0.0,1.0
46,2020-07-17,17.61,17.7,16.62,16.81,16.8082,19047800,0.0,1.0
47,2020-07-16,17.84,18.08,17.47,17.6,17.5981,16594700,0.0,1.0
48,2020-07-15,17.12,18.29,16.82,18.2,18.198,30298400,0.0,1.0
49,2020-07-14,16.36,16.45,15.98,16.16,16.1583,18147600,0.0,1.0
50,2020-07-13,16.5,17.3,15.82,16.38,16.3782,32213900,0.0,1.0
51,2020-07-10,15.68,16.25,15.5,16.2,16.1982,17140600,0.0,1.0
52,2020-07-09,16.32,16.41,15.23,16.0,15.9983,20258300,0.0,1.0
53,2020-07-08,16.06,16.34,15.51,16.3,16.2982,17034700,0.0,1.0
54,2020-07-07,16.33,16.59,16.06,16.14,16.1383,14057800,0.0,1.0
55,2020-07-06,17.48,17.53,16.22,16.71,16.7082,19775900,0.0,1.0
56,2020-07-02,17.38,17.59,16.75,16.86,16.8582,17414100,0.0,1.0
57,2020-07-01,16.95,17.68,16.63,16.77,16.7682,31420800,0.0,1.0
58,2020-06-30,16.63,16.95,16.27,16.8,16.7982,18850900,0.0,1.0
59,2020-06-29,15.83,16.99,15.3222,16.82,16.8182,26425798,0.0,1.0
60,2020-06-26,16.5,16.79,15.59,15.72,15.7183,27652500,0.0,1.0
61,2020-06-25,16.19,17.05,16.07,16.7,16.6982,24652600,0.0,1.0
62,2020-06-24,18.04,18.1,16.66,16.93,16.9282,30565300,0.0,1.0
63,2020-06-23,18.06,18.5,17.77,18.46,18.458,15983100,0.0,1.0
64,2020-06-22,17.98,18.2,17.4,17.77,17.7681,20377200,0.0,1.0
65,2020-06-19,19.03,19.09,17.83,18.21,18.208,28606600,0.0,1.0
66,2020-06-18,18.46,18.99,18.3,18.58,18.578,24687700,0.0,1.0
67,2020-06-17,19.03,19.33,18.82,18.97,18.9679,18903000,0.0,1.0
