,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,434.33,443.71,434.33,443.0,443.0,296512,0.0,1.0
1,2020-09-18,446.84,449.4,437.89,438.66,438.66,381864,0.0,1.0
2,2020-09-17,458.03,458.03,444.22,447.49,447.49,260927,0.0,1.0
3,2020-09-16,468.85,472.71,461.36,461.92,461.92,175788,0.0,1.0
4,2020-09-15,463.91,465.53,461.64,464.06,464.06,188536,0.0,1.0
5,2020-09-14,457.93,465.41,457.89,461.85,461.85,267895,0.0,1.0
6,2020-09-11,455.08,459.8,448.57,453.07,453.07,166846,0.0,1.0
7,2020-09-10,462.08,467.64,450.68,451.53,451.53,191746,0.0,1.0
8,2020-09-09,457.18,463.745,450.41,458.67,458.67,209904,0.0,1.0
9,2020-09-08,449.34,455.0,441.12,449.62,449.62,357826,0.0,1.0
10,2020-09-04,469.09,470.11,451.02,454.45,454.45,247882,0.0,1.0
11,2020-09-03,489.23,489.61,467.6,471.23,471.23,211292,0.0,1.0
12,2020-09-02,489.44,499.2,487.53,494.09,494.09,234264,0.0,1.0
13,2020-09-01,489.51,491.07,486.45,490.42,490.42,144542,0.0,1.0
14,2020-08-31,484.64,492.015,484.38,485.94,485.94,278299,0.0,1.0
15,2020-08-28,501.6,501.6,482.99,484.37,484.37,158502,0.0,1.0
16,2020-08-27,495.3,506.77,494.38,496.2,496.2,132823,0.0,1.0
17,2020-08-26,487.28,505.0,484.42,499.41,499.41,182501,0.0,1.0
18,2020-08-25,486.45,487.03,479.5,484.49,484.49,132573,0.0,1.0
19,2020-08-24,499.86,501.12,486.7501,489.48,489.48,113092,0.0,1.0
20,2020-08-21,504.05,504.7,498.94,499.84,499.84,155184,0.0,1.0
21,2020-08-20,493.86,504.5,493.02,501.37,501.37,180038,0.0,1.0
22,2020-08-19,505.78,506.91,491.17,491.88,491.88,155988,0.0,1.0
23,2020-08-18,500.52,502.0,497.8,499.03,499.03,108455,0.0,1.0
24,2020-08-17,495.2,502.58,494.73,500.59,500.59,212608,0.0,1.0
25,2020-08-14,501.76,502.85,494.57,496.5,496.5,106599,0.0,1.0
26,2020-08-13,491.78,498.06,483.7,496.76,496.76,126197,0.0,1.0
27,2020-08-12,482.02,495.56,482.02,492.54,492.54,166072,0.0,1.0
28,2020-08-11,483.38,488.63,471.09,482.79,482.79,198845,0.0,1.0
29,2020-08-10,508.88,508.88,480.57,482.67,482.67,276548,0.0,1.0
30,2020-08-07,500.7,510.6,500.7,508.2,508.2,205394,0.0,1.0
31,2020-08-06,505.48,508.915,501.18,503.65,503.65,108728,0.0,1.0
32,2020-08-05,504.84,511.015,502.35,510.09,510.09,120579,0.0,1.0
33,2020-08-04,507.41,512.6,502.61,508.67,508.67,209326,0.6,1.0
34,2020-08-03,520.59,525.955,510.58,511.69,511.0871,153035,0.0,1.0
35,2020-07-31,518.08,518.995,505.56,516.7,516.0912,119102,0.0,1.0
36,2020-07-30,510.18,517.77,505.3156,516.55,515.9414,141206,0.0,1.0
37,2020-07-29,510.82,518.98,510.82,517.39,516.7804,99452,0.0,1.0
38,2020-07-28,517.86,518.02,502.68,509.6,508.9996,147374,0.0,1.0
39,2020-07-27,509.34,522.04,509.23,521.0,520.3862,168232,0.0,1.0
40,2020-07-24,508.75,512.0,501.02,505.81,505.2141,202938,0.0,1.0
41,2020-07-23,531.11,532.055,506.83,509.18,508.5801,243796,0.0,1.0
42,2020-07-22,510.0,536.815,510.0,527.11,526.489,334172,0.0,1.0
43,2020-07-21,534.08,536.05,531.39,533.45,532.8215,287200,0.0,1.0
44,2020-07-20,534.66,540.33,532.67,534.05,533.4208,440600,0.0,1.0
45,2020-07-17,535.26,536.26,529.95,532.54,531.9126,163700,0.0,1.0
46,2020-07-16,528.35,539.94,525.72,530.76,530.1347,161900,0.0,1.0
47,2020-07-15,525.84,535.3,520.03,531.86,531.2334,190600,0.0,1.0
48,2020-07-14,517.6,522.51,506.36,522.22,521.6047,241000,0.0,1.0
49,2020-07-13,541.32,542.85,515.18,517.57,516.9602,230600,0.0,1.0
50,2020-07-10,547.5,549.99,535.71,537.23,536.5971,170600,0.0,1.0
51,2020-07-09,547.04,561.68,544.0,548.61,547.9637,132800,0.0,1.0
52,2020-07-08,539.35,546.03,537.05,544.42,543.7786,216000,0.0,1.0
53,2020-07-07,517.47,537.88,516.7,533.16,532.5319,211900,0.0,1.0
54,2020-07-06,509.36,531.43,509.19,520.79,520.1764,235700,0.0,1.0
55,2020-07-02,512.88,512.88,500.47,501.88,501.2887,196000,0.0,1.0
56,2020-07-01,500.16,509.98,493.6,506.01,505.4138,295100,0.0,1.0
57,2020-06-30,506.72,506.72,493.77,500.92,500.3298,321500,0.0,1.0
58,2020-06-29,493.42,500.955,486.09,498.61,498.0226,186026,0.0,1.0
59,2020-06-26,505.6,510.0,485.04,489.83,489.2529,534400,0.0,1.0
60,2020-06-25,505.51,513.52,497.15,507.36,506.7623,233200,0.0,1.0
61,2020-06-24,519.15,522.47,503.42,505.19,504.5948,215700,0.0,1.0
62,2020-06-23,522.23,527.13,517.18,519.52,518.9079,176400,0.0,1.0
63,2020-06-22,521.71,524.98,512.85,519.07,518.4585,225000,0.0,1.0
64,2020-06-19,511.31,523.09,501.39,520.28,519.667,461100,0.0,1.0
65,2020-06-18,503.97,506.82,497.5,500.86,500.2699,183200,0.0,1.0
66,2020-06-17,503.0,515.84,501.84,508.99,508.3903,190700,0.0,1.0
67,2020-06-16,504.6,506.57,490.56,498.99,498.4021,145900,0.0,1.0
68,2020-06-15,488.33,502.28,485.9,501.13,500.5396,165800,0.0,1.0
69,2020-06-12,486.56,496.72,482.58,492.79,492.2094,187700,0.0,1.0
70,2020-06-11,509.07,509.07,481.5,482.06,481.4921,243700,0.0,1.0
71,2020-06-10,497.74,510.73,494.45,506.99,506.3927,235600,0.0,1.0
72,2020-06-09,497.42,506.86,488.23,499.93,499.341,240100,0.0,1.0
73,2020-06-08,487.08,491.38,478.03,488.37,487.7946,266300,0.0,1.0
