,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,219.06,220.342,215.74,218.31,218.31,1296742,0.0,1.0
1,2020-09-18,227.45,229.735,224.1,225.22,225.22,765840,0.0,1.0
2,2020-09-17,222.21,228.1,220.24,226.98,226.98,657131,0.0,1.0
3,2020-09-16,219.74,227.92,217.17,224.95,224.95,713453,0.0,1.0
4,2020-09-15,218.22,222.765,217.54,218.1,218.1,460478,0.0,1.0
5,2020-09-14,210.54,217.58,210.15,216.48,216.48,545790,0.0,1.0
6,2020-09-11,207.97,216.33,206.18,209.92,209.92,558574,0.0,1.0
7,2020-09-10,203.55,209.27,202.22,207.33,207.33,453827,0.0,1.0
8,2020-09-09,205.28,206.67,201.04,203.45,203.45,641694,0.0,1.0
9,2020-09-08,211.65,212.17,205.135,206.93,206.93,842993,0.0,1.0
10,2020-09-04,213.65,216.98,212.0,215.11,215.11,985020,0.0,1.0
11,2020-09-03,212.69,215.96,208.48,211.04,211.04,717877,0.0,1.0
12,2020-09-02,206.5,214.24,205.05,212.57,212.57,563223,0.0,1.0
13,2020-09-01,203.03,207.89,201.29,207.86,207.86,529502,0.0,1.0
14,2020-08-31,207.05,207.05,202.64,202.87,202.87,612021,0.57,1.0
15,2020-08-28,209.73,209.73,204.57,207.32,206.7391,579328,0.0,1.0
16,2020-08-27,209.36,212.55,208.48,209.08,208.4942,434168,0.0,1.0
17,2020-08-26,210.37,210.37,205.72,208.47,207.8859,468331,0.0,1.0
18,2020-08-25,212.14,213.19,208.28,211.3,210.708,321956,0.0,1.0
19,2020-08-24,211.85,214.19,210.43,212.04,211.4459,521927,0.0,1.0
20,2020-08-21,208.72,211.32,207.95,209.66,209.0726,377476,0.0,1.0
21,2020-08-20,210.0,211.0199,208.075,209.19,208.6039,385356,0.0,1.0
22,2020-08-19,215.72,216.3999,211.55,212.19,211.5955,425276,0.0,1.0
23,2020-08-18,217.6,218.125,213.81,214.89,214.2879,408798,0.0,1.0
24,2020-08-17,220.87,221.13,216.16,216.42,215.8136,673271,0.0,1.0
25,2020-08-14,218.71,221.55,217.21,219.33,218.7155,365943,0.0,1.0
26,2020-08-13,219.44,222.32,218.03,219.63,219.0146,411900,0.0,1.0
27,2020-08-12,226.45,226.9106,220.075,221.12,220.5005,607604,0.0,1.0
28,2020-08-11,228.52,230.425,224.74,225.55,224.9181,527527,0.0,1.0
29,2020-08-10,221.81,224.48,220.06,223.41,222.784,380701,0.0,1.0
30,2020-08-07,213.38,220.52,212.74,220.0,219.3836,387229,0.0,1.0
31,2020-08-06,212.13,217.36,212.13,213.08,212.483,502192,0.0,1.0
32,2020-08-05,213.82,219.95,212.8,216.85,216.2424,605414,0.0,1.0
33,2020-08-04,208.37,212.73,207.33,212.28,211.6852,456909,0.0,1.0
34,2020-08-03,208.94,209.32,204.3,208.08,207.497,546297,0.0,1.0
35,2020-07-31,208.43,209.15,201.71,207.18,206.5995,514645,0.0,1.0
36,2020-07-30,212.79,213.4565,207.68,209.2,208.6139,634659,0.0,1.0
37,2020-07-29,214.03,215.785,209.585,214.13,213.53,791074,0.0,1.0
38,2020-07-28,225.88,230.0,211.27,212.4,211.8049,1379546,0.0,1.0
39,2020-07-27,222.68,228.37,221.98,228.0,227.3612,802014,0.0,1.0
40,2020-07-24,223.99,225.35,219.89,223.65,223.0234,541235,0.0,1.0
41,2020-07-23,223.74,227.39,222.28,223.43,222.804,501526,0.0,1.0
42,2020-07-22,225.64,228.09,223.68,224.33,223.7015,693890,0.0,1.0
43,2020-07-21,221.92,227.18,221.92,225.69,225.0577,427700,0.0,1.0
44,2020-07-20,222.51,223.31,219.31,221.44,220.8196,419300,0.0,1.0
45,2020-07-17,225.3,226.37,222.42,223.55,222.9237,397900,0.0,1.0
46,2020-07-16,221.1,223.95,219.47,223.09,222.4649,366900,0.0,1.0
47,2020-07-15,218.97,223.66,218.66,222.04,221.4179,578700,0.0,1.0
48,2020-07-14,210.61,215.08,208.3,214.77,214.1683,387400,0.0,1.0
49,2020-07-13,212.06,216.64,209.97,210.41,209.8205,551600,0.0,1.0
50,2020-07-10,207.08,211.19,205.93,210.15,209.5612,370000,0.0,1.0
51,2020-07-09,208.53,209.75,202.51,206.71,206.1308,473700,0.0,1.0
52,2020-07-08,211.97,212.73,206.61,208.89,208.3047,572000,0.0,1.0
53,2020-07-07,213.87,214.89,211.25,212.57,211.9744,466700,0.0,1.0
54,2020-07-06,216.68,218.68,213.5,216.34,215.7339,691500,0.0,1.0
55,2020-07-02,213.74,217.4,209.47,213.49,212.8918,803800,0.0,1.0
56,2020-07-01,208.13,209.71,205.11,208.97,208.3845,585300,0.0,1.0
57,2020-06-30,205.61,207.8,202.44,206.57,205.9912,556800,0.0,1.0
58,2020-06-29,203.84,209.86,203.84,206.5,205.9214,433786,0.0,1.0
59,2020-06-26,205.14,205.14,198.81,202.79,202.2218,1007000,0.0,1.0
60,2020-06-25,205.1,206.87,202.24,205.83,205.2533,661900,0.0,1.0
61,2020-06-24,209.52,210.29,204.74,206.49,205.9115,629800,0.0,1.0
62,2020-06-23,212.74,213.33,209.33,211.96,211.3661,554000,0.0,1.0
63,2020-06-22,208.9,211.0,204.5,209.74,209.1523,467400,0.0,1.0
64,2020-06-19,214.79,217.8,209.82,211.02,210.4288,587400,0.0,1.0
65,2020-06-18,209.09,215.05,207.65,212.01,211.416,463300,0.0,1.0
66,2020-06-17,216.3,216.3,209.33,210.73,210.1396,506500,0.0,1.0
67,2020-06-16,218.73,221.75,208.5,214.13,213.53,1167300,0.0,1.0
