,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,39.0,39.42,38.49,38.55,38.55,8548823,0.0,1.0
1,2020-09-21,39.68,39.8,38.44,38.82,38.82,10251732,0.0,1.0
2,2020-09-18,40.88,41.04,39.49,39.84,39.84,22715164,0.0,1.0
3,2020-09-17,41.58,41.96,40.82,40.86,40.86,9770538,0.0,1.0
4,2020-09-16,42.88,42.91,41.74,41.76,41.76,9757946,0.0,1.0
5,2020-09-15,43.1,43.386,42.71,42.78,42.78,8482704,0.0,1.0
6,2020-09-14,42.9,43.36,42.625,43.0,43.0,10177728,0.86,1.0
7,2020-09-11,43.47,43.7201,43.155,43.59,42.7353,9282280,0.0,1.0
8,2020-09-10,43.89,43.89,43.27,43.35,42.5,7569900,0.0,1.0
9,2020-09-09,43.37,44.17,43.31,43.79,42.9314,16628810,0.0,1.0
10,2020-09-08,43.7,44.07,42.7,43.07,42.2255,8765350,0.0,1.0
11,2020-09-04,43.51,43.94,42.7775,43.49,42.6373,9460985,0.0,1.0
12,2020-09-03,43.95,44.78,43.005,43.29,42.4412,10906134,0.0,1.0
13,2020-09-02,43.07,43.9,42.9,43.76,42.902,8021225,0.0,1.0
14,2020-09-01,43.65,43.69,43.04,43.12,42.2745,7109059,0.0,1.0
15,2020-08-31,43.88,43.99,43.59,43.74,42.8824,7826319,0.0,1.0
16,2020-08-28,43.84,43.95,43.46,43.93,43.0686,5476527,0.0,1.0
17,2020-08-27,43.43,44.3699,43.3601,43.75,42.8922,6558344,0.0,1.0
18,2020-08-26,43.22,43.65,42.93,43.2,42.3529,11083317,0.0,1.0
19,2020-08-25,44.3,44.3,43.5,43.52,42.6667,6117894,0.0,1.0
20,2020-08-24,43.58,44.46,43.45,44.04,43.1765,7911250,0.0,1.0
21,2020-08-21,43.59,43.65,43.14,43.46,42.6078,4334466,0.0,1.0
22,2020-08-20,43.38,43.81,43.16,43.5,42.6471,6160512,0.0,1.0
23,2020-08-19,43.37,44.15,43.17,43.65,42.7941,6439363,0.0,1.0
24,2020-08-18,43.36,43.6,43.03,43.22,42.3725,5865101,0.0,1.0
25,2020-08-17,42.68,43.335,42.57,43.03,42.1863,6928380,0.0,1.0
26,2020-08-14,42.36,42.72,42.08,42.54,41.7059,4881704,0.0,1.0
27,2020-08-13,42.75,43.07,42.475,42.57,41.7353,5347383,0.0,1.0
