,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,30.8,31.34,30.25,31.25,31.25,10301612,0.0,1.0
1,2020-09-18,31.74,32.6131,31.64,32.28,32.28,12106866,0.0,1.0
2,2020-09-17,31.55,32.4035,31.445,32.12,32.12,8454644,0.0,1.0
3,2020-09-16,31.31,33.06,30.75,32.36,32.36,9230793,0.0,1.0
4,2020-09-15,31.96,32.47,30.95,31.09,31.09,5248746,0.0,1.0
5,2020-09-14,31.49,32.485,31.48,32.02,32.02,9334924,0.0,1.0
6,2020-09-11,30.31,31.6,30.14,31.25,31.25,8273128,0.0,1.0
7,2020-09-10,31.88,31.97,30.22,30.27,30.27,8887047,0.0,1.0
8,2020-09-09,32.72,32.75,31.74,31.77,31.77,7017530,0.0,1.0
9,2020-09-08,33.04,33.41,32.23,32.33,32.33,6645462,0.0,1.0
10,2020-09-04,34.54,34.7761,33.23,33.64,33.64,7278876,0.0,1.0
11,2020-09-03,35.1,35.83,33.94,34.26,34.26,6314756,0.0,1.0
12,2020-09-02,35.03,35.4276,34.59,35.01,35.01,5556916,0.0,1.0
13,2020-09-01,35.01,35.864,34.63,34.97,34.97,5048969,0.0,1.0
14,2020-08-31,37.01,37.07,35.46,35.46,35.46,5727749,0.0,1.0
15,2020-08-28,35.16,37.26,35.1,37.09,37.09,7090756,0.0,1.0
16,2020-08-27,35.44,35.485,34.4,34.98,34.98,7384674,0.0,1.0
17,2020-08-26,36.32,36.6048,35.3,35.33,35.33,5174679,0.0,1.0
18,2020-08-25,36.95,37.0,36.01,36.45,36.45,7086639,0.0,1.0
19,2020-08-24,35.8,37.02,35.48,36.81,36.81,7215672,0.0,1.0
20,2020-08-21,35.5,35.69,34.96,35.4,35.4,6586109,0.0,1.0
21,2020-08-20,36.58,36.69,35.62,35.62,35.62,8116993,0.0,1.0
22,2020-08-19,37.13,37.83,36.698,37.18,37.18,5357073,0.0,1.0
23,2020-08-18,37.93,38.22,37.23,37.24,37.24,5824248,0.58,1.0
24,2020-08-17,38.37,39.08,38.04,38.65,38.0573,5422030,0.0,1.0
25,2020-08-14,37.05,38.38,36.9011,38.35,37.7619,5768146,0.0,1.0
26,2020-08-13,37.5,38.0707,37.1196,37.26,36.6886,5040131,0.0,1.0
27,2020-08-12,38.03,38.45,37.3498,38.13,37.5452,8281882,0.0,1.0
28,2020-08-11,38.0,38.68,36.73,36.95,36.3833,7622225,0.0,1.0
29,2020-08-10,36.9,37.15,36.05,37.13,36.5606,9232585,0.0,1.0
30,2020-08-07,35.59,36.75,35.25,36.67,36.1076,5469009,0.0,1.0
31,2020-08-06,36.07,36.88,35.49,35.73,35.1821,7172451,0.0,1.0
32,2020-08-05,38.08,38.13,36.27,36.43,35.8713,14966681,0.0,1.0
33,2020-08-04,37.83,38.57,36.51,37.69,37.112,13185650,0.0,1.0
34,2020-08-03,38.4,40.04,37.42,38.57,37.9785,24368391,0.0,1.0
35,2020-07-31,37.6,38.55,37.24,38.2,37.6142,9998483,0.0,1.0
36,2020-07-30,39.0,39.27,37.63,38.08,37.496,5949246,0.0,1.0
37,2020-07-29,38.34,39.95,38.23,39.91,39.2979,5097263,0.0,1.0
38,2020-07-28,38.28,38.86,37.87,38.12,37.5354,4820988,0.0,1.0
39,2020-07-27,38.52,38.91,37.75,38.52,37.9293,3290339,0.0,1.0
40,2020-07-24,38.93,39.36,38.45,38.7,38.1065,3728635,0.0,1.0
41,2020-07-23,38.2,39.5,38.11,38.88,38.2837,4573766,0.0,1.0
42,2020-07-22,37.7,38.91,37.4,38.73,38.136,7550210,0.0,1.0
43,2020-07-21,37.29,38.76,37.16,38.54,37.949,6676400,0.0,1.0
44,2020-07-20,37.73,38.31,36.68,36.75,36.1864,7093400,0.0,1.0
45,2020-07-17,37.64,39.63,37.2,37.93,37.3483,10359900,0.0,1.0
46,2020-07-16,37.03,37.95,36.65,37.39,36.8166,3380600,0.0,1.0
47,2020-07-15,37.36,37.73,36.49,37.57,36.9938,4805100,0.0,1.0
48,2020-07-14,34.88,36.29,34.4,36.2,35.6448,8771300,0.0,1.0
49,2020-07-13,36.32,36.45,35.05,35.31,34.7685,8333300,0.0,1.0
50,2020-07-10,33.21,36.26,33.02,36.2,35.6448,9439700,0.0,1.0
51,2020-07-09,34.26,34.26,32.57,33.35,32.8386,10668600,0.0,1.0
52,2020-07-08,34.73,34.81,33.54,34.15,33.6263,12174100,0.0,1.0
53,2020-07-07,35.54,35.92,34.63,34.69,34.158,6752000,0.0,1.0
54,2020-07-06,36.89,37.12,35.32,36.36,35.8024,6860000,0.0,1.0
55,2020-07-02,36.43,37.42,35.93,36.07,35.5168,5712300,0.0,1.0
56,2020-07-01,37.6,38.06,35.46,35.68,35.1328,6026400,0.0,1.0
57,2020-06-30,35.12,37.66,34.69,37.38,36.8067,6542100,0.0,1.0
58,2020-06-29,35.54,36.4299,35.0037,35.4,34.8571,4630869,0.0,1.0
59,2020-06-26,36.39,39.05,34.66,35.37,34.8276,14780900,0.0,1.0
60,2020-06-25,35.58,37.03,35.12,36.69,36.1273,8370700,0.0,1.0
61,2020-06-24,37.84,38.16,35.73,36.23,35.6744,7993800,0.0,1.0
62,2020-06-23,39.05,39.7,38.67,38.8,38.205,5808200,0.0,1.0
63,2020-06-22,37.64,38.78,37.02,38.61,38.0179,10442600,0.0,1.0
64,2020-06-19,41.76,41.8,38.19,38.19,37.6043,25989000,0.0,1.0
65,2020-06-18,36.95,39.0,36.41,38.47,37.88,6219300,0.0,1.0
66,2020-06-17,38.5,38.64,37.12,37.13,36.5606,5495500,0.0,1.0
67,2020-06-16,40.11,40.48,37.62,38.64,38.0474,7253800,0.0,1.0
68,2020-06-15,34.8,38.2,34.61,37.84,37.2597,9565800,0.0,1.0
69,2020-06-12,37.63,37.9,35.33,36.62,36.0584,7687600,0.0,1.0
70,2020-06-11,35.9,37.88,35.17,35.33,34.7882,10531700,0.0,1.0
71,2020-06-10,39.81,40.8,39.13,39.19,38.589,7984800,0.0,1.0
72,2020-06-09,40.31,40.94,39.36,40.41,39.7903,8264500,0.0,1.0
73,2020-06-08,43.5,44.12,41.53,42.21,41.5627,14498100,0.0,1.0
74,2020-06-05,40.95,42.01,40.47,41.56,40.9226,10867700,0.0,1.0
75,2020-06-04,38.2,38.86,37.53,38.04,37.4566,9239300,0.0,1.0
76,2020-06-03,38.5,39.22,38.17,38.59,37.9982,9151200,0.0,1.0
77,2020-06-02,37.0,37.94,36.48,37.72,37.1415,7533100,0.0,1.0
78,2020-06-01,35.25,36.83,34.35,36.5,35.9402,7414300,0.0,1.0
79,2020-05-29,34.78,35.43,34.11,35.14,34.6011,11450400,0.0,1.0
80,2020-05-28,36.7,36.7,34.96,35.18,34.6405,6998100,0.0,1.0
81,2020-05-27,37.73,37.94,35.56,36.58,36.019,10878100,0.0,1.0
82,2020-05-26,37.09,37.48,36.61,36.83,36.2652,10481800,0.0,1.0
83,2020-05-22,35.58,35.84,34.44,35.57,35.0245,5682700,0.0,1.0
84,2020-05-21,36.81,37.42,35.36,35.69,35.1427,11427200,0.0,1.0
85,2020-05-20,35.35,37.28,35.15,36.82,36.2553,18678500,0.0,1.0
86,2020-05-19,34.6,35.38,33.08,34.5,33.9709,13057200,0.58,1.0
87,2020-05-18,32.36,35.31,31.98,34.95,33.845,13237600,0.0,1.0
88,2020-05-15,30.65,31.26,29.88,30.3,29.342,9469100,0.0,1.0
89,2020-05-14,30.03,31.65,28.82,30.89,29.9134,7941400,0.0,1.0
90,2020-05-13,31.69,32.55,30.28,31.05,30.0683,8503600,0.0,1.0
91,2020-05-12,33.01,33.48,32.21,32.21,31.1917,7025500,0.0,1.0
92,2020-05-11,32.5,33.09,32.01,32.7,31.6662,7232900,0.0,1.0
93,2020-05-08,31.64,33.33,31.08,33.03,31.9857,8064300,0.0,1.0
94,2020-05-07,30.51,31.45,30.04,30.78,29.8069,10622100,0.0,1.0
95,2020-05-06,31.19,31.73,29.51,29.53,28.5964,7794700,0.0,1.0
96,2020-05-05,34.3,34.4,30.75,31.14,30.1555,13474500,0.0,1.0
97,2020-05-04,28.54,31.57,28.52,31.53,30.5332,13776100,0.0,1.0
98,2020-05-01,30.3,30.79,28.89,29.24,28.3156,7456900,0.0,1.0
99,2020-04-30,33.1,33.91,31.21,32.08,31.0658,18487300,0.0,1.0
100,2020-04-29,29.8,33.32,29.51,33.04,31.9954,15179700,0.0,1.0
101,2020-04-28,27.22,28.62,26.46,28.43,27.5312,8460700,0.0,1.0
102,2020-04-27,25.99,26.58,25.04,26.45,25.6138,7702500,0.0,1.0
103,2020-04-24,26.26,26.68,25.4,25.76,24.9456,10757000,0.0,1.0
104,2020-04-23,25.45,26.89,25.17,25.94,25.1199,9947800,0.0,1.0
105,2020-04-22,24.9,25.3,24.09,24.69,23.9094,9894300,0.0,1.0
106,2020-04-21,24.18,25.08,23.04,23.72,22.9701,11871900,0.0,1.0
107,2020-04-20,23.44,25.91,22.75,24.85,24.0643,9923400,0.0,1.0
108,2020-04-17,22.61,25.5,22.42,25.45,24.6454,13646100,0.0,1.0
109,2020-04-16,24.01,24.11,21.9,21.95,21.256,11792600,0.0,1.0
110,2020-04-15,24.81,24.81,23.52,23.98,23.2219,8269100,0.0,1.0
111,2020-04-14,25.32,26.46,25.32,26.3,25.4685,11312400,0.0,1.0
112,2020-04-13,26.8,26.8,24.72,25.33,24.5292,11670100,0.0,1.0
113,2020-04-09,26.07,27.27,24.03,25.63,24.8197,15625800,0.0,1.0
114,2020-04-08,23.25,25.28,23.18,24.31,23.5414,18008600,0.0,1.0
115,2020-04-07,25.39,26.0,22.1,22.51,21.7983,14246900,0.0,1.0
116,2020-04-06,21.16,23.53,21.07,23.09,22.36,10180000,0.0,1.0
117,2020-04-03,22.4,22.51,18.27,20.06,19.4258,14114500,0.0,1.0
118,2020-04-02,22.19,24.8,20.94,21.22,20.5491,11990400,0.0,1.0
119,2020-04-01,21.93,22.69,20.65,20.87,20.2102,9305100,0.0,1.0
120,2020-03-31,25.53,25.64,22.69,23.62,22.8732,11631300,0.0,1.0
121,2020-03-30,22.83,24.7,21.5,24.33,23.5608,10263000,0.0,1.0
122,2020-03-27,22.05,23.93,20.6,23.15,22.4181,11426300,0.0,1.0
123,2020-03-26,22.25,24.86,22.08,23.14,22.4084,18506600,0.0,1.0
124,2020-03-25,18.25,22.33,16.57,21.11,20.4426,18300300,0.0,1.0
125,2020-03-24,17.99,18.77,16.83,17.5,16.9467,14391400,0.0,1.0
126,2020-03-23,18.71,18.82,16.5,16.62,16.0945,12971100,0.0,1.0
127,2020-03-20,17.61,19.86,16.43,18.95,18.3509,19580400,0.0,1.0
128,2020-03-19,17.01,17.77,15.26,16.72,16.1914,17581700,0.0,1.0
129,2020-03-18,18.6,19.1,15.58,16.75,16.2204,17497000,0.0,1.0
130,2020-03-17,20.83,21.75,18.46,20.3,19.6582,13424800,0.0,1.0
131,2020-03-16,20.52,23.75,19.99,20.29,19.6485,14482400,0.0,1.0
132,2020-03-13,25.84,26.29,22.71,24.92,24.1321,17766900,0.0,1.0
133,2020-03-12,28.17,28.17,22.5,22.89,22.1663,23939000,0.0,1.0
134,2020-03-11,33.11,34.14,29.43,31.36,30.3685,13535400,0.0,1.0
135,2020-03-10,36.08,36.71,33.04,34.52,33.4286,12222900,0.0,1.0
136,2020-03-09,31.89,37.25,30.78,33.82,32.7508,14834800,0.0,1.0
137,2020-03-06,40.14,40.85,38.05,39.15,37.9122,13937000,0.0,1.0
138,2020-03-05,42.7,42.79,39.63,41.21,39.9071,15767100,0.0,1.0
139,2020-03-04,46.1,46.25,44.81,45.88,44.4295,6923700,0.0,1.0
140,2020-03-03,47.53,48.25,44.81,45.17,43.7419,8506400,0.0,1.0
141,2020-03-02,47.89,48.21,45.69,47.73,46.221,11884700,0.0,1.0
142,2020-02-28,45.93,47.53,45.02,47.42,45.9208,14193700,0.0,1.0
143,2020-02-27,50.68,50.76,47.84,47.93,46.4147,13247500,0.0,1.0
144,2020-02-26,53.11,54.46,52.09,52.27,50.6174,6040700,0.0,1.0
145,2020-02-25,56.07,56.15,52.78,53.12,51.4406,8826300,0.0,1.0
146,2020-02-24,57.0,57.01,55.28,55.87,54.1036,10276800,0.0,1.0
147,2020-02-21,59.95,60.22,58.93,59.13,57.2606,6490700,0.0,1.0
148,2020-02-20,58.7,60.35,58.25,60.26,58.3548,13576300,0.0,1.0
149,2020-02-19,56.65,57.93,56.29,57.69,55.8661,7065100,0.0,1.0
150,2020-02-18,57.18,57.3,56.3,56.47,54.6847,5258000,0.58,1.0
151,2020-02-14,59.49,59.9,58.05,58.33,55.9116,6811500,0.0,1.0
152,2020-02-13,58.69,60.07,58.31,59.5,57.0331,6661100,0.0,1.0
153,2020-02-12,58.29,59.02,57.65,58.93,56.4867,8065000,0.0,1.0
154,2020-02-11,55.55,57.16,55.08,56.76,54.4067,6780700,0.0,1.0
155,2020-02-10,54.39,55.09,53.89,55.07,52.7867,4114100,0.0,1.0
156,2020-02-07,55.0,55.41,54.5,54.69,52.4225,5589000,0.0,1.0
157,2020-02-06,55.82,56.09,55.28,55.46,53.1606,3571700,0.0,1.0
158,2020-02-05,54.01,55.74,54.01,55.54,53.2373,6227700,0.0,1.0
159,2020-02-04,53.37,53.84,52.24,53.39,51.1764,7009000,0.0,1.0
160,2020-02-03,54.54,54.7,52.04,52.06,49.9015,7341400,0.0,1.0
161,2020-01-31,53.99,55.73,53.65,54.5,52.2404,9482400,0.0,1.0
162,2020-01-30,52.78,54.62,52.76,54.35,52.0966,5282600,0.0,1.0
163,2020-01-29,54.6,55.94,52.36,53.59,51.3681,9915000,0.0,1.0
164,2020-01-28,53.02,53.67,52.29,52.93,50.7355,5148700,0.0,1.0
165,2020-01-27,53.17,53.35,52.25,52.7,50.515,7797200,0.0,1.0
166,2020-01-24,55.14,55.28,53.96,54.49,52.2308,4607600,0.0,1.0
167,2020-01-23,55.48,55.84,53.95,55.33,53.036,5107000,0.0,1.0
168,2020-01-22,56.49,56.49,55.87,55.97,53.6494,4152000,0.0,1.0
169,2020-01-21,56.4,56.6,55.7,56.18,53.8507,6499800,0.0,1.0
170,2020-01-17,57.54,57.61,56.56,56.89,54.5313,6122600,0.0,1.0
171,2020-01-16,58.45,58.56,57.3,57.53,55.1447,7222300,0.0,1.0
172,2020-01-15,59.53,59.69,57.73,58.13,55.7199,7231300,0.0,1.0
