,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,83.1,83.57,82.2,82.94,82.94,7732833,0.0,1.0
1,2020-09-21,84.92,85.34,82.09,83.13,83.13,9967055,0.0,1.0
2,2020-09-18,85.57,86.3,84.94,85.81,85.81,11744659,0.0,1.0
3,2020-09-17,85.38,85.77,84.45,85.64,85.64,7719928,0.0,1.0
4,2020-09-16,84.5,86.095,84.5,85.57,85.57,9905007,0.0,1.0
5,2020-09-15,84.73,85.165,83.65,84.21,84.21,10330789,0.0,1.0
6,2020-09-14,84.2,85.095,83.73,84.16,84.16,8183210,0.61,1.0
7,2020-09-11,83.84,84.88,83.78,84.48,83.8721,6842757,0.0,1.0
8,2020-09-10,84.73,84.88,83.28,83.57,82.9686,6591165,0.0,1.0
9,2020-09-09,83.77,85.82,83.6627,84.88,84.2692,8456456,0.0,1.0
10,2020-09-08,85.94,85.94,83.0,83.33,82.7304,8679014,0.0,1.0
11,2020-09-04,85.55,86.89,84.254,85.24,84.6266,8931420,0.0,1.0
12,2020-09-03,87.69,87.8,84.94,85.49,84.8748,12389024,0.0,1.0
13,2020-09-02,84.48,87.21,84.27,86.93,86.3045,11041565,0.0,1.0
14,2020-09-01,85.35,85.8,83.92,84.43,83.8224,6486619,0.0,1.0
15,2020-08-31,85.6,85.93,85.14,85.27,84.6564,7566416,0.0,1.0
16,2020-08-28,85.88,85.88,84.9098,85.65,85.0337,5853145,0.0,1.0
17,2020-08-27,85.45,86.16,85.08,85.82,85.2024,6168751,0.0,1.0
18,2020-08-26,85.31,85.68,84.66,85.54,84.9245,7485169,0.0,1.0
19,2020-08-25,85.91,86.29,85.2,85.68,85.0635,9776744,0.0,1.0
20,2020-08-24,85.2,85.47,84.48,85.42,84.8053,7234978,0.0,1.0
21,2020-08-21,85.1,85.18,84.12,84.98,84.3685,6574964,0.0,1.0
22,2020-08-20,84.8,85.31,84.3855,85.03,84.4181,6088218,0.0,1.0
23,2020-08-19,84.56,85.71,84.56,85.03,84.4181,6580198,0.0,1.0
24,2020-08-18,84.89,85.01,83.77,84.56,83.9515,6251773,0.0,1.0
25,2020-08-17,84.28,85.18,84.01,84.76,84.1501,7975454,0.0,1.0
26,2020-08-14,83.38,84.43,83.17,83.48,82.8793,7051978,0.0,1.0
27,2020-08-13,82.13,83.63,82.0133,83.54,82.9389,7113849,0.0,1.0
28,2020-08-12,81.37,82.91,81.34,82.68,82.085,6962679,0.0,1.0
29,2020-08-11,81.75,81.87,80.63,80.91,80.3278,7287065,0.0,1.0
30,2020-08-10,81.01,81.21,80.3,80.91,80.3278,5517577,0.0,1.0
31,2020-08-07,80.79,81.02,80.03,81.02,80.437,6657998,0.0,1.0
32,2020-08-06,81.46,82.39,80.58,81.05,80.4668,6924188,0.0,1.0
33,2020-08-05,82.07,82.47,81.15,81.64,81.0525,6198438,0.0,1.0
34,2020-08-04,82.55,82.55,81.07,81.67,81.0823,6888062,0.0,1.0
35,2020-08-03,82.15,83.8,81.86,82.54,81.946,10118572,0.0,1.0
36,2020-07-31,80.89,81.68,79.15,80.24,79.6626,11726443,0.0,1.0
37,2020-07-30,78.73,79.28,77.63,78.99,78.4216,6824952,0.0,1.0
38,2020-07-29,79.25,79.74,78.74,79.35,78.779,6105298,0.0,1.0
39,2020-07-28,79.19,80.21,78.97,79.69,79.1166,8105844,0.0,1.0
40,2020-07-27,76.41,79.14,76.31,78.93,78.362,10456552,0.0,1.0
41,2020-07-24,77.85,77.99,76.36,77.1,76.5452,8653360,0.0,1.0
42,2020-07-23,79.15,79.2,77.51,78.06,77.4983,11029496,0.0,1.0
43,2020-07-22,79.32,79.755,78.02,78.78,78.2131,11795937,0.0,1.0
44,2020-07-21,79.72,80.12,78.79,78.89,78.3223,8626195,0.0,1.0
45,2020-07-20,79.87,80.2,79.07,79.41,78.8386,5183897,0.0,1.0
46,2020-07-17,79.72,80.25,79.31,79.87,79.2953,7815403,0.0,1.0
47,2020-07-16,79.78,79.81,78.75,79.4,78.8286,5582830,0.0,1.0
48,2020-07-15,79.24,79.97,78.84,79.44,78.8684,7354885,0.0,1.0
49,2020-07-14,77.54,78.61,77.36,78.25,77.6869,8054003,0.0,1.0
50,2020-07-13,77.0,78.58,76.73,77.35,76.7934,7742394,0.0,1.0
51,2020-07-10,76.75,77.35,76.4,76.73,76.1779,4924149,0.0,1.0
52,2020-07-09,77.94,78.35,76.04,76.69,76.1381,7599882,0.0,1.0
53,2020-07-08,78.63,78.96,77.48,77.92,77.3593,7835155,0.0,1.0
54,2020-07-07,79.0,79.68,78.59,78.72,78.1535,6637753,0.0,1.0
55,2020-07-06,79.24,80.02,78.9,79.58,79.0073,7686855,0.0,1.0
56,2020-07-02,78.57,79.31,78.22,78.78,78.2131,6513311,0.0,1.0
57,2020-07-01,77.43,78.94,77.12,78.12,77.5579,9496313,0.0,1.0
58,2020-06-30,76.75,77.66,76.2,77.33,76.7735,9483835,0.0,1.0
