,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,4.64,4.65,4.49,4.56,4.56,23009037,0.0,1.0
1,2020-09-18,4.6602,4.87,4.65,4.82,4.82,49201583,0.0,1.0
2,2020-09-17,4.48,4.7,4.465,4.68,4.68,22619995,0.0,1.0
3,2020-09-16,4.42,4.67,4.35,4.56,4.56,35222200,0.0,1.0
4,2020-09-15,4.4,4.4976,4.32,4.34,4.34,22956325,0.0,1.0
5,2020-09-14,4.47,4.4879,4.36,4.4,4.4,22333008,0.0,1.0
6,2020-09-11,4.39,4.48,4.34,4.47,4.47,30568174,0.0,1.0
7,2020-09-10,4.51,4.56,4.36,4.36,4.36,35742163,0.0,1.0
8,2020-09-09,4.56,4.56,4.41,4.54,4.54,27643914,0.0,1.0
9,2020-09-08,4.77,4.79,4.5,4.5,4.5,35070664,0.0,1.0
10,2020-09-04,5.03,5.11,4.85,4.93,4.93,30189233,0.0,1.0
11,2020-09-03,5.1,5.23,4.95,4.99,4.99,27732797,0.0,1.0
12,2020-09-02,5.27,5.32,5.1,5.12,5.12,24820900,0.0,1.0
13,2020-09-01,5.26,5.34,5.16,5.32,5.32,17461065,0.0,1.0
14,2020-08-31,5.39,5.4,5.24,5.28,5.28,24298754,0.0,1.0
15,2020-08-28,5.36,5.44,5.28,5.39,5.39,18881423,0.0,1.0
16,2020-08-27,5.37,5.38,5.22,5.36,5.36,19257373,0.0,1.0
17,2020-08-26,5.46,5.5,5.28,5.3,5.3,15400135,0.0,1.0
18,2020-08-25,5.53,5.59,5.37,5.49,5.49,17781848,0.0,1.0
19,2020-08-24,5.35,5.55,5.27,5.45,5.45,21120747,0.0,1.0
20,2020-08-21,5.46,5.47,5.25,5.27,5.27,27861279,0.0,1.0
21,2020-08-20,5.63,5.68,5.46,5.51,5.51,23007640,0.0,1.0
22,2020-08-19,5.9,5.92,5.7,5.73,5.73,24296108,0.0,1.0
23,2020-08-18,5.84,6.03,5.79,5.95,5.95,26614689,0.0,1.0
24,2020-08-17,6.02,6.05,5.81,5.92,5.92,21947783,0.0,1.0
25,2020-08-14,5.8,6.05,5.78,6.05,6.05,16328599,0.0,1.0
26,2020-08-13,5.93,6.02,5.81,5.89,5.89,16856163,0.0,1.0
27,2020-08-12,6.14,6.15,5.85,5.98,5.98,20526994,0.0,1.0
28,2020-08-11,6.21,6.36,5.91,5.94,5.94,28332668,0.0,1.0
29,2020-08-10,5.77,6.07,5.72,6.04,6.04,25702967,0.0,1.0
30,2020-08-07,5.62,5.75,5.455,5.74,5.74,28780715,0.0,1.0
