,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,48.24,48.59,46.925,47.63,47.63,11125494,0.0,1.0
1,2020-09-21,48.86,49.0899,47.51,48.36,48.36,12909933,0.0,1.0
2,2020-09-18,50.37,50.94,50.05,50.08,50.08,10743889,0.0,1.0
3,2020-09-17,50.39,50.925,49.98,50.25,50.25,7533674,0.0,1.0
4,2020-09-16,50.48,51.91,50.31,51.15,51.15,8699746,0.0,1.0
5,2020-09-15,51.16,51.335,50.27,50.39,50.39,7660121,0.0,1.0
6,2020-09-14,50.96,51.565,50.3,51.15,51.15,8812184,0.0,1.0
7,2020-09-11,50.36,50.945,50.055,50.35,50.35,8969704,0.0,1.0
8,2020-09-10,51.33,51.59,50.17,50.29,50.29,8609094,0.0,1.0
9,2020-09-09,50.59,51.63,50.43,51.06,51.06,8808475,0.0,1.0
10,2020-09-08,52.29,52.29,50.09,50.17,50.17,10946564,0.0,1.0
11,2020-09-04,53.44,53.76,51.755,52.71,52.71,9413215,0.0,1.0
12,2020-09-03,53.6,54.38,52.2,52.75,52.75,11029568,0.0,1.0
13,2020-09-02,52.61,53.47,52.465,53.25,53.25,7547103,0.0,1.0
14,2020-09-01,51.92,52.815,51.69,52.58,52.58,5568878,0.0,1.0
15,2020-08-31,52.89,52.89,52.25,52.26,52.26,8026556,0.0,1.0
16,2020-08-28,53.0,53.0,52.45,52.89,52.89,8743821,0.0,1.0
17,2020-08-27,51.76,52.865,51.68,52.61,52.61,8910127,0.0,1.0
18,2020-08-26,51.99,52.105,51.61,51.71,51.71,5920758,0.0,1.0
19,2020-08-25,52.81,52.89,51.85,52.05,52.05,8425547,0.0,1.0
20,2020-08-24,51.31,52.47,51.16,52.37,52.37,7728471,0.0,1.0
21,2020-08-21,50.59,51.42,50.5,51.1,51.1,6408525,0.0,1.0
22,2020-08-20,50.73,51.07,50.495,50.8,50.8,5186346,0.0,1.0
23,2020-08-19,51.19,52.03,51.14,51.37,51.37,5957612,0.0,1.0
24,2020-08-18,51.17,51.37,50.65,50.92,50.92,6449980,0.0,1.0
25,2020-08-17,52.2,52.3,51.09,51.28,51.28,7276644,0.0,1.0
26,2020-08-14,51.68,52.545,51.65,52.3,52.3,5782322,0.0,1.0
27,2020-08-13,51.93,52.46,51.71,52.18,52.18,5728684,0.0,1.0
28,2020-08-12,52.63,53.42,51.91,52.38,52.38,8950091,0.0,1.0
29,2020-08-11,51.64,52.87,51.565,51.78,51.78,11792644,0.0,1.0
30,2020-08-10,50.5,50.83,50.26,50.58,50.58,6518312,0.0,1.0
31,2020-08-07,49.21,50.47,49.08,50.35,50.35,6225854,0.0,1.0
32,2020-08-06,49.83,49.98,49.24,49.45,49.45,5701120,0.0,1.0
33,2020-08-05,49.59,49.96,49.44,49.77,49.77,6701327,0.0,1.0
34,2020-08-04,49.5,49.77,49.08,49.26,49.26,6351292,0.0,1.0
35,2020-08-03,49.22,49.905,48.72,49.46,49.46,9913058,0.0,1.0
36,2020-07-31,49.02,49.03,48.27,48.88,48.88,9664610,0.0,1.0
37,2020-07-30,49.36,49.36,48.55,48.95,48.95,9410093,0.35,1.0
38,2020-07-29,50.27,50.66,49.88,50.59,50.2308,8074269,0.0,1.0
39,2020-07-28,50.83,51.22,50.21,50.26,49.9032,7287935,0.0,1.0
40,2020-07-27,49.91,51.57,49.73,51.32,50.9557,12087057,0.0,1.0
41,2020-07-24,50.56,50.8,50.07,50.18,49.8238,6860824,0.0,1.0
42,2020-07-23,50.99,51.245,50.31,50.56,50.2011,13526984,0.0,1.0
43,2020-07-22,52.0,52.35,50.99,51.0,50.6379,13603995,0.0,1.0
44,2020-07-21,52.1,52.45,51.52,52.38,52.0081,11956500,0.0,1.0
45,2020-07-20,51.76,52.07,51.35,51.86,51.4918,10423600,0.0,1.0
46,2020-07-17,52.78,53.01,51.98,52.41,52.0379,16263800,0.0,1.0
47,2020-07-16,51.58,53.51,51.34,52.64,52.2663,25026800,0.0,1.0
48,2020-07-15,52.49,52.49,50.46,51.35,50.9854,17424200,0.0,1.0
49,2020-07-14,50.27,50.58,48.91,50.5,50.1415,16075600,0.0,1.0
50,2020-07-13,51.03,51.03,49.88,50.22,49.8635,14904000,0.0,1.0
51,2020-07-10,47.59,49.88,47.52,49.8,49.4465,13386000,0.0,1.0
52,2020-07-09,48.8,49.05,47.02,47.51,47.1727,9119900,0.0,1.0
53,2020-07-08,47.63,48.99,47.28,48.91,48.5628,12322200,0.0,1.0
54,2020-07-07,48.52,48.55,47.39,47.49,47.1528,8750700,0.0,1.0
