,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,353.08,353.08,343.56,351.24,351.24,536695,0.0,1.0
1,2020-09-21,340.82,351.96,339.595,351.73,351.73,614836,0.0,1.0
2,2020-09-18,340.66,348.11,340.66,344.96,344.96,1030620,0.0,1.0
3,2020-09-17,338.78,345.225,338.05,340.36,340.36,572863,0.0,1.0
4,2020-09-16,349.0,350.83,344.21,344.47,344.47,533226,0.0,1.0
5,2020-09-15,346.84,348.7701,344.575,346.0,346.0,486036,0.0,1.0
6,2020-09-14,344.11,347.12,339.39,342.37,342.37,713249,0.0,1.0
7,2020-09-11,345.8,348.02,337.35,339.25,339.25,529180,0.0,1.0
8,2020-09-10,349.98,353.11,342.13,342.53,342.53,360900,0.0,1.0
9,2020-09-09,346.19,352.15,342.78,348.69,348.69,431186,0.0,1.0
10,2020-09-08,338.79,346.22,336.935,339.64,339.64,437354,0.0,1.0
11,2020-09-04,360.01,362.0,338.285,348.18,348.18,544665,0.0,1.0
12,2020-09-03,375.56,375.81,351.61,360.46,360.46,573264,0.0,1.0
13,2020-09-02,379.59,382.01,376.5506,378.59,378.59,576659,0.0,1.0
14,2020-09-01,374.5,378.89,372.67,377.56,377.56,298164,0.0,1.0
15,2020-08-31,375.88,377.42,371.465,373.27,373.27,381743,0.0,1.0
16,2020-08-28,372.77,374.45,369.6,373.68,373.68,225522,0.0,1.0
17,2020-08-27,372.47,374.67,367.52,369.89,369.89,259658,0.0,1.0
18,2020-08-26,364.74,374.0,361.95,371.6,371.6,247419,0.0,1.0
19,2020-08-25,364.06,366.93,362.32,365.53,365.53,289936,0.0,1.0
20,2020-08-24,368.0,369.78,360.91,363.99,363.99,316485,0.0,1.0
21,2020-08-21,369.12,369.495,361.43,363.69,363.69,413842,0.0,1.0
22,2020-08-20,368.7,373.17,365.81,368.74,368.74,374510,0.0,1.0
23,2020-08-19,366.25,373.43,366.25,371.4,371.4,558150,0.0,1.0
24,2020-08-18,362.28,368.24,360.295,366.2,366.2,281067,0.0,1.0
25,2020-08-17,357.47,365.03,356.77,361.66,361.66,536305,0.0,1.0
26,2020-08-14,360.63,361.845,354.72,356.41,356.41,319311,0.0,1.0
27,2020-08-13,355.0,363.465,355.0,359.87,359.87,359727,0.78,1.0
28,2020-08-12,355.22,362.36,353.0127,354.77,354.0027,486368,0.0,1.0
29,2020-08-11,352.13,357.9,345.595,350.53,349.7719,688965,0.0,1.0
30,2020-08-10,361.24,361.808,353.01,354.31,353.5437,361363,0.0,1.0
31,2020-08-07,371.17,375.01,357.8881,362.37,361.5863,503689,0.0,1.0
32,2020-08-06,365.15,374.48,363.77,372.72,371.9139,652473,0.0,1.0
33,2020-08-05,364.25,365.6,360.28,364.58,363.7915,477632,0.0,1.0
34,2020-08-04,371.96,372.695,358.87,364.35,363.562,655247,0.0,1.0
35,2020-08-03,380.47,382.815,371.63,371.91,371.1056,398781,0.0,1.0
36,2020-07-31,377.61,379.95,368.85,375.98,375.1668,763989,0.0,1.0
37,2020-07-30,376.45,381.72,371.27,374.54,373.73,760088,0.0,1.0
38,2020-07-29,375.75,387.575,375.75,383.02,382.1916,526306,0.0,1.0
39,2020-07-28,394.76,397.51,372.54,376.25,375.4363,651359,0.0,1.0
40,2020-07-27,385.58,396.31,385.515,394.0,393.1479,305000,0.0,1.0
41,2020-07-24,384.0,387.08,378.6,385.65,384.8159,273441,0.0,1.0
42,2020-07-23,394.14,398.49,382.49,384.98,384.1474,370920,0.0,1.0
43,2020-07-22,386.97,394.1,386.83,390.12,389.2763,290969,0.0,1.0
44,2020-07-21,391.04,391.69,383.77,389.05,388.2086,376200,0.0,1.0
45,2020-07-20,380.34,389.75,380.34,389.02,388.1786,449100,0.0,1.0
46,2020-07-17,371.74,383.22,370.75,379.62,378.799,448700,0.0,1.0
47,2020-07-16,372.95,373.93,364.98,370.16,369.3594,320400,0.0,1.0
48,2020-07-15,373.08,377.84,369.36,376.25,375.4363,357600,0.0,1.0
49,2020-07-14,362.03,369.69,357.14,369.08,368.2818,356300,0.0,1.0
50,2020-07-13,374.63,380.62,362.46,363.87,363.083,441300,0.0,1.0
51,2020-07-10,375.43,377.52,367.07,370.95,370.1477,343900,0.0,1.0
52,2020-07-09,372.59,379.97,369.39,375.14,374.3287,793400,0.0,1.0
53,2020-07-08,357.83,370.87,357.83,370.71,369.9082,787200,0.0,1.0
54,2020-07-07,349.12,359.7,347.0,352.61,351.8474,592700,0.0,1.0
55,2020-07-06,347.0,352.86,345.17,351.21,350.4504,502200,0.0,1.0
56,2020-07-02,344.61,345.73,340.83,342.13,341.3901,360400,0.0,1.0
57,2020-07-01,335.17,343.8,329.83,340.93,340.1926,408200,0.0,1.0
58,2020-06-30,327.02,334.99,326.19,333.82,333.098,638900,0.0,1.0
59,2020-06-29,334.1,334.1,323.5,325.75,325.0455,360074,0.0,1.0
60,2020-06-26,340.22,341.28,330.11,332.2,331.4815,865400,0.0,1.0
61,2020-06-25,328.95,343.05,326.87,342.17,341.43,501400,0.0,1.0
62,2020-06-24,332.78,337.97,324.75,328.36,327.6498,503000,0.0,1.0
63,2020-06-23,341.8,341.8,334.31,334.82,334.0959,367900,0.0,1.0
64,2020-06-22,332.51,339.17,330.33,337.55,336.82,404000,0.0,1.0
65,2020-06-19,335.99,336.77,329.59,333.46,332.7388,906000,0.0,1.0
66,2020-06-18,324.98,330.48,324.07,330.07,329.3561,430800,0.0,1.0
67,2020-06-17,325.02,327.54,322.57,325.9,325.1952,385500,0.0,1.0
68,2020-06-16,330.5,331.0,315.38,322.9,322.2016,422500,0.0,1.0
69,2020-06-15,315.14,323.36,312.24,322.12,321.4233,434500,0.0,1.0
70,2020-06-12,310.1,322.22,310.1,320.95,320.2559,868000,0.0,1.0
71,2020-06-11,326.37,326.37,299.09,299.94,299.2913,723600,0.0,1.0
72,2020-06-10,327.95,335.4,326.38,331.27,330.5535,438500,0.0,1.0
73,2020-06-09,329.36,334.9,326.89,327.16,326.4524,464800,0.0,1.0
74,2020-06-08,325.7,331.7,320.76,331.09,330.3739,741900,0.0,1.0
75,2020-06-05,311.89,333.11,301.01,330.88,330.1644,1190000,0.0,1.0
76,2020-06-04,314.81,321.31,307.4,311.58,310.9061,726800,0.0,1.0
77,2020-06-03,323.92,326.46,313.88,318.58,317.891,853500,0.0,1.0
78,2020-06-02,336.24,336.28,323.48,324.92,324.2173,693300,0.0,1.0
79,2020-06-01,330.32,337.85,326.45,335.37,334.6447,468600,0.0,1.0
80,2020-05-29,324.97,331.51,322.84,328.85,328.1388,800500,0.0,1.0
81,2020-05-28,317.11,328.5,313.62,322.68,321.9821,928900,0.0,1.0
82,2020-05-27,328.53,330.01,311.08,315.17,314.4884,937500,0.0,1.0
83,2020-05-26,345.0,346.18,325.05,326.17,325.4646,626200,0.0,1.0
84,2020-05-22,334.24,339.09,331.02,337.97,337.2391,356500,0.0,1.0
85,2020-05-21,341.75,344.37,331.82,333.35,332.629,426200,0.0,1.0
86,2020-05-20,341.78,346.55,340.05,341.51,340.7714,469400,0.0,1.0
87,2020-05-19,345.99,351.8,337.47,337.53,336.8,518300,0.0,1.0
88,2020-05-18,348.59,353.2,346.71,346.75,346.0001,444100,0.0,1.0
