,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,96.42,97.4017,92.37,93.11,93.11,1132117,0.0,1.0
1,2020-09-21,98.79,100.465,95.4,96.62,96.62,996632,0.0,1.0
2,2020-09-18,101.74,103.45,101.33,101.78,101.78,1614069,0.0,1.0
3,2020-09-17,102.16,103.34,101.51,102.42,102.42,813699,0.0,1.0
4,2020-09-16,103.61,106.4,102.47,103.26,103.26,1447585,0.0,1.0
5,2020-09-15,104.16,104.24,101.7,103.76,103.76,732885,0.0,1.0
6,2020-09-14,102.62,105.84,102.22,104.24,104.24,864207,0.0,1.0
7,2020-09-11,99.61,101.85,99.0,101.66,101.66,969647,0.0,1.0
8,2020-09-10,101.84,102.52,98.75,99.05,99.05,1244639,0.0,1.0
9,2020-09-09,102.89,102.89,100.45,101.16,101.16,694958,0.0,1.0
10,2020-09-08,104.85,105.2655,101.6,102.26,102.26,855085,0.0,1.0
11,2020-09-04,106.35,107.59,103.25,105.9,105.9,656105,0.0,1.0
12,2020-09-03,105.22,108.5,102.93,103.73,103.73,795694,0.0,1.0
13,2020-09-02,103.08,104.89,102.08,104.12,104.12,692652,0.0,1.0
14,2020-09-01,102.26,104.93,101.71,103.56,103.56,540491,0.0,1.0
15,2020-08-31,105.24,105.29,103.16,103.26,103.26,703583,1.1,1.0
16,2020-08-28,106.99,107.0,105.37,106.4,105.2785,426133,0.0,1.0
17,2020-08-27,104.11,106.63,103.76,105.87,104.7541,564607,0.0,1.0
18,2020-08-26,105.34,105.34,103.66,103.74,102.6465,484780,0.0,1.0
19,2020-08-25,107.3,107.78,104.07,105.95,104.8332,659186,0.0,1.0
20,2020-08-24,102.6,105.89,102.4,105.83,104.7145,680650,0.0,1.0
21,2020-08-21,101.86,103.01,101.28,102.46,101.38,871276,0.0,1.0
22,2020-08-20,102.91,103.06,100.795,101.67,100.5984,788232,0.0,1.0
23,2020-08-19,105.04,106.06,104.04,104.43,103.3293,631248,0.0,1.0
24,2020-08-18,106.63,106.645,104.24,104.5,103.3985,554255,0.0,1.0
25,2020-08-17,108.28,108.49,106.35,106.56,105.4368,606888,0.0,1.0
26,2020-08-14,107.0,110.26,106.635,109.21,108.0589,405120,0.0,1.0
27,2020-08-13,109.0,109.48,107.25,107.83,106.6934,456878,0.0,1.0
28,2020-08-12,113.69,113.69,108.57,110.35,109.1869,484207,0.0,1.0
29,2020-08-11,111.77,114.13,110.73,111.35,110.1763,523162,0.0,1.0
30,2020-08-10,107.96,110.0,107.53,109.07,107.9204,615381,0.0,1.0
31,2020-08-07,102.91,107.66,102.78,107.61,106.4757,813074,0.0,1.0
32,2020-08-06,104.0,105.77,102.81,103.57,102.4783,736106,0.0,1.0
33,2020-08-05,105.0,105.86,103.79,104.6,103.4975,888498,0.0,1.0
34,2020-08-04,104.4,105.37,103.42,104.06,102.9632,499639,0.0,1.0
35,2020-08-03,105.93,106.235,103.09,105.03,103.9229,752215,0.0,1.0
36,2020-07-31,104.78,106.15,103.16,105.95,104.8332,1469718,0.0,1.0
37,2020-07-30,103.95,106.28,101.22,105.78,104.665,956536,0.0,1.0
38,2020-07-29,102.27,107.45,101.56,106.82,105.6941,988421,0.0,1.0
39,2020-07-28,102.33,103.54,102.12,102.84,101.756,574701,0.0,1.0
40,2020-07-27,104.29,104.33,101.55,102.9,101.8154,763740,0.0,1.0
41,2020-07-24,105.77,106.84,104.595,105.13,104.0219,741547,0.0,1.0
42,2020-07-23,103.47,107.215,101.04,105.0,103.8933,1227302,0.0,1.0
43,2020-07-22,103.02,104.3,102.38,103.44,102.3497,639642,0.0,1.0
44,2020-07-21,99.72,104.77,99.72,103.94,102.8444,993800,0.0,1.0
45,2020-07-20,98.64,99.68,98.03,98.79,97.7487,878800,0.0,1.0
46,2020-07-17,102.48,102.51,98.98,99.32,98.2731,498900,0.0,1.0
47,2020-07-16,101.42,104.67,100.95,102.52,101.4394,424900,0.0,1.0
48,2020-07-15,100.92,103.28,100.51,102.77,101.6868,748200,0.0,1.0
49,2020-07-14,101.11,102.46,97.77,98.33,97.2936,1020600,0.0,1.0
50,2020-07-13,101.7,103.3,98.91,101.64,100.5687,763900,0.0,1.0
51,2020-07-10,95.12,100.42,95.12,100.37,99.3121,859200,0.0,1.0
52,2020-07-09,98.52,99.1,94.43,95.21,94.2064,679500,0.0,1.0
53,2020-07-08,98.36,100.59,97.34,98.98,97.9367,799500,0.0,1.0
54,2020-07-07,100.64,101.11,98.13,98.54,97.5013,771300,0.0,1.0
