,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,14.75,14.95,14.485,14.82,14.82,5309119,0.0,1.0
1,2020-09-21,15.45,15.46,14.61,14.78,14.78,6813417,0.0,1.0
2,2020-09-18,16.16,16.19,15.61,15.73,15.73,6494076,0.0,1.0
3,2020-09-17,15.86,16.22,15.61,16.16,16.16,3781241,0.0,1.0
4,2020-09-16,16.02,16.22,15.4,16.0,16.0,8703895,0.0,1.0
5,2020-09-15,15.87,16.225,15.7,15.95,15.95,3920636,0.0,1.0
6,2020-09-14,15.46,15.835,15.285,15.77,15.77,4235022,0.0,1.0
7,2020-09-11,15.15,15.62,15.05,15.33,15.33,5763892,0.0,1.0
8,2020-09-10,15.27,15.435,15.02,15.06,15.06,6296339,0.0,1.0
9,2020-09-09,15.69,15.73,15.06,15.25,15.25,7411246,0.0,1.0
10,2020-09-08,15.81,15.91,15.53,15.635,15.635,5113455,0.0,1.0
11,2020-09-04,15.64,15.92,15.39,15.81,15.81,8787742,0.0,1.0
12,2020-09-03,15.76,16.205,15.35,15.46,15.46,5809821,0.0,1.0
13,2020-09-02,15.5,15.885,15.33,15.71,15.71,5851261,0.0,1.0
14,2020-09-01,16.3,16.34,15.42,15.5,15.5,9444070,0.0,1.0
15,2020-08-31,16.2,16.505,16.01,16.38,16.38,5010576,0.0,1.0
16,2020-08-28,16.16,16.26,16.055,16.23,16.23,2333849,0.0,1.0
17,2020-08-27,16.32,16.46,16.15,16.18,16.18,3048884,0.0,1.0
18,2020-08-26,15.97,16.47,15.88,16.31,16.31,4717527,0.0,1.0
19,2020-08-25,16.49,16.535,15.925,16.03,16.03,5186212,0.0,1.0
20,2020-08-24,16.0431,16.36,15.97,16.33,16.33,5328674,0.0,1.0
21,2020-08-21,16.36,16.44,15.85,15.99,15.99,5361453,0.0,1.0
22,2020-08-20,16.33,16.45,16.09,16.34,16.34,5958575,0.0,1.0
23,2020-08-19,16.23,17.03,16.16,16.51,16.51,6349164,0.0,1.0
24,2020-08-18,16.38,16.41,15.99,16.19,16.19,6874828,0.0,1.0
25,2020-08-17,16.23,16.515,15.95,16.25,16.25,3279348,0.0,1.0
26,2020-08-14,16.0,16.3,15.91,16.19,16.19,4435536,0.0,1.0
27,2020-08-13,16.23,16.55,16.045,16.14,16.14,4371822,0.0,1.0
28,2020-08-12,16.7,16.81,16.065,16.18,16.18,4920823,0.0,1.0
29,2020-08-11,16.6,16.86,16.56,16.64,16.64,5807733,0.0,1.0
30,2020-08-10,16.36,16.57,16.265,16.36,16.36,2160417,0.0,1.0
31,2020-08-07,16.21,16.42,16.005,16.355,16.355,3873739,0.0,1.0
32,2020-08-06,17.26,17.69,16.145,16.42,16.42,5959912,0.0,1.0
33,2020-08-05,16.42,17.13,16.23,16.9,16.9,6507184,0.0,1.0
34,2020-08-04,16.42,16.57,16.25,16.32,16.32,3744797,0.0,1.0
35,2020-08-03,16.16,16.47,15.95,16.36,16.36,3025381,0.0,1.0
36,2020-07-31,16.3,16.36,15.88,16.11,16.11,2986494,0.0,1.0
37,2020-07-30,16.69,16.69,16.295,16.33,16.33,3486934,0.0,1.0
38,2020-07-29,16.04,17.12,15.87,17.0,17.0,9217529,0.0,1.0
39,2020-07-28,16.47,16.59,16.13,16.16,16.16,2807786,0.0,1.0
40,2020-07-27,15.86,16.26,15.72,16.22,16.22,2764011,0.0,1.0
41,2020-07-24,16.02,16.12,15.76,15.96,15.96,4166471,0.0,1.0
42,2020-07-23,16.52,16.6,16.02,16.08,16.08,6387323,0.0,1.0
43,2020-07-22,16.42,16.8,16.41,16.57,16.57,3331881,0.0,1.0
44,2020-07-21,16.65,16.82,16.31,16.37,16.37,4691808,0.0,1.0
45,2020-07-20,16.75,16.9,16.53,16.65,16.65,3312564,0.0,1.0
46,2020-07-17,16.95,17.31,16.7,16.81,16.81,6276400,0.0,1.0
47,2020-07-16,16.87,17.01,16.67,16.84,16.84,3104000,0.0,1.0
48,2020-07-15,16.67,17.09,16.67,16.98,16.98,5459500,0.0,1.0
49,2020-07-14,16.31,16.54,16.09,16.52,16.52,4716100,0.0,1.0
50,2020-07-13,16.26,16.49,15.97,16.13,16.13,3986200,0.0,1.0
51,2020-07-10,15.83,16.14,15.67,16.1,16.1,2853100,0.0,1.0
52,2020-07-09,16.18,16.32,15.79,15.88,15.88,4956600,0.0,1.0
53,2020-07-08,16.07,16.26,15.88,16.19,16.19,6575600,0.0,1.0
54,2020-07-07,16.33,16.55,15.95,16.11,16.11,5491300,0.0,1.0
55,2020-07-06,16.1,16.57,15.98,16.54,16.54,6473100,0.0,1.0
56,2020-07-02,16.0,16.16,15.76,15.93,15.93,4869900,0.0,1.0
57,2020-07-01,16.02,16.27,15.7,15.76,15.76,4227700,0.0,1.0
58,2020-06-30,15.97,16.16,15.63,16.08,16.08,6161700,0.0,1.0
59,2020-06-29,16.0,16.2,15.78,15.99,15.99,2857000,0.0,1.0
60,2020-06-26,16.29,16.35,15.55,15.89,15.89,6905201,0.0,1.0
61,2020-06-25,15.9284,16.41,15.7633,16.38,16.38,4332654,0.0,1.0
62,2020-06-24,15.99,16.195,15.635,16.02,16.02,6633996,0.0,1.0
63,2020-06-23,16.53,16.63,16.04,16.24,16.24,5370353,0.0,1.0
64,2020-06-22,16.08,16.5,15.839,16.46,16.46,5221129,0.0,1.0
65,2020-06-19,16.62,16.77,15.99,16.16,16.16,9330503,0.0,1.0
66,2020-06-18,16.84,17.02,16.205,16.33,16.33,7755094,0.0,1.0
67,2020-06-17,16.53,16.6,15.89,15.97,15.97,5064133,0.0,1.0
68,2020-06-16,16.38,16.6,15.88,16.13,16.13,6876991,0.0,1.0
69,2020-06-15,15.45,16.12,15.29,15.9,15.9,7847489,0.0,1.0
70,2020-06-12,16.71,16.91,15.65,15.94,15.94,7872192,0.0,1.0
71,2020-06-11,16.81,16.995,16.235,16.3,16.3,11618002,0.0,1.0
72,2020-06-10,18.44,18.45,17.19,17.315,17.315,8972259,0.0,1.0
73,2020-06-09,19.0,19.02,18.22,18.45,18.45,8717451,0.0,1.0
74,2020-06-08,18.0,19.24,17.89,18.78,18.78,10387683,0.0,1.0
75,2020-06-05,18.15,18.715,17.54,17.67,17.67,7859913,0.0,1.0
76,2020-06-04,17.32,17.7,17.26,17.7,17.7,4732662,0.0,1.0
77,2020-06-03,17.53,17.75,17.46,17.54,17.54,3244719,0.0,1.0
78,2020-06-02,17.46,17.7,17.25,17.48,17.48,4638899,0.0,1.0
79,2020-06-01,17.01,17.83,17.0,17.62,17.62,6108480,0.0,1.0
80,2020-05-29,17.15,17.37,16.62,17.07,17.07,8152260,0.0,1.0
81,2020-05-28,17.29,17.49,16.85,17.25,17.25,6454049,0.0,1.0
82,2020-05-27,16.4,17.205,16.08,17.16,17.16,10340556,0.0,1.0
83,2020-05-26,15.9279,16.35,15.91,16.14,16.14,6236004,0.0,1.0
84,2020-05-22,15.97,15.97,15.44,15.64,15.64,4932233,0.0,1.0
85,2020-05-21,16.2,16.34,15.715,15.995,15.995,5290841,0.0,1.0
86,2020-05-20,16.22,16.35,16.09,16.315,16.315,4981003,0.0,1.0
87,2020-05-19,16.46,16.46,15.84,16.05,16.05,4154740,0.0,1.0
88,2020-05-18,15.6,16.605,15.59,16.46,16.46,8534659,0.0,1.0
89,2020-05-15,15.07,15.3,14.795,15.16,15.16,6983180,0.0,1.0
90,2020-05-14,15.38,15.5802,14.92,15.22,15.22,7518227,0.0,1.0
91,2020-05-13,16.4203,16.46,15.45,15.54,15.54,9179256,0.0,1.0
92,2020-05-12,17.09,17.48,16.16,16.23,16.23,6471492,0.0,1.0
93,2020-05-11,17.73,17.85,16.88,16.95,16.95,12830163,0.0,1.0
94,2020-05-08,17.68,17.78,17.3,17.57,17.57,7248115,0.0,1.0
95,2020-05-07,17.18,17.54,17.105,17.32,17.32,8203185,0.0,1.0
96,2020-05-06,16.66,17.18,16.555,16.865,16.865,7220044,0.0,1.0
97,2020-05-05,16.6035,17.11,16.53,16.57,16.57,7236879,0.0,1.0
98,2020-05-04,16.11,16.555,15.74,16.52,16.52,6109086,0.0,1.0
99,2020-05-01,16.66,16.665,15.875,16.125,16.125,3686903,0.0,1.0
100,2020-04-30,17.11,17.25,16.59,16.77,16.77,5824077,0.0,1.0
101,2020-04-29,16.7,17.54,16.56,17.32,17.32,5509668,0.0,1.0
