,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,8.99,9.185,8.91,8.93,8.93,10170316,0.0,1.0
1,2020-09-21,8.95,9.07,8.83,8.99,8.99,13074374,0.0,1.0
2,2020-09-18,9.24,9.39,9.175,9.28,9.28,16019596,0.0,1.0
3,2020-09-17,9.17,9.36,9.055,9.34,9.34,7426777,0.0,1.0
4,2020-09-16,9.05,9.46,9.0,9.32,9.32,11651003,0.0,1.0
5,2020-09-15,9.25,9.31,8.98,9.02,9.02,12001188,0.0,1.0
6,2020-09-14,9.21,9.26,9.1,9.13,9.13,11708481,0.0,1.0
7,2020-09-11,9.24,9.32,9.11,9.17,9.17,25659235,0.0,1.0
8,2020-09-10,9.59,9.62,9.21,9.24,9.24,31725601,0.0,1.0
9,2020-09-09,9.49,9.73,9.47,9.52,9.52,34346362,0.0,1.0
10,2020-09-08,9.5,9.59,9.225,9.4,9.4,50306350,0.0,1.0
11,2020-09-04,9.89,9.905,9.58,9.7,9.7,26126691,0.0,1.0
12,2020-09-03,9.89,10.0,9.66,9.72,9.72,41936506,0.0,1.0
13,2020-09-02,9.9,9.97,9.8,9.85,9.85,20200637,0.0,1.0
14,2020-09-01,9.88,9.91,9.78,9.85,9.85,12083501,0.0,1.0
15,2020-08-31,10.14,10.18,9.95,9.95,9.95,7403284,0.0,1.0
16,2020-08-28,10.14,10.19,10.0,10.18,10.18,4375726,0.0,1.0
17,2020-08-27,10.08,10.18,9.96,10.04,10.04,9738877,0.0,1.0
18,2020-08-26,10.2,10.205,10.04,10.06,10.06,4767577,0.0,1.0
19,2020-08-25,10.43,10.46,10.185,10.23,10.23,5104888,0.0,1.0
20,2020-08-24,10.13,10.39,10.07,10.37,10.37,10167996,0.0,1.0
21,2020-08-21,9.98,10.06,9.885,10.04,10.04,6857838,0.0,1.0
22,2020-08-20,10.02,10.15,9.985,10.01,10.01,5614978,0.0,1.0
23,2020-08-19,10.27,10.38,10.17,10.2,10.2,6986199,0.0,1.0
24,2020-08-18,10.54,10.58,10.29,10.31,10.31,9433915,0.0,1.0
25,2020-08-17,10.61,10.71,10.49,10.58,10.58,15408435,0.0,1.0
26,2020-08-14,10.47,10.62,10.44,10.615,10.615,11296166,0.0,1.0
27,2020-08-13,10.56,10.7856,10.52,10.57,10.57,5408173,0.0,1.0
28,2020-08-12,10.88,10.89,10.565,10.72,10.72,7080316,0.0,1.0
29,2020-08-11,10.99,11.07,10.59,10.65,10.65,7988623,0.0,1.0
