,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,122.11,123.35,120.26,123.32,123.32,781125,0.0,1.0
1,2020-09-21,120.31,122.83,119.69,122.05,122.05,909925,0.0,1.0
2,2020-09-18,125.0,125.49,121.79,122.45,122.45,1240479,0.0,1.0
3,2020-09-17,125.44,125.44,123.59,124.44,124.44,869596,0.0,1.0
4,2020-09-16,128.1,129.86,127.14,127.3,127.3,542021,0.0,1.0
5,2020-09-15,128.01,128.89,127.29,128.16,128.16,374122,0.0,1.0
6,2020-09-14,126.23,128.15,126.23,126.99,126.99,796040,0.0,1.0
7,2020-09-11,126.08,126.8,124.74,125.7,125.7,551901,0.0,1.0
8,2020-09-10,129.06,129.06,124.72,124.91,124.91,808299,0.49,1.0
9,2020-09-09,128.21,129.92,127.01,129.19,128.6852,654787,0.0,1.0
10,2020-09-08,128.81,129.48,126.18,126.44,125.9459,980679,0.0,1.0
11,2020-09-04,134.1,134.14,128.6,130.29,129.7809,742773,0.0,1.0
12,2020-09-03,137.81,137.81,131.89,133.26,132.7393,842398,0.0,1.0
13,2020-09-02,135.32,137.94,135.0,137.28,136.7436,761069,0.0,1.0
14,2020-09-01,134.64,134.84,133.29,134.82,134.2932,508680,0.0,1.0
15,2020-08-31,132.53,135.11,132.131,134.42,133.8948,1381994,0.0,1.0
16,2020-08-28,132.62,132.62,131.43,131.84,131.3248,428314,0.0,1.0
17,2020-08-27,133.04,133.28,131.82,131.85,131.3348,508565,0.0,1.0
18,2020-08-26,130.41,133.58,130.21,132.54,132.0221,645840,0.0,1.0
19,2020-08-25,131.645,132.04,129.75,130.1,129.5916,496757,0.0,1.0
20,2020-08-24,130.29,131.69,129.6901,131.58,131.0659,692390,0.0,1.0
21,2020-08-21,130.38,130.66,129.24,129.92,129.4123,479886,0.0,1.0
22,2020-08-20,129.46,131.47,129.46,130.46,129.9502,517943,0.0,1.0
