,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,275.0,276.69,271.565,276.2,276.2,1889923,0.0,1.0
1,2020-09-18,278.97,281.99,275.84,276.92,276.92,3596593,0.0,1.0
2,2020-09-17,278.0,280.27,275.81,279.52,279.52,2346406,0.0,1.0
3,2020-09-16,284.77,286.95,279.13,280.35,280.35,4876674,0.0,1.0
4,2020-09-15,295.65,299.2999,291.15,295.7,295.7,2706933,0.0,1.0
5,2020-09-14,279.55,283.99,278.4324,281.92,281.92,979062,0.0,1.0
6,2020-09-11,278.17,279.19,275.45,278.15,278.15,983203,0.0,1.0
7,2020-09-10,281.06,281.99,276.4336,276.91,276.91,1090748,0.0,1.0
8,2020-09-09,280.0,286.82,279.84,282.37,282.37,1195447,0.0,1.0
9,2020-09-08,277.74,280.83,275.3,277.91,277.91,1789575,0.0,1.0
10,2020-09-04,283.18,286.0,272.79,277.32,277.32,1811853,0.0,1.0
11,2020-09-03,288.55,291.09,277.95,280.59,280.59,1964227,0.0,1.0
12,2020-09-02,277.46,289.7,275.67,288.26,288.26,2438555,0.0,1.0
13,2020-09-01,279.02,279.515,274.05,277.13,277.13,1432709,0.0,1.0
14,2020-08-31,279.36,283.65,278.68,279.17,279.17,1503408,0.0,1.0
15,2020-08-28,279.58,279.97,277.24,279.55,279.55,1154632,0.0,1.0
16,2020-08-27,278.0,280.48,276.6,278.88,278.88,1138967,1.4,1.0
17,2020-08-26,280.13,281.41,278.16,279.0,277.6064,1309997,0.0,1.0
18,2020-08-25,283.6,283.645,279.14,281.31,279.9049,1013055,0.0,1.0
19,2020-08-24,283.0,283.12,280.26,282.63,281.2183,887436,0.0,1.0
20,2020-08-21,282.66,283.04,280.45,282.41,280.9994,1421589,0.0,1.0
21,2020-08-20,280.78,283.7616,280.56,282.11,280.7009,907762,0.0,1.0
22,2020-08-19,284.23,284.255,281.82,282.34,280.9297,1370432,0.0,1.0
23,2020-08-18,282.72,285.17,282.2,283.05,281.6362,1191180,0.0,1.0
24,2020-08-17,282.06,285.07,280.33,282.99,281.5765,1089026,0.0,1.0
25,2020-08-14,284.01,284.14,280.02,280.5,279.0989,1228246,0.0,1.0
26,2020-08-13,283.03,285.46,282.63,284.4,282.9794,920008,0.0,1.0
27,2020-08-12,279.26,285.97,278.7,284.59,283.1685,1531073,0.0,1.0
28,2020-08-11,283.98,284.58,276.44,277.79,276.4024,1706638,0.0,1.0
29,2020-08-10,288.29,289.115,282.93,283.64,282.2232,1810010,0.0,1.0
30,2020-08-07,282.84,289.41,282.495,287.78,286.3425,1092251,0.0,1.0
31,2020-08-06,283.03,284.77,281.11,282.81,281.3974,1146988,0.0,1.0
32,2020-08-05,285.22,286.0,281.96,283.78,282.3625,1667745,0.0,1.0
33,2020-08-04,278.71,285.23,277.4,285.05,283.6262,2285656,0.0,1.0
34,2020-08-03,281.14,281.86,276.43,277.59,276.2034,2156216,0.0,1.0
35,2020-07-31,280.92,282.82,275.89,280.7,279.2979,2007601,0.0,1.0
36,2020-07-30,280.14,282.44,279.14,282.34,280.9297,1058856,0.0,1.0
37,2020-07-29,280.24,284.86,279.84,281.44,280.0342,1345428,0.0,1.0
38,2020-07-28,277.2,283.285,276.63,280.04,278.6412,1636904,0.0,1.0
39,2020-07-27,281.0,281.6095,276.1,277.63,276.2432,2227457,0.0,1.0
40,2020-07-24,282.88,285.63,278.0138,280.25,278.8501,1929067,0.0,1.0
41,2020-07-23,280.0,284.33,279.11,280.97,279.5666,2037720,0.0,1.0
42,2020-07-22,276.47,282.4,274.5135,280.42,279.0193,1592375,0.0,1.0
43,2020-07-21,273.92,279.57,273.76,276.33,274.9497,1489600,0.0,1.0
44,2020-07-20,275.5,277.88,273.25,274.33,272.9597,1592200,0.0,1.0
45,2020-07-17,270.06,277.46,268.93,275.38,274.0045,3115400,0.0,1.0
46,2020-07-16,259.85,269.8,258.75,268.38,267.0394,2535500,0.0,1.0
47,2020-07-15,264.58,266.42,258.81,259.0,257.7063,2111200,0.0,1.0
48,2020-07-14,256.24,264.69,255.86,262.55,261.2386,3038600,0.0,1.0
49,2020-07-13,258.99,262.41,255.39,256.24,254.9601,2400200,0.0,1.0
50,2020-07-10,252.18,261.29,251.77,259.6,258.3033,2519800,0.0,1.0
