,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,63.4,64.29,62.72,63.67,63.67,9673571,0.0,1.0
1,2020-09-18,66.21,66.79,64.54,64.71,64.71,12537395,0.0,1.0
2,2020-09-17,66.15,66.59,65.38,66.32,66.32,6656620,0.0,1.0
3,2020-09-16,67.84,68.44,67.225,67.29,67.29,5526964,0.0,1.0
4,2020-09-15,68.0,68.57,67.05,67.55,67.55,4301790,0.0,1.0
5,2020-09-14,66.65,67.58,66.54,67.38,67.38,5007904,0.0,1.0
6,2020-09-11,67.12,67.63,65.81,66.22,66.22,4065090,0.0,1.0
7,2020-09-10,68.67,68.849,66.37,66.49,66.49,4837708,0.0,1.0
8,2020-09-09,66.17,68.42,66.16,68.17,68.17,5519342,0.25,1.0
9,2020-09-08,64.38,66.925,63.425,65.77,65.5297,6152397,0.0,1.0
10,2020-09-04,65.66,65.82,63.35,65.35,65.1112,6969446,0.0,1.0
11,2020-09-03,66.86,67.05,64.76,66.13,65.8884,7148243,0.0,1.0
12,2020-09-02,66.0,67.55,64.77,67.53,67.2833,7384225,0.0,1.0
13,2020-09-01,68.49,68.55,65.86,67.02,66.7751,6145484,0.0,1.0
14,2020-08-31,66.98,68.22,66.68,67.28,67.0342,6040618,0.0,1.0
15,2020-08-28,65.78,67.09,65.28,66.71,66.4662,4472896,0.0,1.0
16,2020-08-27,66.79,66.79,63.71,64.76,64.5234,4858076,0.0,1.0
17,2020-08-26,64.16,65.77,63.97,65.67,65.43,4141448,0.0,1.0
18,2020-08-25,65.03,65.1,63.26,64.86,64.623,4179754,0.0,1.0
19,2020-08-24,66.45,66.51,64.78,65.2,64.9618,4546862,0.0,1.0
20,2020-08-21,66.74,66.74,65.22,65.57,65.3304,5430209,0.0,1.0
21,2020-08-20,65.98,67.53,65.73,67.23,66.9843,4623175,0.0,1.0
22,2020-08-19,67.18,68.255,65.39,65.98,65.7389,6093671,0.0,1.0
23,2020-08-18,69.8,69.81,66.7566,67.7,67.4526,5309230,0.0,1.0
24,2020-08-17,66.12,68.37,65.56,68.35,68.1003,8404307,0.0,1.0
25,2020-08-14,64.22,64.53,63.36,63.85,63.6167,3869244,0.0,1.0
26,2020-08-13,64.03,64.71,63.34,64.11,63.8757,5629406,0.0,1.0
27,2020-08-12,64.47,64.63,62.685,62.99,62.7598,8273214,0.0,1.0
28,2020-08-11,64.59,64.94,62.65,62.87,62.6403,11407200,0.0,1.0
29,2020-08-10,69.25,70.4,67.51,67.89,67.6419,5607054,0.0,1.0
30,2020-08-07,69.02,69.49,68.36,68.91,68.6582,6067999,0.0,1.0
31,2020-08-06,71.19,71.34,69.35,70.11,69.8538,6786530,0.0,1.0
32,2020-08-05,71.76,72.22,69.78,70.37,70.1129,7682251,0.0,1.0
33,2020-08-04,68.37,70.45,67.3,70.25,69.9933,7627111,0.0,1.0
34,2020-08-03,69.2,69.4,67.49,68.15,67.901,6140288,0.0,1.0
35,2020-07-31,66.61,69.22,65.76,69.2,68.9471,8989396,0.0,1.0
36,2020-07-30,66.21,67.86,64.53,65.66,65.4201,7179225,0.0,1.0
37,2020-07-29,68.78,68.84,66.85,67.89,67.6419,7333890,0.0,1.0
38,2020-07-28,67.89,69.23,67.23,68.59,68.3394,6533364,0.0,1.0
39,2020-07-27,68.69,70.3,68.09,69.04,68.7877,12918319,0.0,1.0
40,2020-07-24,66.26,66.8,65.85,66.75,66.5061,6951011,0.0,1.0
41,2020-07-23,65.7,67.08,64.635,65.77,65.5297,9992817,0.0,1.0
42,2020-07-22,64.72,65.55,63.97,65.47,65.2308,7099405,0.0,1.0
43,2020-07-21,65.0,65.45,63.86,64.29,64.0551,7196000,0.0,1.0
44,2020-07-20,63.48,64.44,63.21,64.19,63.9555,7338500,0.0,1.0
45,2020-07-17,62.08,63.16,61.77,62.92,62.6901,6962700,0.0,1.0
46,2020-07-16,61.81,62.61,61.21,61.55,61.3251,6165200,0.0,1.0
47,2020-07-15,61.65,62.18,60.41,62.14,61.9129,5705300,0.0,1.0
48,2020-07-14,59.37,61.8,59.05,61.77,61.5443,6881600,0.0,1.0
49,2020-07-13,62.57,62.73,59.46,59.54,59.3224,8324400,0.0,1.0
50,2020-07-10,62.63,63.05,61.62,61.88,61.6539,6189000,0.0,1.0
51,2020-07-09,64.27,64.54,61.56,62.73,62.5008,8702200,0.0,1.0
52,2020-07-08,63.79,64.24,62.7,63.43,63.1982,10902300,0.0,1.0
53,2020-07-07,60.86,62.64,60.84,62.47,62.2417,9097300,0.0,1.0
54,2020-07-06,61.85,62.31,60.5,61.18,60.9565,8335700,0.0,1.0
55,2020-07-02,60.89,61.99,60.22,60.96,60.7373,8075700,0.0,1.0
56,2020-07-01,61.77,61.77,59.6,61.36,61.1358,10870900,0.0,1.0
57,2020-06-30,59.57,61.97,59.18,61.74,61.5144,9284100,0.0,1.0
58,2020-06-29,59.48,59.95,58.66,59.54,59.3224,7236440,0.0,1.0
59,2020-06-26,58.39,60.09,57.69,59.34,59.1232,18586600,0.0,1.0
60,2020-06-25,58.47,58.71,57.47,58.59,58.3759,6045600,0.0,1.0
61,2020-06-24,58.73,59.55,57.77,58.41,58.1966,8164900,0.0,1.0
62,2020-06-23,59.57,59.9,58.67,58.91,58.6947,12777600,0.0,1.0
63,2020-06-22,58.34,59.89,57.81,58.22,58.0073,14243300,0.0,1.0
64,2020-06-19,56.51,57.4,55.77,56.92,56.712,19096800,0.0,1.0
65,2020-06-18,55.62,56.63,55.24,55.53,55.3271,9728800,0.0,1.0
66,2020-06-17,56.27,56.94,55.23,55.58,55.3769,10072300,0.0,1.0
67,2020-06-16,56.9,57.57,55.51,55.95,55.7456,10933300,0.0,1.0
68,2020-06-15,54.09,57.14,53.16,56.85,56.6423,12170800,0.0,1.0
69,2020-06-12,56.88,56.99,55.12,55.45,55.2474,8706500,0.0,1.0
70,2020-06-11,59.15,59.88,54.99,56.04,55.8352,15915100,0.0,1.0
71,2020-06-10,58.25,58.86,55.77,58.73,58.5154,12081200,0.0,1.0
72,2020-06-09,57.11,57.45,55.73,57.17,56.9611,11910600,0.0,1.0
73,2020-06-08,54.39,55.64,53.5,55.54,55.3371,9502300,0.0,1.0
74,2020-06-05,53.96,54.98,52.33,54.76,54.5599,13454200,0.0,1.0
75,2020-06-04,57.0,57.66,55.41,55.9,55.6957,10132800,0.0,1.0
76,2020-06-03,56.89,57.65,55.16,56.02,55.8153,11839500,0.25,1.0
77,2020-06-02,60.9,60.91,57.95,58.47,57.9975,7525700,0.0,1.0
78,2020-06-01,58.95,60.51,58.81,60.49,60.0012,8050300,0.0,1.0
79,2020-05-29,60.0,60.3,58.39,58.47,57.9975,23792900,0.0,1.0
80,2020-05-28,60.14,60.38,57.94,58.72,58.2455,8497400,0.0,1.0
81,2020-05-27,57.11,58.74,55.75,58.73,58.2554,14701700,0.0,1.0
82,2020-05-26,61.73,61.75,59.0,59.21,58.7316,11325300,0.0,1.0
83,2020-05-22,64.34,64.98,62.78,63.05,62.5405,4513000,0.0,1.0
84,2020-05-21,65.0,65.04,62.3,63.48,62.967,7481000,0.0,1.0
85,2020-05-20,67.38,67.75,65.51,65.72,65.1889,7607900,0.0,1.0
86,2020-05-19,66.62,69.13,66.35,67.38,66.8355,7241600,0.0,1.0
87,2020-05-18,68.14,68.77,65.88,66.26,65.7246,8210800,0.0,1.0
88,2020-05-15,67.96,68.47,67.0,67.9,67.3513,7419300,0.0,1.0
89,2020-05-14,64.17,67.1,64.08,66.64,66.1015,8611300,0.0,1.0
90,2020-05-13,63.34,64.5,62.58,63.89,63.3737,6876200,0.0,1.0
91,2020-05-12,63.2,64.47,62.35,62.48,61.9751,5181700,0.0,1.0
92,2020-05-11,64.07,64.81,61.83,62.95,62.4413,5997300,0.0,1.0
93,2020-05-08,64.98,66.06,64.07,64.55,64.0284,6370900,0.0,1.0
94,2020-05-07,63.34,65.37,62.72,64.56,64.0383,7032400,0.0,1.0
95,2020-05-06,64.02,64.93,62.27,62.43,61.9255,7239500,0.0,1.0
96,2020-05-05,62.69,65.06,61.33,64.91,64.3855,7367400,0.0,1.0
97,2020-05-04,62.1,63.13,61.21,62.74,62.233,8285100,0.0,1.0
98,2020-05-01,58.65,61.31,58.21,60.99,60.4972,6214100,0.0,1.0
99,2020-04-30,61.25,62.31,59.36,59.48,58.9994,6981800,0.0,1.0
100,2020-04-29,62.01,62.8,60.92,62.35,61.8462,7349200,0.0,1.0
101,2020-04-28,61.58,63.24,60.93,62.67,62.1636,6062200,0.0,1.0
102,2020-04-27,63.26,63.68,60.86,62.61,62.1041,5424400,0.0,1.0
103,2020-04-24,63.55,63.88,61.76,63.11,62.6,6972400,0.0,1.0
104,2020-04-23,62.64,64.65,62.21,62.44,61.9355,7648300,0.0,1.0
105,2020-04-22,60.95,62.15,60.5,61.73,61.2312,8482400,0.0,1.0
106,2020-04-21,58.49,60.04,57.64,59.27,58.7911,8977800,0.0,1.0
107,2020-04-20,59.13,60.22,58.5,59.54,59.0589,8867500,0.0,1.0
108,2020-04-17,57.08,59.44,57.08,59.23,58.7514,10473200,0.0,1.0
109,2020-04-16,57.85,60.0,57.85,59.9,59.416,7570800,0.0,1.0
110,2020-04-15,58.54,59.7,57.06,58.22,57.7496,8304200,0.0,1.0
111,2020-04-14,60.08,61.53,58.81,59.89,59.4061,11337500,0.0,1.0
112,2020-04-13,57.22,60.46,56.33,59.77,59.287,11329700,0.0,1.0
113,2020-04-09,51.13,57.7,51.13,57.31,56.8469,15206700,0.0,1.0
114,2020-04-08,49.79,50.78,49.36,50.53,50.1217,5422000,0.0,1.0
115,2020-04-07,50.07,51.41,49.36,49.96,49.5563,7001900,0.0,1.0
116,2020-04-06,48.43,51.14,48.43,50.11,49.7051,11003900,0.0,1.0
117,2020-04-03,48.27,49.6,47.07,47.15,46.769,7800400,0.0,1.0
118,2020-04-02,47.07,49.75,46.56,48.23,47.8403,9184000,0.0,1.0
119,2020-04-01,45.04,47.29,44.78,46.47,46.0945,8534100,0.0,1.0
120,2020-03-31,45.68,47.7,44.59,45.28,44.9141,10537400,0.0,1.0
121,2020-03-30,46.4,48.8,45.64,46.36,45.9854,8988400,0.0,1.0
122,2020-03-27,47.26,48.89,45.71,46.35,45.9755,8734900,0.0,1.0
123,2020-03-26,48.19,50.29,46.92,48.28,47.8899,10892400,0.0,1.0
124,2020-03-25,47.15,48.95,45.27,47.54,47.1559,11293700,0.0,1.0
125,2020-03-24,45.12,48.3,43.61,47.5,47.1162,11861300,0.0,1.0
126,2020-03-23,41.44,43.94,40.39,41.66,41.3234,11250200,0.0,1.0
127,2020-03-20,42.35,43.02,39.15,40.56,40.2323,11641500,0.0,1.0
128,2020-03-19,41.44,46.36,37.13,41.74,41.4027,10520200,0.0,1.0
129,2020-03-18,44.48,46.87,40.01,41.57,41.2341,12221100,0.0,1.0
130,2020-03-17,40.6,46.47,40.58,45.8,45.4299,13940500,0.0,1.0
131,2020-03-16,34.38,43.19,33.0,40.73,40.4009,17769500,0.0,1.0
132,2020-03-13,45.91,46.2,39.39,39.5,39.1808,17784400,0.0,1.0
133,2020-03-12,41.34,47.85,39.53,44.44,44.0809,14944800,0.0,1.0
134,2020-03-11,47.46,48.3,44.86,46.02,45.6481,11533000,0.0,1.0
135,2020-03-10,48.55,48.91,46.37,48.38,47.9891,13334700,0.0,1.0
136,2020-03-09,50.0,50.58,47.75,47.78,47.3939,12440500,0.0,1.0
