,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,327.32,333.46,326.91,332.8,332.8,651761,0.0,1.0
1,2020-09-21,337.93,338.56,324.41,325.89,325.89,715106,0.0,1.0
2,2020-09-18,341.16,345.89,341.16,341.5,341.5,689911,0.0,1.0
3,2020-09-17,341.13,345.47,338.08,343.84,343.84,361278,0.0,1.0
4,2020-09-16,337.25,346.885,335.74,343.47,343.47,750229,0.0,1.0
5,2020-09-15,337.55,339.95,334.73,338.02,338.02,523496,0.0,1.0
6,2020-09-14,340.75,341.66,337.655,338.45,338.45,552857,0.0,1.0
7,2020-09-11,333.06,340.17,331.7,338.88,338.88,489346,0.0,1.0
8,2020-09-10,339.77,341.04,329.41,330.02,330.02,558353,0.0,1.0
9,2020-09-09,342.68,342.76,336.66,339.41,339.41,608760,0.0,1.0
10,2020-09-08,339.89,339.89,334.21,334.56,334.56,661759,0.0,1.0
11,2020-09-04,343.99,347.06,337.34,339.03,339.03,584383,0.0,1.0
12,2020-09-03,350.65,352.12,339.92,342.23,342.23,791969,0.0,1.0
13,2020-09-02,338.82,350.25,338.02,348.36,348.36,660838,0.0,1.0
14,2020-09-01,340.16,342.87,337.11,340.38,340.38,538787,0.0,1.0
15,2020-08-31,343.2,344.46,341.57,342.61,342.61,557965,0.0,1.0
16,2020-08-28,347.78,348.55,342.27,344.75,344.75,513503,1.45,1.0
17,2020-08-27,343.46,349.23,342.06,348.99,347.5283,669269,0.0,1.0
18,2020-08-26,341.5,342.88,338.0223,341.41,339.9801,607246,0.0,1.0
19,2020-08-25,345.0,345.07,341.45,343.0,341.5634,454612,0.0,1.0
20,2020-08-24,338.7,344.51,338.41,344.42,342.9775,416752,0.0,1.0
21,2020-08-21,337.3,339.125,336.44,337.86,336.4449,440786,0.0,1.0
22,2020-08-20,337.58,338.44,336.03,336.67,335.2599,338626,0.0,1.0
23,2020-08-19,337.0,340.32,336.2,337.91,336.4947,488044,0.0,1.0
24,2020-08-18,339.72,339.915,337.27,337.6,336.186,499013,0.0,1.0
25,2020-08-17,341.77,344.0,338.52,339.76,338.337,628020,0.0,1.0
26,2020-08-14,337.28,343.84,336.86,342.06,340.6273,396518,0.0,1.0
27,2020-08-13,336.79,340.82,335.46,338.62,337.2017,493043,0.0,1.0
28,2020-08-12,343.18,343.986,337.5508,339.4,337.9785,636809,0.0,1.0
29,2020-08-11,339.19,345.41,338.455,341.85,340.4182,1527055,0.0,1.0
30,2020-08-10,330.36,336.27,330.36,335.73,334.3239,1015974,0.0,1.0
31,2020-08-07,326.83,332.0,325.48,329.27,327.8909,1470286,0.0,1.0
32,2020-08-06,327.99,329.65,325.45,326.34,324.9732,720301,0.0,1.0
33,2020-08-05,325.92,330.93,325.01,329.71,328.3291,566418,0.0,1.0
34,2020-08-04,324.6,325.29,320.86,325.01,323.6488,538368,0.0,1.0
35,2020-08-03,324.58,326.19,321.83,323.59,322.2347,603093,0.0,1.0
36,2020-07-31,326.01,326.58,318.2,325.01,323.6488,1161532,0.0,1.0
37,2020-07-30,314.0,329.46,313.01,326.01,324.6446,1493821,0.0,1.0
38,2020-07-29,316.14,316.69,310.53,315.26,313.9396,1299493,0.0,1.0
39,2020-07-28,307.91,317.94,307.91,312.87,311.5596,709739,0.0,1.0
40,2020-07-27,311.01,311.72,305.88,308.02,306.7299,575836,0.0,1.0
41,2020-07-24,314.78,318.785,310.26,312.69,311.3804,686941,0.0,1.0
42,2020-07-23,316.0,318.72,311.69,313.06,311.7488,694253,0.0,1.0
43,2020-07-22,306.59,316.39,306.01,316.0,314.6765,942147,0.0,1.0
44,2020-07-21,306.33,309.13,302.39,308.19,306.8992,1007400,0.0,1.0
45,2020-07-20,306.75,306.76,301.25,301.49,300.2273,921800,0.0,1.0
46,2020-07-17,305.85,307.69,303.57,306.84,305.5549,1544800,0.0,1.0
47,2020-07-16,299.47,305.98,296.5,303.65,302.3782,1162900,0.0,1.0
48,2020-07-15,300.12,303.93,298.0,300.76,299.5003,1196300,0.0,1.0
49,2020-07-14,291.27,295.85,287.52,295.55,294.3121,1180200,0.0,1.0
50,2020-07-13,294.42,296.57,290.29,292.35,291.1255,1043600,0.0,1.0
51,2020-07-10,287.17,294.22,286.81,292.0,290.777,1504700,0.0,1.0
52,2020-07-09,299.63,300.31,285.49,285.95,284.7523,1729500,0.0,1.0
53,2020-07-08,304.0,306.55,298.77,301.1,299.8389,908100,0.0,1.0
54,2020-07-07,310.13,312.5,303.65,304.47,303.1948,741000,0.0,1.0
55,2020-07-06,313.05,313.5,308.76,312.4,311.0916,739200,0.0,1.0
56,2020-07-02,311.13,313.24,308.62,309.97,308.6717,629700,0.0,1.0
57,2020-07-01,308.87,311.14,306.5,308.14,306.8494,737900,0.0,1.0
58,2020-06-30,308.67,309.22,304.4,307.44,306.1523,772900,0.0,1.0
59,2020-06-29,304.82,309.02,303.33,309.02,307.7257,734128,0.0,1.0
60,2020-06-26,300.68,306.08,298.93,301.86,300.5957,1286500,0.0,1.0
61,2020-06-25,300.37,302.54,294.0,301.75,300.4862,1285600,0.0,1.0
62,2020-06-24,304.61,305.3,299.25,301.91,300.6455,1217000,0.0,1.0
63,2020-06-23,316.85,317.0,306.79,307.1,305.8138,979900,0.0,1.0
64,2020-06-22,311.93,315.6,309.58,315.56,314.2383,838100,0.0,1.0
65,2020-06-19,322.0,322.57,312.38,312.66,311.3505,1242500,0.0,1.0
66,2020-06-18,319.65,321.49,316.1,317.83,316.4988,741700,0.0,1.0
67,2020-06-17,323.81,327.26,320.57,322.29,320.9401,613200,0.0,1.0
68,2020-06-16,324.47,329.47,317.76,324.74,323.3799,1069500,0.0,1.0
69,2020-06-15,310.75,316.02,308.55,313.62,312.3065,1194300,0.0,1.0
70,2020-06-12,328.7,328.7,313.08,317.68,316.3495,817800,0.0,1.0
71,2020-06-11,330.0,336.73,320.82,320.99,319.6456,965900,0.0,1.0
72,2020-06-10,341.24,344.08,338.46,341.25,339.8207,606200,0.0,1.0
73,2020-06-09,346.88,346.88,340.99,342.53,341.0954,1039200,0.0,1.0
74,2020-06-08,341.58,349.27,341.48,348.79,347.3292,661500,0.0,1.0
75,2020-06-05,343.25,346.59,339.69,342.1,340.6672,1259700,0.0,1.0
76,2020-06-04,336.55,340.94,334.15,335.74,334.3338,689900,0.0,1.0
77,2020-06-03,329.77,336.69,327.58,335.96,334.5529,1628800,0.0,1.0
78,2020-06-02,332.37,333.82,325.05,327.06,325.6902,1451400,0.0,1.0
79,2020-06-01,335.63,342.12,330.25,330.67,329.285,1232400,0.0,1.0
80,2020-05-29,339.84,340.74,334.4,335.2,333.7961,1118800,1.45,1.0
81,2020-05-28,346.41,348.78,342.31,342.73,339.8245,728200,0.0,1.0
82,2020-05-27,328.0,343.5,326.2,342.98,340.0724,934600,0.0,1.0
83,2020-05-26,333.21,333.35,323.47,324.19,321.4417,1217700,0.0,1.0
84,2020-05-22,328.95,328.95,323.44,325.91,323.1471,723900,0.0,1.0
85,2020-05-21,320.59,329.53,319.75,328.11,325.3285,733400,0.0,1.0
86,2020-05-20,331.95,331.95,319.71,320.4,317.6838,899000,0.0,1.0
87,2020-05-19,330.83,335.19,326.67,327.03,324.2576,564000,0.0,1.0
88,2020-05-18,330.18,333.84,322.57,331.17,328.3625,934400,0.0,1.0
89,2020-05-15,311.31,324.1,310.25,321.63,318.9034,1672600,0.0,1.0
90,2020-05-14,318.26,318.3,307.33,311.93,309.2856,1121800,0.0,1.0
91,2020-05-13,324.44,325.81,317.81,320.46,317.7433,690600,0.0,1.0
92,2020-05-12,328.88,332.53,325.39,325.51,322.7505,1098300,0.0,1.0
93,2020-05-11,326.1,329.56,324.76,327.47,324.6939,922300,0.0,1.0
94,2020-05-08,324.25,329.03,322.73,327.65,324.8724,664800,0.0,1.0
95,2020-05-07,326.97,327.0,322.74,324.14,321.3921,593100,0.0,1.0
96,2020-05-06,330.64,331.51,322.52,323.03,320.2915,570600,0.0,1.0
97,2020-05-05,323.49,331.94,322.26,328.74,325.9531,595700,0.0,1.0
98,2020-05-04,326.36,327.0,319.76,322.56,319.8255,576400,0.0,1.0
99,2020-05-01,326.96,330.25,324.27,328.06,325.2789,849700,0.0,1.0
100,2020-04-30,327.56,331.91,322.98,330.67,327.8668,1137400,0.0,1.0
101,2020-04-29,332.55,347.16,321.13,331.83,329.0169,2044500,0.0,1.0
102,2020-04-28,349.27,351.42,342.64,344.53,341.6093,696100,0.0,1.0
103,2020-04-27,341.96,346.78,340.5,344.81,341.8869,764500,0.0,1.0
104,2020-04-24,338.0,340.84,332.0,339.31,336.4335,560400,0.0,1.0
105,2020-04-23,341.97,344.0,335.6,335.83,332.983,1104400,0.0,1.0
106,2020-04-22,339.17,343.55,334.97,342.01,339.1106,676200,0.0,1.0
107,2020-04-21,340.95,346.59,332.29,333.68,330.8512,813200,0.0,1.0
108,2020-04-20,353.66,354.38,343.51,343.91,340.9945,695700,0.0,1.0
109,2020-04-17,353.61,357.12,347.0,356.3,353.2795,1236800,0.0,1.0
110,2020-04-16,343.59,348.35,342.32,346.24,343.3048,879700,0.0,1.0
111,2020-04-15,346.02,346.11,336.51,344.29,341.3713,712300,0.0,1.0
112,2020-04-14,344.71,352.0,342.0,348.79,345.8332,639100,0.0,1.0
113,2020-04-13,336.71,341.54,334.14,338.85,335.9774,639000,0.0,1.0
114,2020-04-09,334.61,339.12,330.65,336.65,333.7961,1115800,0.0,1.0
115,2020-04-08,330.31,336.63,327.08,329.67,326.8752,919000,0.0,1.0
116,2020-04-07,342.71,343.31,324.96,325.52,322.7604,1098500,0.0,1.0
117,2020-04-06,320.0,335.27,319.5,332.33,329.5127,1047600,0.0,1.0
118,2020-04-03,313.9,315.55,310.31,313.61,310.9514,834900,0.0,1.0
119,2020-04-02,301.9,314.73,301.69,314.29,311.6256,1061900,0.0,1.0
120,2020-04-01,293.85,309.99,290.62,306.99,304.3875,1226500,0.0,1.0
121,2020-03-31,309.17,311.0,300.38,302.55,299.9852,1980200,0.0,1.0
122,2020-03-30,317.41,322.92,308.86,313.72,311.0605,1261700,0.0,1.0
123,2020-03-27,311.89,318.77,301.6,312.15,309.5038,1504800,0.0,1.0
124,2020-03-26,290.63,321.92,290.63,321.19,318.4671,1425500,0.0,1.0
125,2020-03-25,281.79,301.98,279.0,288.36,285.9154,1615600,0.0,1.0
126,2020-03-24,280.25,284.0,272.63,281.28,278.8955,1655100,0.0,1.0
127,2020-03-23,280.85,283.25,263.31,269.86,267.5723,1497400,0.0,1.0
128,2020-03-20,300.94,301.17,274.77,284.02,281.6122,1768500,0.0,1.0
129,2020-03-19,321.15,322.99,289.51,296.91,294.393,1711600,0.0,1.0
130,2020-03-18,301.01,325.85,298.61,323.0,320.2618,1779400,0.0,1.0
131,2020-03-17,288.36,319.89,287.58,319.33,316.6229,2113200,0.0,1.0
132,2020-03-16,274.59,300.44,274.59,282.59,280.1944,1520200,0.0,1.0
133,2020-03-13,303.66,315.65,289.59,314.5,311.8338,2307500,0.0,1.0
134,2020-03-12,296.99,308.96,289.26,290.5,288.0373,2525900,0.0,1.0
135,2020-03-11,325.45,330.36,311.87,317.85,315.1554,1484400,0.0,1.0
136,2020-03-10,324.69,335.14,321.63,334.89,332.051,1826700,0.0,1.0
137,2020-03-09,306.94,320.74,280.0,313.28,310.6242,1355400,0.0,1.0
138,2020-03-06,319.32,331.9,315.84,328.96,326.1713,1361200,0.0,1.0
139,2020-03-05,339.48,342.03,325.86,327.78,325.0013,1214100,0.0,1.0
140,2020-03-04,335.57,347.99,330.52,346.97,344.0286,1193700,0.0,1.0
141,2020-03-03,335.99,347.9,329.01,329.38,326.5877,1207900,0.0,1.0
142,2020-03-02,330.46,336.93,321.86,335.99,333.1417,1547000,0.0,1.0
143,2020-02-28,320.0,329.82,313.98,328.84,326.0523,2921200,0.0,1.0
144,2020-02-27,329.49,337.79,325.0,331.57,328.7591,2054500,0.0,1.0
145,2020-02-26,342.5,347.15,334.31,334.32,331.4858,934400,0.0,1.0
146,2020-02-25,361.07,361.44,338.78,339.97,337.0879,1458800,0.0,1.0
147,2020-02-24,357.99,365.85,357.72,359.39,356.3433,997500,0.0,1.0
148,2020-02-21,360.66,365.93,358.03,365.01,361.9157,880000,1.32,1.0
149,2020-02-20,365.28,367.62,360.53,363.25,358.8728,995200,0.0,1.0
150,2020-02-19,373.22,374.39,365.96,366.15,361.7378,864600,0.0,1.0
151,2020-02-18,367.7,372.64,365.75,372.42,367.9323,810900,0.0,1.0
152,2020-02-14,368.82,371.64,367.01,370.94,366.4701,635100,0.0,1.0
153,2020-02-13,366.7,370.47,365.04,368.0,363.5655,848600,0.0,1.0
154,2020-02-12,367.61,369.23,363.98,367.73,363.2988,935400,0.0,1.0
155,2020-02-11,364.56,371.98,363.81,368.04,363.605,697600,0.0,1.0
156,2020-02-10,361.05,364.03,357.62,363.29,358.9123,716400,0.0,1.0
157,2020-02-07,363.38,366.17,361.12,361.42,357.0648,790300,0.0,1.0
158,2020-02-06,366.72,366.72,362.5,363.75,359.3667,860000,0.0,1.0
159,2020-02-05,362.58,368.89,358.8,367.8,363.3679,815158,0.0,1.0
160,2020-02-04,366.63,367.9,360.0,361.81,357.4501,1054400,0.0,1.0
161,2020-02-03,367.33,370.0,362.76,363.75,359.3667,1316200,0.0,1.0
162,2020-01-31,383.33,384.33,372.08,374.57,370.0564,1086400,0.0,1.0
163,2020-01-30,373.1,385.005,369.18,384.87,380.2322,1397355,0.0,1.0
164,2020-01-29,384.48,384.48,378.14,382.65,378.039,639600,0.0,1.0
165,2020-01-28,380.5,383.98,374.22,381.84,377.2388,674500,0.0,1.0
166,2020-01-27,378.36,380.99,375.78,379.07,374.5021,665200,0.0,1.0
167,2020-01-24,383.02,384.18,380.2,381.64,377.0412,738000,0.0,1.0
168,2020-01-23,375.8,381.64,374.76,381.5,376.9029,1099400,0.0,1.0
169,2020-01-22,378.5,380.34,375.26,375.32,370.7973,864300,0.0,1.0
170,2020-01-21,379.38,381.19,373.96,378.13,373.5735,1420900,0.0,1.0
171,2020-01-17,384.68,384.68,378.29,379.97,375.3913,1237700,0.0,1.0
172,2020-01-16,381.61,384.61,379.57,383.78,379.1554,839100,0.0,1.0
173,2020-01-15,374.68,381.78,374.68,380.26,375.6778,650500,0.0,1.0
174,2020-01-14,375.8,376.18,373.08,374.67,370.1552,740600,0.0,1.0
175,2020-01-13,375.73,377.76,374.81,376.83,372.2891,667400,0.0,1.0
176,2020-01-10,372.37,375.0,369.76,374.39,369.8785,1178200,0.0,1.0
177,2020-01-09,370.56,373.5,369.17,372.36,367.873,741500,0.0,1.0
178,2020-01-08,376.2,379.27,367.1,370.29,365.8279,1312400,0.0,1.0
179,2020-01-07,373.62,376.71,371.09,374.97,370.4515,863600,0.0,1.0
180,2020-01-06,379.95,382.26,372.58,375.83,371.3012,2130000,0.0,1.0
181,2020-01-03,368.15,375.82,366.37,375.01,370.4911,2600300,0.0,1.0
182,2020-01-02,344.44,355.7,343.62,355.7,351.4137,941900,0.0,1.0
183,2019-12-31,348.27,348.98,342.73,343.97,339.8251,907800,0.0,1.0
184,2019-12-30,347.7,350.75,346.89,349.07,344.8636,575500,0.0,1.0
185,2019-12-27,348.5,349.0,345.42,346.44,342.2653,356900,0.0,1.0
