,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,215.24,217.19,214.42,216.39,216.39,958871,0.0,1.0
1,2020-09-21,217.2,218.6,210.82,214.31,214.31,1279729,0.0,1.0
2,2020-09-18,222.49,224.3,220.175,221.03,221.03,1769968,0.0,1.0
3,2020-09-17,217.73,224.68,215.07,222.94,222.94,1070290,0.0,1.0
4,2020-09-16,224.04,224.99,220.65,220.91,220.91,1121870,0.0,1.0
5,2020-09-15,220.5,222.98,219.46,222.03,222.03,926103,0.0,1.0
6,2020-09-14,219.54,221.47,218.745,220.29,220.29,1516446,0.0,1.0
7,2020-09-11,213.99,219.13,213.78,217.55,217.55,1720806,0.0,1.0
8,2020-09-10,212.92,215.0,211.775,213.17,213.17,1303667,0.0,1.0
9,2020-09-09,208.73,215.53,208.16,212.3,212.3,3595803,0.0,1.0
10,2020-09-08,207.88,209.35,205.54,206.75,206.75,1566966,0.0,1.0
11,2020-09-04,212.66,214.0,206.93,209.1,209.1,1357215,0.0,1.0
12,2020-09-03,217.01,217.01,209.13,210.59,210.59,1485500,0.0,1.0
13,2020-09-02,215.06,216.53,213.04,214.36,214.36,1855147,0.0,1.0
14,2020-09-01,212.43,215.85,210.72,215.3,215.3,973682,0.0,1.0
15,2020-08-31,214.84,217.0,212.34,212.53,212.53,1150959,0.0,1.0
16,2020-08-28,213.45,215.37,212.58,215.03,215.03,677526,0.0,1.0
17,2020-08-27,213.23,214.5174,212.215,212.85,212.85,750595,0.0,1.0
18,2020-08-26,212.53,214.35,211.01,213.08,213.08,829833,0.0,1.0
19,2020-08-25,212.5,214.28,211.515,213.62,213.62,1099179,0.0,1.0
20,2020-08-24,212.12,212.34,209.73,212.22,212.22,763584,0.0,1.0
21,2020-08-21,206.31,209.71,205.13,208.93,208.93,1573384,0.0,1.0
22,2020-08-20,204.08,207.44,203.13,206.23,206.23,770728,0.0,1.0
23,2020-08-19,207.25,207.87,205.32,205.4,205.4,800125,0.0,1.0
24,2020-08-18,208.95,209.24,205.59,206.33,206.33,934874,0.0,1.0
25,2020-08-17,207.34,209.96,206.61,208.35,208.35,997718,0.0,1.0
26,2020-08-14,204.25,208.295,203.445,206.61,206.61,977762,0.0,1.0
27,2020-08-13,203.77,205.17,203.12,204.38,204.38,806895,0.0,1.0
28,2020-08-12,207.0,208.35,204.81,204.85,204.85,1397845,0.0,1.0
29,2020-08-11,206.77,211.72,205.78,206.08,206.08,1891844,0.0,1.0
30,2020-08-10,201.0,204.61,200.43,204.5,204.5,1942739,0.0,1.0
31,2020-08-07,195.07,199.35,195.07,198.99,198.99,1375375,0.0,1.0
32,2020-08-06,191.78,196.4,191.54,195.77,195.77,1388366,0.94,1.0
33,2020-08-05,193.93,194.73,192.21,193.06,192.1374,1135776,0.0,1.0
34,2020-08-04,189.46,192.55,189.03,192.39,191.4706,1319943,0.0,1.0
35,2020-08-03,192.38,193.18,188.56,190.47,189.5598,1224297,0.0,1.0
36,2020-07-31,187.29,193.22,184.92,192.21,191.2915,1746247,0.0,1.0
37,2020-07-30,190.96,191.08,186.15,188.87,187.9675,1631706,0.0,1.0
38,2020-07-29,188.07,193.88,185.19,192.82,191.8986,2315587,0.0,1.0
39,2020-07-28,189.33,189.91,184.21,185.1,184.2155,1850774,0.0,1.0
40,2020-07-27,186.47,190.735,185.17,189.93,189.0224,1418345,0.0,1.0
41,2020-07-24,187.01,188.36,186.615,187.01,186.1164,1099318,0.0,1.0
42,2020-07-23,187.91,188.8,185.76,186.98,186.0865,1844556,0.0,1.0
43,2020-07-22,186.0,191.18,185.93,189.08,188.1765,1435963,0.0,1.0
44,2020-07-21,186.5,189.77,186.24,187.18,186.2855,1335100,0.0,1.0
45,2020-07-20,186.77,187.74,184.34,186.17,185.2804,1943000,0.0,1.0
46,2020-07-17,184.17,189.02,183.82,188.25,187.3504,1979400,0.0,1.0
47,2020-07-16,181.0,185.79,180.3,182.92,182.0459,1431300,0.0,1.0
48,2020-07-15,181.31,182.14,179.16,181.28,180.4137,1357300,0.0,1.0
49,2020-07-14,174.05,178.4,173.39,177.93,177.0797,1045300,0.0,1.0
50,2020-07-13,172.38,177.41,171.28,175.13,174.2931,1144600,0.0,1.0
51,2020-07-10,170.81,171.69,169.15,170.85,170.0336,1283300,0.0,1.0
52,2020-07-09,174.66,175.35,169.62,170.91,170.0933,1815000,0.0,1.0
53,2020-07-08,174.13,175.31,172.53,175.26,174.4225,1214200,0.0,1.0
54,2020-07-07,176.24,178.34,173.84,174.12,173.2879,1055800,0.0,1.0
55,2020-07-06,177.41,179.66,176.76,178.62,177.7664,1245400,0.0,1.0
56,2020-07-02,176.05,177.73,173.33,174.51,173.6761,964100,0.0,1.0
57,2020-07-01,175.76,177.63,170.79,171.52,170.7004,1116600,0.0,1.0
58,2020-06-30,172.12,176.93,171.9,175.57,174.731,1257800,0.0,1.0
59,2020-06-29,170.55,172.995,169.063,172.68,171.8548,1060231,0.0,1.0
60,2020-06-26,170.72,172.51,167.41,169.81,168.9985,2105500,0.0,1.0
61,2020-06-25,168.85,171.89,166.0,171.68,170.8596,1163500,0.0,1.0
62,2020-06-24,172.76,173.93,168.7,169.15,168.3417,1981300,0.0,1.0
63,2020-06-23,173.79,175.8,172.39,174.49,173.6562,1664600,0.0,1.0
64,2020-06-22,169.98,171.5,167.62,171.47,170.6506,1507600,0.0,1.0
65,2020-06-19,176.37,176.78,169.06,170.26,169.4464,2572700,0.0,1.0
66,2020-06-18,175.68,176.6,173.69,174.38,173.5467,1567200,0.0,1.0
67,2020-06-17,180.04,180.29,176.52,176.97,176.1243,1106700,0.0,1.0
68,2020-06-16,185.0,185.0,176.39,178.73,177.8759,1390700,0.0,1.0
69,2020-06-15,172.66,178.91,171.29,177.61,176.7613,1208700,0.0,1.0
70,2020-06-12,179.85,180.78,173.38,178.18,177.3285,1323200,0.0,1.0
71,2020-06-11,182.26,183.0,174.06,174.26,173.4273,1394800,0.0,1.0
72,2020-06-10,191.8,192.1,188.48,188.55,187.649,1578600,0.0,1.0
