,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,41.62,41.975,41.025,41.88,41.88,2487692,0.0,1.0
1,2020-09-21,41.81,41.81,40.72,41.39,41.39,2504326,0.0,1.0
2,2020-09-18,43.46,43.52,42.1,42.61,42.61,3702279,0.0,1.0
3,2020-09-17,44.09,44.24,42.85,43.18,43.18,3413646,0.0,1.0
4,2020-09-16,45.62,46.53,45.03,45.11,45.11,2391409,0.0,1.0
5,2020-09-15,46.01,46.09,45.14,45.38,45.38,3001850,0.0,1.0
6,2020-09-14,44.39,45.67,44.3,45.38,45.38,2788635,0.0,1.0
7,2020-09-11,44.91,45.07,43.48,44.09,44.09,2340094,0.0,1.0
8,2020-09-10,46.96,46.96,44.37,44.37,44.37,2395267,0.0,1.0
9,2020-09-09,45.96,46.76,45.23,46.57,46.57,2612647,0.0,1.0
10,2020-09-08,45.21,45.99,45.16,45.2,45.2,2120610,0.0,1.0
11,2020-09-04,46.71,47.5,45.9,46.4,46.4,2705489,0.0,1.0
12,2020-09-03,47.66,48.33,46.01,46.54,46.54,3177615,0.0,1.0
13,2020-09-02,46.84,48.47,46.65,48.15,48.15,3340768,0.0,1.0
14,2020-09-01,47.26,47.39,46.16,46.68,46.68,3166536,0.0,1.0
15,2020-08-31,46.19,47.5,45.55,47.39,47.39,5290910,0.0,1.0
16,2020-08-28,43.91,45.87,43.36,45.74,45.74,4882982,0.0,1.0
17,2020-08-27,46.32,46.615,43.6,43.91,43.91,10789013,0.0,1.0
18,2020-08-26,41.95,42.52,41.23,42.21,42.21,6808385,0.0,1.0
19,2020-08-25,42.33,42.94,41.27,41.77,41.77,2475632,0.0,1.0
20,2020-08-24,41.93,42.66,41.29,42.3,42.3,3407143,0.0,1.0
21,2020-08-21,41.36,41.75,40.84,41.25,41.25,11407030,0.0,1.0
22,2020-08-20,41.49,41.5,40.8087,41.42,41.42,2017874,0.0,1.0
23,2020-08-19,41.2,42.25,40.91,41.49,41.49,2231485,0.0,1.0
24,2020-08-18,41.37,41.37,40.08,41.0,41.0,3545381,0.0,1.0
25,2020-08-17,41.33,41.855,40.94,41.31,41.31,3236269,0.0,1.0
26,2020-08-14,41.82,42.04,41.34,41.56,41.56,2375495,0.0,1.0
27,2020-08-13,42.72,42.98,41.44,41.74,41.74,3674602,0.0,1.0
28,2020-08-12,44.0,44.01,42.93,43.28,43.28,2922077,0.0,1.0
29,2020-08-11,44.36,45.36,43.355,43.57,43.57,1654317,0.0,1.0
30,2020-08-10,42.79,44.32,42.74,44.27,44.27,2351654,0.0,1.0
31,2020-08-07,42.29,42.845,41.505,42.8,42.8,2426770,0.0,1.0
32,2020-08-06,42.38,42.87,41.88,42.21,42.21,3683436,0.0,1.0
33,2020-08-05,43.51,43.68,42.81,43.1,43.1,2354511,0.0,1.0
34,2020-08-04,42.62,44.12,42.61,43.23,43.23,2810702,0.0,1.0
35,2020-08-03,44.17,44.29,42.49,42.77,42.77,3833039,0.0,1.0
36,2020-07-31,42.91,44.41,42.05,44.3,44.3,6108956,0.0,1.0
37,2020-07-30,41.82,43.285,41.46,42.85,42.85,2526321,0.0,1.0
38,2020-07-29,42.7,42.89,41.39,42.43,42.43,2993407,0.0,1.0
39,2020-07-28,44.04,44.115,42.82,42.95,42.95,1393584,0.0,1.0
40,2020-07-27,43.22,44.34,42.73,44.09,44.09,1762167,0.0,1.0
41,2020-07-24,44.65,44.67,43.06,43.2,43.2,1989767,0.0,1.0
42,2020-07-23,44.94,45.7199,44.455,44.69,44.69,1568747,0.0,1.0
43,2020-07-22,45.68,45.68,44.97,44.99,44.99,1217048,0.0,1.0
44,2020-07-21,45.03,46.42,45.03,45.56,45.56,2347600,0.0,1.0
45,2020-07-20,44.64,45.33,43.84,45.15,45.15,1992401,0.0,1.0
46,2020-07-17,44.49,45.11,44.14,44.81,44.81,2469800,0.0,1.0
47,2020-07-16,44.16,44.52,43.88,44.34,44.34,1943000,0.0,1.0
48,2020-07-15,44.33,45.06,43.69,44.38,44.38,2338300,0.0,1.0
49,2020-07-14,42.83,43.75,42.47,43.71,43.71,1903300,0.0,1.0
50,2020-07-13,43.62,44.37,43.28,43.4,43.4,2705400,0.0,1.0
51,2020-07-10,42.35,43.14,41.96,42.94,42.94,1832300,0.0,1.0
52,2020-07-09,43.07,43.64,42.23,42.28,42.28,2509600,0.48,1.0
53,2020-07-08,43.13,43.79,42.76,43.76,43.2688,2013000,0.0,1.0
54,2020-07-07,44.5,44.75,42.7,42.86,42.3789,2875300,0.0,1.0
55,2020-07-06,44.44,45.14,43.94,45.05,44.5443,2980600,0.0,1.0
56,2020-07-02,44.1,44.46,43.47,43.55,43.0611,1647200,0.0,1.0
57,2020-07-01,44.36,44.66,43.39,43.51,43.0216,1686100,0.0,1.0
58,2020-06-30,43.98,45.05,43.77,44.37,43.8719,2387200,0.0,1.0
59,2020-06-29,44.3,44.4,43.1,44.02,43.5259,1886600,0.0,1.0
60,2020-06-26,43.43,44.43,42.63,43.99,43.4962,7401100,0.0,1.0
61,2020-06-25,40.57,41.84,39.96,41.83,41.3604,2510100,0.0,1.0
62,2020-06-24,42.22,42.22,40.93,40.97,40.5101,3337200,0.0,1.0
63,2020-06-23,42.83,43.64,42.32,42.39,41.9142,2208000,0.0,1.0
64,2020-06-22,43.39,43.58,41.64,42.3,41.8252,3281200,0.0,1.0
65,2020-06-19,43.17,44.09,42.07,44.08,43.5852,6218500,0.0,1.0
66,2020-06-18,43.02,43.19,42.15,42.79,42.3097,1716700,0.0,1.0
67,2020-06-17,44.7,44.7,42.95,43.17,42.6854,2392600,0.0,1.0
68,2020-06-16,44.78,45.22,43.42,44.35,43.8522,2371200,0.0,1.0
69,2020-06-15,41.47,43.47,41.12,43.04,42.5569,2194100,0.0,1.0
70,2020-06-12,42.52,43.04,41.23,42.46,41.9834,2512100,0.0,1.0
71,2020-06-11,44.93,44.98,41.11,41.14,40.6782,3755100,0.0,1.0
72,2020-06-10,47.02,47.03,45.95,46.22,45.7012,1848200,0.0,1.0
73,2020-06-09,48.58,48.6,46.67,46.72,46.1955,2414400,0.0,1.0
74,2020-06-08,48.61,49.65,48.48,49.01,48.4598,2246700,0.0,1.0
75,2020-06-05,46.44,48.3,46.27,48.06,47.5205,3647000,0.0,1.0
