,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,79.08,80.15,76.94,77.79,77.79,1573697,0.0,1.0
1,2020-09-21,79.7,81.16,77.69,79.5,79.5,1648362,0.0,1.0
2,2020-09-18,82.56,83.6,81.58,81.74,81.74,2014649,0.0,1.0
3,2020-09-17,82.19,83.525,81.92,82.9,82.9,1988050,0.0,1.0
4,2020-09-16,79.11,85.9,79.0,83.22,83.22,2867575,0.0,1.0
5,2020-09-15,81.2,81.2,78.32,78.76,78.76,1603532,0.0,1.0
6,2020-09-14,80.56,81.9664,80.24,80.5,80.5,1335900,0.0,1.0
7,2020-09-11,78.38,80.46,78.081,79.85,79.85,792586,0.0,1.0
8,2020-09-10,80.52,81.425,78.54,78.65,78.65,1077135,0.7,1.0
9,2020-09-09,82.63,82.63,81.04,81.09,80.3747,955865,0.0,1.0
10,2020-09-08,83.01,83.745,81.11,81.61,80.8901,1585662,0.0,1.0
11,2020-09-04,84.84,86.2,83.67,84.45,83.705,1002464,0.0,1.0
12,2020-09-03,84.46,86.24,83.0,83.66,82.922,1015520,0.0,1.0
13,2020-09-02,81.83,84.29,81.265,83.92,83.1797,699664,0.0,1.0
14,2020-09-01,81.79,83.19,81.09,82.08,81.3559,835585,0.0,1.0
15,2020-08-31,83.74,84.02,81.56,81.89,81.1676,1048370,0.0,1.0
16,2020-08-28,84.45,84.45,83.52,83.91,83.1698,566638,0.0,1.0
17,2020-08-27,83.09,84.73,82.955,84.28,83.5365,515552,0.0,1.0
18,2020-08-26,83.96,83.96,82.7,82.74,82.0101,729406,0.0,1.0
19,2020-08-25,85.0,85.45,83.88,84.0,83.259,568247,0.0,1.0
20,2020-08-24,81.69,84.36,81.55,84.26,83.5167,698210,0.0,1.0
21,2020-08-21,81.19,81.81,80.53,81.73,81.009,628733,0.0,1.0
22,2020-08-20,82.12,82.29,81.07,81.43,80.7117,725354,0.0,1.0
23,2020-08-19,82.76,83.74,82.44,83.0,82.2678,635570,0.0,1.0
24,2020-08-18,82.4,82.685,81.55,82.22,81.4947,598977,0.0,1.0
25,2020-08-17,82.94,83.35,82.0101,82.58,81.8515,560546,0.0,1.0
26,2020-08-14,82.69,83.97,82.46,83.42,82.6841,616275,0.0,1.0
