,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,45.73,46.19,45.23,45.68,45.68,1913221,0.0,1.0
1,2020-09-21,48.19,48.32,45.03,45.8,45.8,2879889,0.0,1.0
2,2020-09-18,48.88,49.97,48.82,49.18,49.18,4002098,0.0,1.0
3,2020-09-17,47.62,49.19,47.01,48.97,48.97,2519860,0.0,1.0
4,2020-09-16,46.99,47.95,46.51,47.56,47.56,1834403,0.0,1.0
5,2020-09-15,46.87,47.33,46.6125,46.79,46.79,1795417,0.0,1.0
6,2020-09-14,46.23,46.95,46.075,46.73,46.73,1781928,0.0,1.0
7,2020-09-11,45.65,46.28,45.29,45.93,45.93,1286533,0.0,1.0
8,2020-09-10,46.19,46.26,45.36,45.39,45.39,1227442,0.0,1.0
9,2020-09-09,46.13,46.43,45.63,46.06,46.06,2257556,0.0,1.0
10,2020-09-08,46.2,46.45,45.41,45.59,45.59,2363637,0.0,1.0
11,2020-09-04,47.42,47.59,46.51,46.9,46.9,2274986,0.0,1.0
12,2020-09-03,47.32,47.88,46.18,46.61,46.61,2176677,0.0,1.0
13,2020-09-02,46.75,47.66,46.44,47.46,47.46,2764002,0.0,1.0
14,2020-09-01,45.42,46.64,45.07,46.64,46.64,2102364,0.0,1.0
15,2020-08-31,46.32,46.32,45.45,45.46,45.46,1897938,0.0,1.0
16,2020-08-28,45.73,46.19,45.56,45.99,45.99,1245179,0.0,1.0
17,2020-08-27,45.71,46.03,45.17,45.55,45.55,972360,0.0,1.0
18,2020-08-26,45.52,45.87,45.19,45.5,45.5,1089479,0.0,1.0
19,2020-08-25,46.06,46.08,45.21,45.57,45.57,1246483,0.0,1.0
20,2020-08-24,45.15,46.04,44.97,46.02,46.02,1287223,0.0,1.0
21,2020-08-21,45.44,45.44,44.47,44.69,44.69,1502966,0.0,1.0
22,2020-08-20,45.14,45.82,45.02,45.65,45.65,1226917,0.0,1.0
23,2020-08-19,46.51,46.94,45.685,45.79,45.79,1715732,0.0,1.0
24,2020-08-18,46.39,46.82,46.215,46.37,46.37,2102863,0.0,1.0
25,2020-08-17,46.53,46.84,46.205,46.37,46.37,2078942,0.0,1.0
26,2020-08-14,45.18,46.5501,45.02,46.24,46.24,1383142,0.0,1.0
27,2020-08-13,45.24,45.83,44.99,45.5,45.5,1438127,0.0,1.0
28,2020-08-12,45.92,46.03,45.33,45.89,45.89,1615990,0.0,1.0
29,2020-08-11,46.32,46.72,45.16,45.41,45.41,2688663,0.0,1.0
30,2020-08-10,44.61,46.29,44.49,46.1,46.1,2165690,0.0,1.0
31,2020-08-07,42.81,44.48,42.65,44.34,44.34,2190778,0.0,1.0
32,2020-08-06,43.85,43.88,43.12,43.26,43.26,1902087,0.0,1.0
33,2020-08-05,43.5,44.3283,43.45,43.48,43.48,1875339,0.0,1.0
34,2020-08-04,42.75,43.225,42.33,43.01,43.01,1924547,0.0,1.0
35,2020-08-03,42.31,43.08,41.87,42.86,42.86,2471294,0.0,1.0
36,2020-07-31,42.37,42.54,41.635,41.95,41.95,4898910,0.0,1.0
37,2020-07-30,42.51,42.8,42.21,42.7,42.7,1920825,0.0,1.0
38,2020-07-29,42.74,43.26,42.735,43.26,43.26,2119867,0.0,1.0
39,2020-07-28,43.46,43.6,42.61,42.67,42.67,2693809,0.0,1.0
40,2020-07-27,42.61,43.9,42.41,43.83,43.83,2301929,0.0,1.0
41,2020-07-24,42.51,42.92,41.985,42.85,42.85,1801166,0.0,1.0
42,2020-07-23,42.38,43.76,42.07,42.59,42.59,2444333,0.0,1.0
43,2020-07-22,41.51,42.36,41.37,42.26,42.26,1638885,0.0,1.0
44,2020-07-21,40.9,42.1,40.89,41.89,41.89,1808335,0.0,1.0
45,2020-07-20,40.87,41.28,40.42,40.7,40.7,2001720,0.0,1.0
46,2020-07-17,41.97,42.29,41.21,41.26,41.26,1176200,0.0,1.0
47,2020-07-16,41.5,42.39,41.17,41.76,41.76,1848000,0.0,1.0
48,2020-07-15,41.84,42.03,40.76,41.68,41.68,1864600,0.0,1.0
49,2020-07-14,39.76,41.12,39.48,41.06,41.06,1670200,0.0,1.0
50,2020-07-13,40.89,41.17,39.88,39.94,39.94,2211800,0.0,1.0
51,2020-07-10,38.91,40.6,38.87,40.45,40.45,1752900,0.0,1.0
52,2020-07-09,39.5,39.61,38.51,38.8,38.8,2644900,0.0,1.0
53,2020-07-08,41.39,41.39,39.28,39.66,39.66,3177100,0.0,1.0
54,2020-07-07,41.1,41.65,40.61,41.18,41.18,2659300,0.0,1.0
55,2020-07-06,42.38,42.42,40.63,41.65,41.65,2405000,0.0,1.0
56,2020-07-02,41.14,42.1,41.14,41.4,41.4,2072000,0.0,1.0
57,2020-07-01,41.4,41.49,39.95,40.38,40.38,2409100,0.0,1.0
58,2020-06-30,40.62,41.64,40.4,41.41,41.41,1701600,0.0,1.0
59,2020-06-29,40.7,41.35,40.54,40.9,40.9,1708000,0.4025,1.0
60,2020-06-26,40.96,41.11,40.12,40.6,40.2043,2896000,0.0,1.0
61,2020-06-25,40.25,41.46,39.9,41.42,41.0164,1839100,0.0,1.0
62,2020-06-24,41.92,41.99,40.59,40.67,40.2737,2121700,0.0,1.0
63,2020-06-23,42.94,43.17,42.2,42.22,41.8086,1539700,0.0,1.0
64,2020-06-22,42.51,42.74,42.02,42.3,41.8878,1544000,0.0,1.0
65,2020-06-19,44.24,44.37,42.36,42.7,42.2839,2869700,0.0,1.0
66,2020-06-18,43.5,44.43,43.3,43.52,43.0959,2122100,0.0,1.0
67,2020-06-17,44.59,44.79,43.7,44.0,43.5712,2169200,0.0,1.0
68,2020-06-16,45.1,45.32,43.34,44.59,44.1555,3990000,0.0,1.0
69,2020-06-15,39.77,42.53,39.59,41.92,41.5115,2609900,0.0,1.0
70,2020-06-12,41.29,41.73,40.24,41.2,40.7985,1897000,0.0,1.0
71,2020-06-11,41.52,42.84,39.53,39.66,39.2735,2771400,0.0,1.0
