,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,503.0,505.9199,486.222,505.51,505.51,16096873,0.0,1.0
1,2020-09-21,477.0,500.9,476.18,500.69,500.69,18026061,0.0,1.0
2,2020-09-18,503.75,505.3,479.55,487.57,487.57,17461548,0.0,1.0
3,2020-09-17,485.2894,503.59,481.39,498.54,498.54,19812794,0.0,1.0
4,2020-09-16,518.29,523.71,500.55,500.58,500.58,13939985,0.0,1.0
5,2020-09-15,531.2,531.95,513.11,519.64,519.64,18188914,0.0,1.0
6,2020-09-14,523.24,532.6,505.2457,514.89,514.89,30043624,0.0,1.0
7,2020-09-11,499.42,506.1,475.83,486.58,486.58,15923172,0.0,1.0
8,2020-09-10,519.57,522.61,486.68,492.47,492.47,17467111,0.0,1.0
9,2020-09-09,496.0,512.37,489.27,508.6,508.6,18404957,0.0,1.0
10,2020-09-08,469.38,502.0,468.17,476.52,476.52,19893237,0.0,1.0
11,2020-09-04,511.35,527.0,468.19,504.9,504.9,36592071,0.0,1.0
12,2020-09-03,553.1454,555.38,515.15,520.62,520.62,23628151,0.0,1.0
13,2020-09-02,588.15,589.0699,556.0,573.86,573.86,21850322,0.0,1.0
14,2020-09-01,539.2,559.75,537.46,552.84,552.84,12811849,0.16,1.0
15,2020-08-31,527.3114,543.0,521.51,534.98,534.8252,12521030,0.0,1.0
16,2020-08-28,506.9965,525.92,505.7,525.91,525.7578,13428963,0.0,1.0
17,2020-08-27,511.26,514.0,502.6573,505.13,504.9839,7940073,0.0,1.0
18,2020-08-26,511.9694,514.7396,507.11,510.92,510.7722,8031073,0.0,1.0
19,2020-08-25,505.23,510.45,502.95,510.0,509.8524,7226920,0.0,1.0
20,2020-08-24,515.35,516.5,500.3,508.81,508.6628,12264105,0.0,1.0
21,2020-08-21,488.07,512.348,487.8064,507.34,507.1932,24996738,0.0,1.0
22,2020-08-20,479.0,495.0,475.15,485.64,485.4995,23034656,0.0,1.0
23,2020-08-19,491.86,492.6,483.92,485.54,485.3995,15565558,0.0,1.0
24,2020-08-18,498.0,499.84,483.45,490.43,490.2881,12586155,0.0,1.0
25,2020-08-17,474.05,496.39,472.6876,493.48,493.3372,15417858,0.0,1.0
26,2020-08-14,461.2,468.19,457.62,462.56,462.4262,9160904,0.0,1.0
27,2020-08-13,461.84,468.87,454.23,457.72,457.5876,9361489,0.0,1.0
28,2020-08-12,439.63,458.68,438.33,457.61,457.4776,11623573,0.0,1.0
29,2020-08-11,442.95,445.47,431.83,434.0,433.8744,8862763,0.0,1.0
30,2020-08-10,453.37,456.33,434.26,446.6,446.4708,10694898,0.0,1.0
31,2020-08-07,452.5,460.19,441.5,447.98,447.8504,8562899,0.0,1.0
32,2020-08-06,453.99,454.32,447.15,453.42,453.2888,6107892,0.0,1.0
33,2020-08-05,449.76,454.8672,446.65,451.47,451.3394,6262493,0.0,1.0
34,2020-08-04,442.0,449.11,436.2401,449.11,448.9801,7758390,0.0,1.0
35,2020-08-03,429.3,443.95,428.61,440.41,440.2826,10325456,0.0,1.0
36,2020-07-31,422.53,430.66,417.32,424.59,424.4672,9657150,0.0,1.0
37,2020-07-30,415.0,424.9218,411.81,424.56,424.4372,7722004,0.0,1.0
38,2020-07-29,415.632,420.65,413.88,418.62,418.4989,7112692,0.0,1.0
39,2020-07-28,414.97,415.28,408.37,408.62,408.5018,6790901,0.0,1.0
40,2020-07-27,409.29,417.67,408.71,416.86,416.7394,7303255,0.0,1.0
41,2020-07-24,395.0,414.59,391.08,407.78,407.662,11832300,0.0,1.0
42,2020-07-23,418.0,421.88,401.25,405.19,405.0728,10291532,0.0,1.0
43,2020-07-22,414.7,424.1,411.6623,417.55,417.4292,9182271,0.0,1.0
44,2020-07-21,420.52,422.4,411.47,413.14,413.0205,6941700,0.0,1.0
45,2020-07-20,410.97,421.25,406.27,420.43,420.3084,7121300,0.0,1.0
46,2020-07-17,409.02,409.94,403.51,408.06,407.9419,6657100,0.0,1.0
47,2020-07-16,400.6,408.27,395.82,405.39,405.2727,8624100,0.0,1.0
48,2020-07-15,416.57,417.32,402.23,409.09,408.9716,10099600,0.0,1.0
49,2020-07-14,403.0,416.11,391.42,415.08,414.9599,13566900,0.0,1.0
50,2020-07-13,423.8,431.69,401.0,402.09,401.9737,11426900,0.0,1.0
51,2020-07-10,423.55,426.21,415.15,419.17,419.0487,12441900,0.0,1.0
