,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,17.04,17.39,16.99,17.22,17.22,1792439,0.0,1.0
1,2020-09-21,17.48,17.51,16.945,17.09,17.09,2876016,0.0,1.0
2,2020-09-18,17.88,18.28,17.68,17.72,17.72,4806045,0.0,1.0
3,2020-09-17,17.8,18.19,17.63,17.91,17.91,2554572,0.0,1.0
4,2020-09-16,17.79,18.24,17.7,17.99,17.99,2855761,0.0,1.0
5,2020-09-15,17.9,18.04,17.66,17.685,17.685,3334598,0.0,1.0
6,2020-09-14,17.64,17.87,17.45,17.83,17.83,3485428,0.0,1.0
7,2020-09-11,17.22,17.6,17.05,17.45,17.45,3994772,0.0,1.0
8,2020-09-10,16.56,17.34,16.54,17.21,17.21,5061582,0.0,1.0
9,2020-09-09,16.48,16.66,16.2,16.43,16.43,3719870,0.0,1.0
10,2020-09-08,16.29,16.68,16.085,16.36,16.36,4252211,0.0,1.0
11,2020-09-04,16.11,16.39,15.96,16.32,16.32,2892474,0.0,1.0
12,2020-09-03,16.08,16.47,15.858,15.92,15.92,2656643,0.0,1.0
13,2020-09-02,15.87,16.26,15.8,16.22,16.22,3125642,0.0,1.0
14,2020-09-01,15.91,16.09,15.67,15.73,15.73,3387230,0.0,1.0
15,2020-08-31,16.1,16.32,15.91,15.98,15.98,3082203,0.0,1.0
16,2020-08-28,16.08,16.27,15.915,16.22,16.22,2002439,0.23,1.0
17,2020-08-27,16.13,16.265,16.0,16.19,15.9636,2381244,0.0,1.0
18,2020-08-26,16.1,16.195,15.97,15.99,15.7664,2083951,0.0,1.0
19,2020-08-25,16.47,16.5,16.03,16.15,15.9242,1933262,0.0,1.0
20,2020-08-24,16.24,16.4679,16.03,16.43,16.2003,2442381,0.0,1.0
21,2020-08-21,16.42,16.42,15.875,16.1,15.8749,3300862,0.0,1.0
22,2020-08-20,16.66,16.8,16.335,16.38,16.151,1940992,0.0,1.0
23,2020-08-19,16.7,16.99,16.65,16.75,16.5158,2112848,0.0,1.0
24,2020-08-18,16.97,17.03,16.655,16.72,16.4862,3429084,0.0,1.0
25,2020-08-17,17.02,17.02,16.75,16.96,16.7229,3687129,0.0,1.0
26,2020-08-14,17.01,17.27,16.88,16.99,16.7524,1844715,0.0,1.0
27,2020-08-13,17.07,17.295,16.965,17.05,16.8116,2297710,0.0,1.0
28,2020-08-12,17.41,17.4551,16.98,17.11,16.8708,2716424,0.0,1.0
29,2020-08-11,17.79,17.94,17.22,17.27,17.0285,3069017,0.0,1.0
30,2020-08-10,17.42,17.69,17.22,17.5,17.2553,2297769,0.0,1.0
31,2020-08-07,16.89,17.155,16.7,17.15,16.9102,1686539,0.0,1.0
32,2020-08-06,16.68,16.92,16.57,16.82,16.5848,1926512,0.0,1.0
33,2020-08-05,16.57,16.82,16.37,16.76,16.5257,1824342,0.0,1.0
34,2020-08-04,16.4,16.635,16.28,16.47,16.2397,2943548,0.0,1.0
35,2020-08-03,16.41,16.5,16.095,16.39,16.1608,3310284,0.0,1.0
36,2020-07-31,18.0,18.0,16.16,16.4,16.1707,13061675,0.0,1.0
37,2020-07-30,17.36,17.85,17.12,17.72,17.4722,5211438,0.0,1.0
38,2020-07-29,17.22,17.665,17.17,17.6,17.3539,2630109,0.0,1.0
39,2020-07-28,17.31,17.57,17.205,17.26,17.0187,3361361,0.0,1.0
40,2020-07-27,17.14,17.61,17.05,17.36,17.1173,2766768,0.0,1.0
41,2020-07-24,17.1,17.39,17.005,17.14,16.9004,2977686,0.0,1.0
42,2020-07-23,16.83,17.175,16.76,17.09,16.8511,3591029,0.0,1.0
43,2020-07-22,16.5,16.83,16.4,16.72,16.4862,3200723,0.0,1.0
44,2020-07-21,16.65,16.75,15.96,16.55,16.3186,7244400,0.0,1.0
45,2020-07-20,16.17,16.34,15.87,16.07,15.8453,2676400,0.0,1.0
46,2020-07-17,16.58,16.72,16.27,16.36,16.1313,2022200,0.0,1.0
47,2020-07-16,16.04,16.69,16.03,16.55,16.3186,2207100,0.0,1.0
48,2020-07-15,16.29,16.47,16.2,16.4,16.1707,1885600,0.0,1.0
49,2020-07-14,15.67,16.19,15.54,16.08,15.8552,3599500,0.0,1.0
50,2020-07-13,15.91,16.07,15.7,15.72,15.5002,2473600,0.0,1.0
51,2020-07-10,15.19,15.87,15.11,15.81,15.5889,2317800,0.0,1.0
52,2020-07-09,15.77,15.81,14.95,15.01,14.8001,4211400,0.0,1.0
53,2020-07-08,15.76,15.88,15.58,15.81,15.5889,2389100,0.0,1.0
54,2020-07-07,15.82,16.02,15.76,15.85,15.6284,2745600,0.0,1.0
