,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,15.42,15.59,14.37,14.57,14.57,5159003,0.0,1.0
1,2020-09-18,14.975,15.895,14.9,15.64,15.64,8038477,0.0,1.0
2,2020-09-17,14.92,15.245,14.86,15.21,15.21,3641651,0.0,1.0
3,2020-09-16,15.4,15.4,15.08,15.11,15.11,2612377,0.0,1.0
4,2020-09-15,15.27,15.355,15.19,15.32,15.32,1630536,0.1,1.0
5,2020-09-14,15.17,15.37,15.14,15.31,15.2107,2204229,0.0,1.0
6,2020-09-11,14.97,15.205,14.88,15.06,14.9623,1964439,0.0,1.0
7,2020-09-10,15.09,15.225,14.825,14.84,14.7438,1961108,0.0,1.0
8,2020-09-09,14.77,15.165,14.69,15.12,15.0219,1965347,0.0,1.0
9,2020-09-08,14.85,14.895,14.62,14.64,14.5451,1935102,0.0,1.0
10,2020-09-04,15.26,15.39,14.66,14.95,14.853,2423064,0.0,1.0
11,2020-09-03,15.27,15.45,15.05,15.21,15.1114,2973155,0.0,1.0
12,2020-09-02,15.19,15.28,14.985,15.24,15.1412,2486322,0.0,1.0
13,2020-09-01,15.11,15.3,14.96,15.18,15.0816,1553092,0.0,1.0
14,2020-08-31,15.32,15.43,15.11,15.12,15.0219,2079927,0.0,1.0
15,2020-08-28,15.15,15.275,14.95,15.255,15.1561,1374818,0.0,1.0
16,2020-08-27,15.08,15.16,14.9,15.06,14.9623,1175641,0.0,1.0
17,2020-08-26,15.05,15.145,14.88,15.0,14.9027,1513538,0.0,1.0
18,2020-08-25,14.96,15.01,14.82,14.985,14.8878,1414910,0.0,1.0
19,2020-08-24,14.85,14.88,14.735,14.87,14.7736,1903428,0.0,1.0
20,2020-08-21,15.17,15.17,14.57,14.61,14.5153,2293115,0.0,1.0
21,2020-08-20,15.04,15.28,15.01,15.14,15.0418,1923727,0.0,1.0
22,2020-08-19,15.22,15.41,15.2,15.22,15.1213,1805684,0.0,1.0
23,2020-08-18,14.89,15.27,14.83,15.18,15.0816,2077481,0.0,1.0
24,2020-08-17,15.33,15.39,15.03,15.12,15.0219,2003284,0.0,1.0
25,2020-08-14,15.31,15.455,15.2,15.33,15.2306,1806149,0.0,1.0
26,2020-08-13,15.21,15.42,15.16,15.29,15.1908,2111087,0.0,1.0
27,2020-08-12,15.1,15.41,15.05,15.165,15.0667,3879950,0.0,1.0
28,2020-08-11,14.85,15.33,14.82,14.89,14.7934,3044589,0.0,1.0
29,2020-08-10,14.34,14.965,14.34,14.84,14.7438,4597930,0.0,1.0
30,2020-08-07,13.44,14.36,13.335,14.335,14.242,2532340,0.0,1.0
31,2020-08-06,13.15,13.6,13.02,13.51,13.4224,2482983,0.0,1.0
32,2020-08-05,13.41,13.51,13.19,13.29,13.2038,1918070,0.0,1.0
33,2020-08-04,12.98,13.405,12.64,13.39,13.3032,1602345,0.0,1.0
34,2020-08-03,12.78,13.04,12.67,13.0,12.9157,1944867,0.0,1.0
35,2020-07-31,12.85,12.92,12.6,12.72,12.6375,1647711,0.0,1.0
36,2020-07-30,12.75,12.965,12.63,12.9,12.8163,1148034,0.0,1.0
37,2020-07-29,12.82,12.95,12.76,12.87,12.7865,1405216,0.0,1.0
38,2020-07-28,12.77,12.82,12.569,12.71,12.6276,1208399,0.0,1.0
39,2020-07-27,12.72,12.91,12.65,12.88,12.7965,1119405,0.0,1.0
40,2020-07-24,12.81,12.9,12.67,12.71,12.6276,921839,0.0,1.0
41,2020-07-23,12.89,13.0,12.67,12.72,12.6375,1409321,0.0,1.0
42,2020-07-22,13.05,13.05,12.75,12.85,12.7667,1610645,0.0,1.0
43,2020-07-21,12.7,12.87,12.66,12.75,12.6673,1191135,0.0,1.0
44,2020-07-20,12.75,12.82,12.61,12.66,12.5779,986453,0.0,1.0
45,2020-07-17,12.79,12.89,12.64,12.82,12.7369,1079036,0.0,1.0
46,2020-07-16,12.61,12.87,12.58,12.76,12.6773,1130372,0.0,1.0
47,2020-07-15,12.54,12.71,12.44,12.65,12.568,2590306,0.0,1.0
48,2020-07-14,11.92,12.44,11.8,12.43,12.3494,2656142,0.0,1.0
49,2020-07-13,12.03,12.22,11.86,11.93,11.8526,1877264,0.0,1.0
50,2020-07-10,11.78,12.0,11.6,11.96,11.8824,1671873,0.0,1.0
51,2020-07-09,11.79,12.13,11.57,11.73,11.6539,2136241,0.0,1.0
52,2020-07-08,11.97,12.0,11.7,11.85,11.7732,1618874,0.0,1.0
53,2020-07-07,12.04,12.16,11.98,12.0,11.9222,1318358,0.0,1.0
54,2020-07-06,12.25,12.46,12.06,12.17,12.0911,1550812,0.0,1.0
55,2020-07-02,12.21,12.33,12.0,12.03,11.952,1613648,0.0,1.0
56,2020-07-01,11.85,12.21,11.7,12.08,12.0017,2017078,0.0,1.0
57,2020-06-30,11.68,11.9,11.6,11.86,11.7831,2194298,0.0,1.0
58,2020-06-29,11.61,11.705,11.38,11.65,11.5744,1445307,0.0,1.0
59,2020-06-26,11.67,11.73,11.24,11.48,11.4056,2954680,0.0,1.0
60,2020-06-25,11.62,11.87,11.51,11.76,11.6837,2881512,0.0,1.0
61,2020-06-24,11.82,11.94,11.64,11.67,11.5943,1918643,0.0,1.0
62,2020-06-23,12.1,12.21,12.0,12.0,11.9222,1713588,0.0,1.0
63,2020-06-22,11.78,12.03,11.72,11.96,11.8824,1456486,0.0,1.0
64,2020-06-19,11.95,12.21,11.78,11.86,11.7831,4731391,0.0,1.0
65,2020-06-18,12.09,12.21,11.83,11.93,11.8526,2046278,0.0,1.0
66,2020-06-17,12.01,12.37,11.84,12.3,12.2202,4059984,0.0,1.0
67,2020-06-16,12.23,12.29,11.74,11.94,11.8626,2295637,0.0,1.0
68,2020-06-15,11.34,11.9,11.26,11.79,11.7135,2143130,0.0,1.0
69,2020-06-12,11.88,11.93,11.42,11.72,11.644,1954578,0.0,1.0
70,2020-06-11,12.0,12.04,11.38,11.41,11.336,2152491,0.0,1.0
71,2020-06-10,12.88,12.88,12.37,12.39,12.3096,2155597,0.0,1.0
72,2020-06-09,13.19,13.26,12.83,12.88,12.7965,1769172,0.0,1.0
73,2020-06-08,12.95,13.38,12.92,13.36,13.2734,2387354,0.0,1.0
74,2020-06-05,13.07,13.32,12.89,12.96,12.876,3410280,0.0,1.0
75,2020-06-04,12.79,12.99,12.63,12.79,12.7071,5490177,0.0,1.0
76,2020-06-03,12.44,12.93,12.17,12.91,12.8263,4388042,0.0,1.0
77,2020-06-02,12.39,12.39,12.05,12.25,12.1706,3331015,0.0,1.0
78,2020-06-01,12.26,12.46,12.16,12.19,12.1109,2103490,0.0,1.0
79,2020-05-29,11.84,12.29,11.77,12.25,12.1706,4649540,0.0,1.0
80,2020-05-28,12.19,12.21,11.81,11.88,11.803,2614407,0.0,1.0
81,2020-05-27,12.06,12.09,11.78,12.09,12.0116,3736177,0.0,1.0
82,2020-05-26,11.94,12.01,11.73,11.88,11.803,2986859,0.0,1.0
83,2020-05-22,11.45,11.58,11.33,11.52,11.4453,1853128,0.0,1.0
84,2020-05-21,11.37,11.47,11.26,11.38,11.3062,1653134,0.0,1.0
85,2020-05-20,11.24,11.51,11.19,11.45,11.3757,1720933,0.0,1.0
86,2020-05-19,11.16,11.41,11.06,11.1,11.028,1906706,0.0,1.0
87,2020-05-18,11.35,11.54,11.09,11.16,11.0876,2455529,0.0,1.0
88,2020-05-15,10.67,10.9,10.52,10.87,10.7995,2877602,0.0,1.0
89,2020-05-14,10.39,10.8,10.07,10.73,10.6604,3967519,0.0,1.0
90,2020-05-13,10.46,10.63,10.3,10.61,10.5412,3623124,0.0,1.0
91,2020-05-12,10.74,10.99,10.57,10.59,10.5213,2166088,0.0,1.0
92,2020-05-11,10.78,10.88,10.59,10.7,10.6306,2494125,0.0,1.0
93,2020-05-08,10.61,11.06,10.21,10.93,10.8591,3163645,0.0,1.0
94,2020-05-07,9.79,9.94,9.47,9.65,9.5874,2823622,0.0,1.0
95,2020-05-06,9.6,9.81,9.5,9.67,9.6073,1965459,0.0,1.0
96,2020-05-05,9.74,10.0,9.51,9.55,9.4881,2174919,0.0,1.0
97,2020-05-04,9.34,9.69,9.2,9.64,9.5775,2787457,0.0,1.0
98,2020-05-01,9.76,9.78,9.43,9.48,9.4185,2056579,0.0,1.0
99,2020-04-30,10.26,10.59,9.86,9.91,9.8457,2009892,0.0,1.0
100,2020-04-29,10.05,10.52,10.0,10.5,10.4319,3903647,0.0,1.0
101,2020-04-28,9.65,9.95,9.49,9.81,9.7464,3478659,0.0,1.0
102,2020-04-27,8.87,9.54,8.87,9.46,9.3987,2944053,0.0,1.0
103,2020-04-24,8.73,8.91,8.65,8.83,8.7727,3409256,0.0,1.0
104,2020-04-23,8.47,8.87,8.45,8.68,8.6237,1576129,0.0,1.0
105,2020-04-22,8.62,8.67,8.41,8.44,8.3853,1538291,0.0,1.0
106,2020-04-21,8.51,8.57,8.26,8.44,8.3853,2359973,0.0,1.0
107,2020-04-20,8.74,8.92,8.61,8.77,8.7131,1929588,0.0,1.0
108,2020-04-17,8.65,9.04,8.65,8.9,8.8423,2435866,0.0,1.0
109,2020-04-16,8.94,9.1,8.4,8.44,8.3853,2201373,0.0,1.0
110,2020-04-15,9.12,9.12,8.67,8.93,8.8721,2408294,0.0,1.0
111,2020-04-14,9.58,9.6,9.14,9.41,9.349,2416418,0.0,1.0
112,2020-04-13,9.47,9.47,9.1,9.39,9.3291,2399201,0.0,1.0
113,2020-04-09,9.12,9.61,9.05,9.49,9.4285,5212174,0.0,1.0
114,2020-04-08,8.85,9.03,8.63,8.95,8.892,3740339,0.0,1.0
115,2020-04-07,8.83,9.55,8.63,8.79,8.733,5625475,0.0,1.0
