,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,10.44,10.61,10.13,10.2,10.2,5179688,0.0,1.0
1,2020-09-18,10.56,10.69,10.465,10.63,10.63,10991187,0.0,1.0
2,2020-09-17,10.27,10.66,10.27,10.62,10.62,4149049,0.0,1.0
3,2020-09-16,10.35,10.66,10.27,10.5,10.5,3974718,0.0,1.0
4,2020-09-15,10.6,10.63,10.29,10.32,10.32,3272965,0.0,1.0
5,2020-09-14,10.29,10.68,10.25,10.59,10.59,3946476,0.0,1.0
6,2020-09-11,10.13,10.28,10.045,10.18,10.18,3846440,0.0,1.0
7,2020-09-10,10.46,10.505,10.13,10.14,10.14,3987433,0.0,1.0
8,2020-09-09,10.61,10.64,10.41,10.43,10.43,3926936,0.0,1.0
9,2020-09-08,10.9604,10.9604,10.45,10.55,10.55,5308517,0.0,1.0
10,2020-09-04,10.89,11.12,10.77,11.025,11.025,4208820,0.0,1.0
11,2020-09-03,10.75,11.13,10.59,10.635,10.635,3584881,0.0,1.0
12,2020-09-02,10.53,10.72,10.46,10.65,10.65,2714338,0.0,1.0
13,2020-09-01,10.55,10.755,10.405,10.56,10.56,3799950,0.0,1.0
14,2020-08-31,10.67,10.74,10.5,10.58,10.58,3984781,0.0,1.0
15,2020-08-28,10.8,10.86,10.65,10.69,10.69,2219601,0.0,1.0
16,2020-08-27,10.51,10.8,10.48,10.72,10.72,2317334,0.0,1.0
17,2020-08-26,10.8,10.8,10.45,10.46,10.46,2389346,0.0,1.0
18,2020-08-25,10.95,11.05,10.664,10.81,10.81,2454334,0.0,1.0
19,2020-08-24,10.54,10.8,10.36,10.79,10.79,2985065,0.0,1.0
20,2020-08-21,10.5,10.535,10.37,10.45,10.45,2824800,0.0,1.0
21,2020-08-20,10.65,10.74,10.48,10.51,10.51,2940024,0.0,1.0
22,2020-08-19,10.87,11.015,10.755,10.8,10.8,2345528,0.0,1.0
23,2020-08-18,11.2196,11.22,10.81,10.85,10.85,3518974,0.0,1.0
24,2020-08-17,11.28,11.355,11.135,11.17,11.17,3510662,0.0,1.0
25,2020-08-14,11.17,11.48,11.08,11.36,11.36,2585978,0.0,1.0
26,2020-08-13,11.41,11.55,11.2,11.24,11.24,3102089,0.0,1.0
27,2020-08-12,11.92,11.92,11.37,11.55,11.55,2765035,0.0,1.0
28,2020-08-11,11.85,12.12,11.57,11.65,11.65,3152075,0.0,1.0
29,2020-08-10,11.427,11.72,11.345,11.55,11.55,2989950,0.0,1.0
30,2020-08-07,10.85,11.335,10.755,11.32,11.32,3147597,0.0,1.0
31,2020-08-06,10.71,11.02,10.68,10.85,10.85,3363603,0.0,1.0
32,2020-08-05,10.57,10.755,10.49,10.72,10.72,6767792,0.0,1.0
33,2020-08-04,10.67,10.705,10.35,10.52,10.52,6566104,0.0,1.0
34,2020-08-03,10.86,10.97,10.6,10.675,10.675,9897654,0.0,1.0
35,2020-07-31,11.0,11.06,10.75,10.79,10.79,13711829,0.18,1.0
36,2020-07-30,11.2,11.28,10.85,11.24,11.0556,5322693,0.0,1.0
37,2020-07-29,11.26,11.48,11.04,11.47,11.2818,6188202,0.0,1.0
38,2020-07-28,11.26,11.44,11.165,11.19,11.0064,5786507,0.0,1.0
39,2020-07-27,12.1685,12.1685,11.28,11.36,11.1736,4985457,0.0,1.0
40,2020-07-24,11.99,12.36,11.87,12.0,11.8031,5354483,0.0,1.0
41,2020-07-23,11.52,11.92,11.52,11.78,11.5867,3413098,0.0,1.0
42,2020-07-22,11.66,11.69,11.42,11.57,11.3802,2906005,0.0,1.0
43,2020-07-21,11.16,11.73,11.15,11.71,11.5179,2849500,0.0,1.0
44,2020-07-20,11.25,11.35,11.08,11.09,10.908,2919500,0.0,1.0
45,2020-07-17,11.66,11.7,11.32,11.35,11.1638,3272100,0.0,1.0
46,2020-07-16,11.59,11.87,11.48,11.66,11.4687,2700300,0.0,1.0
47,2020-07-15,11.5,11.79,11.38,11.71,11.5179,3121600,0.0,1.0
48,2020-07-14,11.25,11.4,10.99,11.16,10.9769,3105400,0.0,1.0
49,2020-07-13,11.2,11.49,11.0,11.31,11.1244,4218000,0.0,1.0
50,2020-07-10,10.55,11.16,10.47,11.13,10.9474,5151100,0.0,1.0
51,2020-07-09,10.9,10.96,10.34,10.4,10.2294,4963400,0.0,1.0
52,2020-07-08,10.97,11.2,10.79,10.97,10.79,3235700,0.0,1.0
53,2020-07-07,11.19,11.23,10.93,11.0,10.8195,4174700,0.0,1.0
54,2020-07-06,11.43,11.72,11.26,11.36,11.1736,3266800,0.0,1.0
55,2020-07-02,11.59,11.74,11.13,11.18,10.9966,4493000,0.0,1.0
56,2020-07-01,11.62,11.62,11.18,11.21,11.0261,3250100,0.0,1.0
57,2020-06-30,11.19,11.65,11.15,11.57,11.3802,4375600,0.0,1.0
58,2020-06-29,11.03,11.43,10.965,11.31,11.1244,4005476,0.0,1.0
59,2020-06-26,11.19,11.21,10.67,10.83,10.6523,5272600,0.0,1.0
60,2020-06-25,11.04,11.49,11.03,11.45,11.2621,3291500,0.0,1.0
61,2020-06-24,11.65,11.66,11.13,11.14,10.9572,3938300,0.0,1.0
62,2020-06-23,12.0,12.32,11.79,11.81,11.6162,4070000,0.0,1.0
63,2020-06-22,11.85,12.07,11.73,11.84,11.6457,3729200,0.0,1.0
64,2020-06-19,12.18,12.18,11.58,11.97,11.7736,11074000,0.0,1.0
65,2020-06-18,11.91,12.26,11.8,11.97,11.7736,4673900,0.0,1.0
66,2020-06-17,12.56,12.58,12.03,12.07,11.872,4305200,0.0,1.0
67,2020-06-16,12.77,12.86,12.29,12.58,12.3736,4126800,0.0,1.0
68,2020-06-15,11.67,12.25,11.58,12.19,11.99,5871200,0.0,1.0
69,2020-06-12,12.27,12.28,11.75,12.2,11.9998,5759300,0.0,1.0
70,2020-06-11,12.05,12.41,11.6,11.66,11.4687,4935200,0.0,1.0
71,2020-06-10,13.38,13.38,12.76,12.79,12.5801,4789600,0.0,1.0
72,2020-06-09,13.5,13.75,13.07,13.52,13.2982,4394200,0.0,1.0
73,2020-06-08,13.76,13.99,13.57,13.79,13.5637,4891000,0.0,1.0
74,2020-06-05,13.48,13.68,13.18,13.45,13.2293,5764700,0.0,1.0
75,2020-06-04,12.19,12.65,11.97,12.65,12.4424,4310200,0.0,1.0
76,2020-06-03,11.9,12.38,11.9,12.19,11.99,3744800,0.0,1.0
77,2020-06-02,11.91,12.03,11.54,11.65,11.4588,3037900,0.0,1.0
78,2020-06-01,11.53,11.81,11.4,11.75,11.5572,3112600,0.0,1.0
79,2020-05-29,11.45,11.69,11.33,11.45,11.2621,7265900,0.0,1.0
80,2020-05-28,12.32,12.41,11.56,11.63,11.4392,3471200,0.0,1.0
81,2020-05-27,12.18,12.39,11.89,12.28,12.0785,3371500,0.0,1.0
82,2020-05-26,11.32,11.91,11.24,11.73,11.5375,3658700,0.0,1.0
83,2020-05-22,11.21,11.27,10.83,10.86,10.6818,3103000,0.0,1.0
84,2020-05-21,11.3,11.46,11.13,11.17,10.9867,3353600,0.0,1.0
85,2020-05-20,11.23,11.49,11.23,11.4,11.2129,3088000,0.0,1.0
86,2020-05-19,11.44,11.57,11.0,11.02,10.8392,5151300,0.0,1.0
87,2020-05-18,11.14,11.59,11.12,11.54,11.3506,3654000,0.0,1.0
88,2020-05-15,10.79,10.96,10.57,10.68,10.5048,3216000,0.0,1.0
89,2020-05-14,10.47,11.03,10.0,10.91,10.731,3959700,0.0,1.0
90,2020-05-13,11.0,11.11,10.29,10.5,10.3277,4482000,0.0,1.0
91,2020-05-12,11.64,11.81,11.07,11.07,10.8884,2621900,0.0,1.0
92,2020-05-11,11.84,11.93,11.52,11.58,11.39,1930000,0.0,1.0
93,2020-05-08,11.76,12.09,11.73,12.06,11.8621,1728700,0.0,1.0
94,2020-05-07,11.53,12.04,11.45,11.54,11.3506,2697400,0.0,1.0
95,2020-05-06,11.71,11.8,11.28,11.36,11.1736,2159000,0.0,1.0
96,2020-05-05,12.08,12.21,11.58,11.61,11.4195,2643100,0.0,1.0
97,2020-05-04,11.72,11.98,11.61,11.84,11.6457,2296400,0.0,1.0
98,2020-05-01,12.43,12.43,11.81,11.97,11.7736,2858400,0.0,1.0
99,2020-04-30,12.77,12.93,12.51,12.69,12.4818,10218900,0.18,1.0
100,2020-04-29,13.26,13.53,12.9,13.25,12.8503,4164500,0.0,1.0
101,2020-04-28,12.5,12.9,12.47,12.74,12.3557,4390700,0.0,1.0
102,2020-04-27,12.04,12.38,11.9,12.26,11.8902,3463100,0.0,1.0
