,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,81.48,83.17,80.97,82.34,82.34,1342356,0.0,1.0
1,2020-09-21,83.41,83.58,80.36,81.86,81.86,1665846,0.0,1.0
2,2020-09-18,85.94,86.24,83.98,84.24,84.24,2237107,0.0,1.0
3,2020-09-17,85.04,86.9,84.23,85.86,85.86,1621681,0.0,1.0
4,2020-09-16,86.77,87.29,85.85,86.42,86.42,1328771,0.0,1.0
5,2020-09-15,86.39,86.98,85.66,85.77,85.77,1743049,0.0,1.0
6,2020-09-14,84.64,86.59,84.2,86.355,86.355,1551522,0.0,1.0
7,2020-09-11,83.05,84.23,82.9,83.89,83.89,2842876,0.0,1.0
8,2020-09-10,84.54,85.63,82.36,82.84,82.84,1415849,0.0,1.0
9,2020-09-09,83.88,85.51,83.55,84.96,84.96,2129500,0.0,1.0
10,2020-09-08,84.82,85.24,83.36,83.49,83.49,1752546,0.0,1.0
11,2020-09-04,86.39,86.77,85.01,85.62,85.62,1490396,0.0,1.0
12,2020-09-03,88.86,89.03,84.79,85.45,85.45,1610568,0.0,1.0
13,2020-09-02,87.04,88.2,87.04,87.88,87.88,1534744,0.0,1.0
14,2020-09-01,85.98,87.13,85.01,87.05,87.05,1730428,0.0,1.0
15,2020-08-31,85.97,86.665,85.69,85.84,85.84,1435641,0.0,1.0
16,2020-08-28,86.09,86.5,85.52,86.49,86.49,1149889,0.0,1.0
17,2020-08-27,87.44,87.55,85.965,86.33,86.33,1105652,0.0,1.0
18,2020-08-26,86.07,87.24,85.4201,86.87,86.87,1103092,0.0,1.0
19,2020-08-25,87.46,87.84,86.17,86.41,86.41,1324647,0.0,1.0
20,2020-08-24,87.25,87.91,86.7,86.9,86.9,1695612,0.0,1.0
21,2020-08-21,87.04,87.44,86.46,87.02,87.02,1300373,0.0,1.0
22,2020-08-20,87.67,88.3509,86.89,87.18,87.18,984437,0.0,1.0
23,2020-08-19,88.46,89.05,87.76,88.11,88.11,1402053,0.0,1.0
24,2020-08-18,88.96,89.4763,88.3776,88.56,88.56,986522,0.0,1.0
25,2020-08-17,89.25,89.53,88.37,88.61,88.61,1793208,0.0,1.0
26,2020-08-14,88.5,89.455,88.01,88.95,88.95,1365599,0.0,1.0
27,2020-08-13,90.02,90.02,88.25,88.5,88.5,1550075,0.0,1.0
28,2020-08-12,90.61,90.99,89.87,90.33,90.33,1575666,0.0,1.0
29,2020-08-11,90.48,91.3,89.81,90.39,90.39,1522764,0.0,1.0
30,2020-08-10,88.58,90.64,87.36,89.85,89.85,2262929,0.32,1.0
31,2020-08-07,87.06,88.63,86.81,88.6,88.2856,1361667,0.0,1.0
32,2020-08-06,86.53,87.39,86.53,87.36,87.05,1434900,0.0,1.0
33,2020-08-05,85.6,86.97,85.0,86.9,86.5916,1467870,0.0,1.0
34,2020-08-04,84.71,85.3,84.5,84.91,84.6087,1415323,0.0,1.0
35,2020-08-03,84.97,86.18,84.745,85.61,85.3062,1309128,0.0,1.0
