,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,39.09,39.64,38.33,38.82,38.82,1097652,0.0,1.0
1,2020-09-21,38.96,39.49,38.28,39.0,39.0,1596072,0.0,1.0
2,2020-09-18,41.14,41.3308,40.14,40.16,40.16,1776973,0.0,1.0
3,2020-09-17,41.14,41.48,40.64,41.29,41.29,1335616,0.0,1.0
4,2020-09-16,40.14,41.99,39.98,41.61,41.61,1856673,0.0,1.0
5,2020-09-15,41.35,41.53,39.93,39.95,39.95,1091820,0.0,1.0
6,2020-09-14,41.44,41.81,41.0,41.32,41.32,973705,0.0,1.0
7,2020-09-11,40.78,41.59,40.47,41.07,41.07,1204681,0.0,1.0
8,2020-09-10,41.98,42.8,40.65,40.77,40.77,1300479,0.0,1.0
9,2020-09-09,42.67,42.735,41.68,41.85,41.85,1078723,0.0,1.0
10,2020-09-08,43.04,43.35,41.73,42.09,42.09,1691428,0.0,1.0
11,2020-09-04,43.54,43.86,42.6,43.42,43.42,1351444,0.0,1.0
12,2020-09-03,43.64,44.53,42.12,42.52,42.52,1392888,0.0,1.0
13,2020-09-02,42.77,43.455,42.21,43.3,43.3,1257185,0.0,1.0
14,2020-09-01,41.75,43.28,41.54,42.88,42.88,1251922,0.0,1.0
15,2020-08-31,43.8,43.81,42.07,42.11,42.11,1691112,0.56,1.0
16,2020-08-28,44.71,44.72,43.7481,44.33,43.7482,964266,0.0,1.0
17,2020-08-27,43.61,44.9,43.61,44.34,43.7581,989292,0.0,1.0
18,2020-08-26,44.09,44.1494,43.61,43.705,43.1314,791150,0.0,1.0
19,2020-08-25,45.0,45.43,44.17,44.31,43.7285,814322,0.0,1.0
20,2020-08-24,43.15,44.67,42.93,44.62,44.0344,855402,0.0,1.0
21,2020-08-21,43.19,43.48,42.33,42.605,42.0459,885609,0.0,1.0
22,2020-08-20,43.2,43.46,42.875,43.14,42.5738,838028,0.0,1.0
23,2020-08-19,43.57,44.4,43.46,43.69,43.1166,847933,0.0,1.0
