,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,96.71,97.81,93.48,94.42,94.42,2903871,0.0,1.0
1,2020-09-21,95.69,97.38,95.36,97.36,97.36,2740777,0.0,1.0
2,2020-09-18,95.12,97.52,94.94,96.86,96.86,3894584,0.0,1.0
3,2020-09-17,94.39,95.99,93.81,95.43,95.43,2322295,0.0,1.0
4,2020-09-16,95.89,96.25,95.05,95.08,95.08,1808456,0.0,1.0
5,2020-09-15,96.37,96.9,94.94,95.08,95.08,1764153,0.0,1.0
6,2020-09-14,95.68,96.58,95.37,96.26,96.26,1838728,0.0,1.0
7,2020-09-11,94.3,95.67,94.18,94.98,94.98,1494686,0.0,1.0
8,2020-09-10,94.47,95.59,94.15,94.35,94.35,1912046,0.0,1.0
9,2020-09-09,92.34,95.4096,92.34,94.67,94.67,1826886,0.0,1.0
10,2020-09-08,93.09,93.09,90.625,91.81,91.81,2398180,0.0,1.0
11,2020-09-04,93.99,95.05,92.425,92.94,92.94,2059469,0.0,1.0
12,2020-09-03,95.59,96.2,92.66,93.29,93.29,2378030,0.0,1.0
13,2020-09-02,94.11,95.365,93.2501,95.0,95.0,1774056,0.0,1.0
14,2020-09-01,94.8,95.29,93.075,93.87,93.87,2426199,0.0,1.0
15,2020-08-31,93.71,95.35,93.1,95.04,95.04,2169154,0.0,1.0
16,2020-08-28,93.68,93.82,93.115,93.68,93.68,1425815,0.0,1.0
17,2020-08-27,92.49,93.9,92.49,93.31,93.31,1407342,0.0,1.0
18,2020-08-26,92.07,92.735,91.52,92.17,92.17,1603644,0.0,1.0
19,2020-08-25,92.45,93.03,91.72,92.77,92.77,2443850,0.0,1.0
20,2020-08-24,92.0,92.34,91.43,92.0,92.0,2535029,0.0,1.0
21,2020-08-21,91.22,91.9941,90.81,91.82,91.82,2085578,0.0,1.0
22,2020-08-20,90.28,91.05,90.09,90.84,90.84,1663186,0.0,1.0
23,2020-08-19,90.16,91.02,89.95,90.41,90.41,2728041,0.0,1.0
24,2020-08-18,88.96,89.96,88.9,89.74,89.74,1510248,0.0,1.0
25,2020-08-17,88.55,89.78,88.47,88.83,88.83,1623853,0.0,1.0
26,2020-08-14,89.0,89.5572,88.6,88.97,88.97,1731176,0.0,1.0
27,2020-08-13,88.38,89.05,87.93,89.04,89.04,1994849,0.0,1.0
28,2020-08-12,90.03,90.48,88.72,89.01,89.01,2058888,0.0,1.0
29,2020-08-11,90.93,91.12,88.87,89.02,89.02,2468168,0.0,1.0
30,2020-08-10,90.99,91.14,89.71,90.12,90.12,2410688,0.0,1.0
31,2020-08-07,89.31,90.77,89.31,90.73,90.73,1735406,0.0,1.0
32,2020-08-06,90.7,91.38,88.91,89.61,89.61,2514610,0.0,1.0
33,2020-08-05,91.03,91.81,90.555,90.62,90.62,2446491,0.0,1.0
34,2020-08-04,89.58,90.47,89.43,90.25,90.25,2198087,0.0,1.0
35,2020-08-03,90.7,91.23,89.65,89.89,89.89,2134399,0.0,1.0
36,2020-07-31,88.2,90.41,88.11,90.34,90.34,4016496,0.0,1.0
37,2020-07-30,87.89,89.325,87.68,88.52,88.52,2119893,0.0,1.0
38,2020-07-29,87.01,89.26,87.01,88.92,88.92,1880520,0.0,1.0
39,2020-07-28,87.53,87.83,86.66,87.42,87.42,2470202,0.0,1.0
40,2020-07-27,87.84,88.3,86.8,87.3,87.3,2060079,0.0,1.0
41,2020-07-24,88.86,89.165,87.51,87.86,87.86,2204357,0.0,1.0
42,2020-07-23,89.97,90.72,88.34,88.64,88.64,1999907,0.0,1.0
43,2020-07-22,89.15,90.22,88.52,90.14,90.14,1789059,0.0,1.0
44,2020-07-21,88.05,89.39,88.05,88.85,88.85,1712563,0.0,1.0
45,2020-07-20,87.7,88.41,87.43,88.13,88.13,1825319,0.0,1.0
46,2020-07-17,87.36,87.76,86.39,87.63,87.63,2659000,0.0,1.0
47,2020-07-16,85.85,87.59,85.72,87.11,87.11,2652400,0.0,1.0
48,2020-07-15,85.0,86.49,84.35,85.89,85.89,3965200,0.0,1.0
49,2020-07-14,80.63,84.51,80.45,84.5,84.5,6819600,0.0,1.0
50,2020-07-13,80.92,81.32,79.68,80.33,80.33,2266400,0.0,1.0
51,2020-07-10,78.27,80.96,78.25,80.76,80.76,2313800,0.0,1.0
52,2020-07-09,77.38,77.97,76.16,77.79,77.79,2764700,0.0,1.0
53,2020-07-08,78.06,78.5,76.32,77.37,77.37,3326500,0.0,1.0
54,2020-07-07,79.1,79.25,77.72,78.02,78.02,2558800,0.0,1.0
55,2020-07-06,80.19,80.49,79.19,79.42,79.42,2312900,0.1,1.0
56,2020-07-02,80.49,80.49,78.8,79.23,79.1304,2492500,0.0,1.0
57,2020-07-01,79.96,80.8,79.64,79.8,79.6996,2971200,0.0,1.0
58,2020-06-30,78.5,80.5,78.41,80.11,80.0093,2598000,0.0,1.0
59,2020-06-29,78.12,79.26,77.88,78.4,78.3014,2806200,0.0,1.0
60,2020-06-26,79.18,80.29,77.35,77.89,77.792,3733400,0.0,1.0
61,2020-06-25,77.41,79.97,77.26,79.9,79.7995,2242600,0.0,1.0
62,2020-06-24,79.39,79.68,77.18,77.29,77.1928,3611500,0.0,1.0
63,2020-06-23,81.52,81.93,79.98,80.06,79.9593,1786300,0.0,1.0
64,2020-06-22,80.54,81.72,80.28,80.82,80.7184,1870000,0.0,1.0
65,2020-06-19,83.16,83.16,79.89,80.99,80.8882,4534600,0.0,1.0
66,2020-06-18,78.91,81.65,78.59,80.87,80.7683,2863500,0.0,1.0
67,2020-06-17,80.82,81.26,79.15,79.21,79.1104,2714000,0.0,1.0
68,2020-06-16,81.19,81.6,78.91,80.43,80.3289,3455000,0.0,1.0
69,2020-06-15,75.38,79.51,75.25,79.29,79.1903,3258700,0.0,1.0
70,2020-06-12,77.41,78.27,75.0,76.6,76.5037,2344300,0.0,1.0
71,2020-06-11,78.77,79.18,75.82,75.92,75.8245,3302500,0.0,1.0
72,2020-06-10,80.81,81.83,79.94,80.28,80.179,2412400,0.0,1.0
73,2020-06-09,81.0,81.56,80.2,81.02,80.9181,2464600,0.0,1.0
74,2020-06-08,81.53,81.69,80.49,81.51,81.4075,3052300,0.0,1.0
75,2020-06-05,80.33,82.7,78.78,81.87,81.767,3836800,0.0,1.0
76,2020-06-04,78.59,78.97,77.57,78.8,78.7009,2766400,0.0,1.0
77,2020-06-03,79.83,79.83,78.3,79.11,79.0105,2288400,0.0,1.0
78,2020-06-02,78.57,79.28,78.29,79.08,78.9806,2205200,0.0,1.0
79,2020-06-01,77.75,78.88,77.22,78.34,78.2415,1749000,0.0,1.0
