,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,198.9,201.09,197.35,200.63,200.63,556910,0.0,1.0
1,2020-09-21,202.85,204.4,194.42,198.99,198.99,1109963,0.0,1.0
2,2020-09-18,213.6,215.45,207.79,208.41,208.41,951020,0.0,1.0
3,2020-09-17,211.71,215.89,208.46,214.07,214.07,685791,0.0,1.0
4,2020-09-16,212.23,217.59,211.1,214.33,214.33,710094,0.0,1.0
5,2020-09-15,212.31,214.25,209.77,209.93,209.93,524141,0.0,1.0
6,2020-09-14,211.16,212.44,209.42,211.44,211.44,988007,0.0,1.0
7,2020-09-11,205.64,209.96,205.11,209.13,209.13,865812,0.0,1.0
8,2020-09-10,207.97,209.54,203.52,204.31,204.31,624266,0.0,1.0
9,2020-09-09,205.0,208.8,204.8,207.09,207.09,702093,0.0,1.0
10,2020-09-08,205.23,207.345,202.86,203.11,203.11,650205,0.0,1.0
11,2020-09-04,209.07,210.57,204.81,207.3,207.3,1399115,0.0,1.0
12,2020-09-03,214.0,214.54,204.41,206.31,206.31,998663,0.0,1.0
13,2020-09-02,212.87,215.21,210.66,214.33,214.33,1011060,0.0,1.0
14,2020-09-01,205.0,211.9833,203.57,211.77,211.77,996789,0.0,1.0
15,2020-08-31,209.36,209.96,205.95,206.01,206.01,1027514,0.0,1.0
16,2020-08-28,209.11,211.22,208.39,210.47,210.47,854043,0.0,1.0
17,2020-08-27,210.75,211.69,207.72,207.79,207.79,616576,0.88,1.0
18,2020-08-26,208.28,210.59,207.405,209.78,208.8953,969840,0.0,1.0
19,2020-08-25,210.87,211.2363,207.89,209.53,208.6464,769431,0.0,1.0
20,2020-08-24,207.37,210.29,206.14,209.77,208.8854,785733,0.0,1.0
21,2020-08-21,204.76,207.83,204.63,206.32,205.4499,893595,0.0,1.0
22,2020-08-20,203.74,206.21,202.97,204.87,204.006,626185,0.0,1.0
23,2020-08-19,206.45,208.07,205.21,206.11,205.2408,512665,0.0,1.0
24,2020-08-18,208.25,209.16,206.37,206.72,205.8482,570728,0.0,1.0
25,2020-08-17,209.43,211.325,208.46,208.73,207.8497,614737,0.0,1.0
26,2020-08-14,206.06,210.93,205.87,209.62,208.736,552482,0.0,1.0
27,2020-08-13,207.5,209.29,206.58,207.9,207.0232,603574,0.0,1.0
28,2020-08-12,210.58,211.26,206.86,209.56,208.6762,907092,0.0,1.0
29,2020-08-11,207.29,213.86,206.77,208.53,207.6506,1966396,0.0,1.0
30,2020-08-10,197.56,204.63,197.37,204.47,203.6077,1093682,0.0,1.0
31,2020-08-07,194.99,198.04,192.63,197.6,196.7667,1130850,0.0,1.0
32,2020-08-06,186.0,194.72,185.69,193.03,192.216,2048750,0.0,1.0
33,2020-08-05,183.47,186.805,183.02,185.61,184.8272,1033123,0.0,1.0
34,2020-08-04,181.21,182.7,180.14,181.26,180.4956,693110,0.0,1.0
35,2020-08-03,179.65,183.43,178.68,181.89,181.1229,656103,0.0,1.0
36,2020-07-31,179.9,179.9,175.65,178.92,178.1655,876263,0.0,1.0
37,2020-07-30,180.5,180.825,175.02,180.52,179.7587,807116,0.0,1.0
38,2020-07-29,182.44,183.58,180.895,183.54,182.766,1476240,0.0,1.0
39,2020-07-28,184.96,185.8117,180.35,180.37,179.6093,470498,0.0,1.0
40,2020-07-27,182.87,186.12,180.66,185.65,184.8671,645245,0.0,1.0
41,2020-07-24,184.01,184.9,182.03,182.86,182.0888,423246,0.0,1.0
42,2020-07-23,184.23,185.785,182.92,184.06,183.2838,448432,0.0,1.0
43,2020-07-22,182.92,185.55,182.3,184.8,184.0207,621990,0.0,1.0
44,2020-07-21,182.6,185.77,182.25,183.21,182.4374,954700,0.0,1.0
45,2020-07-20,183.67,184.31,180.16,181.31,180.5454,562700,0.0,1.0
46,2020-07-17,185.38,186.33,183.75,184.96,184.18,628100,0.0,1.0
47,2020-07-16,186.22,186.28,182.37,184.46,183.6821,1027600,0.0,1.0
48,2020-07-15,188.19,189.0,183.97,186.82,186.0321,1614500,0.0,1.0
