,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,44.78,45.94,44.47,45.87,45.87,2281271,0.0,1.0
1,2020-09-21,43.99,44.69,43.24,44.61,44.61,2571860,0.0,1.0
2,2020-09-18,45.22,45.91,44.44,44.98,44.98,5646277,0.12,1.0
3,2020-09-17,45.91,46.41,45.04,45.46,45.339,2211826,0.0,1.0
4,2020-09-16,45.62,47.18,45.4,46.72,46.5957,2525704,0.0,1.0
5,2020-09-15,45.56,46.38,44.96,45.05,44.9301,2442504,0.0,1.0
6,2020-09-14,45.83,45.87,44.93,45.67,45.5485,2166849,0.0,1.0
7,2020-09-11,44.8,45.53,44.6974,45.3,45.1795,1993027,0.0,1.0
8,2020-09-10,44.86,45.48,44.21,44.5,44.3816,1921920,0.0,1.0
9,2020-09-09,43.74,45.0,43.46,44.6,44.4813,2769456,0.0,1.0
10,2020-09-08,42.59,44.31,42.31,43.19,43.0751,3022360,0.0,1.0
11,2020-09-04,44.45,44.93,42.18,43.21,43.095,2922985,0.0,1.0
12,2020-09-03,46.16,46.27,43.67,44.19,44.0724,2416867,0.0,1.0
13,2020-09-02,46.29,46.42,44.76,46.14,46.0172,1854574,0.0,1.0
14,2020-09-01,44.53,46.06,44.27,46.05,45.9275,2325289,0.0,1.0
15,2020-08-31,45.47,45.47,44.21,44.59,44.4714,2451258,0.0,1.0
16,2020-08-28,46.02,46.42,45.19,45.32,45.1994,2356627,0.0,1.0
17,2020-08-27,46.59,47.0,45.73,45.75,45.6283,2794345,0.0,1.0
18,2020-08-26,47.24,47.39,46.245,46.29,46.1668,2369723,0.0,1.0
19,2020-08-25,48.0,48.0,46.54,47.18,47.0545,2174542,0.0,1.0
20,2020-08-24,47.59,47.9,46.89,47.62,47.4933,2095130,0.0,1.0
21,2020-08-21,46.37,47.64,46.18,47.48,47.3537,2006639,0.0,1.0
22,2020-08-20,45.71,46.88,45.55,46.34,46.2167,2132792,0.0,1.0
23,2020-08-19,46.34,46.6,45.75,46.17,46.0472,2003917,0.0,1.0
24,2020-08-18,47.43,47.43,46.47,46.61,46.486,3209919,0.0,1.0
25,2020-08-17,45.35,46.66,45.2,46.43,46.3065,3448799,0.0,1.0
26,2020-08-14,45.16,45.25,44.8,45.07,44.9501,2200783,0.0,1.0
27,2020-08-13,45.23,45.84,44.585,45.52,45.3989,2281821,0.0,1.0
28,2020-08-12,44.74,45.75,44.35,45.44,45.3191,2288460,0.0,1.0
29,2020-08-11,45.64,46.06,44.15,44.37,44.2519,3295242,0.0,1.0
30,2020-08-10,44.48,46.16,44.21,45.16,45.0398,3426756,0.0,1.0
31,2020-08-07,44.22,44.62,43.5696,44.26,44.1422,2446391,0.0,1.0
32,2020-08-06,44.45,44.95,44.26,44.72,44.601,1829986,0.0,1.0
33,2020-08-05,44.29,44.76,43.84,44.51,44.3916,1895730,0.0,1.0
34,2020-08-04,43.85,44.365,43.62,44.14,44.0226,2358369,0.0,1.0
35,2020-08-03,43.87,44.64,43.5883,44.03,43.9128,2264417,0.0,1.0
36,2020-07-31,43.86,43.86,42.51,43.6,43.484,2694840,0.0,1.0
37,2020-07-30,43.87,44.387,43.47,43.87,43.7533,2245006,0.0,1.0
38,2020-07-29,43.66,44.74,43.62,44.7,44.5811,2752994,0.0,1.0
39,2020-07-28,44.55,44.98,43.43,43.49,43.3743,4662434,0.0,1.0
40,2020-07-27,43.38,44.4,42.57,44.24,44.1223,4976358,0.0,1.0
41,2020-07-24,41.78,42.91,40.7,42.62,42.5066,5236136,0.0,1.0
42,2020-07-23,41.92,43.99,40.7426,41.29,41.1801,9080832,0.0,1.0
43,2020-07-22,37.96,39.738,37.71,39.44,39.3351,4099345,0.0,1.0
