,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,96.61,99.99,96.61,99.19,99.19,3117898,0.0,1.0
1,2020-09-21,98.12,98.4,95.89,96.55,96.55,4409528,0.0,1.0
2,2020-09-18,101.29,102.03,98.7,99.52,99.52,4555497,0.0,1.0
3,2020-09-17,100.89,102.18,99.97,101.1,101.1,2309049,0.0,1.0
4,2020-09-16,102.87,103.26,101.97,102.04,102.04,2363612,0.58,1.0
5,2020-09-15,102.2,103.58,102.13,102.73,102.1494,1524549,0.0,1.0
6,2020-09-14,100.92,102.85,100.75,101.95,101.3738,1842780,0.0,1.0
7,2020-09-11,100.43,100.94,99.17,100.21,99.6436,1830164,0.0,1.0
8,2020-09-10,100.76,101.6,99.82,100.01,99.4448,1792318,0.0,1.0
9,2020-09-09,99.96,101.58,99.73,100.98,100.4093,2999665,0.0,1.0
10,2020-09-08,100.07,100.26,98.31,98.8,98.2416,2764554,0.0,1.0
11,2020-09-04,101.52,102.4,98.1886,100.76,100.1905,2042910,0.0,1.0
12,2020-09-03,104.35,104.66,100.61,101.61,101.0357,2368151,0.0,1.0
13,2020-09-02,101.51,104.66,100.91,104.58,103.9889,3236635,0.0,1.0
14,2020-09-01,101.74,101.885,100.76,101.5,100.9263,1735626,0.0,1.0
15,2020-08-31,102.44,102.68,100.88,101.86,101.2843,2630703,0.0,1.0
16,2020-08-28,102.63,102.63,101.22,102.49,101.9107,1941778,0.0,1.0
17,2020-08-27,101.67,102.676,101.4,101.9,101.3241,2035222,0.0,1.0
18,2020-08-26,101.71,101.96,100.3,101.03,100.459,2780151,0.0,1.0
19,2020-08-25,102.51,102.6,100.947,101.98,101.4036,3121253,0.0,1.0
20,2020-08-24,102.53,102.68,100.42,102.0,101.4235,2015922,0.0,1.0
21,2020-08-21,103.54,103.6196,101.85,103.04,102.4576,1411041,0.0,1.0
22,2020-08-20,101.53,103.44,101.25,102.69,102.1096,1794452,0.0,1.0
23,2020-08-19,103.75,104.05,101.47,101.74,101.165,2827303,0.0,1.0
24,2020-08-18,104.08,104.32,102.99,103.65,103.0642,1490627,0.0,1.0
25,2020-08-17,102.3,104.22,102.0,104.21,103.621,2081378,0.0,1.0
26,2020-08-14,102.34,103.847,102.03,102.32,101.7417,2689846,0.0,1.0
27,2020-08-13,102.5,103.73,102.33,102.64,102.0599,2104547,0.0,1.0
28,2020-08-12,102.2,103.08,100.97,102.88,102.2985,2751372,0.0,1.0
29,2020-08-11,104.68,104.71,100.08,100.51,99.9419,3576281,0.0,1.0
30,2020-08-10,105.31,105.64,103.73,103.73,103.1437,2653684,0.0,1.0
31,2020-08-07,104.37,105.15,104.1,105.07,104.4762,2014720,0.0,1.0
32,2020-08-06,104.58,105.82,104.57,104.88,104.2872,1743226,0.0,1.0
33,2020-08-05,106.12,106.495,104.63,104.9,104.3071,1561671,0.0,1.0
34,2020-08-04,104.69,105.94,104.08,105.59,104.9932,2977176,0.0,1.0
35,2020-08-03,105.48,105.92,104.0,104.98,104.3867,2063084,0.0,1.0
36,2020-07-31,104.91,105.58,103.1,105.42,104.8242,3832844,0.0,1.0
37,2020-07-30,104.98,106.73,104.33,105.19,104.5955,2758547,0.0,1.0
38,2020-07-29,102.6,106.23,102.6,106.17,105.5699,3888565,0.0,1.0
39,2020-07-28,101.6,103.17,101.16,102.54,101.9605,3263295,0.0,1.0
40,2020-07-27,99.56,101.89,98.42,101.76,101.1849,3130308,0.0,1.0
41,2020-07-24,98.61,100.14,97.97,99.91,99.3453,3020603,0.0,1.0
42,2020-07-23,97.94,100.61,97.91,98.9,98.341,3099281,0.0,1.0
43,2020-07-22,97.16,98.75,96.44,98.38,97.824,3412915,0.0,1.0
44,2020-07-21,98.63,99.51,97.07,97.93,97.3765,3539734,0.0,1.0
45,2020-07-20,94.93,95.83,94.6,94.73,94.1946,2380686,0.0,1.0
46,2020-07-17,92.83,95.97,92.5,95.34,94.8011,3325125,0.0,1.0
47,2020-07-16,93.51,94.51,92.06,92.1,91.5795,2902922,0.0,1.0
48,2020-07-15,94.61,94.72,92.67,93.74,93.2102,3859620,0.0,1.0
49,2020-07-14,93.67,94.23,92.48,93.38,92.8522,4206174,0.0,1.0
50,2020-07-13,95.48,96.44,93.55,93.57,93.0411,4693905,0.0,1.0
51,2020-07-10,95.94,96.43,94.45,94.82,94.2841,3033182,0.0,1.0
52,2020-07-09,96.0,96.85,94.38,96.57,96.0242,2583243,0.0,1.0
53,2020-07-08,94.93,95.82,94.78,95.76,95.2188,3082811,0.0,1.0
54,2020-07-07,94.0,95.77,93.91,94.83,94.294,2555088,0.0,1.0
55,2020-07-06,97.0,97.94,95.15,95.56,95.0199,2509758,0.0,1.0
56,2020-07-02,96.63,97.19,95.05,95.55,95.01,2717411,0.0,1.0
57,2020-07-01,93.52,95.4,92.89,95.15,94.6122,2624954,0.0,1.0
58,2020-06-30,91.04,94.24,91.04,93.33,92.8025,5111671,0.0,1.0
59,2020-06-29,90.91,91.61,89.47,91.17,90.6547,2249009,0.0,1.0
60,2020-06-26,90.97,91.73,89.16,89.83,89.3223,4403238,0.0,1.0
61,2020-06-25,89.75,91.57,88.83,91.47,90.953,3009326,0.0,1.0
62,2020-06-24,90.02,91.58,87.93,89.8,89.2925,4726042,0.0,1.0
63,2020-06-23,93.61,93.83,91.26,91.45,90.9331,2396974,0.0,1.0
64,2020-06-22,91.82,92.64,89.92,92.56,92.0369,3409950,0.0,1.0
65,2020-06-19,96.68,96.68,91.65,91.87,91.3508,12157538,0.0,1.0
66,2020-06-18,95.5,95.89,94.55,95.09,94.5526,2314016,0.0,1.0
67,2020-06-17,97.99,97.99,95.86,96.7,96.1535,2713454,0.0,1.0
68,2020-06-16,98.0,98.31,95.45,96.9,96.3523,3441570,0.0,1.0
69,2020-06-15,90.91,95.32,90.87,94.39,93.8565,3647606,0.58,1.0
70,2020-06-12,93.59,95.12,91.33,94.46,93.3525,4246973,0.0,1.0
71,2020-06-11,93.76,94.16,90.8,90.91,89.8441,4992426,0.0,1.0
72,2020-06-10,96.38,97.55,95.56,96.41,95.2796,2375732,0.0,1.0
73,2020-06-09,96.33,98.21,95.73,97.33,96.1888,2888833,0.0,1.0
74,2020-06-08,95.7,97.97,95.34,97.77,96.6237,3536661,0.0,1.0
75,2020-06-05,96.18,97.42,95.38,95.71,94.5878,3612200,0.0,1.0
76,2020-06-04,96.41,96.8,92.48,93.35,92.2555,3326286,0.0,1.0
77,2020-06-03,95.81,97.72,95.5,97.32,96.179,2970036,0.0,1.0
78,2020-06-02,94.62,95.55,93.43,95.46,94.3408,3143326,0.0,1.0
79,2020-06-01,91.96,94.56,91.54,93.7,92.6014,2310550,0.0,1.0
80,2020-05-29,92.14,92.66,91.02,91.5,90.4272,3769896,0.0,1.0
81,2020-05-28,93.0,93.34,91.24,93.05,91.959,2616870,0.0,1.0
82,2020-05-27,92.0,92.0,89.48,91.76,90.6842,3045016,0.0,1.0
83,2020-05-26,90.18,90.7,88.82,90.02,88.9646,2743445,0.0,1.0
84,2020-05-22,85.93,87.66,85.93,87.55,86.5235,1275953,0.0,1.0
85,2020-05-21,86.48,87.47,85.95,86.4,85.387,3091932,0.0,1.0
86,2020-05-20,86.08,87.3,85.75,87.12,86.0986,2519255,0.0,1.0
87,2020-05-19,86.3,87.09,84.53,84.68,83.6872,3093063,0.0,1.0
88,2020-05-18,86.35,87.74,85.08,86.83,85.812,3123276,0.0,1.0
89,2020-05-15,83.16,83.98,82.0,83.28,82.3036,4971864,0.0,1.0
90,2020-05-14,81.65,84.08,80.12,84.08,83.0942,4389654,0.0,1.0
91,2020-05-13,83.56,84.72,82.56,82.84,81.8687,3935526,0.0,1.0
92,2020-05-12,89.09,89.09,84.21,84.22,83.2326,4440076,0.0,1.0
93,2020-05-11,88.71,90.23,88.29,88.88,87.8379,3627767,0.0,1.0
94,2020-05-08,90.29,90.3,88.63,89.97,88.9151,2248967,0.0,1.0
95,2020-05-07,88.13,88.92,87.34,88.07,87.0374,2704027,0.0,1.0
96,2020-05-06,88.1,88.98,86.87,86.94,85.9207,2277058,0.0,1.0
97,2020-05-05,88.24,88.93,87.31,87.74,86.7113,1845419,0.0,1.0
98,2020-05-04,85.85,87.31,85.25,87.13,86.1084,2212233,0.0,1.0
99,2020-05-01,87.34,88.63,86.09,86.85,85.8317,2643264,0.0,1.0
100,2020-04-30,88.71,89.57,86.88,89.23,88.1838,3376964,0.0,1.0
101,2020-04-29,91.55,92.0,89.99,90.16,89.1029,3151278,0.0,1.0
102,2020-04-28,94.11,94.18,89.25,89.59,88.5396,3141843,0.0,1.0
103,2020-04-27,90.83,92.68,89.73,91.84,90.7632,2538880,0.0,1.0
104,2020-04-24,87.09,89.53,86.75,89.04,87.996,2916307,0.0,1.0
105,2020-04-23,88.05,88.96,86.63,86.75,85.7329,2974571,0.0,1.0
106,2020-04-22,89.67,90.78,87.67,87.87,86.8398,3317914,0.0,1.0
107,2020-04-21,83.8,89.64,83.71,89.0,87.9565,4255146,0.0,1.0
108,2020-04-20,88.99,89.47,87.88,88.5,87.4624,3187885,0.0,1.0
109,2020-04-17,90.26,90.95,88.24,90.22,89.1622,3678443,0.0,1.0
110,2020-04-16,87.15,88.43,85.8,88.2,87.1659,2887284,0.0,1.0
111,2020-04-15,86.49,87.91,84.89,86.54,85.5254,3867815,0.0,1.0
112,2020-04-14,88.41,89.9404,87.81,89.15,88.1048,3663821,0.0,1.0
113,2020-04-13,90.94,91.7,86.26,86.41,85.3969,4250296,0.0,1.0
114,2020-04-09,87.9,92.54,87.01,91.73,90.6545,8283856,0.0,1.0
115,2020-04-08,82.5,86.79,80.72,86.18,85.1696,5108491,0.0,1.0
116,2020-04-07,86.32,86.46,80.77,80.95,80.0009,5383529,0.0,1.0
