,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,78.05,78.79,76.88,77.01,77.01,4895801,0.0,1.0
1,2020-09-21,78.1,78.3,76.356,77.83,77.83,5570006,0.0,1.0
2,2020-09-18,78.75,79.57,77.99,78.08,78.08,8811521,0.0,1.0
3,2020-09-17,80.39,80.67,79.16,79.47,79.47,5256991,0.0,1.0
4,2020-09-16,81.76,82.24,80.54,80.6,80.6,4104715,0.0,1.0
5,2020-09-15,82.32,82.52,81.37,81.4,81.4,3199334,0.0,1.0
6,2020-09-14,81.62,82.59,81.31,81.94,81.94,3989580,0.0,1.0
7,2020-09-11,80.76,81.5,80.32,81.23,81.23,3007940,0.0,1.0
8,2020-09-10,80.4,81.23,79.77,80.41,80.41,3402834,0.0,1.0
9,2020-09-09,79.75,81.47,79.56,80.47,80.47,4484151,0.0,1.0
10,2020-09-08,79.43,79.59,77.89,79.03,79.03,4235408,0.0,1.0
11,2020-09-04,79.97,80.42,78.35,79.15,79.15,4107390,0.0,1.0
12,2020-09-03,80.57,81.61,78.74,79.32,79.32,4023990,0.0,1.0
13,2020-09-02,78.88,80.41,78.84,79.98,79.98,3321830,0.0,1.0
14,2020-09-01,79.14,79.5,78.639,79.04,79.04,3286578,0.0,1.0
15,2020-08-31,80.51,80.73,79.75,79.79,79.79,3582829,0.0,1.0
16,2020-08-28,79.73,80.8,79.16,80.74,80.74,3119190,0.0,1.0
17,2020-08-27,80.08,81.22,79.55,80.0,80.0,3502398,0.0,1.0
18,2020-08-26,78.77,80.09,78.24,79.98,79.98,3648614,0.0,1.0
19,2020-08-25,80.31,80.46,79.26,79.62,79.62,3365638,0.0,1.0
20,2020-08-24,78.29,79.9,78.04,79.63,79.63,2484446,0.0,1.0
21,2020-08-21,78.31,78.59,77.39,78.06,78.06,2790343,0.0,1.0
22,2020-08-20,78.36,78.78,78.01,78.22,78.22,2690699,0.0,1.0
23,2020-08-19,79.33,79.77,78.59,78.7,78.7,4483890,0.0,1.0
24,2020-08-18,78.65,79.42,78.25,79.18,79.18,2590766,0.0,1.0
25,2020-08-17,77.46,78.54,77.06,78.26,78.26,2346129,0.0,1.0
26,2020-08-14,77.77,78.3,77.37,77.71,77.71,2829658,0.0,1.0
27,2020-08-13,78.86,78.99,77.85,78.14,78.14,3925945,0.0,1.0
28,2020-08-12,79.31,80.06,79.0,79.69,79.69,4922222,0.0,1.0
29,2020-08-11,79.4,79.91,78.42,78.72,78.72,4574811,0.0,1.0
30,2020-08-10,77.36,78.46,77.26,78.37,78.37,4291612,0.0,1.0
31,2020-08-07,76.58,77.51,76.28,77.5,77.5,2912649,0.0,1.0
32,2020-08-06,76.4,77.2,76.25,77.12,77.12,2440290,0.0,1.0
33,2020-08-05,77.2,77.5105,76.46,76.96,76.96,4208170,0.0,1.0
34,2020-08-04,76.04,77.38,76.0,77.1,77.1,3399056,0.0,1.0
35,2020-08-03,76.53,76.85,75.93,76.53,76.53,3171649,0.0,1.0
36,2020-07-31,76.76,77.41,76.11,76.81,76.81,4990449,0.0,1.0
37,2020-07-30,77.76,78.17,77.19,77.45,77.45,3422558,0.0,1.0
38,2020-07-29,77.85,78.695,77.16,78.39,78.39,4635825,0.0,1.0
39,2020-07-28,78.54,79.35,77.89,77.97,77.97,4312363,0.0,1.0
40,2020-07-27,76.8,78.7,76.61,78.54,78.54,7596005,0.0,1.0
41,2020-07-24,77.0,77.88,76.2676,76.85,76.85,5694982,0.0,1.0
42,2020-07-23,75.88,76.39,75.23,76.3,76.3,5117127,0.0,1.0
