,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,70.61,72.43,70.52,71.83,71.83,767702,0.0,1.0
1,2020-09-21,70.0,71.56,69.29,70.81,70.81,944086,0.0,1.0
2,2020-09-18,71.7,72.41,70.41,70.43,70.43,1575647,0.0,1.0
3,2020-09-17,72.05,72.49,71.32,72.16,72.16,901403,0.0,1.0
4,2020-09-16,72.0,73.03,71.9,72.3,72.3,805900,0.0,1.0
5,2020-09-15,72.35,73.25,71.66,72.02,72.02,773249,0.0,1.0
6,2020-09-14,71.1,72.57,71.025,72.09,72.09,807477,0.0,1.0
7,2020-09-11,71.69,71.69,70.5,70.9,70.9,514195,0.0,1.0
8,2020-09-10,72.57,72.69,71.13,71.39,71.39,1005475,0.0,1.0
9,2020-09-09,72.99,74.07,72.51,72.63,72.63,570503,0.0,1.0
10,2020-09-08,72.5,73.57,71.46,73.18,73.18,987131,0.0,1.0
11,2020-09-04,73.12,73.39,71.43,72.4,72.4,906746,0.0,1.0
12,2020-09-03,74.4,74.78,72.29,72.97,72.97,839029,0.0,1.0
13,2020-09-02,71.54,74.44,71.5,73.92,73.92,889598,0.0,1.0
14,2020-09-01,73.0,73.055,71.27,71.54,71.54,1026150,0.0,1.0
15,2020-08-31,73.23,73.98,72.98,73.35,73.35,852308,0.0,1.0
16,2020-08-28,73.59,73.92,72.73,73.48,73.48,528753,0.0,1.0
17,2020-08-27,73.01,73.54,72.285,73.23,73.23,602898,0.0,1.0
18,2020-08-26,74.12,74.17,72.35,72.82,72.82,779983,0.0,1.0
19,2020-08-25,75.33,75.33,74.05,74.47,74.47,492565,0.0,1.0
20,2020-08-24,74.39,75.39,73.48,75.15,75.15,655720,0.0,1.0
21,2020-08-21,75.06,75.15,73.75,74.26,74.26,727553,0.0,1.0
22,2020-08-20,75.75,75.88,74.715,74.97,74.97,516077,0.0,1.0
23,2020-08-19,76.06,76.3,75.08,76.02,76.02,945305,0.0,1.0
24,2020-08-18,76.52,76.84,74.92,75.75,75.75,1525697,0.0,1.0
25,2020-08-17,77.87,78.19,76.24,76.4,76.4,1407957,0.0,1.0
26,2020-08-14,78.48,78.72,77.75,78.0,78.0,662138,0.0,1.0
27,2020-08-13,80.08,80.08,77.41,78.49,78.49,1420008,0.0,1.0
28,2020-08-12,81.16,81.42,80.31,80.43,80.43,780575,0.0,1.0
29,2020-08-11,82.9,83.43,80.68,80.77,80.77,1447221,0.0,1.0
30,2020-08-10,82.61,82.93,81.95,82.58,82.58,787246,0.0,1.0
31,2020-08-07,80.5,82.525,80.5,82.16,82.16,968042,0.0,1.0
32,2020-08-06,80.0,81.65,78.88,80.79,80.79,1113010,0.0,1.0
33,2020-08-05,81.7,81.83,79.25,79.74,79.74,1150237,0.0,1.0
34,2020-08-04,81.54,81.86,80.71,81.59,81.59,1320807,0.0,1.0
35,2020-08-03,82.99,83.04,80.63,81.99,81.99,817017,0.0,1.0
36,2020-07-31,81.12,83.28,80.59,83.08,83.08,1542590,0.7825,1.0
37,2020-07-30,81.45,83.4,80.43,82.7,81.9283,1145271,0.0,1.0
38,2020-07-29,81.24,82.36,80.73,82.09,81.324,833936,0.0,1.0
39,2020-07-28,79.96,81.6,79.96,81.23,80.4721,710320,0.0,1.0
40,2020-07-27,81.3,81.33,79.07,80.28,79.5309,638657,0.0,1.0
41,2020-07-24,82.65,83.225,81.03,81.38,80.6207,849042,0.0,1.0
42,2020-07-23,82.9,83.33,81.92,82.31,81.542,811367,0.0,1.0
43,2020-07-22,80.45,83.09,79.86,82.98,82.2057,1020561,0.0,1.0
44,2020-07-21,80.85,81.66,80.53,80.92,80.165,764000,0.0,1.0
45,2020-07-20,82.32,82.52,80.61,80.78,80.0263,904000,0.0,1.0
46,2020-07-17,81.25,82.6,81.09,82.53,81.7599,641200,0.0,1.0
47,2020-07-16,80.0,80.76,79.83,80.56,79.8083,696700,0.0,1.0
48,2020-07-15,80.73,80.9,79.4,79.88,79.1347,808100,0.0,1.0
49,2020-07-14,78.87,79.99,78.82,79.62,78.8771,837700,0.0,1.0
50,2020-07-13,78.32,79.6,78.14,78.91,78.1737,749500,0.0,1.0
51,2020-07-10,76.08,78.4,76.08,78.26,77.5298,627700,0.0,1.0
52,2020-07-09,76.48,76.71,75.11,76.25,75.5385,698000,0.0,1.0
53,2020-07-08,76.0,76.91,75.7,76.72,76.0041,715300,0.0,1.0
54,2020-07-07,75.88,76.69,75.53,76.0,75.2909,1347900,0.0,1.0
55,2020-07-06,76.73,77.54,75.91,76.8,76.0834,921700,0.0,1.0
56,2020-07-02,75.89,77.11,75.51,76.03,75.3206,1001100,0.0,1.0
57,2020-07-01,73.52,75.72,73.43,75.39,74.6866,1026500,0.0,1.0
58,2020-06-30,72.85,73.58,72.33,73.29,72.6061,1230000,0.0,1.0
59,2020-06-29,71.81,72.96,70.88,72.96,72.2792,775070,0.0,1.0
60,2020-06-26,71.2,72.22,69.96,71.05,70.3871,1302800,0.0,1.0
61,2020-06-25,71.35,71.42,70.35,71.36,70.6942,1313800,0.0,1.0
62,2020-06-24,71.53,72.33,70.98,71.62,70.9517,1235300,0.0,1.0
63,2020-06-23,73.91,74.08,71.95,72.24,71.5659,861800,0.0,1.0
64,2020-06-22,73.59,74.47,72.82,73.28,72.5962,1146100,0.0,1.0
65,2020-06-19,77.55,77.76,73.43,73.5,72.8142,2749400,0.0,1.0
66,2020-06-18,76.29,77.52,76.02,76.65,75.9348,1279800,0.0,1.0
67,2020-06-17,77.68,77.7,75.83,76.25,75.5385,1204800,0.0,1.0
68,2020-06-16,79.04,79.69,76.82,77.23,76.5094,1114700,0.0,1.0
69,2020-06-15,75.44,77.6,74.44,77.09,76.3707,1112200,0.0,1.0
70,2020-06-12,76.54,76.54,74.57,75.6,74.8946,1437600,0.0,1.0
71,2020-06-11,76.47,77.0,73.97,74.7,74.003,1828900,0.0,1.0
72,2020-06-10,79.9,80.38,77.82,78.13,77.401,1321100,0.0,1.0
73,2020-06-09,81.14,81.14,78.03,80.11,79.3625,972200,0.0,1.0
74,2020-06-08,79.6,82.29,79.35,82.04,81.2745,1445700,0.0,1.0
75,2020-06-05,79.22,81.07,79.22,79.38,78.6393,778400,0.0,1.0
76,2020-06-04,78.58,78.58,76.79,77.83,77.1038,879500,0.0,1.0
77,2020-06-03,79.11,80.14,78.88,78.97,78.2332,718900,0.0,1.0
78,2020-06-02,78.11,78.76,77.65,78.16,77.4307,1035700,0.0,1.0
79,2020-06-01,77.9,78.14,76.69,77.58,76.8561,1245400,0.0,1.0
80,2020-05-29,76.42,78.67,75.56,77.9,77.1731,4708500,0.0,1.0
81,2020-05-28,76.85,77.4,75.64,76.85,76.1329,1264000,0.0,1.0
82,2020-05-27,75.63,75.85,73.79,75.5,74.7955,1433500,0.0,1.0
83,2020-05-26,74.38,75.4,73.76,74.34,73.6464,1085300,0.0,1.0
84,2020-05-22,72.2,72.74,71.5,72.66,71.982,825200,0.0,1.0
85,2020-05-21,72.61,73.32,72.15,72.28,71.6056,941200,0.0,1.0
86,2020-05-20,72.92,73.0,71.77,72.77,72.091,1446400,0.0,1.0
87,2020-05-19,74.63,74.63,72.56,72.59,71.9127,646100,0.0,1.0
88,2020-05-18,73.69,75.5,73.37,74.86,74.1615,940600,0.0,1.0
89,2020-05-15,71.23,71.76,69.56,71.42,70.7536,2709400,0.0,1.0
90,2020-05-14,71.59,72.7,70.11,72.02,71.348,1554900,0.0,1.0
91,2020-05-13,71.96,72.66,70.91,72.46,71.7839,1373600,0.0,1.0
92,2020-05-12,74.5,74.65,72.3,72.48,71.8037,1271500,0.0,1.0
93,2020-05-11,73.0,73.91,71.93,73.65,72.9628,1189800,0.0,1.0
94,2020-05-08,74.32,74.97,72.63,73.87,73.1807,1268400,0.0,1.0
95,2020-05-07,72.94,73.87,71.62,71.76,71.0904,1585500,0.0,1.0
96,2020-05-06,74.97,74.98,71.7,72.01,71.3381,868400,0.0,1.0
97,2020-05-05,74.04,75.74,73.78,74.64,73.9436,1037300,0.0,1.0
98,2020-05-04,74.0,74.23,72.75,73.65,72.9628,834400,0.0,1.0
99,2020-05-01,75.48,75.48,72.99,74.12,73.4284,1479500,0.7825,1.0
100,2020-04-30,77.78,77.97,75.5,76.99,75.4748,1381400,0.0,1.0
101,2020-04-29,81.5,81.52,78.25,78.55,77.0041,1226200,0.0,1.0
102,2020-04-28,80.87,80.87,79.13,79.99,78.4158,1197600,0.0,1.0
103,2020-04-27,77.95,79.57,77.55,78.76,77.21,740800,0.0,1.0
104,2020-04-24,76.25,77.4,75.03,77.14,75.6219,1026800,0.0,1.0
105,2020-04-23,77.64,78.18,75.69,75.82,74.3278,660400,0.0,1.0
106,2020-04-22,76.78,78.21,75.66,77.58,76.0532,671600,0.0,1.0
107,2020-04-21,75.15,76.1,74.13,75.61,74.122,687000,0.0,1.0
108,2020-04-20,79.65,79.86,76.14,76.6,75.0925,649400,0.0,1.0
109,2020-04-17,80.59,81.92,78.69,79.91,78.3374,1505300,0.0,1.0
110,2020-04-16,79.88,80.56,78.01,79.01,77.4551,971400,0.0,1.0
111,2020-04-15,79.01,80.63,78.38,79.66,78.0923,902200,0.0,1.0
112,2020-04-14,81.03,82.02,79.93,81.83,80.2196,1198800,0.0,1.0
113,2020-04-13,81.1,81.56,78.09,79.61,78.0433,819500,0.0,1.0
114,2020-04-09,80.29,84.69,79.72,82.23,80.6117,1634600,0.0,1.0
115,2020-04-08,73.68,79.92,73.4,78.87,77.3178,1165300,0.0,1.0
116,2020-04-07,77.15,77.31,72.78,73.6,72.1515,1010600,0.0,1.0
117,2020-04-06,71.72,76.5,70.67,74.33,72.8672,1194600,0.0,1.0
118,2020-04-03,70.93,72.11,67.29,68.19,66.848,1152600,0.0,1.0
119,2020-04-02,69.83,74.52,69.83,71.77,70.3576,993300,0.0,1.0
120,2020-04-01,72.56,74.13,69.22,70.84,69.4459,896500,0.0,1.0
121,2020-03-31,77.34,78.95,75.51,75.79,74.2984,1029800,0.0,1.0
122,2020-03-30,78.44,80.21,76.63,78.36,76.8179,902600,0.0,1.0
123,2020-03-27,76.26,79.93,75.13,77.63,76.1022,1084000,0.0,1.0
124,2020-03-26,72.86,80.31,72.32,79.34,77.7786,1217500,0.0,1.0
125,2020-03-25,70.81,75.88,67.75,72.66,71.23,1112900,0.0,1.0
126,2020-03-24,65.7,71.75,65.08,71.04,69.6419,1116700,0.0,1.0
127,2020-03-23,64.01,66.45,61.22,62.91,61.6719,1412400,0.0,1.0
128,2020-03-20,69.25,72.11,65.27,65.55,64.26,1976300,0.0,1.0
129,2020-03-19,65.26,72.17,61.73,68.36,67.0147,1860900,0.0,1.0
130,2020-03-18,70.51,70.83,60.05,65.57,64.2796,2921200,0.0,1.0
131,2020-03-17,69.97,74.98,67.27,74.83,73.3573,1861800,0.0,1.0
132,2020-03-16,75.5,78.26,67.61,68.11,66.7696,1342800,0.0,1.0
133,2020-03-13,83.83,84.38,76.88,81.57,79.9647,1233400,0.0,1.0
134,2020-03-12,81.51,83.44,77.83,80.1,78.5236,2171900,0.0,1.0
135,2020-03-11,94.11,94.14,88.15,89.55,87.7876,1454200,0.0,1.0
136,2020-03-10,96.39,98.29,92.31,96.19,94.297,997200,0.0,1.0
137,2020-03-09,95.79,97.95,93.11,95.37,93.4931,1251000,0.0,1.0
138,2020-03-06,96.88,99.71,95.35,99.31,97.3556,1995700,0.0,1.0
139,2020-03-05,98.39,100.34,98.05,99.67,97.7085,989000,0.0,1.0
140,2020-03-04,95.68,100.73,95.68,100.26,98.2869,1217500,0.0,1.0
141,2020-03-03,94.69,97.53,94.1,94.49,92.6304,1527000,0.0,1.0
142,2020-03-02,90.0,94.99,89.59,94.91,93.0422,1534600,0.0,1.0
143,2020-02-28,91.38,91.91,88.6,89.49,87.7288,1847900,0.0,1.0
144,2020-02-27,96.78,97.62,93.54,93.61,91.7677,1451900,0.0,1.0
145,2020-02-26,98.76,99.3,97.16,97.2,95.2871,978400,0.0,1.0
146,2020-02-25,100.94,101.33,98.34,98.4,96.4635,975000,0.0,1.0
