,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,119.78,121.19,119.335,120.82,120.82,1361706,0.0,1.0
1,2020-09-21,123.57,123.89,118.8,120.08,120.08,1441459,0.0,1.0
2,2020-09-18,128.62,129.27,125.37,125.77,125.77,1916795,0.0,1.0
3,2020-09-17,127.98,130.0,127.11,129.25,129.25,1115758,0.0,1.0
4,2020-09-16,130.06,131.0,129.0,129.04,129.04,1325078,0.0,1.0
5,2020-09-15,130.61,131.09,128.88,129.92,129.92,1410953,0.0,1.0
6,2020-09-14,128.0,131.05,127.64,130.21,130.21,1779900,0.0,1.0
7,2020-09-11,125.94,127.6,125.09,127.1,127.1,1263206,0.0,1.0
8,2020-09-10,125.75,127.41,125.37,125.74,125.74,1723165,0.0,1.0
9,2020-09-09,122.64,126.07,122.53,125.34,125.34,1789761,0.0,1.0
10,2020-09-08,121.7,121.975,119.391,120.99,120.99,1329489,0.0,1.0
11,2020-09-04,123.78,124.81,121.9,122.61,122.61,1230236,0.0,1.0
12,2020-09-03,125.77,126.05,121.2325,122.79,122.79,1486557,0.0,1.0
13,2020-09-02,123.65,126.295,123.52,125.98,125.98,1475407,0.0,1.0
14,2020-09-01,119.94,124.0,119.5,124.0,124.0,1539657,0.0,1.0
15,2020-08-31,122.1,122.3,119.96,120.4,120.4,938067,0.0,1.0
16,2020-08-28,120.95,122.3,120.12,122.12,122.12,876993,0.0,1.0
17,2020-08-27,120.94,121.54,120.05,120.79,120.79,941471,0.0,1.0
18,2020-08-26,119.58,120.88,119.37,119.95,119.95,620033,0.0,1.0
19,2020-08-25,121.53,121.71,119.27,119.82,119.82,850159,0.0,1.0
20,2020-08-24,119.16,121.16,118.775,121.08,121.08,736225,0.0,1.0
21,2020-08-21,117.98,118.66,117.3016,118.23,118.23,940811,0.0,1.0
22,2020-08-20,117.68,118.65,117.35,118.24,118.24,736274,0.0,1.0
23,2020-08-19,119.23,119.7,118.18,118.64,118.64,1103981,0.0,1.0
24,2020-08-18,119.16,119.43,118.26,118.69,118.69,957440,0.0,1.0
25,2020-08-17,119.86,120.13,118.565,118.92,118.92,838716,0.0,1.0
26,2020-08-14,118.33,119.95,117.66,118.98,118.98,871920,0.0,1.0
27,2020-08-13,120.01,120.68,118.65,118.81,118.81,1085027,0.0,1.0
28,2020-08-12,122.11,122.47,119.1511,120.99,120.99,1581146,0.0,1.0
29,2020-08-11,119.55,123.6,119.46,120.89,120.89,3354293,0.0,1.0
30,2020-08-10,113.54,115.92,113.5,115.74,115.74,841428,0.0,1.0
31,2020-08-07,110.56,113.73,110.435,113.71,113.71,1548478,0.54,1.0
32,2020-08-06,111.75,112.43,110.4,111.44,110.9133,1516296,0.0,1.0
33,2020-08-05,108.41,112.56,108.41,111.66,111.1322,2125840,0.0,1.0
34,2020-08-04,107.11,108.45,106.93,107.79,107.2805,1211045,0.0,1.0
35,2020-08-03,107.84,108.78,107.06,107.38,106.8725,1185352,0.0,1.0
36,2020-07-31,108.12,108.27,105.94,107.65,107.1412,1293617,0.0,1.0
37,2020-07-30,108.55,108.94,107.575,108.2,107.6886,1112106,0.0,1.0
38,2020-07-29,109.79,110.56,108.39,110.41,109.8881,1364173,0.0,1.0
39,2020-07-28,109.85,110.58,108.35,108.58,108.0668,1237329,0.0,1.0
40,2020-07-27,110.59,111.58,109.65,110.23,109.709,1429082,0.0,1.0
41,2020-07-24,110.65,111.67,110.07,110.56,110.0374,957047,0.0,1.0
42,2020-07-23,111.48,112.33,110.2,110.83,110.3062,1187056,0.0,1.0
43,2020-07-22,109.76,112.0099,109.48,111.68,111.1521,1935581,0.0,1.0
44,2020-07-21,109.92,111.41,109.75,110.16,109.6393,1545200,0.0,1.0
45,2020-07-20,112.84,112.91,109.14,109.39,108.873,2061200,0.0,1.0
46,2020-07-17,118.81,119.03,110.56,111.88,111.3512,5558100,0.0,1.0
47,2020-07-16,115.23,115.91,113.35,115.26,114.7152,1919400,0.0,1.0
48,2020-07-15,113.57,116.18,112.94,115.62,115.0735,1532100,0.0,1.0
49,2020-07-14,108.99,112.24,108.14,111.72,111.192,1602300,0.0,1.0
50,2020-07-13,108.32,110.82,107.76,109.38,108.863,1926900,0.0,1.0
51,2020-07-10,105.52,107.1,104.87,107.04,106.5341,738500,0.0,1.0
52,2020-07-09,106.5,106.5,103.58,105.08,104.5833,1326000,0.0,1.0
53,2020-07-08,108.18,109.11,105.19,106.47,105.9668,1314700,0.0,1.0
54,2020-07-07,108.89,109.27,107.47,108.42,107.9076,1641800,0.0,1.0
55,2020-07-06,110.85,111.85,107.85,109.88,109.3607,1606100,0.0,1.0
56,2020-07-02,108.11,110.12,107.81,109.07,108.5545,1395400,0.0,1.0
57,2020-07-01,106.17,107.02,105.1,106.35,105.8473,1382400,0.0,1.0
58,2020-06-30,105.23,106.98,104.1,106.06,105.5587,1259300,0.0,1.0
59,2020-06-29,103.3,104.98,102.55,103.94,103.4487,1218840,0.0,1.0
60,2020-06-26,102.24,103.2,101.19,102.14,101.6572,3616700,0.0,1.0
61,2020-06-25,101.73,102.9,100.14,102.77,102.2843,899600,0.0,1.0
62,2020-06-24,102.42,102.94,100.4,101.88,101.3985,1239400,0.0,1.0
63,2020-06-23,105.11,105.51,103.48,103.69,103.1999,1097900,0.0,1.0
64,2020-06-22,103.26,104.4,101.89,103.67,103.18,856400,0.0,1.0
65,2020-06-19,107.36,107.61,102.88,103.72,103.2298,1809100,0.0,1.0
66,2020-06-18,104.26,105.54,103.93,104.42,103.9265,876300,0.0,1.0
67,2020-06-17,105.58,106.3,104.17,104.87,104.3743,848300,0.0,1.0
68,2020-06-16,106.46,107.83,103.74,104.76,104.2649,816600,0.0,1.0
69,2020-06-15,98.97,103.71,98.41,103.2,102.7122,1068700,0.0,1.0
70,2020-06-12,102.59,104.37,100.17,101.63,101.1496,1224600,0.0,1.0
71,2020-06-11,105.77,105.77,99.3,99.56,99.0894,2452500,0.0,1.0
72,2020-06-10,111.33,111.63,108.33,109.04,108.5246,1826200,0.0,1.0
73,2020-06-09,111.89,112.17,109.72,111.42,110.8934,1559500,0.0,1.0
74,2020-06-08,114.86,116.38,112.65,113.4,112.864,1522500,0.0,1.0
75,2020-06-05,114.5,116.45,113.61,113.95,113.4114,2057200,0.0,1.0
76,2020-06-04,110.06,111.7,109.49,111.12,110.5948,1710500,0.0,1.0
77,2020-06-03,109.16,112.76,108.52,111.68,111.1521,2728800,0.0,1.0
78,2020-06-02,103.79,107.94,103.76,107.52,107.0118,2752200,0.0,1.0
79,2020-06-01,101.74,103.56,101.16,103.37,102.8814,1659800,0.0,1.0
80,2020-05-29,102.0,102.44,100.56,101.67,101.1895,2831600,0.0,1.0
81,2020-05-28,103.16,103.18,100.92,102.64,102.1549,2030300,0.0,1.0
82,2020-05-27,102.61,104.29,101.73,102.35,101.8662,1998600,0.0,1.0
83,2020-05-26,99.72,101.34,99.21,100.0,99.5274,1696800,0.0,1.0
84,2020-05-22,95.14,96.24,94.48,96.18,95.7254,1046400,0.0,1.0
85,2020-05-21,95.6,96.44,94.61,95.09,94.6406,3132800,0.0,1.0
86,2020-05-20,94.64,96.32,94.64,95.99,95.5363,2277700,0.0,1.0
87,2020-05-19,91.31,94.19,90.35,93.22,92.7794,2714200,0.0,1.0
88,2020-05-18,90.86,92.63,89.95,91.85,91.4159,1601800,0.0,1.0
89,2020-05-15,85.32,86.93,84.6,86.92,86.5092,1889300,0.0,1.0
90,2020-05-14,82.64,86.03,81.43,85.97,85.5637,2149700,0.0,1.0
91,2020-05-13,87.01,87.48,83.6,84.24,83.8418,1488800,0.0,1.0
