,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,216.18,220.25,216.18,219.37,219.37,768890,0.0,1.0
1,2020-09-21,220.15,223.97,214.48,216.29,216.29,970193,0.0,1.0
2,2020-09-18,220.45,222.21,219.04,221.01,221.01,1218693,0.0,1.0
3,2020-09-17,223.06,226.11,220.1,222.21,222.21,749584,0.0,1.0
4,2020-09-16,222.68,226.31,221.55,224.51,224.51,717331,0.0,1.0
5,2020-09-15,224.96,226.6,220.76,221.01,221.01,663818,0.0,1.0
6,2020-09-14,219.92,225.45,218.82,224.74,224.74,703011,2.0,1.0
7,2020-09-11,218.82,222.37,217.86,220.59,218.6442,666459,0.0,1.0
8,2020-09-10,216.46,219.51,213.77,218.14,216.2159,830560,0.0,1.0
9,2020-09-09,215.83,222.05,215.54,216.72,214.8084,1033016,0.0,1.0
10,2020-09-08,212.27,215.2,209.53,213.95,212.0628,849064,0.0,1.0
11,2020-09-04,213.47,215.88,209.47,212.14,210.2688,557619,0.0,1.0
12,2020-09-03,214.92,218.7,211.76,212.93,211.0518,997175,0.0,1.0
13,2020-09-02,212.27,214.29,210.3,214.16,212.271,1053808,0.0,1.0
14,2020-09-01,211.67,213.61,208.1925,213.4,211.5177,478773,0.0,1.0
15,2020-08-31,212.9,214.65,211.52,212.4,210.5265,869923,0.0,1.0
16,2020-08-28,211.97,213.65,209.03,213.44,211.5573,589932,0.0,1.0
17,2020-08-27,209.2,212.43,208.81,211.27,209.4065,499851,0.0,1.0
18,2020-08-26,205.97,208.69,204.2,208.51,206.6708,645448,0.0,1.0
19,2020-08-25,206.59,206.81,204.58,206.76,204.9362,470033,0.0,1.0
20,2020-08-24,205.38,206.57,203.49,206.56,204.738,483762,0.0,1.0
21,2020-08-21,204.35,206.71,202.96,206.55,204.7281,752630,0.0,1.0
22,2020-08-20,197.16,203.42,197.06,203.26,201.4671,584422,0.0,1.0
23,2020-08-19,201.76,201.76,196.43,197.43,195.6885,769934,0.0,1.0
24,2020-08-18,200.03,202.25,198.28,200.94,199.1676,593996,0.0,1.0
25,2020-08-17,199.07,200.16,197.45,200.02,198.2557,816573,0.0,1.0
26,2020-08-14,197.56,202.88,197.56,200.24,198.4737,641966,0.0,1.0
27,2020-08-13,197.45,199.78,196.41,197.3,195.5597,554520,0.0,1.0
28,2020-08-12,199.53,200.085,195.26,198.38,196.6302,509724,0.0,1.0
29,2020-08-11,204.18,204.46,197.615,198.99,197.2348,653543,0.0,1.0
30,2020-08-10,200.1,203.795,199.66,202.49,200.7039,645068,0.0,1.0
31,2020-08-07,194.61,201.855,194.61,199.25,197.4925,966530,0.0,1.0
32,2020-08-06,192.98,196.45,186.23,196.08,194.3504,1593687,0.0,1.0
33,2020-08-05,201.78,201.98,195.89,196.97,195.2326,906508,0.0,1.0
34,2020-08-04,196.56,202.0,196.05,201.38,199.6037,1019122,0.0,1.0
35,2020-08-03,198.84,199.0,195.49,195.84,194.1126,658361,0.0,1.0
36,2020-07-31,197.03,200.0,193.56,199.88,198.1169,1761621,0.0,1.0
37,2020-07-30,194.72,198.32,193.75,197.71,195.9661,1001805,0.0,1.0
38,2020-07-29,194.17,197.88,192.67,196.84,195.1037,806472,0.0,1.0
39,2020-07-28,185.96,193.91,185.96,193.87,192.1599,800468,0.0,1.0
40,2020-07-27,185.26,186.7,183.22,185.57,183.9331,472549,0.0,1.0
41,2020-07-24,187.7,188.24,185.06,185.36,183.725,518734,0.0,1.0
42,2020-07-23,188.9,190.0,185.42,187.02,185.3704,534355,0.0,1.0
43,2020-07-22,185.45,189.2,184.2,188.31,186.649,698887,0.0,1.0
44,2020-07-21,189.18,189.48,186.71,186.84,185.1919,581417,0.0,1.0
45,2020-07-20,192.3,192.52,187.76,187.79,186.1336,478943,0.0,1.0
46,2020-07-17,188.7,192.98,187.35,192.3,190.6038,837947,0.0,1.0
47,2020-07-16,192.39,194.74,188.28,188.38,186.7184,621300,0.0,1.0
48,2020-07-15,195.63,195.63,191.15,192.8,191.0994,982424,0.0,1.0
49,2020-07-14,193.06,196.92,192.95,193.84,192.1302,588717,0.0,1.0
50,2020-07-13,194.68,195.34,192.6,192.89,191.1886,525751,0.0,1.0
51,2020-07-10,195.4,196.88,193.97,194.43,192.715,630406,0.0,1.0
52,2020-07-09,192.75,196.31,192.05,195.37,193.6467,555763,0.0,1.0
53,2020-07-08,194.21,195.07,193.03,193.36,191.6544,869429,0.0,1.0
54,2020-07-07,194.67,196.13,194.08,194.46,192.7447,635025,0.0,1.0
55,2020-07-06,202.24,203.59,195.69,196.53,194.7965,871285,0.0,1.0
56,2020-07-02,201.01,202.03,197.53,199.36,197.6015,895912,0.0,1.0
57,2020-07-01,191.67,200.12,191.22,199.16,197.4033,678819,0.0,1.0
58,2020-06-30,191.29,193.6,189.09,191.89,190.1974,1064878,0.0,1.0
59,2020-06-29,190.76,191.73,189.1296,191.1,189.4144,772347,0.0,1.0
60,2020-06-26,190.65,193.29,188.63,189.28,187.6104,1370060,0.0,1.0
61,2020-06-25,189.22,191.14,186.93,191.03,189.345,827729,0.0,1.0
62,2020-06-24,187.0,190.92,186.36,189.45,187.7789,1174047,0.0,1.0
63,2020-06-23,191.77,192.48,188.06,188.24,186.5796,630852,0.0,1.0
64,2020-06-22,191.0,192.12,187.1,190.27,188.5917,976724,0.0,1.0
65,2020-06-19,198.81,198.81,190.46,190.59,188.9089,3654188,0.0,1.0
66,2020-06-18,196.4,197.08,192.75,196.27,194.5388,766944,0.0,1.0
67,2020-06-17,199.31,200.27,196.93,197.76,196.0156,698618,0.0,1.0
68,2020-06-16,204.51,205.25,197.39,198.86,197.1059,875603,0.0,1.0
69,2020-06-15,192.58,200.43,191.59,199.19,197.433,1108255,0.0,1.0
70,2020-06-12,198.32,199.01,191.59,196.47,194.737,916888,2.0,1.0
71,2020-06-11,201.05,202.59,194.59,195.93,192.2448,1306490,0.0,1.0
72,2020-06-10,210.35,211.74,205.39,205.47,201.6053,879008,0.0,1.0
73,2020-06-09,204.67,211.68,202.12,211.37,207.3944,901731,0.0,1.0
74,2020-06-08,206.58,210.94,205.1,206.68,202.7926,1160942,0.0,1.0
75,2020-06-05,205.99,207.66,203.43,206.37,202.4884,1135400,0.0,1.0
76,2020-06-04,206.88,207.49,198.93,200.64,196.8662,901231,0.0,1.0
77,2020-06-03,208.66,213.61,207.5,207.96,204.0485,1189634,0.0,1.0
78,2020-06-02,207.31,209.07,203.6,207.74,203.8326,1193423,0.0,1.0
79,2020-06-01,202.25,206.24,200.68,204.77,200.9185,1236775,0.0,1.0
80,2020-05-29,200.07,204.13,198.15,202.74,198.9267,1202935,0.0,1.0
81,2020-05-28,198.54,201.31,197.0,201.19,197.4058,756929,0.0,1.0
82,2020-05-27,193.25,197.73,193.25,196.97,193.2652,885567,0.0,1.0
83,2020-05-26,190.33,193.21,188.85,192.48,188.8597,1100571,0.0,1.0
84,2020-05-22,184.02,186.56,183.0,186.47,182.9627,622008,0.0,1.0
85,2020-05-21,183.13,184.32,181.76,182.77,179.3323,561019,0.0,1.0
86,2020-05-20,184.77,185.41,181.33,183.92,180.4607,949485,0.0,1.0
87,2020-05-19,182.18,184.46,181.52,183.58,180.1271,725068,0.0,1.0
88,2020-05-18,179.99,185.45,179.68,183.36,179.9112,1083355,0.0,1.0
89,2020-05-15,176.74,176.87,173.16,175.97,172.6602,1404398,0.0,1.0
90,2020-05-14,175.0,179.0,172.11,179.0,175.6332,1023385,0.0,1.0
91,2020-05-13,177.88,179.98,176.14,176.6,173.2784,1081527,0.0,1.0
92,2020-05-12,186.94,187.84,174.82,178.47,175.1132,1333924,0.0,1.0
93,2020-05-11,188.82,190.29,186.31,186.93,183.4141,700508,0.0,1.0
94,2020-05-08,185.76,191.65,184.94,190.34,186.7599,1126677,0.0,1.0
95,2020-05-07,178.0,184.22,177.2,183.51,180.0584,1256494,0.0,1.0
96,2020-05-06,179.81,181.02,175.8,176.09,172.7779,720614,0.0,1.0
