,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,66.2,66.47,63.65,64.68,64.68,1450908,0.0,1.0
1,2020-09-18,70.01,71.2,67.33,68.48,68.48,2609383,0.0,1.0
2,2020-09-17,70.83,72.255,69.28,70.51,70.51,1080633,0.0,1.0
3,2020-09-16,71.72,73.6,70.91,72.08,72.08,1516182,0.0,1.0
4,2020-09-15,71.82,72.19,69.0,70.93,70.93,1491969,0.0,1.0
5,2020-09-14,67.8,71.95,67.67,71.4,71.4,1560185,0.0,1.0
6,2020-09-11,67.45,67.75,66.08,67.07,67.07,1182448,0.0,1.0
7,2020-09-10,65.6,68.025,65.6,67.05,67.05,1408537,0.0,1.0
8,2020-09-09,65.88,66.16,63.8341,65.03,65.03,1128627,0.0,1.0
9,2020-09-08,61.84,67.81,61.72,66.04,66.04,2064024,0.0,1.0
10,2020-09-04,62.73,63.925,60.96,63.42,63.42,1785880,0.0,1.0
11,2020-09-03,61.65,64.71,60.83,61.45,61.45,3319611,0.0,1.0
12,2020-09-02,58.58,60.6,58.24,59.51,59.51,2405358,0.0,1.0
13,2020-09-01,55.47,57.665,54.12,57.65,57.65,1563644,0.0,1.0
14,2020-08-31,56.78,57.13,55.42,55.76,55.76,1105391,0.0,1.0
15,2020-08-28,55.32,57.34,54.795,57.24,57.24,956367,0.0,1.0
16,2020-08-27,53.63,55.64,53.63,55.05,55.05,955916,0.0,1.0
17,2020-08-26,54.29,54.65,53.0,53.02,53.02,825574,0.0,1.0
18,2020-08-25,54.5,55.07,52.99,54.16,54.16,905860,0.0,1.0
19,2020-08-24,49.96,53.7,49.96,53.66,53.66,1534294,0.0,1.0
20,2020-08-21,50.27,50.7,49.6,50.13,50.13,616204,0.0,1.0
21,2020-08-20,50.6,51.99,50.15,50.18,50.18,820301,0.0,1.0
22,2020-08-19,51.71,53.0,50.78,51.04,51.04,890294,0.0,1.0
23,2020-08-18,54.16,54.22,51.26,51.5,51.5,1081739,0.0,1.0
24,2020-08-17,55.07,55.13,53.16,54.66,54.66,752109,0.0,1.0
25,2020-08-14,53.02,56.0,52.95,55.36,55.36,945781,0.0,1.0
26,2020-08-13,53.43,53.84,52.48,53.61,53.61,965295,0.0,1.0
