,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,50.85,50.85,48.53,49.22,49.22,1791230,0.0,1.0
1,2020-09-18,52.43,53.1,51.655,51.9,51.9,1902067,0.0,1.0
2,2020-09-17,51.81,53.36,51.37,52.58,52.58,1173303,0.0,1.0
3,2020-09-16,52.35,52.99,51.98,52.53,52.53,1098906,0.0,1.0
4,2020-09-15,52.35,52.46,51.53,51.99,51.99,1016189,0.0,1.0
5,2020-09-14,52.08,52.37,51.13,52.26,52.26,1039196,0.0,1.0
6,2020-09-11,51.58,52.35,51.2799,51.56,51.56,804527,0.0,1.0
7,2020-09-10,52.49,52.5128,50.85,51.16,51.16,833318,0.0,1.0
8,2020-09-09,52.03,52.94,51.76,52.23,52.23,980037,0.0,1.0
9,2020-09-08,51.27,52.06,50.53,51.36,51.36,1122443,0.0,1.0
10,2020-09-04,52.21,52.84,51.35,51.98,51.98,1042757,0.0,1.0
11,2020-09-03,53.24,53.36,51.045,51.5,51.5,1319357,0.0,1.0
12,2020-09-02,52.68,53.61,52.105,53.34,53.34,1092996,0.0,1.0
13,2020-09-01,51.19,52.87,50.77,52.57,52.57,1197042,0.0,1.0
14,2020-08-31,51.08,51.79,50.48,51.25,51.25,907479,0.0,1.0
15,2020-08-28,51.16,51.41,50.76,51.39,51.39,588649,0.0,1.0
16,2020-08-27,51.38,51.815,50.94,51.0,51.0,984936,0.0,1.0
17,2020-08-26,51.14,51.7,50.59,51.43,51.43,787334,0.0,1.0
18,2020-08-25,51.24,51.45,50.48,51.14,51.14,836201,0.0,1.0
19,2020-08-24,49.97,50.955,49.91,50.9,50.9,985715,0.0,1.0
20,2020-08-21,49.68,50.25,49.455,49.58,49.58,879831,0.0,1.0
21,2020-08-20,49.27,50.3,48.92,49.77,49.77,989362,0.0,1.0
22,2020-08-19,50.27,50.56,49.69,49.85,49.85,1188587,0.0,1.0
23,2020-08-18,50.73,50.94,49.44,50.34,50.34,1491806,0.0,1.0
24,2020-08-17,49.78,51.14,49.7,50.79,50.79,2138648,0.0,1.0
25,2020-08-14,48.96,49.62,48.87,49.45,49.45,1002229,0.0,1.0
26,2020-08-13,49.04,50.095,48.92,49.27,49.27,1216784,0.0,1.0
27,2020-08-12,50.5,50.93,48.82,49.48,49.48,1824038,0.0,1.0
28,2020-08-11,48.91,50.44,48.86,49.86,49.86,2529090,0.0,1.0
29,2020-08-10,46.37,48.27,46.35,48.2,48.2,1375039,0.0,1.0
30,2020-08-07,45.65,46.38,44.89,46.36,46.36,1656092,0.0,1.0
31,2020-08-06,44.0,47.63,43.4,45.43,45.43,2778660,0.0,1.0
32,2020-08-05,41.83,42.98,41.76,42.78,42.78,1277364,0.0,1.0
33,2020-08-04,41.11,41.74,41.1,41.53,41.53,826021,0.0,1.0
34,2020-08-03,40.29,41.48,40.14,41.2,41.2,804332,0.0,1.0
35,2020-07-31,39.97,40.32,39.2013,39.97,39.97,884260,0.0,1.0
36,2020-07-30,40.59,40.6,39.92,40.12,40.12,640203,0.0,1.0
37,2020-07-29,40.16,41.25,40.11,41.15,41.15,870926,0.0,1.0
38,2020-07-28,41.04,41.11,39.95,39.97,39.97,1005998,0.0,1.0
39,2020-07-27,40.56,41.15,40.07,41.08,41.08,729578,0.0,1.0
40,2020-07-24,41.34,41.34,40.54,40.68,40.68,607195,0.0,1.0
41,2020-07-23,40.79,41.6061,40.76,41.12,41.12,815293,0.0,1.0
42,2020-07-22,40.35,41.1,40.35,40.92,40.92,611322,0.0,1.0
43,2020-07-21,40.52,41.05,40.48,40.64,40.64,744961,0.0,1.0
44,2020-07-20,40.2,40.76,40.12,40.14,40.14,1477055,0.0,1.0
45,2020-07-17,40.2,41.02,40.2,40.54,40.54,1009500,0.0,1.0
46,2020-07-16,40.07,40.57,39.5,40.03,40.03,768900,0.0,1.0
47,2020-07-15,38.91,40.29,38.73,40.02,40.02,1318400,0.0,1.0
48,2020-07-14,37.17,38.37,37.04,38.33,38.33,731500,0.0,1.0
49,2020-07-13,37.13,38.15,36.84,37.31,37.31,889500,0.0,1.0
50,2020-07-10,35.98,36.92,35.98,36.8,36.8,769500,0.0,1.0
51,2020-07-09,37.21,37.5,35.89,36.16,36.16,1241100,0.0,1.0
52,2020-07-08,38.37,38.6,36.62,37.35,37.35,1295800,0.0,1.0
53,2020-07-07,38.69,39.11,38.29,38.49,38.49,1930500,0.0,1.0
54,2020-07-06,39.16,39.47,38.77,39.0,39.0,1025000,0.0,1.0
55,2020-07-02,39.2,39.72,38.79,38.87,38.87,1032100,0.0,1.0
56,2020-07-01,39.38,39.57,38.29,38.34,38.34,950300,0.0,1.0
57,2020-06-30,38.99,39.34,38.75,39.23,39.23,1176800,0.05,1.0
58,2020-06-29,39.05,39.36,38.81,39.12,39.0702,872900,0.0,1.0
59,2020-06-26,38.71,38.83,38.03,38.64,38.5908,1706000,0.0,1.0
60,2020-06-25,37.66,38.98,37.43,38.95,38.9004,1137000,0.0,1.0
61,2020-06-24,38.98,39.17,37.96,37.96,37.9117,1017500,0.0,1.0
62,2020-06-23,40.0,40.83,39.46,39.51,39.4597,1410700,0.0,1.0
63,2020-06-22,38.31,39.33,37.85,39.23,39.1801,1506600,0.0,1.0
64,2020-06-19,39.11,39.28,38.25,38.71,38.6607,2001600,0.0,1.0
65,2020-06-18,38.5,38.99,38.29,38.36,38.3112,765600,0.0,1.0
66,2020-06-17,39.07,39.68,38.74,38.92,38.8705,1575100,0.0,1.0
67,2020-06-16,39.96,40.5,38.5,38.76,38.7107,1539400,0.0,1.0
68,2020-06-15,35.73,38.35,35.36,38.06,38.0116,1487900,0.0,1.0
69,2020-06-12,38.31,38.43,35.98,37.05,37.0028,1332900,0.0,1.0
70,2020-06-11,38.28,38.63,36.73,36.79,36.7432,1417900,0.0,1.0
71,2020-06-10,41.49,41.49,39.62,39.67,39.6195,1714800,0.0,1.0
72,2020-06-09,42.4,42.45,41.47,41.53,41.4771,962300,0.0,1.0
73,2020-06-08,42.77,43.51,42.69,43.31,43.2549,1286200,0.0,1.0
74,2020-06-05,41.99,42.99,41.99,42.39,42.336,1957600,0.0,1.0
75,2020-06-04,40.09,41.02,39.74,41.02,40.9678,1587800,0.0,1.0
76,2020-06-03,40.0,40.84,39.92,40.39,40.3386,1881200,0.0,1.0
77,2020-06-02,38.36,39.72,38.3,39.6,39.5496,2925700,0.0,1.0
78,2020-06-01,36.98,38.12,36.77,37.93,37.8817,2369100,0.0,1.0
79,2020-05-29,36.16,37.13,35.88,36.93,36.883,1344000,0.0,1.0
80,2020-05-28,37.95,37.99,36.54,36.61,36.5634,1146600,0.0,1.0
81,2020-05-27,37.17,37.69,36.51,37.28,37.2325,1684200,0.0,1.0
82,2020-05-26,35.39,36.48,35.25,36.28,36.2338,1142600,0.0,1.0
83,2020-05-22,33.82,34.28,33.82,34.25,34.2064,1034100,0.0,1.0
84,2020-05-21,33.5,34.06,33.32,33.85,33.8069,1400000,0.0,1.0
85,2020-05-20,33.62,33.97,33.31,33.54,33.4973,1324000,0.0,1.0
86,2020-05-19,33.17,33.81,32.63,33.0,32.958,1195700,0.0,1.0
87,2020-05-18,32.74,33.67,32.41,33.39,33.3475,1341200,0.0,1.0
88,2020-05-15,30.57,31.56,30.32,31.34,31.3001,1192300,0.0,1.0
89,2020-05-14,29.7,30.96,28.71,30.91,30.8707,1642500,0.0,1.0
90,2020-05-13,31.56,31.83,29.92,30.33,30.2914,2306600,0.0,1.0
91,2020-05-12,33.09,33.51,31.83,31.91,31.8694,1361700,0.0,1.0
92,2020-05-11,33.99,34.13,32.96,32.97,32.928,1533400,0.0,1.0
93,2020-05-08,33.66,34.5,33.63,34.36,34.3163,1381300,0.0,1.0
94,2020-05-07,34.39,35.78,33.03,33.21,33.1677,2025500,0.0,1.0
95,2020-05-06,35.08,35.36,33.87,33.91,33.8668,1049600,0.0,1.0
96,2020-05-05,35.23,35.78,34.9,34.97,34.9255,1096700,0.0,1.0
97,2020-05-04,34.5,34.75,33.85,34.73,34.6858,969400,0.0,1.0
98,2020-05-01,35.73,36.07,34.54,34.97,34.9255,953900,0.0,1.0
99,2020-04-30,36.11,36.53,35.6,36.36,36.3137,2081600,0.0,1.0
100,2020-04-29,38.0,38.15,36.44,36.53,36.4835,1839600,0.0,1.0
101,2020-04-28,35.94,37.2,35.87,37.12,37.0727,1813400,0.0,1.0
102,2020-04-27,34.06,35.14,33.85,34.96,34.9155,1780100,0.0,1.0
103,2020-04-24,33.68,34.12,33.34,33.98,33.9367,1269300,0.0,1.0
104,2020-04-23,33.53,34.23,33.24,33.37,33.3275,1401200,0.0,1.0
105,2020-04-22,33.29,33.41,32.6,33.09,33.0479,748300,0.0,1.0
106,2020-04-21,33.45,34.01,32.41,32.44,32.3987,1583100,0.0,1.0
107,2020-04-20,34.0,34.69,33.4,33.64,33.5972,1831700,0.0,1.0
108,2020-04-17,33.4,34.97,33.34,34.91,34.8656,2188400,0.0,1.0
109,2020-04-16,32.53,32.8,31.65,32.65,32.6084,1727300,0.0,1.0
110,2020-04-15,32.56,33.04,32.12,32.55,32.5086,1407600,0.0,1.0
111,2020-04-14,33.18,34.14,32.69,33.7,33.6571,1485500,0.0,1.0
112,2020-04-13,33.43,33.45,32.08,32.32,32.2789,1290300,0.0,1.0
113,2020-04-09,34.18,34.97,32.74,33.55,33.5073,2087900,0.0,1.0
114,2020-04-08,33.05,34.17,32.66,33.8,33.757,1100300,0.0,1.0
115,2020-04-07,34.01,34.32,32.49,32.58,32.5385,1373800,0.0,1.0
116,2020-04-06,31.68,33.31,31.68,33.13,33.0878,1177500,0.0,1.0
117,2020-04-03,30.86,31.0,29.86,30.56,30.5211,1428100,0.05,1.0
118,2020-04-02,30.76,32.21,30.31,30.82,30.7305,1893700,0.0,1.0
119,2020-04-01,30.28,30.97,29.52,30.79,30.7006,1676600,0.0,1.0
120,2020-03-31,30.43,32.26,30.03,31.73,31.6378,1867100,0.0,1.0
121,2020-03-30,29.86,30.89,28.73,30.51,30.4214,1214900,0.0,1.0
122,2020-03-27,30.17,30.51,29.16,29.84,29.7533,1906700,0.0,1.0
123,2020-03-26,30.85,32.33,30.41,31.49,31.3985,1978200,0.0,1.0
