,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,61.0,63.06,60.66,62.37,62.37,5026733,0.0,1.0
1,2020-09-21,62.09,62.62,59.1194,60.71,60.71,8709808,0.0,1.0
2,2020-09-18,68.5,69.08,64.52,65.45,65.45,9854992,0.0,1.0
3,2020-09-17,68.05,70.42,67.51,68.75,68.75,5638251,0.0,1.0
4,2020-09-16,67.69,71.25,67.0,69.61,69.61,6686861,0.0,1.0
5,2020-09-15,70.69,70.84,66.9431,67.69,67.69,8654764,0.0,1.0
6,2020-09-14,70.33,71.181,69.36,70.94,70.94,4715941,0.0,1.0
7,2020-09-11,70.49,70.58,68.15,69.34,69.34,4109384,0.0,1.0
8,2020-09-10,70.73,74.07,70.09,70.14,70.14,6334429,0.0,1.0
9,2020-09-09,70.62,70.8,67.61,70.11,70.11,6760622,0.0,1.0
10,2020-09-08,70.02,73.5,69.55,71.51,71.51,7383771,0.0,1.0
11,2020-09-04,72.47,73.12,68.58,71.95,71.95,7898788,0.0,1.0
12,2020-09-03,71.1,74.44,68.93,70.2,70.2,12987785,0.0,1.0
13,2020-09-02,69.18,69.18,66.73,68.37,68.37,6132228,0.0,1.0
14,2020-09-01,66.99,69.17,65.67,68.51,68.51,6153958,0.0,1.0
15,2020-08-31,70.13,71.55,68.2,68.84,68.84,8218330,0.0,1.0
16,2020-08-28,67.81,71.25,66.64,70.12,70.12,13882987,0.0,1.0
17,2020-08-27,64.04,67.57,63.97,66.6,66.6,9902893,0.0,1.0
18,2020-08-26,63.72,64.0775,61.89,62.84,62.84,5710337,0.0,1.0
19,2020-08-25,64.58,65.09,62.7,64.07,64.07,7931431,0.0,1.0
20,2020-08-24,63.04,65.2,61.2,64.43,64.43,12221496,0.0,1.0
21,2020-08-21,61.51,63.03,61.29,61.53,61.53,5980681,0.0,1.0
22,2020-08-20,59.96,61.76,59.27,61.53,61.53,5405905,0.0,1.0
23,2020-08-19,60.21,64.1497,60.04,61.09,61.09,10438580,0.0,1.0
24,2020-08-18,60.0,60.58,58.71,60.4,60.4,7826982,0.0,1.0
25,2020-08-17,60.35,60.55,58.56,60.29,60.29,8064174,0.0,1.0
26,2020-08-14,57.93,60.75,57.6,60.5,60.5,9203369,0.0,1.0
27,2020-08-13,56.71,59.65,56.391,58.5,58.5,8594086,0.0,1.0
28,2020-08-12,60.52,60.77,55.03,57.19,57.19,12717210,0.0,1.0
29,2020-08-11,61.48,62.19,58.29,58.67,58.67,18211840,0.0,1.0
30,2020-08-10,51.11,58.26,51.11,57.31,57.31,19737956,0.0,1.0
31,2020-08-07,50.71,52.33,49.46,52.1,52.1,8397424,0.0,1.0
32,2020-08-06,48.9,51.58,48.55,51.1,51.1,8729687,0.0,1.0
33,2020-08-05,50.56,50.8499,48.38,49.53,49.53,9940106,0.0,1.0
34,2020-08-04,47.26,50.09,47.15,49.13,49.13,7519921,0.0,1.0
35,2020-08-03,47.58,47.95,45.71,47.39,47.39,9299362,0.0,1.0
36,2020-07-31,50.02,50.3,47.88,48.71,48.71,7496630,0.0,1.0
37,2020-07-30,50.2,50.6899,49.1,50.3,50.3,5437609,0.0,1.0
38,2020-07-29,51.16,51.4399,49.62,51.0,51.0,4947489,0.0,1.0
39,2020-07-28,49.35,51.99,49.25,50.83,50.83,10081376,0.0,1.0
40,2020-07-27,50.58,50.59,48.22,49.3,49.3,7319618,0.0,1.0
41,2020-07-24,50.0,52.4156,49.6,50.83,50.83,7006491,0.0,1.0
42,2020-07-23,50.5,51.43,49.4,50.45,50.45,11370094,0.0,1.0
43,2020-07-22,52.06,52.6617,51.38,51.45,51.45,7258695,0.0,1.0
44,2020-07-21,52.9,53.96,51.96,52.8,52.8,8713150,0.0,1.0
45,2020-07-20,53.82,54.78,51.97,52.4,52.4,7658124,0.0,1.0
46,2020-07-17,52.11,54.37,51.5,53.14,53.14,10955400,0.0,1.0
47,2020-07-16,55.41,56.15,53.75,53.94,53.94,16192200,0.0,1.0
48,2020-07-15,51.49,58.68,51.35,58.36,58.36,33849400,0.0,1.0
49,2020-07-14,48.72,48.72,47.14,48.15,48.15,10380700,0.0,1.0
50,2020-07-13,52.09,52.9,49.36,49.54,49.54,13609600,0.0,1.0
51,2020-07-10,47.03,51.95,46.13,51.77,51.77,20517800,0.0,1.0
52,2020-07-09,50.92,51.1,46.55,47.12,47.12,13913800,0.0,1.0
53,2020-07-08,46.97,50.43,46.51,50.07,50.07,12303800,0.0,1.0
54,2020-07-07,48.91,49.75,47.42,47.56,47.56,9977100,0.0,1.0
55,2020-07-06,50.29,51.49,47.89,50.02,50.02,13270100,0.0,1.0
56,2020-07-02,52.97,53.62,49.36,49.51,49.51,13796600,0.0,1.0
57,2020-07-01,51.99,55.62,50.45,50.83,50.83,17890700,0.0,1.0
58,2020-06-30,49.6,50.77,47.78,50.3,50.3,14797100,0.0,1.0
59,2020-06-29,46.09,50.49,45.06,50.3,50.3,17362900,0.0,1.0
60,2020-06-26,48.62,48.91,45.43,46.41,46.41,14365275,0.0,1.0
61,2020-06-25,45.35,49.1899,45.25,48.58,48.58,21679613,0.0,1.0
62,2020-06-24,51.9,52.46,46.52,48.24,48.24,26769232,0.0,1.0
63,2020-06-23,52.62,54.6,51.35,54.36,54.36,18550878,0.0,1.0
64,2020-06-22,53.5,54.14,50.35,51.86,51.86,26181411,0.0,1.0
65,2020-06-19,60.96,61.12,54.72,55.27,55.27,24705447,0.0,1.0
66,2020-06-18,56.55,61.6936,56.21,59.35,59.35,21418493,0.0,1.0
67,2020-06-17,59.01,60.24,56.76,58.03,58.03,21712844,0.0,1.0
68,2020-06-16,66.5001,66.89,60.54,62.5,62.5,21312343,0.0,1.0
69,2020-06-15,55.75,61.78,55.32,60.83,60.83,20395875,0.0,1.0
70,2020-06-12,60.6,62.7,57.0,61.18,61.18,25944246,0.0,1.0
