,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,37.29,38.155,37.19,37.26,37.26,1798277,0.0,1.0
1,2020-09-21,39.42,39.42,36.83,37.21,37.21,2275204,0.0,1.0
2,2020-09-18,41.07,41.48,39.96,40.07,40.07,4732984,0.0,1.0
3,2020-09-17,41.03,41.49,40.6,41.29,41.29,1400405,0.0,1.0
4,2020-09-16,41.34,41.9,40.89,41.61,41.61,1603125,0.0,1.0
5,2020-09-15,40.52,41.53,40.22,41.21,41.21,1529207,0.0,1.0
6,2020-09-14,38.85,40.24,38.83,40.04,40.04,1772466,0.0,1.0
7,2020-09-11,39.23,39.435,37.88,38.6,38.6,1300106,0.0,1.0
8,2020-09-10,40.97,41.0,39.27,39.34,39.34,1750589,0.0,1.0
9,2020-09-09,41.18,41.62,40.29,40.87,40.87,1550723,0.0,1.0
10,2020-09-08,41.32,41.47,40.57,40.97,40.97,1712593,0.0,1.0
11,2020-09-04,41.43,42.36,41.25,41.53,41.53,903399,0.0,1.0
12,2020-09-03,41.12,42.23,40.71,41.23,41.23,1181076,0.0,1.0
13,2020-09-02,39.48,41.13,39.09,41.03,41.03,2427227,0.0,1.0
14,2020-09-01,39.33,39.62,38.88,39.4,39.4,1008315,0.0,1.0
15,2020-08-31,40.6,40.6,39.35,39.71,39.71,1382597,0.0,1.0
16,2020-08-28,40.66,40.66,39.565,40.44,40.44,1092367,0.0,1.0
17,2020-08-27,40.63,41.31,40.54,40.65,40.65,749906,0.0,1.0
18,2020-08-26,41.18,41.19,39.88,40.1,40.1,782444,0.0,1.0
19,2020-08-25,41.4,41.59,40.22,40.95,40.95,685650,0.0,1.0
20,2020-08-24,40.47,41.31,39.9,41.05,41.05,826520,0.0,1.0
21,2020-08-21,41.26,41.31,40.135,40.46,40.46,616358,0.0,1.0
22,2020-08-20,40.2,41.48,40.0,41.15,41.15,1158658,0.0,1.0
23,2020-08-19,41.25,41.7,40.15,40.2,40.2,753272,0.0,1.0
24,2020-08-18,42.9,42.9,41.28,41.82,41.82,583011,0.0,1.0
25,2020-08-17,42.42,43.02,42.14,42.72,42.72,488301,0.0,1.0
26,2020-08-14,42.4,43.48,42.03,42.88,42.88,921944,0.0,1.0
27,2020-08-13,42.92,43.34,42.21,42.49,42.49,1049225,0.595,1.0
28,2020-08-12,43.96,44.24,42.78,43.67,43.0669,975604,0.0,1.0
29,2020-08-11,43.66,44.815,43.31,43.5,42.8993,1281359,0.0,1.0
30,2020-08-10,41.55,43.735,41.51,42.87,42.278,1249309,0.0,1.0
31,2020-08-07,40.43,41.7,40.18,41.65,41.0748,678580,0.0,1.0
32,2020-08-06,40.36,41.75,40.22,40.96,40.3943,781897,0.0,1.0
