,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,171.33,172.6,169.62,172.26,172.26,411062,0.0,1.0
1,2020-09-21,168.69,171.59,165.721,171.51,171.51,714321,0.0,1.0
2,2020-09-18,171.745,173.27,167.71,170.01,170.01,965549,0.0,1.0
3,2020-09-17,172.44,173.7,171.01,172.89,172.89,476100,0.0,1.0
4,2020-09-16,176.96,177.69,173.13,174.06,174.06,590706,0.0,1.0
5,2020-09-15,175.49,177.69,175.06,175.55,175.55,395980,0.0,1.0
6,2020-09-14,174.1,175.52,172.91,174.43,174.43,365014,0.0,1.0
7,2020-09-11,173.76,174.84,170.86,172.0,172.0,365217,0.0,1.0
8,2020-09-10,174.71,176.005,171.4514,172.06,172.06,430445,0.0,1.0
9,2020-09-09,173.92,176.86,173.04,174.68,174.68,445773,0.0,1.0
10,2020-09-08,171.02,173.58,168.95,171.42,171.42,548767,0.0,1.0
11,2020-09-04,176.05,177.0,169.77,173.56,173.56,476635,0.0,1.0
12,2020-09-03,183.4,183.4,175.27,177.86,177.86,608773,0.0,1.0
13,2020-09-02,180.4,184.295,179.03,183.0,183.0,628812,0.0,1.0
14,2020-09-01,181.0,181.755,177.24,178.91,178.91,436889,0.0,1.0
15,2020-08-31,179.39,181.3,177.41,180.78,180.78,587464,0.0,1.0
16,2020-08-28,180.6,180.62,178.38,180.23,180.23,290525,0.0,1.0
17,2020-08-27,180.18,181.19,177.81,180.68,180.68,372545,0.0,1.0
18,2020-08-26,178.13,180.46,175.96,180.08,180.08,366145,0.0,1.0
19,2020-08-25,177.49,179.16,176.26,179.09,179.09,556450,0.0,1.0
20,2020-08-24,180.86,181.31,174.64,176.42,176.42,717945,0.0,1.0
21,2020-08-21,180.89,180.91,177.675,179.37,179.37,608614,0.0,1.0
22,2020-08-20,182.13,183.5,180.6,180.97,180.97,504978,0.0,1.0
23,2020-08-19,183.64,185.17,182.1,183.43,183.43,674351,0.39,1.0
24,2020-08-18,183.2,183.72,179.79,183.03,182.6417,606644,0.0,1.0
25,2020-08-17,177.55,183.25,177.55,183.2,182.8113,986409,0.0,1.0
26,2020-08-14,177.3,178.22,176.51,176.78,176.4049,468725,0.0,1.0
27,2020-08-13,175.73,178.07,173.94,177.51,177.1334,425467,0.0,1.0
28,2020-08-12,174.0,177.37,173.745,175.84,175.4669,829686,0.0,1.0
29,2020-08-11,174.87,175.64,171.69,172.98,172.613,789107,0.0,1.0
30,2020-08-10,175.0,176.74,173.36,175.15,174.7784,1004531,0.0,1.0
31,2020-08-07,176.6,178.21,172.745,173.24,172.8724,1257425,0.0,1.0
32,2020-08-06,190.0,190.23,173.34,175.52,175.1476,2214965,0.0,1.0
33,2020-08-05,203.47,205.275,202.65,202.96,202.5294,978482,0.0,1.0
34,2020-08-04,201.96,203.84,200.73,202.77,202.3398,802383,0.0,1.0
35,2020-08-03,200.0,203.3,200.0,202.0,201.5714,745405,0.0,1.0
36,2020-07-31,205.53,206.17,200.805,202.51,202.0803,659463,0.0,1.0
37,2020-07-30,201.54,204.79,201.34,204.46,204.0262,537502,0.0,1.0
38,2020-07-29,203.65,205.4,202.65,204.1,203.667,578693,0.0,1.0
39,2020-07-28,205.04,205.5,202.1,202.23,201.8009,345573,0.0,1.0
40,2020-07-27,203.69,207.04,203.52,205.63,205.1937,368064,0.0,1.0
41,2020-07-24,203.43,203.43,199.5,202.44,202.0105,358910,0.0,1.0
42,2020-07-23,205.98,208.995,203.06,204.06,203.6271,430495,0.0,1.0
43,2020-07-22,205.0,205.9,203.36,205.33,204.8944,511774,0.0,1.0
44,2020-07-21,203.73,204.99,201.78,204.4,203.9663,525100,0.0,1.0
45,2020-07-20,199.43,203.59,198.65,203.01,202.5793,379800,0.0,1.0
46,2020-07-17,197.22,200.27,196.77,199.0,198.5778,517100,0.0,1.0
47,2020-07-16,196.84,196.89,192.99,195.82,195.4045,375700,0.0,1.0
48,2020-07-15,196.98,198.44,194.86,197.55,197.1309,523400,0.0,1.0
49,2020-07-14,187.91,195.5,187.45,195.04,194.6262,544300,0.0,1.0
50,2020-07-13,192.93,194.98,187.22,188.09,187.6909,559000,0.0,1.0
51,2020-07-10,193.84,195.36,190.83,192.09,191.6825,391200,0.0,1.0
52,2020-07-09,193.46,195.09,189.56,193.69,193.2791,424600,0.0,1.0
53,2020-07-08,192.34,193.68,190.09,192.72,192.3111,478000,0.0,1.0
54,2020-07-07,193.33,195.77,191.3,191.47,191.0638,545400,0.0,1.0
55,2020-07-06,195.14,197.38,192.61,193.62,193.2092,619000,0.0,1.0
56,2020-07-02,192.29,193.91,191.62,192.48,192.0716,623100,0.0,1.0
57,2020-07-01,190.15,191.55,186.31,190.86,190.4551,963800,0.0,1.0
58,2020-06-30,188.04,193.2,188.04,192.0,191.5926,698500,0.0,1.0
59,2020-06-29,186.35,188.4,184.14,188.32,187.9205,684199,0.0,1.0
60,2020-06-26,186.43,189.06,185.0,185.63,185.2362,1534400,0.0,1.0
61,2020-06-25,182.0,187.01,180.74,186.3,185.9047,817900,0.0,1.0
62,2020-06-24,180.84,183.73,178.55,181.86,181.4742,828700,0.0,1.0
63,2020-06-23,180.45,183.9,179.48,181.95,181.564,733600,0.0,1.0
64,2020-06-22,176.5,180.14,174.26,179.11,178.73,930800,0.0,1.0
65,2020-06-19,176.43,177.0,172.12,172.72,172.3536,1090000,0.0,1.0
