,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,209.32,214.315,209.285,214.09,214.09,558084,0.0,1.0
1,2020-09-21,215.26,216.21,206.57,209.08,209.08,1024579,0.0,1.0
2,2020-09-18,222.69,224.3312,218.46,218.96,218.96,774124,0.0,1.0
3,2020-09-17,222.89,226.03,219.8,222.2,222.2,537949,0.0,1.0
4,2020-09-16,226.95,229.225,224.785,225.28,225.28,489069,0.0,1.0
5,2020-09-15,224.98,228.3731,224.63,224.77,224.77,410635,0.0,1.0
6,2020-09-14,224.63,226.1,222.805,224.66,224.66,389296,0.0,1.0
7,2020-09-11,220.62,223.02,219.14,222.25,222.25,524416,0.0,1.0
8,2020-09-10,225.36,226.74,218.72,219.37,219.37,592492,0.0,1.0
9,2020-09-09,223.12,226.26,222.08,224.57,224.57,624597,0.0,1.0
10,2020-09-08,225.97,226.13,220.38,220.92,220.92,523184,0.0,1.0
11,2020-09-04,231.68,232.42,225.27,228.25,228.25,585297,0.0,1.0
12,2020-09-03,236.34,237.45,225.675,228.81,228.81,550757,0.0,1.0
13,2020-09-02,234.74,238.34,232.48,237.3,237.3,559960,0.0,1.0
14,2020-09-01,229.22,234.07,228.46,233.94,233.94,257569,0.0,1.0
15,2020-08-31,232.75,233.19,229.5,230.53,230.53,367308,0.0,1.0
16,2020-08-28,231.33,233.45,229.82,233.27,233.27,327318,0.0,1.0
17,2020-08-27,232.29,233.8,230.88,232.01,232.01,410313,0.0,1.0
18,2020-08-26,230.61,233.1,229.26,232.39,232.39,609118,0.0,1.0
19,2020-08-25,232.0,234.09,229.83,230.84,230.84,640998,0.0,1.0
20,2020-08-24,230.18,230.79,227.65,230.79,230.79,596401,0.0,1.0
21,2020-08-21,227.11,229.175,226.425,228.52,228.52,380805,0.0,1.0
22,2020-08-20,227.44,229.0,226.03,226.83,226.83,455838,0.0,1.0
23,2020-08-19,232.0,232.49,227.318,228.68,228.68,701592,0.0,1.0
24,2020-08-18,232.98,234.795,232.3662,233.02,233.02,440607,0.0,1.0
25,2020-08-17,233.17,234.99,232.55,233.45,233.45,403430,0.0,1.0
26,2020-08-14,231.63,233.95,231.25,232.05,232.05,308257,1.02,1.0
27,2020-08-13,234.68,235.64,232.51,233.99,232.966,465848,0.0,1.0
28,2020-08-12,233.95,237.43,231.97,236.12,235.0867,495598,0.0,1.0
29,2020-08-11,230.42,238.4894,230.02,232.18,231.1639,921486,0.0,1.0
30,2020-08-10,224.03,231.47,224.03,229.32,228.3164,875185,0.0,1.0
31,2020-08-07,222.2,224.72,220.595,223.64,222.6613,471706,0.0,1.0
32,2020-08-06,223.04,224.77,220.68,221.95,220.9787,357845,0.0,1.0
33,2020-08-05,221.81,224.13,219.915,223.94,222.96,654722,0.0,1.0
34,2020-08-04,218.02,220.64,217.7,220.45,219.4852,493713,0.0,1.0
35,2020-08-03,219.23,222.71,218.16,220.77,219.8038,501639,0.0,1.0
36,2020-07-31,219.28,219.98,214.5,218.14,217.1853,770382,0.0,1.0
37,2020-07-30,218.79,220.85,215.03,219.84,218.8779,840135,0.0,1.0
38,2020-07-29,224.19,224.48,219.06,220.97,220.003,1055639,0.0,1.0
39,2020-07-28,223.0,225.555,217.21,222.28,221.3072,1190917,0.0,1.0
40,2020-07-27,225.28,230.93,225.14,229.0,227.9978,768289,0.0,1.0
41,2020-07-24,226.6,227.62,225.12,226.19,225.2001,431178,0.0,1.0
42,2020-07-23,226.36,228.2,225.13,225.99,225.001,419196,0.0,1.0
43,2020-07-22,226.47,227.81,224.87,226.6,225.6083,523484,0.0,1.0
44,2020-07-21,228.56,228.99,224.19,226.83,225.8373,656700,0.0,1.0
45,2020-07-20,224.51,226.0,221.42,222.44,221.4665,437900,0.0,1.0
46,2020-07-17,225.0,227.19,224.23,225.28,224.2941,706200,0.0,1.0
47,2020-07-16,220.64,224.17,220.58,223.28,222.3028,749400,0.0,1.0
48,2020-07-15,220.0,223.1,217.24,222.04,221.0683,716900,0.0,1.0
49,2020-07-14,211.11,219.75,210.94,219.07,218.1113,663700,0.0,1.0
50,2020-07-13,212.27,214.45,210.21,211.8,210.8731,737200,0.0,1.0
51,2020-07-10,212.07,212.07,208.04,210.9,209.977,444500,0.0,1.0
52,2020-07-09,212.0,214.89,209.45,211.37,210.445,617300,0.0,1.0
53,2020-07-08,211.49,213.06,210.75,212.28,211.351,700100,0.0,1.0
54,2020-07-07,213.93,213.93,210.97,211.44,210.5147,647200,0.0,1.0
55,2020-07-06,215.68,215.71,212.59,214.59,213.6509,677500,0.0,1.0
56,2020-07-02,213.75,214.81,210.66,210.99,210.0666,615300,0.0,1.0
57,2020-07-01,212.64,213.69,209.31,210.5,209.5788,571100,0.0,1.0
58,2020-06-30,209.24,213.68,208.89,213.0,212.0678,757300,0.0,1.0
59,2020-06-29,207.78,209.48,205.34,208.67,207.7568,577767,0.0,1.0
60,2020-06-26,207.56,207.91,202.9,205.27,204.3717,1402400,0.0,1.0
61,2020-06-25,204.4,208.45,202.02,208.2,207.2888,625800,0.0,1.0
62,2020-06-24,206.72,209.0,202.97,205.03,204.1327,652200,0.0,1.0
63,2020-06-23,213.24,213.24,208.58,208.69,207.7767,603700,0.0,1.0
64,2020-06-22,209.62,212.62,206.9,210.56,209.6385,590000,0.0,1.0
65,2020-06-19,213.97,214.63,207.17,209.13,208.2148,1837600,0.0,1.0
66,2020-06-18,208.92,211.81,207.82,209.67,208.7524,786800,0.0,1.0
67,2020-06-17,214.01,214.76,210.76,211.87,210.9428,592700,0.0,1.0
68,2020-06-16,218.71,219.69,209.09,213.74,212.8046,943400,0.0,1.0
69,2020-06-15,202.61,211.1,200.6,210.48,209.5589,1206200,0.0,1.0
70,2020-06-12,213.09,213.43,202.07,208.19,207.2789,871100,0.0,1.0
71,2020-06-11,211.46,213.38,205.67,206.06,205.1582,994100,0.0,1.0
72,2020-06-10,220.0,220.9,217.86,218.14,217.1853,1903200,0.0,1.0
73,2020-06-09,221.99,223.27,219.41,220.04,219.077,1099900,0.0,1.0
74,2020-06-08,228.0,229.21,224.12,225.57,224.5828,649600,0.0,1.0
75,2020-06-05,225.0,230.71,224.98,227.39,226.3949,1043900,0.0,1.0
76,2020-06-04,218.53,222.66,218.04,222.49,221.5163,772300,0.0,1.0
77,2020-06-03,218.0,222.61,217.62,220.3,219.3359,830600,0.0,1.0
78,2020-06-02,216.2,217.88,215.03,217.59,216.6377,666200,0.0,1.0
79,2020-06-01,216.45,217.16,213.75,214.67,213.7305,725300,0.0,1.0
80,2020-05-29,215.17,216.75,212.64,216.16,215.214,2935600,0.0,1.0
81,2020-05-28,220.0,221.31,216.02,216.4,215.453,1096000,0.0,1.0
82,2020-05-27,218.34,220.51,214.02,219.24,218.2805,1399200,0.0,1.0
83,2020-05-26,210.0,217.55,207.75,215.9,214.9551,1667900,0.0,1.0
84,2020-05-22,204.22,204.23,200.56,202.19,201.3051,736500,0.0,1.0
85,2020-05-21,205.88,206.25,203.31,203.73,202.8384,789700,0.0,1.0
86,2020-05-20,205.04,206.57,203.8,206.04,205.1383,840000,0.0,1.0
87,2020-05-19,204.19,207.26,202.6,202.63,201.7432,989100,0.0,1.0
88,2020-05-18,202.0,209.49,201.29,205.17,204.2721,1514400,0.0,1.0
89,2020-05-15,188.66,202.8,188.39,197.87,197.004,3215900,1.02,1.0
90,2020-05-14,184.0,191.32,183.67,191.01,189.1988,1490200,0.0,1.0
91,2020-05-13,188.15,191.37,183.89,186.86,185.0881,1044400,0.0,1.0
