,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,391.62,394.855,387.625,392.73,392.73,510021,0.0,1.0
1,2020-09-21,387.5,393.38,383.73,392.25,392.25,542833,0.0,1.0
2,2020-09-18,397.08,399.76,390.15,391.37,391.37,753165,0.0,1.0
3,2020-09-17,395.29,399.82,392.315,398.8,398.8,567220,0.0,1.0
4,2020-09-16,408.09,409.79,398.77,400.43,400.43,470986,0.0,1.0
5,2020-09-15,399.19,407.86,397.03,403.89,403.89,626137,0.0,1.0
6,2020-09-14,403.52,406.1,395.78,396.26,396.26,587250,0.0,1.0
7,2020-09-11,400.0,403.7,393.21,399.6,399.6,561214,0.0,1.0
8,2020-09-10,401.58,406.21,394.47,395.8,395.8,444225,0.0,1.0
9,2020-09-09,399.28,404.08,394.38,399.9,399.9,517117,0.0,1.0
10,2020-09-08,401.54,406.34,390.005,393.95,393.95,1227031,0.0,1.0
11,2020-09-04,433.58,434.015,416.8,422.53,422.53,446172,0.0,1.0
12,2020-09-03,443.98,444.48,426.98,429.97,429.97,404316,0.0,1.0
13,2020-09-02,436.88,445.85,434.59,443.87,443.87,518076,0.0,1.0
14,2020-09-01,429.3,437.675,427.415,436.41,436.41,316237,0.0,1.0
15,2020-08-31,428.15,429.435,425.37,427.19,427.19,373873,0.0,1.0
16,2020-08-28,428.54,430.5,425.98,430.18,430.18,257279,0.0,1.0
17,2020-08-27,433.45,433.55,427.46,428.06,428.06,361104,0.0,1.0
18,2020-08-26,429.35,433.02,427.58,432.44,432.44,387634,0.0,1.0
19,2020-08-25,433.82,437.255,431.27,431.27,431.27,333577,0.0,1.0
20,2020-08-24,433.65,436.93,429.3891,432.17,432.17,301778,0.0,1.0
21,2020-08-21,434.53,434.9,429.25,431.99,431.99,640830,0.0,1.0
22,2020-08-20,433.2,437.2,432.0,434.8,434.8,451332,0.0,1.0
23,2020-08-19,440.44,441.21,434.36,434.43,434.43,473751,0.0,1.0
24,2020-08-18,443.5,444.0,437.38,439.0,439.0,529679,0.0,1.0
25,2020-08-17,446.75,449.99,439.52,440.97,440.97,611568,0.0,1.0
26,2020-08-14,452.3,453.72,443.53,444.95,444.95,473574,0.0,1.0
27,2020-08-13,444.74,455.72,444.74,453.18,453.18,645396,0.0,1.0
28,2020-08-12,436.91,449.79,436.35,446.7,446.7,418624,0.0,1.0
29,2020-08-11,442.64,445.73,433.96,434.71,434.71,578057,0.0,1.0
30,2020-08-10,441.36,444.06,439.01,441.32,441.32,456831,0.0,1.0
31,2020-08-07,437.76,441.55,435.49,440.9,440.9,246163,0.0,1.0
32,2020-08-06,434.7,437.8,431.77,436.98,436.98,258421,0.0,1.0
33,2020-08-05,436.41,438.8,434.01,435.22,435.22,296296,0.0,1.0
34,2020-08-04,432.04,435.33,431.2,433.41,433.41,359978,0.0,1.0
35,2020-08-03,434.54,441.38,431.3,435.2,435.2,360310,0.0,1.0
36,2020-07-31,431.39,433.58,426.23,432.45,432.45,440855,0.0,1.0
37,2020-07-30,433.0,434.55,424.25,432.8,432.8,382793,0.0,1.0
38,2020-07-29,423.77,438.77,423.71,437.16,437.16,640051,0.0,1.0
39,2020-07-28,425.4,441.034,423.05,423.09,423.09,697558,0.0,1.0
40,2020-07-27,416.48,424.725,414.98,420.7,420.7,466750,0.0,1.0
41,2020-07-24,418.35,419.06,412.63,415.27,415.27,426328,0.0,1.0
42,2020-07-23,418.43,425.52,418.43,420.28,420.28,561065,0.0,1.0
43,2020-07-22,416.82,422.29,415.625,418.23,418.23,337175,0.0,1.0
44,2020-07-21,416.0,420.23,411.94,415.61,415.61,316440,0.0,1.0
45,2020-07-20,409.24,416.24,408.99,415.23,415.23,474783,0.0,1.0
46,2020-07-17,407.77,411.69,406.34,409.06,409.06,362200,0.0,1.0
