,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,93.9,95.26,93.67,95.08,95.08,700794,0.0,1.0
1,2020-09-21,94.91,95.03,93.17,94.04,94.04,1035546,0.0,1.0
2,2020-09-18,96.16,96.97,95.76,95.78,95.78,1429779,0.0,1.0
3,2020-09-17,95.92,97.02,95.01,96.44,96.44,773512,0.0,1.0
4,2020-09-16,97.11,98.11,96.275,96.39,96.39,1117448,0.0,1.0
5,2020-09-15,97.01,97.84,96.77,96.82,96.82,962493,0.0,1.0
6,2020-09-14,96.28,97.32,96.2,96.76,96.76,1062389,0.0,1.0
7,2020-09-11,95.21,96.08,94.95,95.74,95.74,870849,0.0,1.0
8,2020-09-10,95.2,95.49,94.51,94.98,94.98,1296627,0.0,1.0
9,2020-09-09,93.67,95.85,93.45,95.16,95.16,1194372,0.0,1.0
10,2020-09-08,93.14,94.44,92.8,93.29,93.29,1560004,0.0,1.0
11,2020-09-04,93.99,94.42,92.8,93.5,93.5,1436637,0.0,1.0
12,2020-09-03,95.07,95.45,92.61,93.47,93.47,2673716,0.0,1.0
13,2020-09-02,93.83,95.25,93.36,94.71,94.71,1734085,0.0,1.0
14,2020-09-01,92.33,93.36,91.98,93.29,93.29,1139431,0.0,1.0
15,2020-08-31,92.8,93.38,92.4,92.72,92.72,950861,0.0,1.0
16,2020-08-28,92.74,92.93,92.05,92.92,92.92,833279,0.0,1.0
17,2020-08-27,92.64,93.37,92.17,92.68,92.68,713308,0.0,1.0
18,2020-08-26,91.3,92.33,91.0,92.04,92.04,971699,0.0,1.0
19,2020-08-25,91.38,91.73,90.89,91.5,91.5,809038,0.0,1.0
20,2020-08-24,90.22,91.08,89.88,91.08,91.08,805815,0.0,1.0
21,2020-08-21,89.19,89.87,88.76,89.81,89.81,871898,0.0,1.0
22,2020-08-20,88.79,89.23,88.6,88.99,88.99,698060,0.0,1.0
23,2020-08-19,89.32,89.69,88.78,89.15,89.15,910657,0.0,1.0
24,2020-08-18,89.62,89.83,88.94,89.12,89.12,799616,0.0,1.0
25,2020-08-17,90.34,90.75,89.68,89.8,89.8,614691,0.0,1.0
26,2020-08-14,90.39,91.0575,89.94,90.37,90.37,485140,0.0,1.0
27,2020-08-13,90.69,91.08,90.01,90.71,90.71,798401,0.0,1.0
28,2020-08-12,91.16,92.08,90.89,91.24,91.24,1028244,0.0,1.0
29,2020-08-11,91.48,91.73,90.51,90.88,90.88,1282017,0.0,1.0
30,2020-08-10,90.44,91.45,90.14,90.89,90.89,1213169,0.0,1.0
31,2020-08-07,88.71,93.505,88.71,90.59,90.59,1719760,0.0,1.0
32,2020-08-06,86.38,87.9,86.31,87.9,87.9,1049946,0.0,1.0
33,2020-08-05,87.01,87.4,86.09,86.5,86.5,1082955,0.0,1.0
34,2020-08-04,87.06,87.46,86.0,86.61,86.61,956131,0.0,1.0
35,2020-08-03,87.42,87.71,86.92,87.43,87.43,1030580,0.0,1.0
36,2020-07-31,86.4,87.27,85.97,87.25,87.25,836502,0.0,1.0
37,2020-07-30,86.84,87.38,85.63,87.06,87.06,810040,0.0,1.0
38,2020-07-29,85.86,87.04,85.69,86.87,86.87,739096,0.0,1.0
39,2020-07-28,84.87,85.885,84.85,85.34,85.34,580904,0.0,1.0
40,2020-07-27,85.24,85.46,84.61,85.05,85.05,656557,0.0,1.0
41,2020-07-24,86.3,86.53,84.86,85.03,85.03,822753,0.0,1.0
42,2020-07-23,85.91,86.87,85.4,85.85,85.85,700332,0.0,1.0
43,2020-07-22,84.75,85.95,84.44,85.66,85.66,897470,0.0,1.0
44,2020-07-21,85.22,85.89,84.79,85.03,85.03,831208,0.0,1.0
45,2020-07-20,86.51,86.92,84.84,85.0,85.0,833261,0.0,1.0
46,2020-07-17,85.1,87.07,84.67,86.98,86.98,1410000,0.0,1.0
47,2020-07-16,84.1,85.01,84.03,84.6,84.6,949000,0.0,1.0
48,2020-07-15,83.91,84.65,83.68,84.3,84.3,1545400,0.0,1.0
49,2020-07-14,81.73,83.08,81.58,83.04,83.04,917200,0.0,1.0
50,2020-07-13,82.22,82.85,81.44,81.73,81.73,1063100,0.0,1.0
51,2020-07-10,80.3,82.05,80.29,81.78,81.78,1188100,0.0,1.0
52,2020-07-09,79.69,80.76,78.8,80.5,80.5,1716000,0.0,1.0
