,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,306.5,309.85,302.37,305.06,305.06,654978,0.0,1.0
1,2020-09-18,309.38,313.74,306.485,308.7,308.7,703719,0.0,1.0
2,2020-09-17,321.45,322.65,308.4,312.345,312.345,483775,0.0,1.0
3,2020-09-16,320.84,328.369,320.84,322.14,322.14,577901,0.0,1.0
4,2020-09-15,312.66,324.64,312.32,323.35,323.35,558881,0.0,1.0
5,2020-09-14,305.94,311.5766,305.94,309.69,309.69,389444,0.0,1.0
6,2020-09-11,304.17,307.26,302.89,304.57,304.57,344879,0.0,1.0
7,2020-09-10,312.58,312.58,303.26,303.38,303.38,562356,0.0,1.0
8,2020-09-09,307.38,319.32,307.38,313.36,313.36,908816,0.0,1.0
9,2020-09-08,299.79,308.25,294.345,305.79,305.79,729784,0.0,1.0
10,2020-09-04,305.48,308.17,296.15,300.29,300.29,480391,0.0,1.0
11,2020-09-03,312.82,314.96,303.01,306.77,306.77,509435,0.0,1.0
12,2020-09-02,309.93,315.37,304.88,314.17,314.17,548429,0.0,1.0
13,2020-09-01,305.62,309.91,303.22,306.62,306.62,308376,0.0,1.0
14,2020-08-31,305.67,307.32,304.1,306.07,306.07,483092,0.0,1.0
15,2020-08-28,305.96,306.23,302.05,306.19,306.19,312956,0.0,1.0
16,2020-08-27,306.68,307.46,303.18,305.93,305.93,419626,0.0,1.0
17,2020-08-26,300.62,303.79,299.16,303.46,303.46,373449,0.0,1.0
18,2020-08-25,300.18,305.1,298.08,304.47,304.47,359693,0.0,1.0
19,2020-08-24,303.67,303.87,296.5,301.52,301.52,406705,0.465,1.0
20,2020-08-21,308.77,308.77,299.84,305.44,304.9697,423553,0.0,1.0
21,2020-08-20,297.47,303.815,297.17,299.81,299.3483,249328,0.0,1.0
22,2020-08-19,308.27,308.27,296.36,298.22,297.7608,587782,0.0,1.0
23,2020-08-18,309.01,310.72,306.51,307.47,306.9966,358968,0.0,1.0
24,2020-08-17,303.03,308.1,302.3,307.74,307.2661,357733,0.0,1.0
25,2020-08-14,303.01,307.46,301.13,303.17,302.7032,271170,0.0,1.0
26,2020-08-13,302.72,308.915,302.72,304.63,304.1609,316714,0.0,1.0
27,2020-08-12,296.74,305.4,295.93,304.39,303.9213,483968,0.0,1.0
28,2020-08-11,305.96,305.96,294.57,295.64,295.1848,663527,0.0,1.0
29,2020-08-10,310.58,311.11,298.78,300.83,300.3668,808133,0.0,1.0
30,2020-08-07,307.13,313.0,306.925,311.28,310.8007,324207,0.0,1.0
31,2020-08-06,304.35,308.06,300.68,307.33,306.8568,514458,0.0,1.0
32,2020-08-05,315.21,315.21,303.23,306.48,306.0081,412318,0.0,1.0
33,2020-08-04,311.56,319.92,307.135,310.31,309.8322,896490,0.0,1.0
34,2020-08-03,310.62,312.82,304.07,305.39,304.9198,441450,0.0,1.0
35,2020-07-31,313.72,314.34,307.95,311.54,311.0603,530880,0.0,1.0
36,2020-07-30,310.0,315.0,309.04,311.41,310.9305,707884,0.0,1.0
37,2020-07-29,312.2,321.19,312.2,317.57,317.081,665648,0.0,1.0
38,2020-07-28,305.82,312.96,305.02,312.24,311.7592,774852,0.0,1.0
39,2020-07-27,298.93,308.21,298.07,304.49,304.0211,671338,0.0,1.0
40,2020-07-24,298.49,301.28,295.22,298.68,298.2201,520219,0.0,1.0
41,2020-07-23,298.68,302.33,294.19,298.68,298.2201,537515,0.0,1.0
42,2020-07-22,297.17,299.58,295.21,298.2,297.7408,319248,0.0,1.0
43,2020-07-21,301.76,303.48,295.58,296.85,296.3929,480500,0.0,1.0
