,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,35.14,35.92,34.5,35.24,35.24,11448059,0.0,1.0
1,2020-09-18,35.61,36.54,35.61,36.03,36.03,9021042,0.0,1.0
2,2020-09-17,35.14,36.07,35.06,35.81,35.81,7298589,0.0,1.0
3,2020-09-16,34.93,36.075,34.81,35.73,35.73,8778863,0.0,1.0
4,2020-09-15,34.68,35.115,33.79,34.75,34.75,12952479,0.0,1.0
5,2020-09-14,35.5,36.17,35.33,35.73,35.73,6875630,0.0,1.0
6,2020-09-11,34.69,35.565,34.69,35.24,35.24,5890260,0.0,1.0
7,2020-09-10,35.2,35.375,34.52,34.66,34.66,5709901,0.0,1.0
8,2020-09-09,34.93,35.265,34.56,35.03,35.03,7657697,0.0,1.0
9,2020-09-08,35.47,35.7,34.61,34.66,34.66,9023220,0.0,1.0
10,2020-09-04,36.25,36.89,35.63,36.2,36.2,11453963,0.0,1.0
11,2020-09-03,36.3,36.875,35.2,35.39,35.39,13777918,0.0,1.0
12,2020-09-02,35.78,36.12,35.46,35.97,35.97,8021186,0.0,1.0
13,2020-09-01,35.16,36.255,34.96,35.8,35.8,6146828,0.0,1.0
14,2020-08-31,36.13,36.2,35.45,35.53,35.53,8331386,0.0,1.0
15,2020-08-28,36.15,36.47,35.85,36.28,36.28,6156466,0.0,1.0
16,2020-08-27,35.49,36.37,35.13,36.08,36.08,6467447,0.0,1.0
17,2020-08-26,35.58,35.72,35.12,35.42,35.42,4117870,0.0,1.0
18,2020-08-25,35.5,35.87,35.24,35.55,35.55,5261042,0.0,1.0
19,2020-08-24,34.5,35.5,34.46,35.12,35.12,9919969,0.0,1.0
20,2020-08-21,34.55,34.89,34.23,34.45,34.45,5804467,0.0,1.0
21,2020-08-20,35.23,35.35,34.48,34.55,34.55,8160987,0.0,1.0
22,2020-08-19,34.95,35.9,34.95,35.71,35.71,8035659,0.0,1.0
23,2020-08-18,34.5,35.0,34.24,34.95,34.95,7709969,0.0,1.0
24,2020-08-17,34.88,35.275,34.47,34.62,34.62,8320629,0.0,1.0
25,2020-08-14,34.45,35.46,34.29,35.05,35.05,8740679,0.0,1.0
26,2020-08-13,34.49,34.915,34.105,34.61,34.61,5937679,0.0,1.0
27,2020-08-12,35.5,35.9983,34.75,34.84,34.84,8998737,0.0,1.0
28,2020-08-11,34.47,35.555,34.23,34.96,34.96,12160483,0.0,1.0
29,2020-08-10,34.06,34.28,33.55,33.8,33.8,6043193,0.0,1.0
30,2020-08-07,33.02,34.06,32.84,34.04,34.04,7823115,0.0,1.0
31,2020-08-06,33.58,33.98,33.02,33.14,33.14,8077668,0.18,1.0
32,2020-08-05,34.21,34.355,33.88,34.2,34.0152,8279431,0.0,1.0
33,2020-08-04,33.11,33.95,33.11,33.95,33.7666,14859277,0.0,1.0
34,2020-08-03,33.28,33.62,32.79,33.34,33.1599,7285614,0.0,1.0
35,2020-07-31,33.43,33.47,32.66,33.15,32.9709,10385035,0.0,1.0
36,2020-07-30,33.44,33.73,32.89,33.58,33.3986,7323592,0.0,1.0
37,2020-07-29,33.71,34.11,33.43,34.08,33.8959,6592698,0.0,1.0
38,2020-07-28,33.6,34.02,33.55,33.66,33.4782,8882806,0.0,1.0
39,2020-07-27,34.55,34.68,33.65,33.84,33.6572,10588156,0.0,1.0
40,2020-07-24,35.21,35.51,34.72,34.94,34.7512,6578036,0.0,1.0
41,2020-07-23,34.8,35.85,34.51,35.21,35.0198,7457272,0.0,1.0
42,2020-07-22,35.05,35.17,34.47,34.86,34.6717,7584979,0.0,1.0
43,2020-07-21,34.05,35.36,34.02,35.24,35.0496,11387100,0.0,1.0
44,2020-07-20,33.42,33.94,33.04,33.84,33.6572,9564100,0.0,1.0
