,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,684.28,698.66,683.41,696.32,696.32,443410,0.0,1.0
1,2020-09-21,687.89,689.82,674.18,682.83,682.83,347908,0.0,1.0
2,2020-09-18,708.22,713.46,692.03,695.49,695.49,765269,0.0,1.0
3,2020-09-17,710.0,713.6,702.765,712.55,712.55,471065,0.0,1.0
4,2020-09-16,718.73,721.69,713.02,715.12,715.12,404083,0.0,1.0
5,2020-09-15,720.76,725.91,713.85,716.25,716.25,354187,0.0,1.0
6,2020-09-14,714.0,721.0127,711.0,717.6,717.6,445396,0.0,1.0
7,2020-09-11,705.31,712.965,700.39,708.74,708.74,473593,0.0,1.0
8,2020-09-10,696.91,709.335,693.0,702.66,702.66,835786,0.0,1.0
9,2020-09-09,686.8,697.51,682.125,694.43,694.43,528363,0.0,1.0
10,2020-09-08,670.83,673.3,661.695,669.3,669.3,650611,0.0,1.0
11,2020-09-04,680.76,684.53,661.075,679.62,679.62,619479,0.0,1.0
12,2020-09-03,697.0,697.0,671.24,678.84,678.84,525584,0.0,1.0
13,2020-09-02,684.55,699.81,683.5,699.16,699.16,464470,0.0,1.0
14,2020-09-01,669.5,686.04,667.94,686.04,686.04,504266,0.0,1.0
15,2020-08-31,676.36,676.36,669.66,671.05,671.05,376615,0.0,1.0
16,2020-08-28,673.97,676.38,669.6777,675.91,675.91,338399,0.0,1.0
17,2020-08-27,680.25,680.25,671.06,671.8,671.8,266814,0.0,1.0
18,2020-08-26,669.93,678.9,667.12,676.71,676.71,305685,0.0,1.0
19,2020-08-25,674.7,678.61,666.36,670.29,670.29,269993,0.0,1.0
20,2020-08-24,680.0,681.6,668.17,671.41,671.41,262058,0.0,1.0
21,2020-08-21,667.87,677.94,664.5,675.82,675.82,356238,0.0,1.0
22,2020-08-20,663.33,670.4,663.33,667.55,667.55,319303,1.34,1.0
23,2020-08-19,672.39,672.81,663.85,665.09,663.7576,316581,0.0,1.0
24,2020-08-18,675.0,676.03,668.67,669.98,668.6378,295802,0.0,1.0
25,2020-08-17,670.74,674.17,665.67,671.0,669.6558,344234,0.0,1.0
26,2020-08-14,670.18,673.97,663.31,666.56,665.2247,226270,0.0,1.0
27,2020-08-13,667.66,674.55,665.31,669.23,667.8893,278185,0.0,1.0
28,2020-08-12,656.22,675.74,654.52,671.89,670.544,574110,0.0,1.0
29,2020-08-11,655.0,661.23,650.06,652.4,651.093,393117,0.0,1.0
30,2020-08-10,656.0,659.19,649.25,651.25,649.9453,349704,0.0,1.0
31,2020-08-07,654.06,657.56,652.595,656.72,655.4044,375942,0.0,1.0
32,2020-08-06,650.28,658.9,649.3744,654.57,653.2587,429666,0.0,1.0
33,2020-08-05,653.1,658.9,650.73,650.73,649.4264,470428,0.0,1.0
34,2020-08-04,640.88,657.85,640.88,650.91,649.606,616450,0.0,1.0
35,2020-08-03,648.69,652.65,640.89,641.14,639.8556,470636,0.0,1.0
36,2020-07-31,646.08,649.5,640.25,647.92,646.622,592788,0.0,1.0
37,2020-07-30,641.33,650.19,639.27,647.63,646.3326,457763,0.0,1.0
38,2020-07-29,635.03,650.98,634.52,647.63,646.3326,672009,0.0,1.0
39,2020-07-28,650.0,659.87,621.565,633.55,632.2808,1042516,0.0,1.0
40,2020-07-27,626.22,631.88,623.525,625.52,624.2669,823938,0.0,1.0
41,2020-07-24,617.52,621.84,613.91,620.02,618.7779,448178,0.0,1.0
42,2020-07-23,622.85,628.44,612.87,618.5,617.2609,380237,0.0,1.0
43,2020-07-22,611.3,625.92,611.3,625.9,624.6461,382334,0.0,1.0
44,2020-07-21,615.0,615.02,608.0,613.4,612.1712,503700,0.0,1.0
45,2020-07-20,608.71,612.73,606.52,608.08,606.8618,323600,0.0,1.0
46,2020-07-17,600.0,613.13,598.95,610.09,608.8678,607400,0.0,1.0
47,2020-07-16,594.83,603.51,593.31,598.77,597.5705,349900,0.0,1.0
48,2020-07-15,590.0,598.04,586.92,597.44,596.2431,403400,0.0,1.0
49,2020-07-14,575.25,587.13,575.25,586.7,585.5247,383500,0.0,1.0
50,2020-07-13,588.74,590.64,575.6,576.04,574.886,380700,0.0,1.0
51,2020-07-10,582.26,586.62,572.63,583.8,582.6305,273600,0.0,1.0
52,2020-07-09,587.1,587.74,572.0,579.69,578.5287,349800,0.0,1.0
53,2020-07-08,590.0,595.64,575.4,586.12,584.9458,473000,0.0,1.0
54,2020-07-07,585.49,591.58,584.1,588.74,587.5606,443300,0.0,1.0
55,2020-07-06,590.0,592.73,583.76,592.16,590.9737,548200,0.0,1.0
56,2020-07-02,582.85,586.57,580.19,582.97,581.8021,450500,0.0,1.0
57,2020-07-01,577.77,581.94,571.49,577.56,576.403,635600,0.0,1.0
58,2020-06-30,567.6,579.88,563.72,577.85,576.6924,481100,0.0,1.0
59,2020-06-29,561.09,569.8,553.01,566.0,564.8661,343611,0.0,1.0
60,2020-06-26,572.81,573.88,555.86,557.53,556.4131,549500,0.0,1.0
61,2020-06-25,567.63,574.3,557.53,573.21,572.0617,328500,0.0,1.0
62,2020-06-24,574.97,575.19,566.1,566.65,565.5148,416100,0.0,1.0
63,2020-06-23,589.68,589.68,574.14,576.33,575.1754,493200,0.0,1.0
64,2020-06-22,594.45,594.45,574.12,582.47,581.3031,444400,0.0,1.0
65,2020-06-19,591.67,591.78,578.84,584.67,583.4987,704700,0.0,1.0
66,2020-06-18,578.0,585.04,577.55,581.7,580.5347,278300,0.0,1.0
67,2020-06-17,580.27,588.0,576.56,582.0,580.8341,409600,0.0,1.0
68,2020-06-16,586.44,588.34,566.08,576.36,575.2054,434600,0.0,1.0
69,2020-06-15,536.0,572.0,535.97,570.01,568.8681,876100,0.0,1.0
70,2020-06-12,560.2,561.29,539.17,547.62,546.5229,735200,0.0,1.0
71,2020-06-11,574.17,576.18,543.94,546.32,545.2255,961100,0.0,1.0
72,2020-06-10,583.04,585.78,577.36,580.96,579.7962,374400,0.0,1.0
73,2020-06-09,570.71,585.88,570.25,581.77,580.6045,507900,0.0,1.0
74,2020-06-08,583.43,584.27,570.5,575.0,573.8481,697500,0.0,1.0
75,2020-06-05,583.04,590.95,566.34,585.29,584.1175,884800,0.0,1.0
76,2020-06-04,590.57,593.0,571.83,575.16,574.0078,635900,0.0,1.0
77,2020-06-03,599.31,603.36,593.09,594.16,592.9697,515300,0.0,1.0
78,2020-06-02,580.35,599.18,579.19,597.11,595.9138,527400,0.0,1.0
79,2020-06-01,593.42,594.93,580.04,582.46,581.2931,346900,0.0,1.0
80,2020-05-29,588.27,596.3,585.22,593.85,592.6603,438500,0.0,1.0
81,2020-05-28,590.0,595.92,585.87,590.01,588.828,549300,0.0,1.0
82,2020-05-27,585.0,585.5,572.55,582.86,581.6923,451700,0.0,1.0
83,2020-05-26,585.0,585.89,579.37,583.13,581.9618,459300,0.0,1.0
84,2020-05-22,571.69,577.33,567.94,577.3,576.1435,279200,0.0,1.0
85,2020-05-21,565.82,571.25,563.0,570.0,568.8581,535100,1.34,1.0
86,2020-05-20,570.8,575.61,564.31,564.63,562.1773,630000,0.0,1.0
87,2020-05-19,570.9,575.65,562.51,563.74,561.2911,555000,0.0,1.0
88,2020-05-18,580.0,586.12,571.9,572.25,569.7642,618900,0.0,1.0
89,2020-05-15,540.49,568.38,539.3,568.38,565.911,886300,0.0,1.0
90,2020-05-14,540.32,545.62,528.19,545.55,543.1801,543700,0.0,1.0
91,2020-05-13,550.44,554.7,539.7,548.32,545.9381,488900,0.0,1.0
92,2020-05-12,557.09,563.76,553.46,553.46,551.0558,622600,0.0,1.0
93,2020-05-11,543.21,563.77,542.8,558.84,556.4124,798600,0.0,1.0
94,2020-05-08,539.06,553.58,534.7,549.68,547.2922,492400,0.0,1.0
