,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,110.14,111.88,109.62,109.88,109.88,1105104,0.0,1.0
1,2020-09-21,108.87,111.15,108.1,109.79,109.79,1148407,0.0,1.0
2,2020-09-18,109.8,110.98,109.04,109.39,109.39,971302,0.0,1.0
3,2020-09-17,110.42,111.18,108.85,109.98,109.98,1178171,0.0,1.0
4,2020-09-16,111.66,112.66,110.3,110.82,110.82,1117781,0.0,1.0
5,2020-09-15,113.75,113.825,112.28,112.4,112.4,550332,0.0,1.0
6,2020-09-14,113.49,114.15,113.115,113.46,113.46,572606,0.0,1.0
7,2020-09-11,113.17,113.905,111.78,113.31,113.31,699874,0.0,1.0
8,2020-09-10,114.88,115.07,112.43,113.08,113.08,966206,0.0,1.0
9,2020-09-09,115.03,117.02,114.35,115.76,115.76,873776,0.0,1.0
10,2020-09-08,117.56,118.12,113.65,114.16,114.16,945722,0.0,1.0
11,2020-09-04,118.44,119.625,117.03,117.56,117.56,692866,0.0,1.0
12,2020-09-03,120.48,121.82,117.12,118.23,118.23,784506,0.0,1.0
13,2020-09-02,117.52,121.27,117.37,120.85,120.85,778659,0.0,1.0
14,2020-09-01,119.98,119.98,117.43,117.96,117.96,694427,0.0,1.0
15,2020-08-31,119.2,120.695,119.01,120.18,120.18,824390,0.0,1.0
16,2020-08-28,121.01,121.01,118.57,119.65,119.65,789805,0.0,1.0
17,2020-08-27,121.46,123.3,120.85,120.92,120.92,700665,0.0,1.0
18,2020-08-26,122.15,122.97,120.39,121.73,121.73,994010,0.0,1.0
19,2020-08-25,120.0,123.44,117.24,120.75,120.75,3560940,0.0,1.0
20,2020-08-24,112.27,113.63,110.77,112.99,112.99,839621,0.0,1.0
21,2020-08-21,111.92,112.5,110.66,112.09,112.09,905075,0.0,1.0
22,2020-08-20,111.61,112.56,111.315,111.9,111.9,570918,0.0,1.0
23,2020-08-19,111.43,112.73,110.46,111.36,111.36,1026255,0.0,1.0
24,2020-08-18,113.6,114.78,112.605,113.92,113.92,644902,0.0,1.0
25,2020-08-17,113.83,114.37,113.48,113.5,113.5,1368029,0.0,1.0
26,2020-08-14,114.25,115.3453,113.6739,113.97,113.97,666296,0.0,1.0
27,2020-08-13,114.07,115.16,113.56,114.63,114.63,650164,0.9,1.0
28,2020-08-12,113.43,115.72,113.18,114.96,114.0644,680724,0.0,1.0
29,2020-08-11,113.11,114.07,112.17,112.71,111.832,746165,0.0,1.0
30,2020-08-10,111.43,113.13,111.25,112.84,111.961,816309,0.0,1.0
31,2020-08-07,109.94,111.425,109.76,111.05,110.1849,751180,0.0,1.0
32,2020-08-06,111.11,111.91,110.14,110.29,109.4308,554294,0.0,1.0
33,2020-08-05,113.13,113.13,110.79,111.14,110.2742,849122,0.0,1.0
34,2020-08-04,110.67,114.02,110.41,113.26,112.3777,888156,0.0,1.0
35,2020-08-03,109.72,111.355,109.11,110.97,110.1055,578084,0.0,1.0
36,2020-07-31,109.21,109.51,107.85,109.35,108.4981,1773169,0.0,1.0
37,2020-07-30,110.02,110.44,108.52,109.35,108.4981,588615,0.0,1.0
38,2020-07-29,109.73,110.63,109.105,110.49,109.6293,565355,0.0,1.0
39,2020-07-28,108.58,109.86,108.58,109.27,108.4188,491251,0.0,1.0
40,2020-07-27,107.99,108.92,107.425,108.87,108.0219,485183,0.0,1.0
41,2020-07-24,108.83,110.25,107.45,108.14,107.2976,551300,0.0,1.0
42,2020-07-23,107.36,108.95,107.36,108.42,107.5754,576229,0.0,1.0
43,2020-07-22,107.41,107.74,105.19,107.59,106.7519,508183,0.0,1.0
44,2020-07-21,105.38,107.62,105.32,106.56,105.7299,618500,0.0,1.0
45,2020-07-20,106.09,106.34,104.3,105.31,104.4896,857000,0.0,1.0
46,2020-07-17,106.61,107.35,106.34,106.71,105.8787,542900,0.0,1.0
47,2020-07-16,105.78,107.04,105.72,106.08,105.2536,381900,0.0,1.0
48,2020-07-15,108.0,108.24,105.74,105.88,105.0552,596900,0.0,1.0
49,2020-07-14,104.7,107.59,104.5,107.19,106.355,677000,0.0,1.0
50,2020-07-13,105.21,105.71,104.29,104.68,103.8645,620100,0.0,1.0
51,2020-07-10,103.79,105.4,103.79,105.18,104.3606,762800,0.0,1.0
52,2020-07-09,104.2,104.89,102.87,103.39,102.5846,642500,0.0,1.0
53,2020-07-08,105.93,105.93,104.01,104.71,103.8943,688500,0.0,1.0
54,2020-07-07,105.39,106.64,104.56,106.05,105.2239,653000,0.0,1.0
55,2020-07-06,105.82,106.69,105.29,105.87,105.0453,726200,0.0,1.0
56,2020-07-02,106.04,106.04,104.15,105.02,104.2019,927700,0.0,1.0
57,2020-07-01,105.5,106.48,105.16,105.22,104.4003,732300,0.0,1.0
58,2020-06-30,105.75,106.11,104.81,105.81,104.9857,947700,0.0,1.0
59,2020-06-29,104.16,107.085,103.68,105.08,104.2614,1273725,0.0,1.0
60,2020-06-26,105.88,106.53,101.89,103.01,102.2075,1600200,0.0,1.0
61,2020-06-25,106.38,106.68,105.31,105.74,104.9163,1027200,0.0,1.0
62,2020-06-24,106.26,106.93,105.64,106.24,105.4124,833600,0.0,1.0
63,2020-06-23,109.72,109.72,106.31,106.44,105.6108,1025900,0.0,1.0
64,2020-06-22,108.48,109.77,108.2,108.95,108.1013,547100,0.0,1.0
65,2020-06-19,109.68,110.58,108.6,108.94,108.0913,1387400,0.0,1.0
66,2020-06-18,108.83,110.12,107.71,108.59,107.7441,565400,0.0,1.0
67,2020-06-17,108.26,109.7,108.1,109.05,108.2005,754100,0.0,1.0
68,2020-06-16,107.01,108.67,106.0,108.07,107.2281,1354500,0.0,1.0
69,2020-06-15,104.12,106.51,103.02,105.8,104.9758,1638600,0.0,1.0
70,2020-06-12,107.11,107.35,104.15,104.7,103.8844,1335500,0.0,1.0
71,2020-06-11,107.59,109.41,105.75,106.29,105.462,1082100,0.0,1.0
72,2020-06-10,109.11,111.27,108.21,108.74,107.8929,1064500,0.0,1.0
73,2020-06-09,111.51,111.6,108.0,108.43,107.5853,999100,0.0,1.0
74,2020-06-08,107.0,111.16,106.57,111.16,110.294,1142200,0.0,1.0
75,2020-06-05,109.0,110.93,106.88,107.44,106.603,2016700,0.0,1.0
76,2020-06-04,109.51,113.67,108.28,109.1,108.2501,2498400,0.0,1.0
77,2020-06-03,115.73,116.16,114.29,114.59,113.6973,1475000,0.0,1.0
78,2020-06-02,115.47,115.47,113.56,115.16,114.2629,1091500,0.0,1.0
79,2020-06-01,114.07,116.59,114.07,115.32,114.4216,1192900,0.0,1.0
80,2020-05-29,111.31,114.17,110.15,113.93,113.0425,1457900,0.0,1.0
81,2020-05-28,110.88,111.5,108.93,111.46,110.5917,928700,0.0,1.0
82,2020-05-27,107.38,110.13,106.66,110.11,109.2522,1194100,0.0,1.0
83,2020-05-26,108.84,109.59,107.11,107.38,106.5435,1071900,0.0,1.0
84,2020-05-22,107.56,109.0,106.65,108.56,107.7143,637500,0.0,1.0
85,2020-05-21,109.79,110.11,107.21,107.9,107.0594,1605300,0.0,1.0
86,2020-05-20,110.87,111.16,108.69,110.21,109.3514,835500,0.0,1.0
87,2020-05-19,113.89,113.97,109.9,110.54,109.6789,1488000,0.0,1.0
88,2020-05-18,115.58,116.15,111.46,114.0,113.1119,1633100,0.0,1.0
89,2020-05-15,113.94,116.37,113.94,114.73,113.8362,1922900,0.0,1.0
90,2020-05-14,117.53,118.27,113.17,114.07,113.1814,1099700,0.88,1.0
91,2020-05-13,117.69,120.24,116.96,118.19,116.3715,765200,0.0,1.0
92,2020-05-12,117.61,119.83,117.4,117.98,116.1648,904600,0.0,1.0
93,2020-05-11,116.2,117.69,115.37,116.9,115.1014,869900,0.0,1.0
94,2020-05-08,115.07,117.07,114.8,116.08,114.294,867900,0.0,1.0
95,2020-05-07,115.3,115.79,113.35,113.53,111.7832,1111700,0.0,1.0
96,2020-05-06,116.5,117.27,114.05,114.15,112.3937,1013000,0.0,1.0
97,2020-05-05,114.87,116.93,114.49,116.02,114.2349,864800,0.0,1.0
98,2020-05-04,115.6,116.44,114.4,114.99,113.2208,756200,0.0,1.0
99,2020-05-01,115.0,117.73,113.25,115.51,113.7328,1058500,0.0,1.0
100,2020-04-30,113.89,116.34,112.6,114.91,113.142,2795900,0.0,1.0
101,2020-04-29,118.25,118.53,114.1,114.19,112.4331,1138900,0.0,1.0
102,2020-04-28,121.22,122.24,118.41,118.64,116.8146,1298000,0.0,1.0
103,2020-04-27,118.66,121.28,117.43,120.85,118.9906,683800,0.0,1.0
104,2020-04-24,117.12,118.1,115.23,117.8,115.9875,1114000,0.0,1.0
105,2020-04-23,118.35,119.1,116.74,116.81,115.0128,658200,0.0,1.0
106,2020-04-22,118.0,119.64,117.49,118.56,116.7358,652700,0.0,1.0
107,2020-04-21,124.09,125.62,116.98,117.36,115.5543,1038500,0.0,1.0
108,2020-04-20,121.41,123.58,120.56,121.62,119.7487,808100,0.0,1.0
109,2020-04-17,122.35,122.5,120.0,121.58,119.7094,1142100,0.0,1.0
110,2020-04-16,117.0,122.15,116.55,121.13,119.2663,1138900,0.0,1.0
111,2020-04-15,112.99,115.59,112.02,115.4,113.6244,909900,0.0,1.0
112,2020-04-14,112.51,114.12,111.14,113.04,111.3008,1315700,0.0,1.0
113,2020-04-13,112.6,112.74,109.21,110.26,108.5635,1250500,0.0,1.0
114,2020-04-09,113.33,115.65,112.44,112.75,111.0152,1184500,0.0,1.0
115,2020-04-08,113.67,115.29,110.2,114.13,112.374,956400,0.0,1.0
116,2020-04-07,115.21,116.83,112.88,113.88,112.1278,1358500,0.0,1.0
117,2020-04-06,114.0,116.18,111.19,115.19,113.4177,1205900,0.0,1.0
118,2020-04-03,108.62,114.16,108.56,112.33,110.6017,1386700,0.0,1.0
119,2020-04-02,108.14,111.39,107.31,110.26,108.5635,1218000,0.0,1.0
120,2020-04-01,108.69,113.77,108.05,109.6,107.9137,1592000,0.0,1.0
121,2020-03-31,110.58,112.72,107.56,111.0,109.2921,1401400,0.0,1.0
122,2020-03-30,104.3,111.08,104.3,110.63,108.9278,1336500,0.0,1.0
123,2020-03-27,101.41,105.79,100.16,103.03,101.4448,1073400,0.0,1.0
124,2020-03-26,105.03,106.44,101.31,103.47,101.878,1472100,0.0,1.0
125,2020-03-25,105.42,106.59,100.69,105.19,103.5715,1749600,0.0,1.0
126,2020-03-24,96.84,106.34,96.84,105.73,104.1032,1921600,0.0,1.0
127,2020-03-23,103.66,103.66,93.41,95.79,94.3162,2327300,0.0,1.0
128,2020-03-20,107.15,111.93,101.88,104.17,102.5672,2140100,0.0,1.0
129,2020-03-19,119.0,119.28,108.61,109.02,107.3426,1482000,0.0,1.0
130,2020-03-18,114.94,120.43,113.37,118.86,117.0312,1715800,0.0,1.0
131,2020-03-17,109.74,121.39,109.71,117.11,115.3081,2499400,0.0,1.0
132,2020-03-16,96.19,110.45,91.88,107.84,106.1808,1925300,0.0,1.0
133,2020-03-13,102.17,104.44,98.27,103.05,101.4645,1955900,0.0,1.0
134,2020-03-12,100.34,104.05,99.03,99.27,97.7426,1781900,0.0,1.0
135,2020-03-11,108.59,109.38,104.24,105.59,103.9654,1253100,0.0,1.0
136,2020-03-10,110.13,111.23,105.88,111.09,109.3808,996000,0.0,1.0
137,2020-03-09,104.41,109.49,104.0,108.32,106.6534,1044100,0.0,1.0
138,2020-03-06,108.35,110.49,106.86,109.99,108.2977,798400,0.0,1.0
139,2020-03-05,109.99,111.47,109.68,110.75,109.046,961900,0.0,1.0
140,2020-03-04,108.02,111.8,107.11,111.7,109.9814,1299900,0.0,1.0
141,2020-03-03,106.62,109.09,105.51,106.25,104.6152,926100,0.0,1.0
142,2020-03-02,103.5,106.77,103.02,106.74,105.0977,1046400,0.0,1.0
143,2020-02-28,104.07,104.47,100.14,102.99,101.4054,1577700,0.0,1.0
144,2020-02-27,109.0,111.85,106.0,106.11,104.4774,1216200,0.0,1.0
145,2020-02-26,108.0,112.86,106.67,109.18,107.5002,1926000,0.0,1.0
146,2020-02-25,109.77,109.81,106.34,107.75,106.0922,1292900,0.0,1.0
147,2020-02-24,109.92,110.43,108.6,109.82,108.1303,1067100,0.0,1.0
148,2020-02-21,110.39,111.26,110.12,110.87,109.1641,471400,0.0,1.0
149,2020-02-20,110.06,110.68,109.23,110.56,108.8589,509900,0.0,1.0
150,2020-02-19,109.6,112.18,109.11,110.66,108.9574,1267300,0.0,1.0
151,2020-02-18,109.64,110.3,108.7,109.34,107.6577,747700,0.0,1.0
152,2020-02-14,107.94,110.45,107.61,110.0,108.3075,793600,0.0,1.0
153,2020-02-13,108.67,108.67,107.4,107.72,106.0626,858500,0.88,1.0
154,2020-02-12,110.44,111.26,109.4,109.47,106.9123,598400,0.0,1.0
155,2020-02-11,110.0,110.82,109.37,110.26,107.6838,790000,0.0,1.0
156,2020-02-10,108.51,109.97,107.97,109.89,107.3225,691400,0.0,1.0
157,2020-02-07,107.65,108.56,107.21,108.23,105.7013,514000,0.0,1.0
158,2020-02-06,107.07,108.46,107.06,107.77,105.252,483800,0.0,1.0
159,2020-02-05,104.63,107.54,104.57,107.4,104.8907,900153,0.0,1.0
160,2020-02-04,104.74,105.65,104.49,104.59,102.1463,657600,0.0,1.0
161,2020-02-03,103.9,104.77,103.69,104.17,101.7361,560600,0.0,1.0
162,2020-01-31,105.72,105.96,103.56,103.61,101.1892,2069700,0.0,1.0
163,2020-01-30,105.18,106.03,104.58,105.82,103.3476,825612,0.0,1.0
164,2020-01-29,106.17,106.5,105.13,105.18,102.7225,478000,0.0,1.0
165,2020-01-28,107.08,107.95,106.04,106.27,103.7871,565300,0.0,1.0
166,2020-01-27,107.37,108.16,106.94,107.19,104.6856,667800,0.0,1.0
167,2020-01-24,108.9,108.9,107.11,107.67,105.1543,493500,0.0,1.0
168,2020-01-23,106.74,109.07,106.14,108.38,105.8478,1149400,0.0,1.0
169,2020-01-22,107.82,108.66,106.99,106.99,104.4902,664900,0.0,1.0
170,2020-01-21,106.37,107.85,105.21,107.8,105.2813,959500,0.0,1.0
171,2020-01-17,105.09,107.18,104.73,106.39,103.9043,1083200,0.0,1.0
172,2020-01-16,104.75,105.66,104.43,104.99,102.537,1624400,0.0,1.0
173,2020-01-15,104.61,105.49,104.46,104.55,102.1072,816600,0.0,1.0
174,2020-01-14,105.09,105.31,104.01,104.4,101.9607,1110000,0.0,1.0
175,2020-01-13,104.57,105.28,104.35,105.24,102.7811,951900,0.0,1.0
176,2020-01-10,103.56,104.72,103.21,104.38,101.9412,697500,0.0,1.0
177,2020-01-09,103.19,104.17,102.66,103.61,101.1892,902900,0.0,1.0
178,2020-01-08,102.59,104.0,102.24,103.3,100.8864,1009900,0.0,1.0
179,2020-01-07,103.05,103.68,101.43,102.25,99.861,791800,0.0,1.0
180,2020-01-06,102.51,103.78,102.1,103.71,101.2869,1112300,0.0,1.0
181,2020-01-03,102.44,102.86,101.89,102.29,99.9,666400,0.0,1.0
182,2020-01-02,104.13,104.39,101.77,102.14,99.7535,713100,0.0,1.0
183,2019-12-31,102.92,104.14,102.84,104.13,101.6971,687600,0.0,1.0
184,2019-12-30,103.2,103.65,102.74,103.15,100.74,466900,0.0,1.0
185,2019-12-27,102.91,103.28,102.7,103.1,100.6911,457300,0.0,1.0
186,2019-12-26,103.68,103.79,102.22,102.65,100.2516,418100,0.0,1.0
187,2019-12-24,103.36,103.91,103.03,103.75,101.3259,207500,0.0,1.0
188,2019-12-23,104.06,104.18,102.87,103.37,100.9548,688100,0.0,1.0
189,2019-12-20,104.64,104.92,103.58,103.71,101.2869,1439900,0.0,1.0
190,2019-12-19,103.8,104.94,103.59,104.51,102.0682,1053800,0.0,1.0
191,2019-12-18,102.6,103.3,102.27,103.16,100.7497,1482100,0.0,1.0
192,2019-12-17,102.2,102.88,101.77,102.14,99.7535,849100,0.0,1.0
193,2019-12-16,101.94,103.28,101.6,102.64,100.2419,1975700,0.0,1.0
194,2019-12-13,102.64,102.88,101.1,101.51,99.1383,1487100,0.0,1.0
195,2019-12-12,103.99,104.39,102.27,102.47,100.0758,984600,0.0,1.0
196,2019-12-11,106.24,106.24,103.8,104.43,101.99,1155300,0.0,1.0
197,2019-12-10,106.05,106.71,105.72,106.06,103.582,588800,0.0,1.0
198,2019-12-09,107.48,107.57,106.36,106.53,104.041,498600,0.0,1.0
199,2019-12-06,107.1,107.79,106.88,107.3,104.793,796000,0.0,1.0
200,2019-12-05,106.35,107.02,105.63,106.75,104.2558,1091900,0.0,1.0
201,2019-12-04,105.54,107.27,105.46,106.27,103.7871,812300,0.0,1.0
202,2019-12-03,105.79,106.27,105.0,106.2,103.7187,804200,0.0,1.0
203,2019-12-02,104.87,105.82,103.29,105.7,103.2304,734700,0.0,1.0
204,2019-11-29,106.15,106.4,104.87,105.09,102.6346,386400,0.0,1.0
205,2019-11-27,107.55,107.71,105.67,106.08,103.6015,885300,0.0,1.0
206,2019-11-26,105.84,107.2,105.55,107.19,104.6856,1597800,0.0,1.0
207,2019-11-25,107.57,108.31,104.65,105.83,103.3573,1829400,0.0,1.0
208,2019-11-22,105.87,113.0,105.5,108.4,105.8673,3017000,0.0,1.0
209,2019-11-21,105.45,105.79,104.11,104.15,101.7166,1414400,0.0,1.0
210,2019-11-20,104.38,105.77,103.99,105.45,102.9862,1325500,0.0,1.0
