,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,46.61,48.02,45.62,45.63,45.63,1829662,0.0,1.0
1,2020-09-21,47.92,48.25,46.241,46.41,46.41,1647409,0.0,1.0
2,2020-09-18,50.36,51.142,49.15,49.42,49.42,3504479,0.0,1.0
3,2020-09-17,50.5,51.57,49.57,50.97,50.97,1458436,0.0,1.0
4,2020-09-16,50.14,52.1699,49.06,51.24,51.24,1712988,0.0,1.0
5,2020-09-15,47.37,51.2,47.37,49.9,49.9,2057932,0.0,1.0
6,2020-09-14,45.42,47.87,45.07,47.57,47.57,1610312,0.0,1.0
7,2020-09-11,45.0,45.15,43.37,44.75,44.75,2268700,0.0,1.0
8,2020-09-10,47.25,47.53,44.92,45.05,45.05,1836239,0.0,1.0
9,2020-09-09,47.39,47.64,46.48,47.33,47.33,1619245,0.0,1.0
10,2020-09-08,48.49,49.32,46.75,47.05,47.05,1674155,0.0,1.0
11,2020-09-04,48.96,49.74,47.965,49.19,49.19,930355,0.0,1.0
12,2020-09-03,48.67,50.67,47.79,48.23,48.23,1527267,0.0,1.0
13,2020-09-02,47.15,48.55,46.525,48.48,48.48,1065549,0.0,1.0
14,2020-09-01,46.2,47.71,45.55,47.18,47.18,1068826,0.0,1.0
15,2020-08-31,48.85,48.9,46.6,46.76,46.76,1404789,0.0,1.0
16,2020-08-28,48.84,49.75,48.07,48.91,48.91,669795,0.295,1.0
17,2020-08-27,47.63,49.0142,47.63,48.52,48.2291,1018843,0.0,1.0
18,2020-08-26,49.5,49.56,47.01,47.12,46.8375,895430,0.0,1.0
19,2020-08-25,50.09,50.7956,48.77,49.51,49.2132,835045,0.0,1.0
20,2020-08-24,47.13,50.43,46.98,49.84,49.5412,1426273,0.0,1.0
21,2020-08-21,47.36,47.94,46.545,47.17,46.8872,918169,0.0,1.0
22,2020-08-20,45.64,47.69,45.35,47.23,46.9468,1126433,0.0,1.0
23,2020-08-19,47.0,47.225,45.8,45.91,45.6348,1081278,0.0,1.0
24,2020-08-18,46.9,47.37,45.88,46.92,46.6387,900053,0.0,1.0
25,2020-08-17,47.05,47.55,45.95,46.88,46.5989,1496254,0.0,1.0
26,2020-08-14,47.85,48.8631,47.3,47.38,47.0959,1454013,0.0,1.0
27,2020-08-13,50.01,50.25,47.91,48.07,47.7818,1253394,0.0,1.0
28,2020-08-12,51.08,51.5,49.29,50.47,50.1674,879308,0.0,1.0
29,2020-08-11,52.01,53.49,50.19,50.52,50.2171,1126829,0.0,1.0
30,2020-08-10,49.0,51.23,48.81,51.04,50.734,1144647,0.0,1.0
31,2020-08-07,46.78,48.64,46.2801,48.62,48.3285,1016147,0.0,1.0
32,2020-08-06,46.87,48.05,46.5,47.32,47.0363,778798,0.0,1.0
33,2020-08-05,48.24,48.44,46.8965,47.18,46.8971,909190,0.0,1.0
34,2020-08-04,45.85,48.1,45.85,47.66,47.3743,1724458,0.0,1.0
35,2020-08-03,46.27,46.27,44.82,45.91,45.6348,1091855,0.0,1.0
36,2020-07-31,47.28,47.28,45.59,46.5,46.2212,1523943,0.0,1.0
37,2020-07-30,47.27,47.45,45.66,47.31,47.0264,1090668,0.295,1.0
38,2020-07-29,48.57,48.89,46.02,48.71,48.1179,1239240,0.0,1.0
39,2020-07-28,47.04,48.8,46.42,48.22,47.6339,990945,0.0,1.0
40,2020-07-27,46.0,47.1,44.72,46.87,46.3003,1330506,0.0,1.0
41,2020-07-24,47.71,48.175,46.15,46.44,45.8755,1036369,0.0,1.0
42,2020-07-23,49.5,51.13,46.68,47.9,47.3178,2129553,0.0,1.0
43,2020-07-22,47.65,50.11,47.195,49.77,49.165,1191994,0.0,1.0
44,2020-07-21,46.67,48.16,46.67,47.93,47.3474,1317800,0.0,1.0
45,2020-07-20,48.19,48.43,46.03,46.3,45.7372,1328200,0.0,1.0
46,2020-07-17,48.72,49.6,48.19,48.85,48.2562,629500,0.0,1.0
47,2020-07-16,48.94,49.7,48.4,48.68,48.0883,918100,0.0,1.0
48,2020-07-15,49.72,50.45,48.75,49.64,49.0366,1096800,0.0,1.0
49,2020-07-14,48.76,49.95,48.06,48.58,47.9895,697300,0.0,1.0
50,2020-07-13,48.74,50.09,47.58,48.87,48.276,976700,0.0,1.0
51,2020-07-10,45.77,48.35,45.75,48.11,47.5252,1248300,0.0,1.0
52,2020-07-09,48.39,48.48,45.6,45.97,45.4112,1347200,0.0,1.0
53,2020-07-08,48.26,49.63,47.73,48.75,48.1574,1812300,0.0,1.0
54,2020-07-07,49.35,50.11,48.24,48.25,47.6635,1511000,0.0,1.0
55,2020-07-06,51.58,51.96,49.05,50.61,49.9948,1520500,0.0,1.0
56,2020-07-02,49.93,51.05,49.03,49.92,49.3132,1663100,0.0,1.0
57,2020-07-01,49.58,50.87,48.5,48.54,47.95,1275800,0.0,1.0
58,2020-06-30,49.77,50.44,48.82,49.29,48.6909,1348700,0.0,1.0
59,2020-06-29,47.22,50.12,46.565,50.08,49.4713,1579466,0.295,1.0
60,2020-06-26,49.74,49.94,46.5,46.76,45.9211,2276100,0.0,1.0
61,2020-06-25,48.87,50.36,48.23,50.06,49.1619,1436300,0.0,1.0
62,2020-06-24,50.75,51.56,48.07,49.82,48.9262,2151600,0.0,1.0
63,2020-06-23,52.65,53.59,51.0,51.67,50.743,1858200,0.0,1.0
64,2020-06-22,51.44,53.32,50.31,52.1,51.1653,2281500,0.0,1.0
65,2020-06-19,54.52,54.82,51.3,51.87,50.9395,4386700,0.0,1.0
66,2020-06-18,50.38,53.56,49.96,53.53,52.5697,2507100,0.0,1.0
67,2020-06-17,53.92,53.92,51.61,51.64,50.7136,1397300,0.0,1.0
68,2020-06-16,54.97,55.19,52.41,53.77,52.8054,1495100,0.0,1.0
69,2020-06-15,49.06,52.16,48.27,51.47,50.5466,1858400,0.0,1.0
70,2020-06-12,52.92,53.31,48.63,52.2,51.2635,1903800,0.0,1.0
71,2020-06-11,48.47,50.74,45.24,49.01,48.1308,2314500,0.0,1.0
72,2020-06-10,56.36,56.8,53.2,53.24,52.2849,2082300,0.0,1.0
73,2020-06-09,60.0,60.97,56.93,57.34,56.3113,3065000,0.0,1.0
74,2020-06-08,57.97,63.38,57.66,63.12,61.9876,3188100,0.0,1.0
75,2020-06-05,55.97,58.78,54.72,55.04,54.0526,2978900,0.0,1.0
76,2020-06-04,51.02,52.6,49.29,51.77,50.8413,1536300,0.0,1.0
77,2020-06-03,47.94,52.66,47.94,51.15,50.2324,2728300,0.0,1.0
78,2020-06-02,45.21,48.17,45.21,47.33,46.4809,3114000,0.0,1.0
79,2020-06-01,42.01,44.7,41.66,44.07,43.2794,1638300,0.0,1.0
80,2020-05-29,43.17,43.53,41.74,42.12,41.3644,6799400,0.0,1.0
81,2020-05-28,44.93,45.12,42.33,43.91,43.1223,2524600,0.295,1.0
82,2020-05-27,43.26,45.11,42.19,44.04,42.9613,2598200,0.0,1.0
83,2020-05-26,39.65,41.49,39.18,41.25,40.2396,2568100,0.0,1.0
84,2020-05-22,37.6,37.76,35.82,36.83,35.9279,2065700,0.0,1.0
85,2020-05-21,38.16,38.8,37.2,37.42,36.5034,2450800,0.0,1.0
86,2020-05-20,39.7,39.75,37.79,38.06,37.1278,1775600,0.0,1.0
87,2020-05-19,40.51,41.11,38.44,38.64,37.6936,1982700,0.0,1.0
88,2020-05-18,40.77,44.11,40.77,40.99,39.986,2674600,0.0,1.0
89,2020-05-15,38.85,39.08,36.8,37.97,37.04,3874400,0.0,1.0
90,2020-05-14,37.18,40.01,35.16,39.39,38.4252,3284000,0.0,1.0
91,2020-05-13,41.42,41.42,37.51,38.2,37.2643,3862900,0.0,1.0
92,2020-05-12,45.38,45.9,41.63,42.11,41.0786,2022400,0.0,1.0
93,2020-05-11,47.5,47.5,45.27,45.28,44.1709,1190500,0.0,1.0
94,2020-05-08,47.78,49.62,47.24,48.51,47.3218,810000,0.0,1.0
95,2020-05-07,45.63,48.16,45.63,46.74,45.5952,1139400,0.0,1.0
96,2020-05-06,47.5,48.07,44.9,45.0,43.8978,778900,0.0,1.0
97,2020-05-05,49.03,50.91,47.37,47.47,46.3073,1411200,0.0,1.0
98,2020-05-04,47.7,48.07,46.75,47.54,46.3756,990800,0.0,1.0
99,2020-05-01,51.09,51.1,48.73,49.07,47.8681,1217300,0.0,1.0
100,2020-04-30,53.39,54.18,51.56,53.05,51.7506,1192200,0.0,1.0
101,2020-04-29,52.93,56.28,52.25,54.53,53.1944,2313700,0.295,1.0
102,2020-04-28,49.27,50.71,48.37,50.27,48.7748,1744100,0.0,1.0
103,2020-04-27,44.9,48.0,44.21,47.5,46.0872,1640900,0.0,1.0
104,2020-04-24,45.56,45.62,42.83,44.72,43.3899,2180900,0.0,1.0
105,2020-04-23,44.48,47.71,44.0,45.71,44.3505,2947300,0.0,1.0
106,2020-04-22,46.12,46.12,43.98,44.69,43.3608,2422400,0.0,1.0
107,2020-04-21,46.01,46.92,44.33,44.86,43.5257,1895300,0.0,1.0
108,2020-04-20,49.95,50.14,47.03,47.53,46.1163,1195900,0.0,1.0
109,2020-04-17,51.0,52.08,50.22,51.26,49.7354,1255800,0.0,1.0
110,2020-04-16,51.19,51.19,48.99,49.34,47.8725,1721000,0.0,1.0
111,2020-04-15,50.51,51.34,48.38,51.26,49.7354,1148700,0.0,1.0
112,2020-04-14,53.35,55.29,52.06,52.6,51.0355,1430500,0.0,1.0
113,2020-04-13,53.91,54.0,50.77,52.61,51.0452,1295700,0.0,1.0
114,2020-04-09,50.11,56.35,49.91,54.17,52.5588,2538900,0.0,1.0
115,2020-04-08,46.59,49.36,45.34,48.72,47.2709,1946200,0.0,1.0
116,2020-04-07,45.96,48.27,45.02,46.18,44.8065,2400200,0.0,1.0
117,2020-04-06,40.89,44.87,40.47,43.15,41.8666,1784700,0.0,1.0
118,2020-04-03,39.58,40.53,37.8,38.64,37.4907,1333800,0.0,1.0
119,2020-04-02,38.89,40.89,38.39,39.96,38.7715,2463600,0.0,1.0
120,2020-04-01,40.06,40.78,37.5,39.73,38.5483,1859200,0.0,1.0
121,2020-03-31,45.79,46.33,41.73,43.1,41.8181,1882700,0.0,1.0
122,2020-03-30,47.51,47.99,44.12,46.08,44.7095,1129700,0.295,1.0
123,2020-03-27,46.82,50.08,44.85,47.55,45.8423,1167700,0.0,1.0
124,2020-03-26,48.59,49.47,45.09,48.7,46.951,1715900,0.0,1.0
125,2020-03-25,43.39,51.16,42.82,47.94,46.2183,2004600,0.0,1.0
126,2020-03-24,44.16,47.6,41.41,47.13,45.4373,1923700,0.0,1.0
127,2020-03-23,45.82,45.82,39.31,41.14,39.6625,1720000,0.0,1.0
128,2020-03-20,50.61,55.7,45.39,45.84,44.1937,1949200,0.0,1.0
129,2020-03-19,49.5,53.04,46.36,49.98,48.185,1288100,0.0,1.0
130,2020-03-18,54.05,56.38,48.06,49.71,47.9247,1754200,0.0,1.0
131,2020-03-17,54.01,59.9,51.73,58.72,56.6111,1568400,0.0,1.0
132,2020-03-16,59.72,62.0,52.38,52.62,50.7302,1359200,0.0,1.0
133,2020-03-13,63.54,66.15,61.01,65.92,63.5525,1516300,0.0,1.0
134,2020-03-12,62.92,66.01,58.3,60.0,57.8451,1399700,0.0,1.0
135,2020-03-11,72.8,73.08,67.28,67.99,65.5482,1584000,0.0,1.0
136,2020-03-10,75.33,75.53,71.11,74.94,72.2486,1825000,0.0,1.0
137,2020-03-09,76.26,78.6,73.25,73.4,70.7639,1944200,0.0,1.0
138,2020-03-06,79.86,81.36,78.21,80.58,77.686,1075800,0.0,1.0
139,2020-03-05,82.94,84.17,80.95,82.72,79.7491,1042300,0.0,1.0
140,2020-03-04,81.89,85.09,81.79,84.6,81.5616,1111100,0.0,1.0
141,2020-03-03,81.34,83.33,80.04,80.71,77.8113,1237300,0.0,1.0
142,2020-03-02,78.91,81.68,77.08,81.37,78.4476,1031400,0.0,1.0
143,2020-02-28,78.83,79.64,75.83,78.44,75.6229,1546700,0.0,1.0
144,2020-02-27,83.77,84.37,80.44,80.44,77.551,1269900,0.0,1.0
145,2020-02-26,86.33,86.54,84.89,85.03,81.9762,1074700,0.0,1.0
146,2020-02-25,91.0,91.0,85.82,85.9,82.8149,1199600,0.0,1.0
147,2020-02-24,92.1,92.42,90.0,90.93,87.6643,822800,0.0,1.0
