,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,140.77,144.77,140.77,144.49,144.49,365307,0.0,1.0
1,2020-09-21,144.12,144.99,139.25,140.92,140.92,282613,0.0,1.0
2,2020-09-18,148.38,151.21,147.43,147.53,147.53,442199,0.0,1.0
3,2020-09-17,147.15,150.52,146.15,148.71,148.71,340933,0.0,1.0
4,2020-09-16,150.85,151.24,146.34,149.09,149.09,556792,0.0,1.0
5,2020-09-15,152.67,154.07,152.1,152.96,152.96,235384,0.0,1.0
6,2020-09-14,149.7,153.31,148.955,152.83,152.83,291182,0.0,1.0
7,2020-09-11,148.09,148.8771,146.06,147.82,147.82,273824,0.0,1.0
8,2020-09-10,150.37,151.665,147.245,147.71,147.71,212288,0.0,1.0
9,2020-09-09,148.77,151.57,148.6,150.45,150.45,226540,0.0,1.0
10,2020-09-08,151.2,151.68,147.57,147.67,147.67,379419,0.0,1.0
11,2020-09-04,153.92,155.16,150.42,151.22,151.22,327143,0.0,1.0
12,2020-09-03,155.64,156.31,150.15,151.3,151.3,296120,0.0,1.0
13,2020-09-02,151.37,155.61,151.37,155.16,155.16,368101,0.0,1.0
14,2020-09-01,147.27,151.38,146.64,151.33,151.33,296470,0.0,1.0
15,2020-08-31,150.1,150.22,148.09,148.27,148.27,376148,0.0,1.0
16,2020-08-28,147.96,150.82,147.15,150.34,150.34,279900,0.0,1.0
17,2020-08-27,148.18,149.65,147.33,147.62,147.62,212028,0.0,1.0
18,2020-08-26,147.83,148.25,146.875,147.21,147.21,174608,0.0,1.0
19,2020-08-25,149.98,149.98,146.33,147.83,147.83,258080,0.0,1.0
20,2020-08-24,147.84,149.98,147.49,149.26,149.26,297200,0.0,1.0
21,2020-08-21,148.98,149.62,147.17,147.9,147.9,273202,0.0,1.0
22,2020-08-20,148.6,149.75,148.12,148.87,148.87,335479,0.0,1.0
23,2020-08-19,150.87,152.66,149.98,150.3,150.3,262745,1.08,1.0
24,2020-08-18,152.88,154.07,151.59,151.77,150.6872,355769,0.0,1.0
25,2020-08-17,153.79,154.45,151.5124,153.14,152.0474,411788,0.0,1.0
26,2020-08-14,151.98,155.205,151.535,153.64,152.5439,161999,0.0,1.0
27,2020-08-13,152.31,153.98,151.81,153.1,152.0077,250356,0.0,1.0
28,2020-08-12,155.44,155.44,152.095,153.38,152.2857,262187,0.0,1.0
29,2020-08-11,151.89,155.4,151.81,153.88,152.7822,466304,0.0,1.0
30,2020-08-10,147.72,151.85,147.72,150.09,149.0192,329014,0.0,1.0
31,2020-08-07,146.47,147.39,145.63,147.3,146.2491,459217,0.0,1.0
32,2020-08-06,146.6,148.42,145.63,146.23,145.1867,311728,0.0,1.0
33,2020-08-05,145.53,148.53,145.53,148.16,147.103,446509,0.0,1.0
34,2020-08-04,142.93,144.76,142.23,143.76,142.7344,491159,0.0,1.0
35,2020-08-03,146.46,146.46,141.25,143.62,142.5954,518182,0.0,1.0
36,2020-07-31,145.5,146.89,141.55,145.87,144.8293,1034223,0.0,1.0
37,2020-07-30,144.02,146.85,142.36,145.3,144.2634,630592,0.0,1.0
38,2020-07-29,144.0,146.37,143.61,146.02,144.9782,304922,0.0,1.0
39,2020-07-28,144.42,145.21,142.71,143.0,141.9798,345978,0.0,1.0
40,2020-07-27,141.23,146.04,139.02,145.61,144.5712,437888,0.0,1.0
41,2020-07-24,142.75,143.485,139.75,141.75,140.7387,419306,0.0,1.0
42,2020-07-23,139.14,143.115,139.14,142.33,141.3146,314543,0.0,1.0
43,2020-07-22,139.49,140.48,138.37,139.39,138.3955,192084,0.0,1.0
44,2020-07-21,137.88,140.49,137.88,139.69,138.6934,259400,0.0,1.0
45,2020-07-20,138.97,139.32,136.22,137.16,136.1815,258300,0.0,1.0
