,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,52.94,53.67,52.7032,53.12,53.12,4047482,0.0,1.0
1,2020-09-21,52.72,53.145,52.2084,53.03,53.03,4813271,0.0,1.0
2,2020-09-18,53.15,53.49,52.711,52.81,52.81,6289244,0.0,1.0
3,2020-09-17,52.98,53.55,52.56,53.52,53.52,3841906,0.0,1.0
4,2020-09-16,52.8,53.82,52.8,53.29,53.29,2842049,0.0,1.0
5,2020-09-15,53.12,53.8,52.74,53.01,53.01,3519028,0.0,1.0
6,2020-09-14,51.99,53.185,51.99,52.86,52.86,3705714,0.0,1.0
7,2020-09-11,51.53,51.96,51.215,51.76,51.76,3803110,0.0,1.0
8,2020-09-10,52.06,52.11,51.4,51.56,51.56,6263296,0.0,1.0
9,2020-09-09,53.16,53.81,52.67,52.85,52.85,4665389,0.0,1.0
10,2020-09-08,52.43,53.3201,51.87,52.85,52.85,6763243,0.0,1.0
11,2020-09-04,52.71,52.87,51.52,52.29,52.29,3475658,0.0,1.0
12,2020-09-03,53.41,53.94,52.19,52.6,52.6,4326023,0.0,1.0
13,2020-09-02,51.77,53.49,51.61,53.21,53.21,4047112,0.0,1.0
14,2020-09-01,52.02,52.32,51.5891,51.81,51.81,3214258,0.0,1.0
15,2020-08-31,52.11,52.65,52.04,52.18,52.18,3863932,0.0,1.0
16,2020-08-28,52.3,52.505,51.8599,52.42,52.42,2866951,0.0,1.0
17,2020-08-27,51.75,52.36,51.6501,52.2,52.2,3543167,0.0,1.0
18,2020-08-26,52.01,52.22,51.46,51.72,51.72,3015505,0.0,1.0
19,2020-08-25,53.03,53.06,52.19,52.41,52.41,2409164,0.0,1.0
20,2020-08-24,52.39,52.95,51.965,52.86,52.86,3386084,0.0,1.0
21,2020-08-21,52.46,52.55,51.8633,52.37,52.37,3536874,0.0,1.0
22,2020-08-20,52.85,53.1226,52.08,52.25,52.25,3309634,0.0,1.0
23,2020-08-19,53.37,53.48,52.94,53.19,53.19,2594243,0.0,1.0
24,2020-08-18,53.58,53.73,52.83,53.05,53.05,6647764,0.0,1.0
25,2020-08-17,53.56,54.025,53.25,53.59,53.59,2491818,0.0,1.0
26,2020-08-14,54.15,54.25,53.42,53.56,53.56,3122206,0.64,1.0
27,2020-08-13,54.62,55.05,54.45,55.01,54.3604,3926136,0.0,1.0
28,2020-08-12,54.52,55.39,54.25,54.86,54.2122,4673232,0.0,1.0
29,2020-08-11,55.27,55.38,54.03,54.19,53.5501,5215717,0.0,1.0
30,2020-08-10,54.84,55.3698,54.58,55.07,54.4197,2255827,0.0,1.0
