,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,351.33,353.41,344.565,350.17,350.17,743527,0.0,1.0
1,2020-09-21,345.88,351.21,342.09,350.89,350.89,1129835,0.0,1.0
2,2020-09-18,352.13,354.77,348.75,351.01,351.01,992722,0.0,1.0
3,2020-09-17,352.66,358.2,349.05,351.73,351.73,783664,0.0,1.0
4,2020-09-16,355.87,360.035,355.65,357.54,357.54,907133,0.0,1.0
5,2020-09-15,357.42,360.53,354.63,357.2,357.2,779327,0.0,1.0
6,2020-09-14,352.52,356.81,352.0,353.09,353.09,628485,0.0,1.0
7,2020-09-11,347.32,351.22,345.6975,348.79,348.79,681872,0.0,1.0
8,2020-09-10,351.58,354.685,342.53,344.48,344.48,679609,0.0,1.0
9,2020-09-09,346.0,356.36,344.88,351.78,351.78,842932,0.0,1.0
10,2020-09-08,339.66,344.91,335.05,340.66,340.66,1054960,0.0,1.0
11,2020-09-04,353.66,356.52,337.7879,345.18,345.18,1274971,0.0,1.0
12,2020-09-03,376.4,376.68,351.75,353.69,353.69,1352424,0.0,1.0
13,2020-09-02,370.14,379.8699,369.735,378.41,378.41,764867,0.0,1.0
14,2020-09-01,366.22,369.77,364.84,368.39,368.39,564890,0.0,1.0
15,2020-08-31,369.12,369.275,364.27,366.42,366.42,775310,0.0,1.0
16,2020-08-28,365.63,367.07,363.25,366.83,366.83,509904,0.0,1.0
17,2020-08-27,365.73,367.54,359.88,363.98,363.98,600611,0.0,1.0
18,2020-08-26,358.0,367.41,357.155,364.41,364.41,676869,0.0,1.0
19,2020-08-25,361.16,361.285,357.15,358.5,358.5,528249,0.67,1.0
20,2020-08-24,364.08,365.0,358.25,360.0,359.3285,588534,0.0,1.0
21,2020-08-21,361.79,363.365,358.35,362.01,361.3347,722498,0.0,1.0
22,2020-08-20,355.12,361.48,355.01,361.22,360.5462,735509,0.0,1.0
23,2020-08-19,361.79,363.1,357.75,358.11,357.442,1018980,0.0,1.0
24,2020-08-18,357.15,362.28,356.5,360.12,359.4482,561314,0.0,1.0
25,2020-08-17,353.27,359.85,353.27,357.14,356.4738,618757,0.0,1.0
26,2020-08-14,354.48,357.75,350.85,352.27,351.6129,530850,0.0,1.0
27,2020-08-13,347.39,356.47,347.39,356.13,355.4657,723042,0.0,1.0
28,2020-08-12,347.44,353.0,347.03,349.19,348.5386,522326,0.0,1.0
29,2020-08-11,344.93,349.71,341.73,343.71,343.0688,745146,0.0,1.0
30,2020-08-10,345.0,345.31,340.48,344.07,343.4282,552668,0.0,1.0
31,2020-08-07,350.0,351.49,341.66,347.27,346.6222,827960,0.0,1.0
32,2020-08-06,347.14,352.73,346.35,352.57,351.9123,623311,0.0,1.0
33,2020-08-05,347.02,349.95,345.65,347.39,346.742,712909,0.0,1.0
34,2020-08-04,348.5,350.9,342.13,345.77,345.125,1116345,0.0,1.0
35,2020-08-03,352.76,355.28,349.54,350.68,350.0258,673340,0.0,1.0
36,2020-07-31,353.66,354.74,344.72,350.25,349.5966,1126780,0.0,1.0
37,2020-07-30,354.36,356.63,348.655,352.37,351.7127,1122594,0.0,1.0
38,2020-07-29,348.23,360.0,348.23,359.86,359.1887,1036260,0.0,1.0
39,2020-07-28,356.57,356.57,343.62,347.6,346.9516,1185255,0.0,1.0
40,2020-07-27,350.13,355.505,349.39,351.32,350.6646,1057902,0.0,1.0
41,2020-07-24,347.36,352.31,345.45,349.97,349.3172,860886,0.0,1.0
42,2020-07-23,354.99,357.64,346.22,348.26,347.6104,1383336,0.0,1.0
43,2020-07-22,353.88,358.24,353.64,356.45,355.7851,634661,0.0,1.0
44,2020-07-21,359.0,359.5,353.26,354.83,354.1681,612000,0.0,1.0
45,2020-07-20,352.6,359.31,352.6,358.09,357.422,597700,0.0,1.0
46,2020-07-17,351.47,355.09,349.61,354.69,354.0284,577800,0.0,1.0
47,2020-07-16,353.08,354.66,346.85,349.51,348.858,624600,0.0,1.0
48,2020-07-15,357.07,357.07,350.23,354.8,354.1382,613100,0.0,1.0
49,2020-07-14,344.93,351.81,343.85,351.64,350.984,724500,0.0,1.0
50,2020-07-13,353.02,356.46,344.25,346.09,345.4444,919700,0.0,1.0
51,2020-07-10,353.02,354.34,348.53,351.81,351.1537,821000,0.0,1.0
52,2020-07-09,353.94,356.79,349.44,352.72,352.062,1126400,0.0,1.0
53,2020-07-08,345.39,354.75,345.39,354.32,353.659,1121200,0.0,1.0
54,2020-07-07,339.39,345.62,339.39,341.19,340.5535,836800,0.0,1.0
55,2020-07-06,338.6,344.05,337.6,341.02,340.3839,1296500,0.0,1.0
56,2020-07-02,338.35,339.29,332.6,333.25,332.6284,707900,0.0,1.0
57,2020-07-01,330.42,336.13,328.69,334.52,333.896,963200,0.0,1.0
58,2020-06-30,321.61,330.58,320.42,329.48,328.8654,1823400,0.0,1.0
59,2020-06-29,325.15,325.15,318.24,321.29,320.6907,1298222,0.0,1.0
60,2020-06-26,324.9,327.93,321.14,321.6,321.0001,2563800,0.0,1.0
61,2020-06-25,318.38,328.25,316.0,327.82,327.2085,1051900,0.0,1.0
62,2020-06-24,324.55,326.44,316.4,317.97,317.3769,1298200,0.0,1.0
63,2020-06-23,329.55,332.54,327.01,328.56,327.9471,890000,0.0,1.0
64,2020-06-22,323.71,326.93,320.77,326.36,325.7512,1330400,0.0,1.0
65,2020-06-19,332.27,333.0,321.28,323.73,323.1261,1932700,0.0,1.0
66,2020-06-18,324.54,327.77,323.32,326.81,326.2004,726300,0.0,1.0
67,2020-06-17,326.62,329.58,325.15,326.32,325.7113,896700,0.0,1.0
68,2020-06-16,330.0,330.0,319.06,324.93,324.3239,912800,0.0,1.0
69,2020-06-15,310.0,320.9,308.11,319.65,319.0537,998000,0.0,1.0
70,2020-06-12,314.41,318.22,310.0,316.91,316.3188,1168700,0.0,1.0
