,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,171.79,172.21,166.5,169.59,169.59,488098,0.0,1.0
1,2020-09-21,173.95,173.95,168.55,172.05,172.05,744644,0.0,1.0
2,2020-09-18,171.93,176.06,171.25,175.91,175.91,1054658,0.0,1.0
3,2020-09-17,169.17,171.89,168.02,171.51,171.51,464672,0.0,1.0
4,2020-09-16,170.63,171.71,169.36,170.16,170.16,584615,0.0,1.0
5,2020-09-15,167.17,170.71,166.97,169.64,169.64,636621,0.0,1.0
6,2020-09-14,163.67,167.85,163.58,167.17,167.17,446452,0.0,1.0
7,2020-09-11,162.9,164.41,161.62,162.28,162.28,552223,0.0,1.0
8,2020-09-10,163.6,165.32,161.2536,162.09,162.09,604049,0.0,1.0
9,2020-09-09,160.14,163.74,160.14,163.02,163.02,581273,0.0,1.0
10,2020-09-08,157.1,159.59,155.99,159.02,159.02,611939,0.0,1.0
11,2020-09-04,161.69,162.15,156.965,157.92,157.92,317401,0.0,1.0
12,2020-09-03,163.55,163.55,158.47,160.48,160.48,371184,0.0,1.0
13,2020-09-02,160.25,164.16,159.2,163.55,163.55,396520,0.0,1.0
14,2020-09-01,158.85,160.23,157.7,158.77,158.77,371728,0.0,1.0
15,2020-08-31,157.84,160.4,157.6,159.64,159.64,395359,0.0,1.0
16,2020-08-28,157.75,158.58,155.63,157.64,157.64,251874,0.0,1.0
17,2020-08-27,154.27,157.71,153.8,156.93,156.93,332242,0.0,1.0
18,2020-08-26,153.68,154.61,151.79,154.27,154.27,325548,0.4,1.0
19,2020-08-25,154.3,155.21,153.75,154.59,154.1902,300611,0.0,1.0
20,2020-08-24,153.84,154.87,151.87,153.12,152.724,302584,0.0,1.0
21,2020-08-21,154.91,155.0,152.385,153.46,153.0631,362657,0.0,1.0
22,2020-08-20,156.14,156.97,154.59,154.66,154.26,241823,0.0,1.0
23,2020-08-19,157.94,157.94,156.27,156.96,156.5541,367152,0.0,1.0
24,2020-08-18,158.71,159.62,155.88,157.75,157.342,291748,0.0,1.0
25,2020-08-17,158.7,160.6943,157.66,158.11,157.7011,253234,0.0,1.0
26,2020-08-14,158.15,159.9,158.05,158.7,158.2896,245284,0.0,1.0
27,2020-08-13,159.53,160.33,158.62,159.2,158.7883,243763,0.0,1.0
28,2020-08-12,159.33,160.97,158.78,160.51,160.0949,346536,0.0,1.0
29,2020-08-11,156.71,160.26,156.24,158.72,158.3095,566588,0.0,1.0
30,2020-08-10,154.1,156.895,153.52,155.88,155.4769,568498,0.0,1.0
31,2020-08-07,155.9,157.14,152.37,154.22,153.8212,498659,0.0,1.0
32,2020-08-06,157.65,157.65,154.645,155.98,155.5766,421049,0.0,1.0
33,2020-08-05,159.7,159.91,157.12,157.67,157.2622,355447,0.0,1.0
34,2020-08-04,161.58,164.12,157.3,158.0,157.5914,612144,0.0,1.0
35,2020-08-03,159.94,162.9,159.94,161.07,160.6534,478350,0.0,1.0
36,2020-07-31,160.22,160.65,157.2763,159.63,159.2172,416497,0.0,1.0
37,2020-07-30,159.08,161.46,158.13,161.13,160.7133,344557,0.0,1.0
38,2020-07-29,157.8,163.34,157.8,161.73,161.3117,593546,0.0,1.0
39,2020-07-28,157.27,158.66,155.85,157.11,156.7037,548096,0.0,1.0
40,2020-07-27,156.35,158.82,156.34,157.69,157.2822,441701,0.0,1.0
41,2020-07-24,158.14,158.14,154.86,156.35,155.9457,312379,0.0,1.0
42,2020-07-23,158.23,159.135,156.975,158.03,157.6213,358074,0.0,1.0
43,2020-07-22,157.08,158.05,156.22,157.84,157.4318,307315,0.0,1.0
44,2020-07-21,157.51,158.51,156.17,157.16,156.7536,455000,0.0,1.0
45,2020-07-20,159.94,160.5,156.87,157.45,157.0428,284500,0.0,1.0
46,2020-07-17,158.02,160.81,157.18,159.96,159.5463,464500,0.0,1.0
47,2020-07-16,157.63,157.95,156.21,157.1,156.6937,276600,0.0,1.0
48,2020-07-15,155.82,158.41,155.13,157.59,157.1824,378700,0.0,1.0
49,2020-07-14,150.16,153.53,149.82,153.32,152.9235,458300,0.0,1.0
50,2020-07-13,151.62,153.88,149.83,150.16,149.7717,402200,0.0,1.0
51,2020-07-10,150.53,150.81,148.91,150.51,150.1208,296100,0.0,1.0
52,2020-07-09,150.78,151.83,147.32,150.44,150.0509,881200,0.0,1.0
53,2020-07-08,152.4,152.54,149.34,150.82,150.43,510400,0.0,1.0
54,2020-07-07,151.96,154.02,150.83,151.78,151.3875,482200,0.0,1.0
55,2020-07-06,155.51,156.21,153.24,153.65,153.2526,646200,0.0,1.0
56,2020-07-02,155.68,157.13,153.57,154.01,153.6117,585700,0.0,1.0
57,2020-07-01,154.7,155.2,152.47,154.28,153.881,678400,0.0,1.0
58,2020-06-30,149.45,154.28,149.45,153.44,153.0432,517900,0.0,1.0
59,2020-06-29,150.21,151.02,148.19,149.68,149.2929,544306,0.0,1.0
60,2020-06-26,149.0,150.3,147.54,148.33,147.9464,1432900,0.0,1.0
61,2020-06-25,149.32,149.32,146.12,149.15,148.7643,566400,0.0,1.0
62,2020-06-24,153.42,153.42,148.29,149.04,148.6546,522100,0.0,1.0
63,2020-06-23,154.76,156.16,153.02,154.81,154.4096,689000,0.0,1.0
64,2020-06-22,152.0,154.38,150.4,153.17,152.7739,575700,0.0,1.0
65,2020-06-19,155.91,156.14,152.07,152.24,151.8463,860800,0.0,1.0
66,2020-06-18,154.13,154.88,152.68,153.36,152.9634,332800,0.0,1.0
67,2020-06-17,156.19,156.83,154.4,154.94,154.5393,309600,0.0,1.0
68,2020-06-16,157.08,157.35,154.17,154.9,154.4994,424500,0.0,1.0
69,2020-06-15,149.08,154.3,148.08,153.85,153.4521,396900,0.0,1.0
70,2020-06-12,153.1,154.51,149.34,151.82,151.4274,522200,0.0,1.0
71,2020-06-11,157.16,157.16,148.91,149.33,148.9438,556000,0.37,1.0
72,2020-06-10,162.06,162.06,158.96,159.64,158.8336,456800,0.0,1.0
73,2020-06-09,164.51,165.59,161.32,161.56,160.7439,486000,0.0,1.0
74,2020-06-08,162.66,165.8,162.66,165.43,164.5944,550900,0.0,1.0
75,2020-06-05,162.64,165.23,162.06,163.91,163.082,555300,0.0,1.0
76,2020-06-04,162.58,164.0,159.99,160.63,159.8186,544200,0.0,1.0
77,2020-06-03,165.0,165.53,162.95,163.17,162.3458,565200,0.0,1.0
78,2020-06-02,165.94,166.98,161.75,164.44,163.6094,574700,0.0,1.0
79,2020-06-01,165.49,166.64,164.33,165.65,164.8132,554300,0.0,1.0
80,2020-05-29,163.53,166.39,161.14,165.89,165.052,737900,0.0,1.0
81,2020-05-28,161.1,164.57,160.01,162.81,161.9876,430300,0.0,1.0
82,2020-05-27,158.92,160.02,156.94,159.98,159.1719,434200,0.0,1.0
83,2020-05-26,159.65,161.1,158.05,158.68,157.8784,376700,0.0,1.0
84,2020-05-22,156.62,157.81,155.12,157.48,156.6845,443700,0.0,1.0
85,2020-05-21,156.84,157.69,155.7,156.3,155.5105,332400,0.0,1.0
86,2020-05-20,159.27,159.87,157.82,158.03,157.2317,498100,0.0,1.0
87,2020-05-19,159.22,160.57,157.54,157.65,156.8537,484600,0.0,1.0
88,2020-05-18,154.58,160.54,153.64,159.54,158.7341,568000,0.0,1.0
89,2020-05-15,150.29,153.5,149.88,151.32,150.5556,1530100,0.0,1.0
90,2020-05-14,146.4,153.55,144.11,150.89,150.1278,1131900,0.0,1.0
91,2020-05-13,148.61,150.04,145.29,147.06,146.3171,689900,0.0,1.0
92,2020-05-12,153.5,153.95,149.14,149.14,148.3866,608200,0.0,1.0
93,2020-05-11,147.0,153.59,147.0,152.78,152.0083,603100,0.0,1.0
94,2020-05-08,146.5,148.78,145.24,148.25,147.5011,644600,0.0,1.0
95,2020-05-07,143.39,145.42,142.68,143.86,143.1333,664800,0.0,1.0
96,2020-05-06,142.42,142.68,139.51,140.99,140.2778,582600,0.0,1.0
97,2020-05-05,140.72,143.72,140.53,141.66,140.9444,964200,0.0,1.0
98,2020-05-04,141.39,141.43,138.66,139.54,138.8351,400100,0.0,1.0
99,2020-05-01,141.23,143.04,139.7,141.4,140.6857,639500,0.0,1.0
100,2020-04-30,145.86,146.24,141.23,142.5,141.7802,780100,0.0,1.0
101,2020-04-29,147.25,149.21,145.61,146.86,146.1182,519300,0.0,1.0
102,2020-04-28,150.6,151.75,146.14,146.21,145.4714,523700,0.0,1.0
103,2020-04-27,149.36,150.82,148.0,149.67,148.914,408200,0.0,1.0
104,2020-04-24,150.5,151.12,145.53,147.82,147.0733,766900,0.0,1.0
105,2020-04-23,150.42,153.07,149.04,149.45,148.6951,593600,0.0,1.0
106,2020-04-22,149.95,152.28,147.57,150.88,150.1178,393900,0.0,1.0
107,2020-04-21,155.02,155.39,146.41,147.78,147.0335,718800,0.0,1.0
108,2020-04-20,153.9,160.16,153.44,157.45,156.6547,889200,0.0,1.0
109,2020-04-17,152.96,155.46,149.49,154.97,154.1872,717300,0.0,1.0
110,2020-04-16,155.57,156.23,149.46,150.33,149.5706,888400,0.0,1.0
111,2020-04-15,154.17,156.04,151.97,154.75,153.9683,589300,0.0,1.0
112,2020-04-14,152.27,158.53,151.25,157.16,156.3661,930300,0.0,1.0
113,2020-04-13,152.54,153.41,145.26,149.51,148.7548,737400,0.0,1.0
114,2020-04-09,149.15,153.73,147.86,152.69,151.9187,669500,0.0,1.0
115,2020-04-08,149.64,150.6,146.22,149.25,148.4961,826600,0.0,1.0
116,2020-04-07,149.99,154.37,147.76,148.76,148.0086,1080600,0.0,1.0
117,2020-04-06,143.96,149.51,142.21,148.65,147.8991,978800,0.0,1.0
118,2020-04-03,138.47,140.94,137.57,138.72,138.0193,908300,0.0,1.0
