,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,59.43,59.98,57.86,58.88,58.88,3396026,0.0,1.0
1,2020-09-21,60.51,61.37,58.785,59.92,59.92,3291407,0.0,1.0
2,2020-09-18,61.91,63.61,61.77,61.95,61.95,4285342,0.0,1.0
3,2020-09-17,62.22,63.16,62.1,62.37,62.37,3152206,0.0,1.0
4,2020-09-16,63.28,64.68,63.05,63.32,63.32,3820843,0.0,1.0
5,2020-09-15,64.7665,64.7665,62.522,63.2,63.2,1707092,0.0,1.0
6,2020-09-14,65.53,66.79,63.9,64.43,64.43,2920818,0.0,1.0
7,2020-09-11,64.13,66.21,63.87,64.91,64.91,2435308,0.0,1.0
8,2020-09-10,66.14,66.2,64.05,64.23,64.23,2635515,0.0,1.0
9,2020-09-09,66.17,66.49,65.76,65.79,65.79,3130382,0.0,1.0
10,2020-09-08,67.25,67.63,65.3998,65.55,65.55,2112695,0.0,1.0
11,2020-09-04,68.74,69.77,67.01,68.35,68.35,3194642,0.0,1.0
12,2020-09-03,70.51,71.14,66.84,67.4,67.4,2656486,0.0,1.0
13,2020-09-02,68.52,70.23,68.27,69.88,69.88,3334851,0.0,1.0
14,2020-09-01,67.72,69.04,67.31,68.58,68.58,1656196,0.0,1.0
15,2020-08-31,69.93,69.93,68.07,68.09,68.09,1415543,0.0,1.0
16,2020-08-28,69.69,70.24,68.99,70.11,70.11,1257079,0.0,1.0
17,2020-08-27,68.09,69.71,68.09,69.25,69.25,1215451,0.0,1.0
18,2020-08-26,69.0,69.04,67.91,67.98,67.98,1504272,0.0,1.0
19,2020-08-25,69.57,70.06,68.87,69.07,69.07,1456230,0.0,1.0
20,2020-08-24,67.9,69.2,67.65,68.94,68.94,1887318,0.0,1.0
21,2020-08-21,67.73,68.19,67.27,67.55,67.55,1615863,0.0,1.0
22,2020-08-20,69.33,69.44,67.73,67.93,67.93,1877070,0.0,1.0
23,2020-08-19,69.73,70.68,69.51,70.45,70.45,2026006,0.0,1.0
24,2020-08-18,68.95,69.74,68.6,69.67,69.67,1511996,0.0,1.0
25,2020-08-17,70.35,70.39,68.7971,69.21,69.21,1666537,0.0,1.0
26,2020-08-14,69.95,71.02,69.95,70.53,70.53,874105,0.0,1.0
27,2020-08-13,70.45,71.15,69.74,70.35,70.35,1718119,0.0,1.0
28,2020-08-12,71.53,71.96,69.82,71.18,71.18,1628812,0.0,1.0
29,2020-08-11,71.09,72.13,70.15,70.35,70.35,2105753,0.0,1.0
30,2020-08-10,69.72,70.0691,68.69,69.87,69.87,1825765,0.0,1.0
