,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,48.0,48.33,47.34,48.23,48.23,3363219,0.0,1.0
1,2020-09-18,49.317,49.52,48.25,48.82,48.82,4722884,0.0,1.0
2,2020-09-17,47.67,49.17,47.555,49.14,49.14,2672779,0.0,1.0
3,2020-09-16,47.8,49.27,47.63,48.67,48.67,3208326,0.0,1.0
4,2020-09-15,48.09,48.1923,47.1899,47.34,47.34,2591693,0.0,1.0
5,2020-09-14,46.96,47.83,46.87,47.65,47.65,3107814,0.0,1.0
6,2020-09-11,46.03,46.7,45.81,46.54,46.54,2835800,0.0,1.0
7,2020-09-10,46.73,47.06,45.79,45.93,45.93,2639691,0.0,1.0
8,2020-09-09,46.61,46.73,46.06,46.23,46.23,2512714,0.0,1.0
9,2020-09-08,45.71,46.205,45.25,45.69,45.69,4418903,0.0,1.0
10,2020-09-04,46.95,47.73,46.15,47.01,47.01,3193162,0.0,1.0
11,2020-09-03,48.31,48.5,46.76,47.09,47.09,3026720,0.0,1.0
12,2020-09-02,47.1,48.85,47.07,48.59,48.59,3135772,0.0,1.0
13,2020-09-01,48.01,48.04,46.2683,47.07,47.07,3031199,0.0,1.0
14,2020-08-31,47.24,48.2,46.64,47.99,47.99,4854282,0.0,1.0
15,2020-08-28,45.85,46.89,45.5,46.6,46.6,2181749,0.0,1.0
16,2020-08-27,46.05,46.16,45.305,45.55,45.55,2112824,0.0,1.0
17,2020-08-26,45.43,45.7925,45.15,45.73,45.73,2073313,0.0,1.0
18,2020-08-25,45.52,46.21,45.15,45.44,45.44,1950549,0.0,1.0
19,2020-08-24,44.98,45.62,44.76,45.61,45.61,2051586,0.0,1.0
20,2020-08-21,44.81,44.93,44.5,44.84,44.84,3163527,0.0,1.0
21,2020-08-20,45.19,45.26,44.66,45.04,45.04,2159632,0.0,1.0
22,2020-08-19,45.18,46.0,45.11,45.4,45.4,2540194,0.0,1.0
