,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,185.09,189.3,185.07,188.5,188.5,610840,0.0,1.0
1,2020-09-21,185.45,185.4995,180.565,185.06,185.06,1109705,0.0,1.0
2,2020-09-18,191.17,193.06,185.06,187.81,187.81,1624217,0.0,1.0
3,2020-09-17,192.32,194.93,190.74,192.21,192.21,765510,0.0,1.0
4,2020-09-16,197.0,197.23,192.83,193.2,193.2,1031438,0.0,1.0
5,2020-09-15,196.72,197.97,195.25,196.59,196.59,1042025,0.0,1.0
6,2020-09-14,189.87,196.47,189.24,195.31,195.31,1467761,0.0,1.0
7,2020-09-11,188.79,190.2858,186.46,188.81,188.81,863110,0.0,1.0
8,2020-09-10,189.73,191.11,188.0882,188.73,188.73,884972,0.0,1.0
9,2020-09-09,189.51,191.35,185.79,189.93,189.93,1443868,0.0,1.0
10,2020-09-08,190.1,190.89,185.48,187.76,187.76,983113,0.0,1.0
11,2020-09-04,191.06,192.48,187.55,191.52,191.52,1043246,0.0,1.0
12,2020-09-03,189.44,191.36,187.82,190.58,190.58,1614817,0.0,1.0
13,2020-09-02,186.98,189.47,185.97,188.01,188.01,1296537,0.0,1.0
14,2020-09-01,183.9,186.095,183.38,185.94,185.94,973066,0.0,1.0
15,2020-08-31,185.46,185.83,183.33,184.48,184.48,733411,0.0,1.0
16,2020-08-28,182.67,185.75,181.19,185.37,185.37,775218,0.0,1.0
17,2020-08-27,182.0,183.94,181.64,182.65,182.65,733048,0.0,1.0
18,2020-08-26,179.94,181.765,179.11,181.36,181.36,749007,0.0,1.0
19,2020-08-25,181.26,181.557,179.2,180.18,180.18,703773,0.0,1.0
20,2020-08-24,178.76,181.5,177.88,181.49,181.49,695654,0.0,1.0
21,2020-08-21,179.0,179.56,177.1442,179.29,179.29,916661,0.0,1.0
22,2020-08-20,178.3,179.63,177.755,178.34,178.34,875239,0.0,1.0
23,2020-08-19,178.19,180.4,177.785,180.0,180.0,971724,0.0,1.0
24,2020-08-18,174.06,178.62,173.73,178.18,178.18,1515859,0.0,1.0
25,2020-08-17,176.36,177.15,173.39,173.69,173.69,830271,0.0,1.0
26,2020-08-14,176.11,178.08,175.77,176.03,176.03,574009,0.0,1.0
27,2020-08-13,174.43,177.14,174.12,176.62,176.62,587435,0.0,1.0
28,2020-08-12,174.38,177.1,173.89,175.5,175.5,1185356,0.0,1.0
29,2020-08-11,173.77,174.51,171.89,172.87,172.87,926570,0.0,1.0
30,2020-08-10,171.71,172.94,170.94,171.45,171.45,757444,0.75,1.0
31,2020-08-07,170.39,173.01,170.05,172.27,171.5197,1456208,0.0,1.0
32,2020-08-06,171.01,173.0,170.25,171.09,170.3448,1426716,0.0,1.0
33,2020-08-05,172.11,173.57,172.11,173.43,172.6746,740788,0.0,1.0
34,2020-08-04,173.0,174.49,171.57,171.69,170.9422,1208594,0.0,1.0
35,2020-08-03,178.2,178.2,172.74,173.29,172.5353,1234622,0.0,1.0
36,2020-07-31,180.3,180.91,175.74,178.2,177.4239,1095810,0.0,1.0
37,2020-07-30,180.21,181.88,178.82,180.83,180.0424,622588,0.0,1.0
38,2020-07-29,180.55,182.3,179.5,181.61,180.819,556086,0.0,1.0
39,2020-07-28,178.59,182.11,178.165,179.52,178.7381,961845,0.0,1.0
40,2020-07-27,179.3,179.88,177.26,178.89,178.1109,886883,0.0,1.0
41,2020-07-24,179.2,180.2203,177.71,179.85,179.0667,803909,0.0,1.0
42,2020-07-23,180.38,182.9231,178.79,179.0,178.2204,1536722,0.0,1.0
43,2020-07-22,180.4,181.0,178.83,179.49,178.7082,1011588,0.0,1.0
44,2020-07-21,178.56,184.07,178.41,180.77,179.9827,1225300,0.0,1.0
45,2020-07-20,179.65,180.32,175.4,177.6,176.8265,1221100,0.0,1.0
46,2020-07-17,182.29,183.13,180.4,180.61,179.8234,1093500,0.0,1.0
47,2020-07-16,181.89,183.73,180.61,181.24,180.4506,1154900,0.0,1.0
48,2020-07-15,181.05,182.66,179.69,182.63,181.8346,1365400,0.0,1.0
49,2020-07-14,179.0,179.9,176.24,179.18,178.3996,1538000,0.0,1.0
50,2020-07-13,185.5,185.73,179.24,179.69,178.9074,1136100,0.0,1.0
51,2020-07-10,182.93,184.99,182.11,184.93,184.1246,567600,0.0,1.0
52,2020-07-09,184.24,185.5,181.71,182.39,181.5956,1202100,0.0,1.0
53,2020-07-08,183.28,184.11,181.3,183.48,182.6809,800200,0.0,1.0
54,2020-07-07,184.18,186.59,182.27,182.46,181.6653,904900,0.0,1.0
55,2020-07-06,188.12,189.38,185.21,186.49,185.6778,1004800,0.0,1.0
56,2020-07-02,189.18,190.74,185.39,185.8,184.9908,1894400,0.0,1.0
57,2020-07-01,182.93,189.92,182.04,185.88,185.0704,3465200,0.0,1.0
58,2020-06-30,174.79,175.11,172.34,174.95,174.188,1134200,0.0,1.0
59,2020-06-29,170.0,174.49,168.3966,174.17,173.4114,1160699,0.0,1.0
60,2020-06-26,174.09,174.09,166.52,168.99,168.254,1662800,0.0,1.0
61,2020-06-25,171.74,174.01,168.74,173.33,172.5751,1132200,0.0,1.0
62,2020-06-24,178.65,179.74,171.41,171.66,170.9124,1418700,0.0,1.0
