,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,154.84,157.55,153.91,157.46,157.46,693895,0.0,1.0
1,2020-09-21,156.08,156.86,152.19,154.43,154.43,1273142,0.0,1.0
2,2020-09-18,163.7,164.86,159.81,160.33,160.33,2264887,0.0,1.0
3,2020-09-17,162.73,167.08,160.89,164.25,164.25,1014942,0.0,1.0
4,2020-09-16,163.67,167.35,162.72,165.36,165.36,834493,0.0,1.0
5,2020-09-15,163.13,164.75,162.08,162.84,162.84,700918,0.0,1.0
6,2020-09-14,161.61,163.71,161.11,162.35,162.35,836648,0.0,1.0
7,2020-09-11,157.37,160.43,156.81,159.01,159.01,648202,0.0,1.0
8,2020-09-10,158.19,161.01,156.65,157.24,157.24,826247,0.0,1.0
9,2020-09-09,156.6,159.66,156.6,157.6,157.6,964025,0.0,1.0
10,2020-09-08,158.36,159.14,154.98,155.6,155.6,972926,0.0,1.0
11,2020-09-04,162.93,163.64,157.915,160.13,160.13,653655,0.0,1.0
12,2020-09-03,166.57,166.74,159.0,160.53,160.53,929015,0.0,1.0
13,2020-09-02,165.59,168.25,165.02,166.25,166.25,1123823,0.0,1.0
14,2020-09-01,160.39,165.86,160.31,165.34,165.34,1156228,0.0,1.0
15,2020-08-31,164.85,164.85,161.13,161.3,161.3,968842,0.7,1.0
16,2020-08-28,161.73,165.58,161.17,165.52,164.8048,1479842,0.0,1.0
17,2020-08-27,161.12,161.72,159.38,159.48,158.7909,455309,0.0,1.0
18,2020-08-26,159.39,160.43,158.545,159.7,159.0099,670318,0.0,1.0
19,2020-08-25,161.34,161.66,158.57,159.71,159.0199,534393,0.0,1.0
20,2020-08-24,160.15,161.04,159.41,160.37,159.677,764372,0.0,1.0
21,2020-08-21,158.15,159.79,157.6962,159.18,158.4922,570989,0.0,1.0
22,2020-08-20,157.23,158.55,156.27,158.15,157.4666,776138,0.0,1.0
23,2020-08-19,160.11,160.785,158.54,158.97,158.2831,600728,0.0,1.0
24,2020-08-18,159.81,161.95,159.56,159.92,159.229,948339,0.0,1.0
25,2020-08-17,159.0,160.18,158.42,159.77,159.0796,686256,0.0,1.0
26,2020-08-14,157.94,159.985,157.025,158.78,158.0939,695156,0.0,1.0
27,2020-08-13,159.05,160.22,158.32,158.4,157.7156,911880,0.0,1.0
28,2020-08-12,162.69,162.98,159.28,160.34,159.6472,841152,0.0,1.0
29,2020-08-11,161.58,164.24,160.64,161.41,160.7125,1629647,0.0,1.0
30,2020-08-10,157.5,160.74,157.02,159.97,159.2788,1601770,0.0,1.0
31,2020-08-07,155.18,157.35,154.33,157.26,156.5805,765687,0.0,1.0
