,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,135.59,139.7,133.77,139.64,139.64,1679736,0.0,1.0
1,2020-09-21,133.58,134.64,131.441,134.25,134.25,2051021,0.0,1.0
2,2020-09-18,139.43,139.91,133.67,136.01,136.01,2415346,0.0,1.0
3,2020-09-17,134.956,138.83,134.956,138.36,138.36,1825775,0.0,1.0
4,2020-09-16,142.41,142.83,140.25,140.34,140.34,1460714,0.0,1.0
5,2020-09-15,139.39,142.76,139.3,140.91,140.91,1760793,0.0,1.0
6,2020-09-14,137.44,138.88,136.08,137.79,137.79,1182454,0.0,1.0
7,2020-09-11,137.575,138.44,134.13,136.15,136.15,1496069,0.0,1.0
8,2020-09-10,139.27,140.6452,134.19,135.23,135.23,2172204,0.0,1.0
9,2020-09-09,135.12,138.58,135.08,137.61,137.61,2713147,0.0,1.0
10,2020-09-08,133.1,135.44,130.72,130.84,130.84,2678639,0.0,1.0
11,2020-09-04,139.62,141.65,133.86,139.01,139.01,3237090,0.0,1.0
12,2020-09-03,149.01,149.59,139.43,139.91,139.91,3485924,0.0,1.0
13,2020-09-02,148.5,154.24,147.218,153.29,153.29,2137151,0.0,1.0
14,2020-09-01,145.98,147.76,144.5392,146.46,146.46,1473031,0.0,1.0
15,2020-08-31,143.45,145.39,141.94,144.85,144.85,2039249,0.0,1.0
16,2020-08-28,140.72,143.71,140.29,143.62,143.62,1060598,0.0,1.0
17,2020-08-27,143.47,143.47,138.701,140.1,140.1,1754536,0.0,1.0
18,2020-08-26,142.48,143.8027,141.29,142.71,142.71,1320369,0.0,1.0
19,2020-08-25,142.96,143.88,141.41,142.53,142.53,1189502,0.0,1.0
20,2020-08-24,143.67,144.25,141.02,142.25,142.25,1541432,0.0,1.0
21,2020-08-21,140.25,142.31,139.4,142.05,142.05,1322921,0.0,1.0
22,2020-08-20,140.64,142.26,139.36,140.63,140.63,1708521,0.0,1.0
23,2020-08-19,143.59,143.865,141.43,142.05,142.05,1717396,0.0,1.0
24,2020-08-18,145.47,146.615,143.07,143.19,143.19,1178745,0.0,1.0
25,2020-08-17,147.37,147.6785,144.64,146.09,146.09,1214757,0.0,1.0
26,2020-08-14,148.48,148.62,145.5,146.12,146.12,998191,0.0,1.0
27,2020-08-13,147.7,149.32,146.8,148.06,148.06,1413122,0.0,1.0
28,2020-08-12,142.3387,147.85,141.35,147.56,147.56,1641744,0.0,1.0
29,2020-08-11,143.19,144.57,140.77,141.33,141.33,1656511,0.0,1.0
30,2020-08-10,143.84,144.49,141.0,143.54,143.54,1499724,0.5,1.0
31,2020-08-07,148.71,148.73,142.4,144.37,143.8689,1526416,0.0,1.0
32,2020-08-06,145.7,149.19,145.09,148.07,147.556,1267302,0.0,1.0
33,2020-08-05,144.85,146.12,143.45,145.37,144.8654,1428359,0.0,1.0
34,2020-08-04,147.44,147.89,142.96,145.27,144.7657,1821926,0.0,1.0
35,2020-08-03,146.93,149.49,146.56,147.2,146.689,1882954,0.0,1.0
36,2020-07-31,144.41,145.9,141.25,145.58,145.0747,3537876,0.0,1.0
37,2020-07-30,134.92,142.26,134.8,142.19,141.6964,3187852,0.0,1.0
38,2020-07-29,135.88,137.22,134.59,136.45,135.9763,1330619,0.0,1.0
39,2020-07-28,137.37,137.95,134.46,134.66,134.1926,1752337,0.0,1.0
