,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,65.05,66.1,63.41,64.05,64.05,4036662,0.0,1.0
1,2020-09-18,68.57,69.515,67.41,67.63,67.63,4585975,0.0,1.0
2,2020-09-17,67.51,69.09,67.3613,68.4,68.4,4434469,0.0,1.0
3,2020-09-16,65.61,68.86,65.45,68.25,68.25,5170872,0.0,1.0
4,2020-09-15,64.69,65.645,64.23,65.4,65.4,3150791,0.0,1.0
5,2020-09-14,62.75,64.87,62.44,64.57,64.57,2167379,0.0,1.0
6,2020-09-11,61.9,62.62,61.77,62.3,62.3,2861435,0.0,1.0
7,2020-09-10,61.87,63.105,61.39,61.78,61.78,3657759,0.0,1.0
8,2020-09-09,60.0,61.94,59.019,61.42,61.42,4225291,0.0,1.0
9,2020-09-08,59.51,60.58,59.24,59.48,59.48,2549749,0.0,1.0
10,2020-09-04,60.98,61.69,59.54,60.14,60.14,2228815,0.0,1.0
11,2020-09-03,61.18,62.17,59.915,60.37,60.37,2646754,0.0,1.0
12,2020-09-02,60.33,61.12,59.62,60.84,60.84,2049864,0.0,1.0
13,2020-09-01,59.56,60.39,58.92,60.1,60.1,2488880,0.0,1.0
14,2020-08-31,61.52,62.0,60.11,60.14,60.14,2428257,0.0,1.0
15,2020-08-28,60.25,62.0,60.06,61.89,61.89,2564113,0.0,1.0
16,2020-08-27,57.84,60.92,57.795,60.03,60.03,3195739,0.0,1.0
17,2020-08-26,57.5,58.21,56.22,57.5,57.5,4352223,0.0,1.0
18,2020-08-25,59.76,59.79,57.28,58.2,58.2,4052281,0.0,1.0
19,2020-08-24,57.95,59.53,57.2,59.51,59.51,2734484,0.0,1.0
20,2020-08-21,57.94,57.96,57.21,57.46,57.46,2599395,0.0,1.0
21,2020-08-20,57.6,58.38,56.96,57.93,57.93,2167783,0.0,1.0
22,2020-08-19,59.26,59.37,57.88,58.08,58.08,2321663,0.0,1.0
23,2020-08-18,59.83,60.6,59.07,59.59,59.59,2866369,0.0,1.0
24,2020-08-17,59.84,60.115,59.08,59.7,59.7,2651741,0.0,1.0
25,2020-08-14,58.44,60.0,57.85,59.54,59.54,3852718,0.0,1.0
26,2020-08-13,59.1,60.11,58.44,58.6,58.6,2320216,0.0,1.0
27,2020-08-12,61.1,61.38,59.47,59.7,59.7,3189766,0.0,1.0
28,2020-08-11,58.6,62.52,58.26,60.84,60.84,7641274,0.0,1.0
29,2020-08-10,58.26,60.53,58.21,60.1,60.1,4005962,0.0,1.0
30,2020-08-07,55.8,58.72,55.69,57.8,57.8,4447585,0.0,1.0
31,2020-08-06,54.91,57.73,54.68,56.4,56.4,3328381,0.0,1.0
32,2020-08-05,54.58,55.1,54.02,54.99,54.99,4392326,0.0,1.0
33,2020-08-04,52.6,54.19,52.13,54.11,54.11,3407882,0.0,1.0
34,2020-08-03,52.73,52.79,50.895,52.13,52.13,2901862,0.0,1.0
35,2020-07-31,53.17,53.45,52.21,52.85,52.85,3070070,0.0,1.0
36,2020-07-30,53.05,53.6,52.325,53.59,53.59,2101740,0.0,1.0
