,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,28.8,28.82,28.26,28.63,28.63,45473995,0.0,1.0
1,2020-09-18,29.04,29.22,28.91,28.93,28.93,45861784,0.0,1.0
2,2020-09-17,29.15,29.24,28.95,29.07,29.07,31650021,0.0,1.0
3,2020-09-16,29.13,29.54,29.12,29.24,29.24,30879180,0.0,1.0
4,2020-09-15,29.19,29.34,29.06,29.12,29.12,25911737,0.0,1.0
5,2020-09-14,29.1,29.3,29.0,29.14,29.14,28722807,0.0,1.0
6,2020-09-11,28.96,29.13,28.8,29.0,29.0,29669553,0.0,1.0
7,2020-09-10,29.38,29.38,28.9,28.91,28.91,47416639,0.0,1.0
8,2020-09-09,29.63,29.6995,29.37,29.37,29.37,29620226,0.0,1.0
9,2020-09-08,29.5,29.6,29.02,29.51,29.51,46433102,0.0,1.0
10,2020-09-04,29.63,29.87,29.26,29.42,29.42,44835228,0.0,1.0
11,2020-09-03,29.78,30.175,29.42,29.59,29.59,44328301,0.0,1.0
12,2020-09-02,29.37,29.84,29.32,29.7,29.7,35128793,0.0,1.0
13,2020-09-01,29.74,29.75,29.32,29.47,29.47,46552904,0.0,1.0
14,2020-08-31,30.15,30.16,29.8,29.81,29.81,41482986,0.0,1.0
15,2020-08-28,29.94,30.08,29.81,30.04,30.04,26839368,0.0,1.0
16,2020-08-27,30.01,30.17,29.815,29.9,29.9,29612453,0.0,1.0
17,2020-08-26,29.83,30.12,29.7,29.99,29.99,27840305,0.0,1.0
18,2020-08-25,30.09,30.14,29.83,29.9,29.9,21027062,0.0,1.0
19,2020-08-24,29.71,30.05,29.6605,30.03,30.03,26384315,0.0,1.0
20,2020-08-21,29.73,29.79,29.53,29.69,29.69,24883645,0.0,1.0
21,2020-08-20,29.55,29.875,29.5,29.67,29.67,22927026,0.0,1.0
22,2020-08-19,29.81,29.89,29.68,29.73,29.73,24779948,0.0,1.0
23,2020-08-18,29.86,29.93,29.77,29.79,29.79,21913568,0.0,1.0
24,2020-08-17,30.08,30.08,29.8,29.85,29.85,24722047,0.0,1.0
25,2020-08-14,29.83,30.15,29.7601,30.01,30.01,22547745,0.0,1.0
26,2020-08-13,30.0,30.13,29.84,29.91,29.91,24893071,0.0,1.0
27,2020-08-12,30.36,30.51,30.11,30.18,30.18,21188089,0.0,1.0
28,2020-08-11,30.41,30.77,30.1,30.2,30.2,30986949,0.0,1.0
29,2020-08-10,30.05,30.2,29.985,30.2,30.2,35514362,0.0,1.0
30,2020-08-07,29.74,30.06,29.58,30.02,30.02,30422083,0.0,1.0
31,2020-08-06,29.71,30.09,29.68,29.84,29.84,21908725,0.0,1.0
32,2020-08-05,30.15,30.209,29.79,29.85,29.85,22991667,0.0,1.0
33,2020-08-04,29.6,30.155,29.56,30.01,30.01,34044431,0.0,1.0
34,2020-08-03,29.945,29.98,29.41,29.62,29.62,38979156,0.0,1.0
35,2020-07-31,29.51,29.62,29.27,29.58,29.58,38694208,0.0,1.0
36,2020-07-30,29.47,29.73,29.36,29.57,29.57,26647892,0.0,1.0
37,2020-07-29,29.67,29.67,29.31,29.56,29.56,30475883,0.0,1.0
38,2020-07-28,29.26,29.89,29.2,29.69,29.69,37667134,0.0,1.0
39,2020-07-27,29.5,29.51,29.21,29.29,29.29,33494616,0.0,1.0
40,2020-07-24,29.8,30.21,29.46,29.57,29.57,38727179,0.0,1.0
41,2020-07-23,30.15,30.15,29.54,29.9,29.9,51503445,0.0,1.0
42,2020-07-22,30.16,30.27,29.95,30.16,30.16,30508666,0.0,1.0
43,2020-07-21,29.89,30.42,29.86,30.25,30.25,34245793,0.0,1.0
44,2020-07-20,30.18,30.18,29.8,29.85,29.85,32375541,0.0,1.0
45,2020-07-17,30.48,30.53,30.18,30.25,30.25,23138200,0.0,1.0
46,2020-07-16,29.97,30.5,29.92,30.39,30.39,32977300,0.0,1.0
47,2020-07-15,30.07,30.13,29.85,30.01,30.01,30944800,0.0,1.0
48,2020-07-14,29.72,30.1,29.53,29.96,29.96,30500600,0.0,1.0
49,2020-07-13,30.16,30.17,29.64,29.76,29.76,40957700,0.0,1.0
50,2020-07-10,29.5,30.23,29.45,30.13,30.13,36890200,0.0,1.0
51,2020-07-09,29.87,29.88,29.39,29.54,29.54,39347000,0.52,1.0
52,2020-07-08,30.46,30.55,30.15,30.46,29.9331,38860800,0.0,1.0
53,2020-07-07,30.3,30.45,30.23,30.32,29.7955,27546300,0.0,1.0
54,2020-07-06,30.54,30.6,30.24,30.49,29.9626,33698300,0.0,1.0
55,2020-07-02,30.11,30.5,30.02,30.08,29.5597,37702800,0.0,1.0
56,2020-07-01,30.13,30.48,29.85,29.9,29.3828,30976200,0.0,1.0
57,2020-06-30,30.01,30.34,29.71,30.23,29.7071,43757900,0.0,1.0
58,2020-06-29,29.33,29.93,29.29,29.91,29.3926,37495800,0.0,1.0
59,2020-06-26,29.56,29.56,28.92,29.08,28.577,76550800,0.0,1.0
60,2020-06-25,29.49,29.81,29.21,29.72,29.2059,36517700,0.0,1.0
61,2020-06-24,30.03,30.04,29.16,29.42,28.9111,65532600,0.0,1.0
62,2020-06-23,30.3,30.68,30.2,30.25,29.7267,38886900,0.0,1.0
63,2020-06-22,30.18,30.3,30.0,30.11,29.5891,29535200,0.0,1.0
64,2020-06-19,30.69,30.75,29.98,30.31,29.7857,74991400,0.0,1.0
65,2020-06-18,30.06,30.41,29.95,30.35,29.825,28334200,0.0,1.0
66,2020-06-17,30.78,30.82,30.21,30.26,29.7365,31438400,0.0,1.0
67,2020-06-16,31.42,31.47,30.36,30.78,30.2475,41583500,0.0,1.0
68,2020-06-15,29.99,30.65,29.52,30.5,29.9724,40215000,0.0,1.0
69,2020-06-12,31.02,31.08,30.01,30.5,29.9724,36265800,0.0,1.0
70,2020-06-11,31.2,31.32,30.12,30.17,29.6481,49810200,0.0,1.0
71,2020-06-10,32.57,32.62,32.1,32.14,31.584,27240900,0.0,1.0
72,2020-06-09,32.81,32.86,32.35,32.62,32.0557,32195700,0.0,1.0
73,2020-06-08,33.0,33.24,32.69,33.23,32.6552,34261200,0.0,1.0
74,2020-06-05,32.54,33.0,32.23,32.77,32.2031,46689300,0.0,1.0
75,2020-06-04,31.39,31.8,31.28,31.8,31.2499,30741200,0.0,1.0
76,2020-06-03,31.3,31.66,31.28,31.51,30.9649,27839100,0.0,1.0
77,2020-06-02,31.05,31.1,30.71,30.99,30.4539,28424200,0.0,1.0
78,2020-06-01,30.75,31.24,30.6,30.93,30.395,24944700,0.0,1.0
79,2020-05-29,30.55,30.96,30.33,30.86,30.3262,43731300,0.0,1.0
80,2020-05-28,32.03,32.07,30.97,31.06,30.5227,39676800,0.0,1.0
81,2020-05-27,31.74,31.98,31.53,31.85,31.299,43418200,0.0,1.0
82,2020-05-26,30.64,31.12,30.57,30.82,30.2869,41364800,0.0,1.0
83,2020-05-22,29.78,29.91,29.43,29.88,29.3631,26629500,0.0,1.0
84,2020-05-21,29.79,30.06,29.53,29.77,29.255,39339600,0.0,1.0
85,2020-05-20,29.27,29.82,29.01,29.59,29.0781,37876700,0.0,1.0
86,2020-05-19,29.46,29.52,28.9,28.96,28.459,35194300,0.0,1.0
87,2020-05-18,28.99,29.69,28.93,29.45,28.9406,34924500,0.0,1.0
88,2020-05-15,28.28,28.46,28.07,28.31,27.8203,32221800,0.0,1.0
89,2020-05-14,27.98,28.6,27.61,28.58,28.0856,39808700,0.0,1.0
90,2020-05-13,28.8,28.92,28.0,28.09,27.6041,49203000,0.0,1.0
91,2020-05-12,29.51,29.67,28.89,28.89,28.3902,35173100,0.0,1.0
92,2020-05-11,29.65,29.65,29.15,29.38,28.8718,29206400,0.0,1.0
93,2020-05-08,29.29,29.85,29.21,29.79,29.2747,24036200,0.0,1.0
94,2020-05-07,29.17,29.2,28.83,28.89,28.3902,31793400,0.0,1.0
95,2020-05-06,29.82,29.87,28.79,28.79,28.292,45061800,0.0,1.0
96,2020-05-05,29.74,30.18,29.72,29.74,29.2255,24615200,0.0,1.0
97,2020-05-04,29.75,29.75,29.22,29.6,29.088,35151700,0.0,1.0
98,2020-05-01,30.77,30.79,29.75,29.9,29.3828,36837500,0.0,1.0
99,2020-04-30,31.0,31.05,30.28,30.47,29.9429,40716100,0.0,1.0
100,2020-04-29,31.13,31.87,31.07,31.43,30.8863,33137400,0.0,1.0
101,2020-04-28,31.0,31.12,30.62,30.65,30.1198,30905700,0.0,1.0
102,2020-04-27,29.99,30.68,29.74,30.54,30.0117,33310800,0.0,1.0
103,2020-04-24,29.59,29.95,29.15,29.71,29.1961,35544500,0.0,1.0
104,2020-04-23,29.44,30.05,29.33,29.5,28.9897,33981800,0.0,1.0
105,2020-04-22,30.9,30.9,29.31,29.47,28.9602,50741200,0.0,1.0
106,2020-04-21,30.51,30.52,29.64,29.87,29.3533,43106700,0.0,1.0
