,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,33.87,33.98,33.08,33.59,33.59,3717042,0.0,1.0
1,2020-09-18,34.99,35.24,34.085,34.31,34.31,4989343,0.0,1.0
2,2020-09-17,34.47,35.105,33.96,35.06,35.06,2122305,0.0,1.0
3,2020-09-16,34.69,35.25,34.5,34.56,34.56,2471808,0.0,1.0
4,2020-09-15,34.75,34.94,33.92,34.29,34.29,3739048,0.0,1.0
5,2020-09-14,35.33,35.51,34.9,35.01,35.01,1690578,0.0,1.0
6,2020-09-11,35.6,35.63,34.59,35.09,35.09,2806982,0.0,1.0
7,2020-09-10,37.77,37.77,35.455,35.6,35.6,3361443,0.0,1.0
8,2020-09-09,38.0,38.4,37.49,37.52,37.52,2424908,0.0,1.0
9,2020-09-08,38.23,38.445,37.525,37.76,37.76,1820668,0.0,1.0
10,2020-09-04,38.21,38.5893,37.59,38.32,38.32,1639615,0.0,1.0
11,2020-09-03,38.3,38.71,37.62,38.0,38.0,2338984,0.0,1.0
12,2020-09-02,37.17,38.03,37.04,37.92,37.92,1582947,0.0,1.0
13,2020-09-01,37.45,37.47,36.685,37.01,37.01,1865933,0.0,1.0
14,2020-08-31,37.69,37.93,37.48,37.64,37.64,1905412,0.0,1.0
15,2020-08-28,37.77,37.99,37.43,37.89,37.89,1274069,0.0,1.0
16,2020-08-27,37.54,38.2799,37.44,37.57,37.57,868170,0.0,1.0
17,2020-08-26,37.62,37.99,37.22,37.5,37.5,856749,0.0,1.0
18,2020-08-25,38.25,38.42,37.61,37.62,37.62,929079,0.0,1.0
19,2020-08-24,36.98,38.04,36.6801,38.02,38.02,1050584,0.0,1.0
20,2020-08-21,36.97,37.02,36.22,36.8,36.8,1812882,0.0,1.0
21,2020-08-20,37.5,37.73,37.13,37.16,37.16,987546,0.0,1.0
22,2020-08-19,37.88,38.3,37.65,37.85,37.85,1140269,0.0,1.0
23,2020-08-18,37.81,38.01,37.39,37.76,37.76,1050981,0.0,1.0
24,2020-08-17,37.64,38.08,37.26,37.74,37.74,1620145,0.0,1.0
25,2020-08-14,37.46,38.07,37.36,37.68,37.68,900650,0.0,1.0
26,2020-08-13,38.13,38.42,37.6,37.81,37.81,1071297,0.0,1.0
27,2020-08-12,38.73,39.09,38.16,38.43,38.43,1703050,0.0,1.0
28,2020-08-11,38.72,39.24,38.11,38.21,38.21,1841661,0.0,1.0
29,2020-08-10,37.42,37.95,37.4,37.9,37.9,1744691,0.0,1.0
30,2020-08-07,36.26,37.32,36.26,37.27,37.27,1428465,0.0,1.0
31,2020-08-06,36.17,36.76,36.11,36.57,36.57,1580180,0.0,1.0
32,2020-08-05,37.08,37.28,36.33,36.53,36.53,1630319,0.0,1.0
33,2020-08-04,36.78,37.24,36.605,36.75,36.75,1562886,0.0,1.0
34,2020-08-03,37.54,37.5567,36.68,36.81,36.81,1759270,0.0,1.0
35,2020-07-31,37.53,38.31,36.98,37.52,37.52,4412808,0.0,1.0
36,2020-07-30,38.42,39.02,37.125,37.44,37.44,4292981,0.0,1.0
37,2020-07-29,36.51,36.93,36.02,36.73,36.73,2572843,0.0,1.0
38,2020-07-28,36.0,36.84,36.0,36.32,36.32,2113194,0.0,1.0
39,2020-07-27,36.33,36.49,35.8,36.15,36.15,1613797,0.0,1.0
40,2020-07-24,36.4,36.7499,36.24,36.49,36.49,1574596,0.0,1.0
41,2020-07-23,35.74,36.77,35.675,36.55,36.55,1922751,0.0,1.0
42,2020-07-22,35.6,35.99,35.27,35.8,35.8,1422932,0.0,1.0
43,2020-07-21,35.31,36.24,35.31,35.85,35.85,1815954,0.0,1.0
44,2020-07-20,35.92,35.92,34.79,35.0,35.0,1856800,0.0,1.0
