,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,493.9,494.99,474.835,487.81,487.81,656362,0.0,1.0
1,2020-09-18,514.22,521.66,505.28,505.5,505.5,1291008,0.0,1.0
2,2020-09-17,525.13,529.2,514.41,519.01,519.01,500671,0.0,1.0
3,2020-09-16,508.11,526.23,504.46,518.89,518.89,568167,0.0,1.0
4,2020-09-15,507.0,511.93,504.34,507.3,507.3,294049,0.0,1.0
5,2020-09-14,511.61,513.05,502.0,507.3,507.3,489507,0.0,1.0
6,2020-09-11,499.61,508.49,493.03,505.75,505.75,230575,0.0,1.0
7,2020-09-10,500.21,510.26,497.44,499.47,499.47,337107,0.0,1.0
8,2020-09-09,502.95,505.22,489.73,500.93,500.93,341961,0.0,1.0
9,2020-09-08,504.39,513.225,493.24,501.93,501.93,635717,0.0,1.0
10,2020-09-04,499.41,506.99,487.8,503.32,503.32,380822,0.0,1.0
11,2020-09-03,507.19,508.94,489.37,493.82,493.82,356328,0.0,1.0
12,2020-09-02,503.06,507.15,496.17,505.15,505.15,269127,0.0,1.0
13,2020-09-01,496.17,505.22,495.54,503.78,503.78,295514,0.0,1.0
14,2020-08-31,506.0,507.5799,494.45,499.67,499.67,306948,0.0,1.0
15,2020-08-28,500.59,507.89,498.65,506.77,506.77,394545,0.0,1.0
16,2020-08-27,488.56,502.46,488.0371,498.32,498.32,428460,0.0,1.0
17,2020-08-26,483.9,489.46,481.48,484.89,484.89,248365,0.0,1.0
18,2020-08-25,490.91,493.64,483.46,486.05,486.05,315421,0.0,1.0
19,2020-08-24,481.16,490.99,481.16,488.5,488.5,572883,0.0,1.0
20,2020-08-21,481.69,485.17,477.86,479.28,479.28,426050,0.0,1.0
21,2020-08-20,478.38,486.64,476.18,482.83,482.83,255215,0.0,1.0
22,2020-08-19,486.31,489.62,482.0,482.81,482.81,553814,0.0,1.0
23,2020-08-18,488.02,490.17,482.2,483.0,483.0,528210,0.0,1.0
24,2020-08-17,500.0,500.0,489.31,489.97,489.97,413070,0.0,1.0
25,2020-08-14,491.17,499.7,491.17,498.79,498.79,360466,0.0,1.0
26,2020-08-13,492.49,499.145,492.49,495.15,495.15,430836,0.0,1.0
27,2020-08-12,499.65,500.0,492.72,498.49,498.49,532366,0.0,1.0
28,2020-08-11,494.17,506.075,489.83,490.23,490.23,784514,0.0,1.0
29,2020-08-10,477.87,489.37,477.34,482.57,482.57,582340,0.0,1.0
30,2020-08-07,480.09,480.09,470.0,475.39,475.39,460500,0.0,1.0
31,2020-08-06,466.1,475.47,466.01,472.07,472.07,244373,0.0,1.0
32,2020-08-05,452.12,474.14,450.165,471.61,471.61,492389,0.0,1.0
33,2020-08-04,435.72,453.95,434.57,448.74,448.74,723697,0.0,1.0
34,2020-08-03,430.01,437.765,421.47,436.01,436.01,348702,0.0,1.0
35,2020-07-31,430.27,433.35,422.51,431.58,431.58,328262,0.0,1.0
36,2020-07-30,427.95,438.83,426.755,433.34,433.34,284605,0.0,1.0
37,2020-07-29,428.06,435.925,425.5,433.37,433.37,322521,0.0,1.0
38,2020-07-28,425.0,433.36,424.47,426.95,426.95,355730,0.0,1.0
