,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,326.69,332.89,320.335,331.83,331.83,606472,0.0,1.0
1,2020-09-21,331.47,331.47,321.88,326.7,326.7,365715,0.0,1.0
2,2020-09-18,345.6,350.5,337.02,337.96,337.96,458503,0.0,1.0
3,2020-09-17,355.77,355.77,344.7425,346.58,346.58,377259,0.0,1.0
4,2020-09-16,372.67,372.67,353.15,357.9,357.9,406730,0.0,1.0
5,2020-09-15,374.65,377.85,369.15,369.83,369.83,293280,0.0,1.0
6,2020-09-14,375.29,376.785,371.4398,371.88,371.88,280964,0.0,1.0
7,2020-09-11,379.66,380.4,367.88,370.57,370.57,268729,0.0,1.0
8,2020-09-10,390.29,391.125,377.35,378.07,378.07,212130,0.0,1.0
9,2020-09-09,387.27,395.06,384.75,389.47,389.47,139889,0.0,1.0
10,2020-09-08,385.0,389.77,381.55,381.94,381.94,235776,0.0,1.0
11,2020-09-04,399.76,400.12,384.3475,389.39,389.39,144045,0.0,1.0
12,2020-09-03,405.8,407.325,390.895,396.58,396.58,251078,0.0,1.0
13,2020-09-02,399.26,409.27,395.89,408.18,408.18,223741,0.0,1.0
14,2020-09-01,391.31,399.18,390.45,398.35,398.35,213255,0.0,1.0
15,2020-08-31,383.02,395.17,383.02,392.95,392.95,221287,0.0,1.0
16,2020-08-28,380.01,386.05,376.35,385.02,385.02,150571,0.0,1.0
17,2020-08-27,376.29,385.14,374.67,380.28,380.28,169447,0.0,1.0
18,2020-08-26,375.98,377.42,368.0,375.93,375.93,131835,0.0,1.0
19,2020-08-25,373.74,378.79,369.41,377.48,377.48,247910,0.0,1.0
20,2020-08-24,372.72,373.735,365.29,370.85,370.85,161692,0.0,1.0
21,2020-08-21,371.08,371.77,367.01,371.63,371.63,154004,0.0,1.0
22,2020-08-20,369.61,374.03,367.92,370.75,370.75,162377,0.0,1.0
23,2020-08-19,376.69,376.69,371.475,371.8,371.8,110831,0.0,1.0
24,2020-08-18,376.85,376.85,371.93,373.99,373.99,128637,0.0,1.0
25,2020-08-17,378.66,380.59,374.53,374.73,374.73,163984,0.0,1.0
26,2020-08-14,380.45,380.84,376.51,378.47,378.47,102552,0.0,1.0
27,2020-08-13,374.75,383.885,374.75,382.1,382.1,115776,0.34,1.0
28,2020-08-12,378.77,380.505,375.43,376.01,375.6757,208963,0.0,1.0
29,2020-08-11,378.5,383.5,374.675,375.26,374.9264,152368,0.0,1.0
30,2020-08-10,372.43,378.52,371.41,376.4,376.0654,192880,0.0,1.0
31,2020-08-07,370.62,376.615,369.55,373.5,373.1679,136929,0.0,1.0
32,2020-08-06,374.25,374.53,364.66,369.57,369.2414,134728,0.0,1.0
33,2020-08-05,368.89,377.17,367.36,374.25,373.9173,276802,0.0,1.0
34,2020-08-04,373.38,375.25,364.435,368.26,367.9326,254828,0.0,1.0
35,2020-08-03,373.77,376.33,370.7,373.65,373.3178,180180,0.0,1.0
36,2020-07-31,383.29,384.33,368.0,373.1,372.7683,245624,0.0,1.0
37,2020-07-30,392.95,393.0,365.85,385.17,384.8276,307815,0.0,1.0
38,2020-07-29,387.37,405.07,387.37,400.99,400.6335,250619,0.0,1.0
39,2020-07-28,386.52,387.92,382.12,384.67,384.328,221673,0.0,1.0
40,2020-07-27,386.35,387.58,383.05,385.0,384.6577,182677,0.0,1.0
41,2020-07-24,387.87,389.25,382.31,387.66,387.3154,142557,0.0,1.0
42,2020-07-23,390.55,395.42,387.17,388.84,388.4943,111192,0.0,1.0
43,2020-07-22,385.69,390.98,383.11,389.41,389.0638,157860,0.0,1.0
44,2020-07-21,385.0,387.88,382.39,385.38,385.0374,127400,0.0,1.0
45,2020-07-20,381.86,385.76,380.43,384.8,384.4579,133100,0.0,1.0
46,2020-07-17,372.52,383.99,371.65,381.88,381.5405,162900,0.0,1.0
47,2020-07-16,373.51,374.64,366.1,369.94,369.6111,100900,0.0,1.0
48,2020-07-15,365.58,377.67,365.58,374.41,374.0771,145000,0.0,1.0
49,2020-07-14,349.29,363.03,349.29,362.35,362.0279,166300,0.0,1.0
50,2020-07-13,358.09,362.53,349.35,350.24,349.9286,247300,0.0,1.0
51,2020-07-10,357.85,358.98,351.64,354.78,354.4646,117300,0.0,1.0
52,2020-07-09,358.57,360.59,352.15,356.96,356.6427,200900,0.0,1.0
53,2020-07-08,360.89,363.58,357.96,360.26,359.9397,169500,0.0,1.0
54,2020-07-07,364.87,367.94,360.01,360.69,360.3693,188500,0.0,1.0
55,2020-07-06,373.94,374.98,367.63,368.15,367.8227,219300,0.0,1.0
56,2020-07-02,372.05,373.72,367.5,368.15,367.8227,191500,0.0,1.0
57,2020-07-01,363.97,375.0,363.97,368.93,368.602,287000,0.0,1.0
58,2020-06-30,355.95,365.55,355.85,363.98,363.6564,240400,0.0,1.0
59,2020-06-29,357.5,357.5,350.81,355.44,355.124,256037,0.0,1.0
60,2020-06-26,354.98,357.35,350.46,355.87,355.5536,508300,0.0,1.0
61,2020-06-25,356.07,356.07,347.59,354.96,354.6444,191900,0.0,1.0
62,2020-06-24,364.69,367.09,347.86,355.31,354.9941,409500,0.0,1.0
63,2020-06-23,372.79,374.4,367.4,368.47,368.1424,141900,0.0,1.0
64,2020-06-22,366.8,371.22,361.37,368.1,367.7727,162200,0.0,1.0
65,2020-06-19,371.89,375.18,366.58,368.39,368.0625,348100,0.0,1.0
66,2020-06-18,367.1,368.73,363.19,365.57,365.245,169400,0.0,1.0
67,2020-06-17,366.69,369.9,363.11,367.81,367.483,159900,0.0,1.0
68,2020-06-16,369.38,370.58,360.76,364.17,363.8462,135600,0.0,1.0
69,2020-06-15,346.67,361.08,343.11,359.85,359.5301,262800,0.0,1.0
70,2020-06-12,361.36,364.84,346.18,352.25,351.9368,204800,0.0,1.0
71,2020-06-11,360.61,360.61,348.37,350.93,350.618,409500,0.0,1.0
72,2020-06-10,369.5,371.45,363.14,366.73,366.404,242700,0.0,1.0
73,2020-06-09,374.65,376.17,365.98,367.18,366.8536,245900,0.0,1.0
74,2020-06-08,372.13,377.13,370.46,375.07,374.7366,239800,0.0,1.0
75,2020-06-05,370.4,382.87,368.55,376.58,376.2452,290900,0.0,1.0
76,2020-06-04,369.0,373.57,362.63,366.6,366.2741,279000,0.0,1.0
77,2020-06-03,365.6,373.68,362.82,370.88,370.5503,256000,0.0,1.0
78,2020-06-02,368.61,370.8,361.24,365.19,364.8653,331300,0.0,1.0
79,2020-06-01,361.72,369.09,361.36,365.48,365.1551,294900,0.0,1.0
80,2020-05-29,360.0,363.11,357.57,362.86,362.5374,364900,0.0,1.0
81,2020-05-28,351.43,359.34,349.02,358.29,357.9715,315900,0.0,1.0
82,2020-05-27,350.12,354.57,335.19,347.63,347.3209,544200,0.0,1.0
83,2020-05-26,375.14,377.51,344.68,350.0,349.6888,438600,0.0,1.0
84,2020-05-22,353.81,363.73,348.66,363.24,362.9171,282400,0.0,1.0
85,2020-05-21,351.13,354.78,346.24,351.5,351.1875,322800,0.0,1.0
86,2020-05-20,349.69,353.73,346.43,352.27,351.9568,182500,0.0,1.0
87,2020-05-19,354.24,356.88,345.65,345.65,345.3427,153900,0.0,1.0
88,2020-05-18,345.27,358.83,345.27,353.08,352.7661,204800,0.0,1.0
89,2020-05-15,332.31,337.68,330.89,335.69,335.3916,135700,0.0,1.0
90,2020-05-14,333.66,335.92,328.64,334.35,334.0528,311900,0.34,1.0
91,2020-05-13,339.54,342.6,332.17,337.99,337.3465,271200,0.0,1.0
92,2020-05-12,348.26,351.4,340.23,340.23,339.5822,230900,0.0,1.0
93,2020-05-11,339.08,348.75,336.75,347.45,346.7885,202300,0.0,1.0
94,2020-05-08,344.0,348.47,339.97,340.3,339.6521,193200,0.0,1.0
95,2020-05-07,342.14,346.5,340.78,343.27,342.6164,173700,0.0,1.0
96,2020-05-06,341.59,345.65,336.44,336.71,336.0689,194700,0.0,1.0
97,2020-05-05,325.9,344.77,325.23,340.75,340.1012,446000,0.0,1.0
98,2020-05-04,328.94,332.03,321.8,325.78,325.1597,637800,0.0,1.0
99,2020-05-01,329.37,341.7,322.3,329.37,328.7429,539700,0.0,1.0
100,2020-04-30,346.0,357.72,332.61,335.4,334.7614,543300,0.0,1.0
101,2020-04-29,344.39,354.71,342.29,353.13,352.4576,352200,0.0,1.0
102,2020-04-28,353.59,354.88,339.53,340.27,339.6221,227000,0.0,1.0
103,2020-04-27,342.26,354.43,339.41,350.08,349.4135,299300,0.0,1.0
104,2020-04-24,338.58,346.05,333.1,338.39,337.7457,510800,0.0,1.0
105,2020-04-23,336.0,341.52,333.73,334.43,333.7932,156400,0.0,1.0
106,2020-04-22,332.94,335.16,328.35,334.03,333.394,172400,0.0,1.0
107,2020-04-21,334.84,338.85,327.27,328.35,327.7248,216300,0.0,1.0
